AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.15842
AGID00111	913	sc-23957	Old	1433EPSILON	0.092978
AGID00101	883	sc-1019	Old	1433ZETA	0.091214
AGID00001	2	9452	Old	4EBP1	-1.0865
AGID00002	3	9456	Old	4EBP1_pS65	-0.55145
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.87105
AGID00443	8	9455	Old	4EBP1_pT70	-0.31605
AGID00120	985	4937	Old	53BP1	-1.7581
AGID00004	13	3661	Old	ACC_pS79	-1.308
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.41643
AGID00408	2372	3658	Set163	AceCS1	-0.2342505
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-2.0515
AGID00404	2367	9189	Set163	ACSL1	-0.78632
AGID02144	2450	PA5-27081	Old	ACVRL1	0.15765
AGID00186	1198	ab88574	Old	ADAR1	-0.76616
AGID00146	1084	4691	Old	AKT	-0.98211
AGID00028	230	9271	Old	AKT_pS473	-0.92591
AGID00170	1154	2965	Old	AKT_pT308	-0.42568
AGID00316	1800	3063	Set163	Akt2	-0.405485
AGID00347	2009	8599	Set163	Akt2_pS474	-0.1502405
AGID02215	2577	ab195377	Set163	ALKBH5	-0.5521652
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.09611581
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.5823649
AGID00006	39	2532	Old	AMPKALPHA	-0.093346
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.26465
AGID00193	1208	610066	Old	ANNEXIN1	0.5915
AGID00166	1142	610668	Old	ANNEXINVII	0.63415
AGID00371	756	1852-1/ab52615	Old	AR	-0.55565
AGID00194	1217	4432	Old	ARAF	0.067538
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.10441
AGID00260	1053	sc-32761	Old	ARID1A	-0.21944
AGID00264	1560	HPA029318	Old	ASNS	0.8446
AGID00276	1612	3415	Set163	Atg3	0.29712
AGID00309	1775	13507	Set163	Atg4B	-0.01133048
AGID00310	1776	12994	Set163	Atg5	0.8585099
AGID00277	1613	8558	Set163	Atg7	-0.34897
AGID00242	1363	2873	Old	ATM	-0.26007
AGID02142	2447	13050	Set163	ATM_pS1981	0.5348649
AGID00217	1289	ab14748	Set163	ATP5A	0.3148594
AGID02145	2451	PA5-43776	Set163	ATP5H	0.02706501
AGID02150	2456	13934	Set163	ATR	-0.066543
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.01076622
AGID00268	1569	ab97508	Set163	ATRX	-1.242333
AGID00391	2332	14475	Set163	Aurora-A	-0.74717
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.38382
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.1268663
AGID00215	1271	8661	Old	AXL	0.099831
AGID02143	2449	8457	Set163	b-Actin	0.09466977
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.001704963
AGID00301	1725	14058	Set163	B7-H3	0.3764191
AGID00302	1726	14572	Set163	B7-H4	-0.0393153
AGID00008	63	9291	Old	BAD_pS112	-0.82322
AGID00009	71	1542-1/ab32371	Old	BAK	0.75609
AGID00192	1207	sc-28383	Old	BAP1C4	-1.212
AGID00010	73	2772	Old	BAX	0.22699
AGID00433	80	M0887	Old	BCL2	1.0536
AGID00219	1299	PAB8528	Old	BCL2A1	0.13568
AGID00012	84	1018-1	Old	BCLXL	0.60475
AGID00377	87	sc-10086	Old	BECLIN	0.21857
AGID00011	75	9562	Old	BETACATENIN	-1.537
AGID00013	88	1008-1/ab32060	Old	BID	-0.49776
AGID00180	90	1036-1/ab32158	Old	BIM	0.7375
AGID00221	1311	610978	Set163	BiP-GRP78	0.7153745
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.05241007
AGID00355	92	1647/ab33899	Old	BRAF	-0.84504
AGID00014	94	2696	Old	BRAF_pS445	0.091159
AGID00445	761	9012	Old	BRCA2	0.55237
AGID00266	1567	13440	Old	BRD4	-1.1122
AGID00168	1146	2865	Set163	c-Abl_pY412	-0.0129007
AGID00278	1615	3130	Set163	c-IAP2	0.4029949
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.042327
AGID00429	2407	2679	Set163	Calnexin	0.8197398
AGID00176	1165	9496	Set163	Caspase-8-cleaved	-0.03345505
AGID00623	111	9665	Old	CASPASE3	0.30084
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.71919
AGID00118	951	9746	Old	CASPASE8	3.0035
AGID00537	935	551246	Old	CASPASE9	0.3424
AGID00016	114	3238	Old	CAVEOLIN1	1.1496
AGID00358	2100	ab76000	Set163	CD134	0.2019386
AGID00303	1737	826701	Set163	CD171	0.5859
AGID00410	125	1632-1/ab78237	Old	CD20	0.55332
AGID00220	1308	ab28340	Old	CD26	0.19824
AGID00191	1206	610467	Set163	CD29	0.1931597
AGID00017	127	M0823	Old	CD31	0.62772
AGID00369	2174	ab108403	Set163	CD38	1.59851
AGID00359	2104	ab133616	Set163	CD4	1.775829
AGID00411	1398	3570	Set163	CD44	0.9201749
AGID00237	1352	M070101-2	Set163	CD45	1.84143
AGID00115	937	611016	Old	CD49B	0.23968
AGID02171	2482	91882	Set163	CD86	-0.29161
AGID00329	1873	4688	Set163	cdc25C	-0.463495
AGID00227	1332	4651	Set163	Cdc42	0.4735598
AGID00422	2396	3387	Set163	Cdc6	0.1928699
AGID00501	1007	9112	Old	CDK1	0.077512
AGID00293	1658	ab32384	Set163	CDK1_pT14	-0.22699
AGID00314	1783	4539	Old	CDK1_pY15	-0.18262
AGID00423	2397	8064	Set163	CDT1	-0.1744454
AGID02101	2348	15102	Set163	cGAS	0.43004
AGID00447	2410	13460	Set163	CHD1L	-0.4725018
AGID00189	1203	2360	Old	CHK1	0.091616
AGID00234	1348	ab79758	Old	CHK1_pS296	0.19103
AGID00107	903	2348	Old	CHK1_pS345	-0.29404
AGID00018	146	3440	Old	CHK2	0.56679
AGID00019	147	2197	Old	CHK2_pT68	-0.13745
AGID00527	2078	4952	Old	CIAP	-0.035383
AGID00350	2018	3793	Set163	CIITA	0.40972
AGID00434	155	9164	Old	CJUN_pS73	-0.12011
AGID00020	157	1522-1/ab32363	Old	CKIT	0.57783
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.5157
AGID00466	726	3127	Old	CMET	3.4674
AGID00079	727	3129	Old	CMET_pY1235	0.016938
AGID00167	161	9402	Old	CMYC	0.084215
AGID00292	1656	11130-1-AP	Old	COG3	-0.23781
AGID00021	171	sc-20649	Old	COLLAGENVI	0.98515
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	-0.9261502
AGID00269	1571	6434	Set163	Coup-TFII	-0.42822
AGID00150	1116	4850	Set163	Cox-IV	1.393839
AGID00195	1218	4842	Set163	Cox2	0.69465
AGID00188	803	05-739	Old	CRAF	0.41063
AGID00022	179	9427	Old	CRAF_pS338	0.12354
AGID00023	181	9197	Set163	Creb	-0.1603711
AGID00393	2334	9198	Set163	CREB_pS133	-2.440848
AGID00365	2155	4980	Set163	CSK	0.25942
AGID00367	2160	9201	Set163	CtIP	-0.3877553
AGID00536	2096	ab107198	Old	CTLA4	-0.61157
AGID00025	198	2936	Set163	Cyclin-D3	1.10345
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.41134
AGID00382	194	sc-718	Old	CYCLIND1	0.27614
AGID00437	199	sc-25303	Old	CYCLINE1	-0.20714
AGID00449	202	1142-1	Old	CYCLINE2	0.56515
AGID00209	1257	ab110324	Set163	Cyclophilin-F	0.7684697
AGID00247	1379	ab48389	Set163	D-a-Tubulin	0.05088503
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.40099
AGID00304	1744	ab51601	Set163	DAPK2	0.1875048
AGID00343	1980	6998	Set163	DDB-1	0.11811
AGID00427	2402	5583	Set163	DDR1	-0.1041057
