AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.095513
AGID00111	913	sc-23957	Old	1433EPSILON	0.16548
AGID00101	883	sc-1019	Old	1433ZETA	0.54441
AGID00001	2	9452	Old	4EBP1	0.10294
AGID00002	3	9456	Old	4EBP1_pS65	-0.71345
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.60202
AGID00443	8	9455	Old	4EBP1_pT70	0.0070345
AGID00120	985	4937	Old	53BP1	-1.4268
AGID00004	13	3661	Old	ACC_pS79	-0.6202
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.40636
AGID00408	2372	3658	Set165	AceCS1	-0.06206583
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-2.6517
AGID00404	2367	9189	Set165	ACSL1	-0.7455231
AGID02144	2450	PA5-27081	Old	ACVRL1	0.17037
AGID00186	1198	ab88574	Old	ADAR1	-0.056498
AGID00146	1084	4691	Old	AKT	-0.37112
AGID00028	230	9271	Old	AKT_pS473	-1.7695
AGID00170	1154	2965	Old	AKT_pT308	-0.21004
AGID00316	1800	3063	Set165	Akt2	-0.1238404
AGID00347	2009	8599	Set165	Akt2_pS474	1.094706
AGID02215	2577	ab195377	Set165	ALKBH5	-0.9809103
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.2464861
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.09545162
AGID00006	39	2532	Old	AMPKALPHA	0.26541
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.094376
AGID00193	1208	610066	Old	ANNEXIN1	1.9678
AGID00166	1142	610668	Old	ANNEXINVII	0.3472
AGID00371	756	1852-1/ab52615	Old	AR	-0.58849
AGID00194	1217	4432	Old	ARAF	0.32068
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.045013
AGID00260	1053	sc-32761	Old	ARID1A	-0.16953
AGID00264	1560	HPA029318	Old	ASNS	-0.6918
AGID00276	1612	3415	Set165	Atg3	0.1423954
AGID00309	1775	13507	Set165	Atg4B	0.1062039
AGID00310	1776	12994	Set165	Atg5	0.3548822
AGID00277	1613	8558	Set165	Atg7	-0.6681043
AGID00242	1363	2873	Old	ATM	-0.49599
AGID02142	2447	13050	Set165	ATM_pS1981	1.461264
AGID00217	1289	ab14748	Set165	ATP5A	-0.6391583
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.4361055
