AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.12844
AGID00111	913	sc-23957	Old	1433EPSILON	0.1684
AGID00101	883	sc-1019	Old	1433ZETA	0.033702
AGID00001	2	9452	Old	4EBP1	0.54018
AGID00002	3	9456	Old	4EBP1_pS65	-0.32709
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.89774
AGID00443	8	9455	Old	4EBP1_pT70	-0.10473
AGID00120	985	4937	Old	53BP1	-0.77539
AGID00004	13	3661	Old	ACC_pS79	-0.31542
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.011981
AGID00408	2372	3658	Set163	AceCS1	-0.4481604
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.2641
AGID00404	2367	9189	Set163	ACSL1	-0.8610699
AGID02144	2450	PA5-27081	Old	ACVRL1	0.081341
AGID00186	1198	ab88574	Old	ADAR1	-0.17017
AGID00146	1084	4691	Old	AKT	-0.44721
AGID00028	230	9271	Old	AKT_pS473	-1.1934
AGID00170	1154	2965	Old	AKT_pT308	-0.2475
AGID00316	1800	3063	Set163	Akt2	0.1611951
AGID00347	2009	8599	Set163	Akt2_pS474	-0.1322204
AGID02215	2577	ab195377	Set163	ALKBH5	0.1487349
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.08388573
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.159055
AGID00006	39	2532	Old	AMPKALPHA	-0.05433
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.0079448
AGID00193	1208	610066	Old	ANNEXIN1	1.4835
AGID00166	1142	610668	Old	ANNEXINVII	0.28531
AGID00371	756	1852-1/ab52615	Old	AR	-0.78975
AGID00194	1217	4432	Old	ARAF	0.30008
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.38936
AGID00260	1053	sc-32761	Old	ARID1A	0.19206
AGID00264	1560	HPA029318	Old	ASNS	0.62225
AGID00276	1612	3415	Set163	Atg3	0.3555401
AGID00309	1775	13507	Set163	Atg4B	0.2341896
AGID00310	1776	12994	Set163	Atg5	0.57022
AGID00277	1613	8558	Set163	Atg7	-0.1265499
AGID00242	1363	2873	Old	ATM	-0.81552
AGID02142	2447	13050	Set163	ATM_pS1981	-0.03344503
AGID00217	1289	ab14748	Set163	ATP5A	0.01359947
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.4009249
AGID02150	2456	13934	Set163	ATR	-0.3775729
AGID00315	1795	ab178407	Set163	ATR_pS428	0.04481386
AGID00268	1569	ab97508	Set163	ATRX	-0.8647125
AGID00391	2332	14475	Set163	Aurora-A	-0.3934799
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.5552999
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.3778738
AGID00215	1271	8661	Old	AXL	0.6079
AGID02143	2449	8457	Set163	b-Actin	-0.1066902
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.1826949
AGID00301	1725	14058	Set163	B7-H3	0.3618492
AGID00302	1726	14572	Set163	B7-H4	0.04264478
AGID00008	63	9291	Old	BAD_pS112	-0.53907
AGID00009	71	1542-1/ab32371	Old	BAK	-0.093193
AGID00192	1207	sc-28383	Old	BAP1C4	-0.23651
AGID00010	73	2772	Old	BAX	-0.15867
AGID00433	80	M0887	Old	BCL2	0.37752
AGID00219	1299	PAB8528	Old	BCL2A1	0.15984
AGID00012	84	1018-1	Old	BCLXL	-0.36558
AGID00377	87	sc-10086	Old	BECLIN	0.034234
AGID00011	75	9562	Old	BETACATENIN	-0.18495
AGID00013	88	1008-1/ab32060	Old	BID	-0.54084
AGID00180	90	1036-1/ab32158	Old	BIM	0.33462
AGID00221	1311	610978	Set163	BiP-GRP78	0.02779456
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.1694401
AGID00355	92	1647/ab33899	Old	BRAF	-0.78608
AGID00014	94	2696	Old	BRAF_pS445	0.052384
AGID00445	761	9012	Old	BRCA2	0.43399
AGID00266	1567	13440	Old	BRD4	-0.55204
AGID00168	1146	2865	Set163	c-Abl_pY412	-0.2517906
AGID00278	1615	3130	Set163	c-IAP2	0.243335
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.0072614
AGID00429	2407	2679	Set163	Calnexin	-0.2051701
AGID00176	1165	9496	Set163	Caspase-8-cleaved	-0.173145
AGID00623	111	9665	Old	CASPASE3	0.34968
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.33641
AGID00118	951	9746	Old	CASPASE8	0.6726
AGID00537	935	551246	Old	CASPASE9	0.081258
AGID00016	114	3238	Old	CAVEOLIN1	1.2159
AGID00358	2100	ab76000	Set163	CD134	-0.1124413
AGID00303	1737	826701	Set163	CD171	0.2878801
AGID00410	125	1632-1/ab78237	Old	CD20	0.68477
AGID00220	1308	ab28340	Old	CD26	0.13314
AGID00191	1206	610467	Set163	CD29	0.3753398
AGID00017	127	M0823	Old	CD31	0.31022
AGID00369	2174	ab108403	Set163	CD38	0.01260013
AGID00359	2104	ab133616	Set163	CD4	0.7469889
AGID00411	1398	3570	Set163	CD44	0.906875
AGID00237	1352	M070101-2	Set163	CD45	0.5100599
AGID00115	937	611016	Old	CD49B	0.71865
AGID02171	2482	91882	Set163	CD86	-0.5298199
AGID00329	1873	4688	Set163	cdc25C	0.1537751
AGID00227	1332	4651	Set163	Cdc42	0.3094799
AGID00422	2396	3387	Set163	Cdc6	0
AGID00501	1007	9112	Old	CDK1	0.41238
AGID00293	1658	ab32384	Set163	CDK1_pT14	0.7567201
AGID00314	1783	4539	Old	CDK1_pY15	0.70674
AGID00423	2397	8064	Set163	CDT1	-0.4002353
AGID02101	2348	15102	Set163	cGAS	0.8045201
AGID00447	2410	13460	Set163	CHD1L	-0.2789617
AGID00189	1203	2360	Old	CHK1	-0.051344
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.02334
AGID00107	903	2348	Old	CHK1_pS345	-0.20273
AGID00018	146	3440	Old	CHK2	0.16841
AGID00019	147	2197	Old	CHK2_pT68	0.020029
AGID00527	2078	4952	Old	CIAP	-0.10223
AGID00350	2018	3793	Set163	CIITA	-0.1075099
AGID00434	155	9164	Old	CJUN_pS73	0.030929
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.073063
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.42086
AGID00466	726	3127	Old	CMET	0.60784
AGID00079	727	3129	Old	CMET_pY1235	-0.075845
AGID00167	161	9402	Old	CMYC	-0.35664
AGID00292	1656	11130-1-AP	Old	COG3	-0.37787
AGID00021	171	sc-20649	Old	COLLAGENVI	0.35254
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	1.22981
AGID00269	1571	6434	Set163	Coup-TFII	-0.4426599
AGID00150	1116	4850	Set163	Cox-IV	0.4654295
AGID00195	1218	4842	Set163	Cox2	0.2059601
AGID00188	803	05-739	Old	CRAF	-0.016724
AGID00022	179	9427	Old	CRAF_pS338	-0.0020439
AGID00023	181	9197	Set163	Creb	-0.511731
AGID00393	2334	9198	Set163	CREB_pS133	-0.7725877
AGID00365	2155	4980	Set163	CSK	-0.2887399
