AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.15369
AGID00111	913	sc-23957	Old	1433EPSILON	0.094811
AGID00101	883	sc-1019	Old	1433ZETA	0.31902
AGID00001	2	9452	Old	4EBP1	-0.16139
AGID00002	3	9456	Old	4EBP1_pS65	-0.047382
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.23698
AGID00443	8	9455	Old	4EBP1_pT70	0.058171
AGID00120	985	4937	Old	53BP1	-1.3784
AGID00004	13	3661	Old	ACC_pS79	-0.070211
AGID00005	14	1768-1/ab45174	Old	ACC1	0.085524
AGID00408	2372	3658	Set163	AceCS1	-0.4984855
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.3445
AGID00404	2367	9189	Set163	ACSL1	-0.6595651
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.011572
AGID00186	1198	ab88574	Old	ADAR1	-0.67633
AGID00146	1084	4691	Old	AKT	-0.39399
AGID00028	230	9271	Old	AKT_pS473	-0.44562
AGID00170	1154	2965	Old	AKT_pT308	0.10442
AGID00316	1800	3063	Set163	Akt2	-0.2853
AGID00347	2009	8599	Set163	Akt2_pS474	0.1011744
AGID02215	2577	ab195377	Set163	ALKBH5	-0.5430902
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.01080085
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.3679099
AGID00006	39	2532	Old	AMPKALPHA	0.4463
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.25507
AGID00193	1208	610066	Old	ANNEXIN1	1.7868
AGID00166	1142	610668	Old	ANNEXINVII	0.18192
AGID00371	756	1852-1/ab52615	Old	AR	-0.38156
AGID00194	1217	4432	Old	ARAF	-0.01099
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.021802
AGID00260	1053	sc-32761	Old	ARID1A	-0.34062
AGID00264	1560	HPA029318	Old	ASNS	1.3817
AGID00276	1612	3415	Set163	Atg3	0.06406493
AGID00309	1775	13507	Set163	Atg4B	0.4360645
AGID00310	1776	12994	Set163	Atg5	0.3265049
AGID00277	1613	8558	Set163	Atg7	-0.300685
AGID00242	1363	2873	Old	ATM	-1.1948
AGID02142	2447	13050	Set163	ATM_pS1981	-0.1169602
AGID00217	1289	ab14748	Set163	ATP5A	-0.1645057
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.18661
AGID02150	2456	13934	Set163	ATR	-0.01114805
AGID00315	1795	ab178407	Set163	ATR_pS428	0.07010874
AGID00268	1569	ab97508	Set163	ATRX	-1.451338
AGID00391	2332	14475	Set163	Aurora-A	0.387565
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.115555
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.06608868
AGID00215	1271	8661	Old	AXL	0.1858
AGID02143	2449	8457	Set163	b-Actin	-0.05025528
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.002740007
AGID00301	1725	14058	Set163	B7-H3	1.084884
AGID00302	1726	14572	Set163	B7-H4	0.05210965
AGID00008	63	9291	Old	BAD_pS112	0.32956
AGID00009	71	1542-1/ab32371	Old	BAK	1.5937
AGID00192	1207	sc-28383	Old	BAP1C4	-1.2817
AGID00010	73	2772	Old	BAX	0.045433
AGID00433	80	M0887	Old	BCL2	-0.082751
AGID00219	1299	PAB8528	Old	BCL2A1	0.30264
AGID00012	84	1018-1	Old	BCLXL	0.1489
AGID00377	87	sc-10086	Old	BECLIN	-0.43942
AGID00011	75	9562	Old	BETACATENIN	-0.92935
AGID00013	88	1008-1/ab32060	Old	BID	0.22304
AGID00180	90	1036-1/ab32158	Old	BIM	0.14624
AGID00221	1311	610978	Set163	BiP-GRP78	0.1257794
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.166885
AGID00355	92	1647/ab33899	Old	BRAF	-0.93401
AGID00014	94	2696	Old	BRAF_pS445	-0.21248
AGID00445	761	9012	Old	BRCA2	0.48565
AGID00266	1567	13440	Old	BRD4	-0.95062
AGID00168	1146	2865	Set163	c-Abl_pY412	0.09642426
AGID00278	1615	3130	Set163	c-IAP2	-0.1741801
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.046655
AGID00429	2407	2679	Set163	Calnexin	0.09295473
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.1524399
AGID00623	111	9665	Old	CASPASE3	-0.28725
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.39961
AGID00118	951	9746	Old	CASPASE8	-0.033217
AGID00537	935	551246	Old	CASPASE9	-0.083551
AGID00016	114	3238	Old	CAVEOLIN1	2.5397
AGID00358	2100	ab76000	Set163	CD134	0.09420355
AGID00303	1737	826701	Set163	CD171	0.722905
AGID00410	125	1632-1/ab78237	Old	CD20	0.037479
AGID00220	1308	ab28340	Old	CD26	0.25846
AGID00191	1206	610467	Set163	CD29	0.3240446
AGID00017	127	M0823	Old	CD31	-0.06963
AGID00369	2174	ab108403	Set163	CD38	0.060455
AGID00359	2104	ab133616	Set163	CD4	-0.09111627
AGID00411	1398	3570	Set163	CD44	1.37168
AGID00237	1352	M070101-2	Set163	CD45	0.1615648
AGID00115	937	611016	Old	CD49B	0.71596
AGID02171	2482	91882	Set163	CD86	-0.362175
AGID00329	1873	4688	Set163	cdc25C	0.00938
AGID00227	1332	4651	Set163	Cdc42	0.3324348
AGID00422	2396	3387	Set163	Cdc6	-0.1354051
AGID00501	1007	9112	Old	CDK1	0.24487
AGID00293	1658	ab32384	Set163	CDK1_pT14	0.635665
AGID00314	1783	4539	Old	CDK1_pY15	-0.42342
AGID00423	2397	8064	Set163	CDT1	0.07030954
AGID02101	2348	15102	Set163	cGAS	-0.09909501
AGID00447	2410	13460	Set163	CHD1L	-0.5737268
AGID00189	1203	2360	Old	CHK1	0.16451
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.070717
AGID00107	903	2348	Old	CHK1_pS345	-0.23577
AGID00018	146	3440	Old	CHK2	-0.6756
AGID00019	147	2197	Old	CHK2_pT68	0.12796
AGID00527	2078	4952	Old	CIAP	0.11923
AGID00350	2018	3793	Set163	CIITA	-0.138315
AGID00434	155	9164	Old	CJUN_pS73	0.12087
AGID00020	157	1522-1/ab32363	Old	CKIT	0.33583
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.53626
AGID00466	726	3127	Old	CMET	0.03497
AGID00079	727	3129	Old	CMET_pY1235	0.15092
AGID00167	161	9402	Old	CMYC	-0.36257
AGID00292	1656	11130-1-AP	Old	COG3	-0.73875
AGID00021	171	sc-20649	Old	COLLAGENVI	0.81667
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	1.793435
