AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.32121
AGID00111	913	sc-23957	Old	1433EPSILON	0.28763
AGID00101	883	sc-1019	Old	1433ZETA	1.1459
AGID00001	2	9452	Old	4EBP1	1.1303
AGID00002	3	9456	Old	4EBP1_pS65	-0.69608
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.043486
AGID00443	8	9455	Old	4EBP1_pT70	-0.060367
AGID00120	985	4937	Old	53BP1	-1.2026
AGID00004	13	3661	Old	ACC_pS79	-0.6416
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.72584
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.74897
AGID02144	2450	PA5-27081	Old	ACVRL1	0.30244
AGID00186	1198	ab88574	Old	ADAR1	-0.63254
AGID00146	1084	4691	Old	AKT	-0.36169
AGID00028	230	9271	Old	AKT_pS473	-1.0876
AGID00170	1154	2965	Old	AKT_pT308	0.50529
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00006	39	2532	Old	AMPKALPHA	-0.040704
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.48778
AGID00193	1208	610066	Old	ANNEXIN1	1.124
AGID00166	1142	610668	Old	ANNEXINVII	0.18622
AGID00371	756	1852-1/ab52615	Old	AR	-0.5843
AGID00194	1217	4432	Old	ARAF	0.41471
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.035633
AGID00260	1053	sc-32761	Old	ARID1A	-0.097074
AGID00264	1560	HPA029318	Old	ASNS	0.35802
AGID00242	1363	2873	Old	ATM	-0.57324
AGID00215	1271	8661	Old	AXL	-0.33959
AGID00008	63	9291	Old	BAD_pS112	-0.24602
AGID00009	71	1542-1/ab32371	Old	BAK	1.1622
AGID00192	1207	sc-28383	Old	BAP1C4	-0.59804
AGID00010	73	2772	Old	BAX	0.83891
AGID00433	80	M0887	Old	BCL2	-0.15176
AGID00219	1299	PAB8528	Old	BCL2A1	0.62355
AGID00012	84	1018-1	Old	BCLXL	0.2658
AGID00377	87	sc-10086	Old	BECLIN	-0.48943
AGID00011	75	9562	Old	BETACATENIN	-2.0116
AGID00013	88	1008-1/ab32060	Old	BID	-0.26141
AGID00180	90	1036-1/ab32158	Old	BIM	0.021815
AGID00355	92	1647/ab33899	Old	BRAF	-0.76478
AGID00014	94	2696	Old	BRAF_pS445	-0.15899
AGID00445	761	9012	Old	BRCA2	0.91139
AGID00266	1567	13440	Old	BRD4	-0.7068
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.67224
AGID00623	111	9665	Old	CASPASE3	-0.12841
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.65523
AGID00118	951	9746	Old	CASPASE8	0.26146
AGID00537	935	551246	Old	CASPASE9	0.025223
AGID00016	114	3238	Old	CAVEOLIN1	2.2616
AGID00410	125	1632-1/ab78237	Old	CD20	-0.35689
AGID00220	1308	ab28340	Old	CD26	-0.13916
AGID00017	127	M0823	Old	CD31	0.22818
AGID00115	937	611016	Old	CD49B	-0.1685
AGID00501	1007	9112	Old	CDK1	0.28736
AGID00314	1783	4539	Old	CDK1_pY15	-0.044942
AGID00189	1203	2360	Old	CHK1	0.67282
AGID00234	1348	ab79758	Old	CHK1_pS296	0.47556
AGID00107	903	2348	Old	CHK1_pS345	-0.65736
AGID00018	146	3440	Old	CHK2	-0.21982
AGID00019	147	2197	Old	CHK2_pT68	0.12544
AGID00527	2078	4952	Old	CIAP	-0.10828
AGID00434	155	9164	Old	CJUN_pS73	0.032508
AGID00020	157	1522-1/ab32363	Old	CKIT	0.47157
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.0842
AGID00466	726	3127	Old	CMET	0.15114
AGID00079	727	3129	Old	CMET_pY1235	0.10926
AGID00167	161	9402	Old	CMYC	-0.38323
AGID00292	1656	11130-1-AP	Old	COG3	-0.43729
AGID00021	171	sc-20649	Old	COLLAGENVI	0.82012
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00188	803	05-739	Old	CRAF	-0.091618
AGID00022	179	9427	Old	CRAF_pS338	-0.14103
AGID00536	2096	ab107198	Old	CTLA4	1.0729
