AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.29043
AGID00111	913	sc-23957	Old	1433EPSILON	0.13354
AGID00101	883	sc-1019	Old	1433ZETA	-0.40973
AGID00001	2	9452	Old	4EBP1	-0.74472
AGID00002	3	9456	Old	4EBP1_pS65	-0.26475
AGID00003	6	9459	Old	4EBP1_pT37T46	0.21278
AGID00443	8	9455	Old	4EBP1_pT70	0.18035
AGID00120	985	4937	Old	53BP1	-0.81685
AGID00004	13	3661	Old	ACC_pS79	-0.82759
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.76998
AGID00408	2372	3658	Set164	AceCS1	-0.59256005635064
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.4292
AGID00404	2367	9189	Set164	ACSL1	-0.664167070382563
AGID02144	2450	PA5-27081	Old	ACVRL1	0.36424
AGID00186	1198	ab88574	Old	ADAR1	0.19322
AGID00146	1084	4691	Old	AKT	-0.50745
AGID00028	230	9271	Old	AKT_pS473	0.57597
AGID00170	1154	2965	Old	AKT_pT308	0.4506
AGID00316	1800	3063	Set164	Akt2	-0.425256085263222
AGID00347	2009	8599	Set164	Akt2_pS474	1.78137956637094
AGID02215	2577	ab195377	Set164	ALKBH5	-0.819587141064751
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set164	Ambra1_pS52	0.000360039490545897
AGID00236	1351	ab129081	Set164	AMPK-a2_pS345	0.106127124567282
AGID00006	39	2532	Old	AMPKALPHA	-0.28174
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.26639
AGID00193	1208	610066	Old	ANNEXIN1	1.2069
AGID00166	1142	610668	Old	ANNEXINVII	-0.12876
AGID00371	756	1852-1/ab52615	Old	AR	0.050174
AGID00194	1217	4432	Old	ARAF	-0.035614
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.0090025
AGID00260	1053	sc-32761	Old	ARID1A	0.18109
AGID00264	1560	HPA029318	Old	ASNS	1.4746
AGID00276	1612	3415	Set164	Atg3	0.253896882909344
AGID00309	1775	13507	Set164	Atg4B	0.326740516345074
AGID00310	1776	12994	Set164	Atg5	-0.477616251303228
AGID00277	1613	8558	Set164	Atg7	-0.0839922834535377
AGID00242	1363	2873	Old	ATM	0.23343
AGID02142	2447	13050	Set164	ATM_pS1981	3.91071065316657
AGID00217	1289	ab14748	Set164	ATP5A	-0.317665029367874
AGID02145	2451	PA5-43776	Set164	ATP5H	-0.435338132658498
AGID02150	2456	13934	Set164	ATR	0.236837143562295
AGID00315	1795	ab178407	Set164	ATR_pS428	0.186438817412789
AGID00268	1569	ab97508	Set164	ATRX	-1.80270211162276
AGID00391	2332	14475	Set164	Aurora-A	-0.562149531812835
AGID00392	2333	2914	Set164	Aurora-ABC_pT288_pT232_pT198	0.0607440090739541
AGID02195	2512	MA5-27890	Set164	Aurora-B	-0.0242467508240067
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set164	b-Actin	-0.341605590813924
AGID00179	1170	9565	Set164	b-Catenin_pT41_S45	-0.73665338281777
AGID00301	1725	14058	Set164	B7-H3	-0.183791040101659
AGID00302	1726	14572	Set164	B7-H4	0.138739062440255
AGID00008	63	9291	Old	BAD_pS112	-0.080339
AGID00009	71	1542-1/ab32371	Old	BAK	0.58918
AGID00192	1207	sc-28383	Old	BAP1C4	-0.89004
AGID00010	73	2772	Old	BAX	-0.25015
AGID00433	80	M0887	Old	BCL2	-0.38857
AGID00219	1299	PAB8528	Old	BCL2A1	0.69501
AGID00012	84	1018-1	Old	BCLXL	-0.45789
AGID00377	87	sc-10086	Old	BECLIN	-0.0062419
AGID00011	75	9562	Old	BETACATENIN	-1.2538
AGID00013	88	1008-1/ab32060	Old	BID	0.17667
AGID00180	90	1036-1/ab32158	Old	BIM	-0.7311
AGID00221	1311	610978	Set164	BiP-GRP78	-0.298582447504005
AGID00373	2194	07-507	Set164	BMK1-Erk5_pT218_Y220	0.112585585220674
AGID00355	92	1647/ab33899	Old	BRAF	-0.68499
AGID00014	94	2696	Old	BRAF_pS445	-0.10314
AGID00445	761	9012	Old	BRCA2	0.22889
AGID00266	1567	13440	Old	BRD4	-1.1929
AGID00168	1146	2865	Set164	c-Abl_pY412	0.561231081677174
AGID00278	1615	3130	Set164	c-IAP2	-1.1000360512067
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.055028
AGID00429	2407	2679	Set164	Calnexin	0.019552972517967
AGID00176	1165	9496	Set164	Caspase-8-cleaved	-0.187079432581342
AGID00623	111	9665	Old	CASPASE3	-0.1262
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.29616
AGID00118	951	9746	Old	CASPASE8	-0.097726
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.40114
AGID00358	2100	ab76000	Set164	CD134	0.350816835606136
AGID00303	1737	826701	Set164	CD171	1.58259935624914
AGID00410	125	1632-1/ab78237	Old	CD20	-0.22129
AGID00220	1308	ab28340	Old	CD26	-0.14036
AGID00191	1206	610467	Set164	CD29	0.122139618513373
AGID00017	127	M0823	Old	CD31	0.089515
AGID00369	2174	ab108403	Set164	CD38	0.148624534444424
AGID00359	2104	ab133616	Set164	CD4	1.03500982802997
AGID00411	1398	3570	Set164	CD44	2.52830121146141
AGID00237	1352	M070101-2	Set164	CD45	0.157564307662377
AGID00115	937	611016	Old	CD49B	0.23227
AGID02171	2482	91882	Set164	CD86	-0.418972262172795
AGID00329	1873	4688	Set164	cdc25C	-0.0414879791231074
AGID00227	1332	4651	Set164	Cdc42	0.255278019755461
AGID00422	2396	3387	Set164	Cdc6	-0.00146269304380001
AGID00501	1007	9112	Old	CDK1	0.41806
AGID00293	1658	ab32384	Set164	CDK1_pT14	-1.32383022257759
AGID00314	1783	4539	Old	CDK1_pY15	-0.24363
AGID00423	2397	8064	Set164	CDT1	2.5715815857379
AGID02101	2348	15102	Set164	cGAS	0.245022120498902
AGID00447	2410	13460	Set164	CHD1L	-0.799803907471851
AGID00189	1203	2360	Old	CHK1	-0.60487
AGID00234	1348	ab79758	Old	CHK1_pS296	0.29012
AGID00107	903	2348	Old	CHK1_pS345	-0.69236
AGID00018	146	3440	Old	CHK2	-0.6014
AGID00019	147	2197	Old	CHK2_pT68	0.78738
AGID00527	2078	4952	Old	CIAP	0.41417
AGID00350	2018	3793	Set164	CIITA	0.0805481787532376
AGID00434	155	9164	Old	CJUN_pS73	0.44452
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.025987
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.4325
AGID00466	726	3127	Old	CMET	0.055666
AGID00079	727	3129	Old	CMET_pY1235	0.29342
AGID00167	161	9402	Old	CMYC	-0.30359
AGID00292	1656	11130-1-AP	Old	COG3	-0.28634
AGID00021	171	sc-20649	Old	COLLAGENVI	0.79978
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set164	Connexin-43	1.5109047186486
AGID00269	1571	6434	Set164	Coup-TFII	0.288619826299925
