AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.11544
AGID00111	913	sc-23957	Old	1433EPSILON	0.040488
AGID00101	883	sc-1019	Old	1433ZETA	-0.86556
AGID00001	2	9452	Old	4EBP1	-0.018434
AGID00002	3	9456	Old	4EBP1_pS65	-0.30365
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.57898
AGID00443	8	9455	Old	4EBP1_pT70	-0.14557
AGID00120	985	4937	Old	53BP1	-0.49358
AGID00004	13	3661	Old	ACC_pS79	0.23616
AGID00005	14	1768-1/ab45174	Old	ACC1	1.0394
AGID00408	2372	3658	Set172	AceCS1	-0.116758876310604
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.51431
AGID00404	2367	9189	Set172	ACSL1	1.11927917642195
AGID02144	2450	PA5-27081	Old	ACVRL1	0.27368
AGID00186	1198	ab88574	Old	ADAR1	-0.15172
AGID00146	1084	4691	Old	AKT	0.42405
AGID00028	230	9271	Old	AKT_pS473	0.60767
AGID00170	1154	2965	Old	AKT_pT308	-0.045531
AGID00316	1800	3063	Set172	Akt2	0.240860566023421
AGID00347	2009	8599	Set172	Akt2_pS474	0.345346542382912
AGID02215	2577	ab195377	Set172	ALKBH5	0.0725437297518697
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	-0.0531270040694275
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	0.0198092654743552
AGID00006	39	2532	Old	AMPKALPHA	0.062317
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.44933
AGID00193	1208	610066	Old	ANNEXIN1	-0.84453
AGID00166	1142	610668	Old	ANNEXINVII	0.217
AGID00371	756	1852-1/ab52615	Old	AR	2.9373
AGID00194	1217	4432	Old	ARAF	-0.14889
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.23522
AGID00260	1053	sc-32761	Old	ARID1A	0.022463
AGID00264	1560	HPA029318	Old	ASNS	0.052903
AGID00276	1612	3415	Set172	Atg3	-0.0393663239034969
AGID00309	1775	13507	Set172	Atg4B	-0.161047614397814
AGID00310	1776	12994	Set172	Atg5	0.469595944587947
AGID00277	1613	8558	Set172	Atg7	-0.0326259330823162
AGID00242	1363	2873	Old	ATM	-0.56844
AGID02142	2447	13050	Set172	ATM_pS1981	-0.0269708211881238
AGID00217	1289	ab14748	Set172	ATP5A	1.30366401134494
AGID02145	2451	PA5-43776	Set172	ATP5H	-0.428381265394925
AGID02150	2456	13934	Set172	ATR	-0.328593880959657
AGID00315	1795	ab178407	Set172	ATR_pS428	0.244805079477228
AGID00268	1569	ab97508	Set172	ATRX	0.336718313492665
AGID00391	2332	14475	Set172	Aurora-A	-0.692190317185798
AGID00392	2333	2914	Set172	Aurora-ABC_pT288_pT232_pT198	-0.41355953819146
AGID02195	2512	MA5-27890	Set172	Aurora-B	0.409165937862183
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set172	b-Actin	-0.402629064831265
AGID00179	1170	9565	Set172	b-Catenin_pT41_S45	-0.179854853419645
AGID00301	1725	14058	Set172	B7-H3	0.491909182862854
AGID00302	1726	14572	Set172	B7-H4	-0.225860345077327
AGID00008	63	9291	Old	BAD_pS112	-0.33359
AGID00009	71	1542-1/ab32371	Old	BAK	0.34752
AGID00192	1207	sc-28383	Old	BAP1C4	-0.30543
AGID00010	73	2772	Old	BAX	-0.50799
AGID00433	80	M0887	Old	BCL2	0.42269
AGID00219	1299	PAB8528	Old	BCL2A1	-0.070957
AGID00012	84	1018-1	Old	BCLXL	0.020093
AGID00377	87	sc-10086	Old	BECLIN	0.067056
AGID00011	75	9562	Old	BETACATENIN	1.2944
AGID00013	88	1008-1/ab32060	Old	BID	-0.27725
AGID00180	90	1036-1/ab32158	Old	BIM	-0.20379
AGID00221	1311	610978	Set172	BiP-GRP78	0.00255753357270548
AGID00373	2194	07-507	Set172	BMK1-Erk5_pT218_Y220	-0.174786810338448
AGID00355	92	1647/ab33899	Old	BRAF	0.79077
AGID00014	94	2696	Old	BRAF_pS445	0.6909
AGID00445	761	9012	Old	BRCA2	0.0087208
AGID00266	1567	13440	Old	BRD4	-0.98836
AGID00168	1146	2865	Set172	c-Abl_pY412	-0.244026162884785
AGID00278	1615	3130	Set172	c-IAP2	0.00850407282948933
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.30861
AGID00429	2407	2679	Set172	Calnexin	-0.146468602002685
AGID00176	1165	9496	Set172	Caspase-8-cleaved	-0.900372959548016
AGID00623	111	9665	Old	CASPASE3	-0.37096
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.70365
AGID00118	951	9746	Old	CASPASE8	-0.24905
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.65678
AGID00358	2100	ab76000	Set172	CD134	-0.0528471100615343
AGID00303	1737	826701	Set172	CD171	1.60368372484528
AGID00410	125	1632-1/ab78237	Old	CD20	0.2941
AGID00220	1308	ab28340	Old	CD26	0.21455
AGID00191	1206	610467	Set172	CD29	0.287793961023446
AGID00017	127	M0823	Old	CD31	0.2226
AGID00369	2174	ab108403	Set172	CD38	0.0440751445677227
AGID00359	2104	ab133616	Set172	CD4	-0.686578894353323
AGID00411	1398	3570	Set172	CD44	-0.139174438461754
AGID00237	1352	M070101-2	Set172	CD45	-0.0529730798588863
AGID00115	937	611016	Old	CD49B	0.038038
AGID02171	2482	91882	Set172	CD86	0.465764266582699
AGID00329	1873	4688	Set172	cdc25C	-0.200939625913054
AGID00227	1332	4651	Set172	Cdc42	0.0479912687406589
AGID00422	2396	3387	Set172	Cdc6	-0.604516262884297
AGID00501	1007	9112	Old	CDK1	-0.029079
AGID00293	1658	ab32384	Set172	CDK1_pT14	-0.451368942646272
AGID00314	1783	4539	Old	CDK1_pY15	-0.18878
AGID00423	2397	8064	Set172	CDT1	-0.618224274906876
AGID02101	2348	15102	Set172	cGAS	0.47707086467445
AGID00447	2410	13460	Set172	CHD1L	0.29163191139892
AGID00189	1203	2360	Old	CHK1	0.23389
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.30592
AGID00107	903	2348	Old	CHK1_pS345	0.058634
AGID00018	146	3440	Old	CHK2	-0.26673
AGID00019	147	2197	Old	CHK2_pT68	-0.060413
AGID00527	2078	4952	Old	CIAP	-0.1516
AGID00350	2018	3793	Set172	CIITA	0.0911147014375245
AGID00434	155	9164	Old	CJUN_pS73	0.036586
AGID00020	157	1522-1/ab32363	Old	CKIT	0.24892
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.2444
AGID00466	726	3127	Old	CMET	0.72692
AGID00079	727	3129	Old	CMET_pY1235	-0.13944
AGID00167	161	9402	Old	CMYC	-0.29531
AGID00292	1656	11130-1-AP	Old	COG3	0.45555
AGID00021	171	sc-20649	Old	COLLAGENVI	0.20636
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set172	Connexin-43	-1.72746055694356
AGID00269	1571	6434	Set172	Coup-TFII	-0.365020452944143
AGID00150	1116	4850	Set172	Cox-IV	-0.615851546666812
AGID00195	1218	4842	Set172	Cox2	0.102068108023785
AGID00188	803	05-739	Old	CRAF	0.23177
AGID00022	179	9427	Old	CRAF_pS338	-0.23909
AGID00023	181	9197	Set172	Creb	-0.333277641911317
AGID00393	2334	9198	Set172	CREB_pS133	-0.87181141119857
AGID00365	2155	4980	Set172	CSK	-0.172972988128115
AGID00367	2160	9201	Set172	CtIP	-0.287647433079819
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set172	Cyclin-D3	-0.0983794111522871
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.7287
AGID00382	194	sc-718	Old	CYCLIND1	0.067276
AGID00437	199	sc-25303	Old	CYCLINE1	-0.59884
AGID00449	202	1142-1	Old	CYCLINE2	-0.30294
AGID00209	1257	ab110324	Set172	Cyclophilin-F	0.167300536635903
AGID00247	1379	ab48389	Set172	D-a-Tubulin	-0.0108997659568702
AGID00308	1770	GTX10524	Set172	DAPK1_pS308	0.00586845375331093
AGID00304	1744	ab51601	Set172	DAPK2	0.108797759708562
AGID00343	1980	6998	Set172	DDB-1	0.413534599319731
AGID00427	2402	5583	Set172	DDR1	-0.561753052157176
AGID00428	2403	SAB4504671	Set172	DDR1_pY513	0.217744673976201
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.22229
AGID00104	891	ab76008	Old	DJ1	0.16483
AGID02146	2452	4658	Set172	DM-Histone-H3	-0.493153339427268
AGID00386	1397	ab32521	Set172	DM-K9-Histone-H3	-0.195385128452352
AGID00352	2030	14649	Set172	DNA-Ligase-IV	0.413208516038051
AGID00407	2371	13609	Set172	DNA_POLG	0.661854277640087
AGID00399	2344	5032	Set172	DNMT1	-0.738269007782222
AGID00409	2373	5391	Set172	DRP1	0.0038406219202144
AGID00253	1406	5149	Old	DUSP4	-0.22977
AGID00334	1936	ab76310	Set172	DUSP6	-0.0336669917812724
AGID00116	940	3218	Old	DVL3	0.055178
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.5658
AGID00135	1060	2332	Old	EEF2	-0.70742
AGID00136	1061	3692	Old	EEF2K	-0.19384
AGID00152	1120	2232	Old	EGFR	-0.096205
