AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.096779
AGID00111	913	sc-23957	Old	1433EPSILON	0.064587
AGID00101	883	sc-1019	Old	1433ZETA	-0.065731
AGID00001	2	9452	Old	4EBP1	0.58377
AGID00002	3	9456	Old	4EBP1_pS65	-0.090714
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.035093
AGID00443	8	9455	Old	4EBP1_pT70	-0.19483
AGID00120	985	4937	Old	53BP1	-1.4216
AGID00004	13	3661	Old	ACC_pS79	0.86019
AGID00005	14	1768-1/ab45174	Old	ACC1	1.1455
AGID00408	2372	3658	Set172	AceCS1	0.156284224838217
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.29821
AGID00404	2367	9189	Set172	ACSL1	0.120344496215131
AGID02144	2450	PA5-27081	Old	ACVRL1	0.50066
AGID00186	1198	ab88574	Old	ADAR1	-0.3845
AGID00146	1084	4691	Old	AKT	0.94123
AGID00028	230	9271	Old	AKT_pS473	1.1341
AGID00170	1154	2965	Old	AKT_pT308	0.52529
AGID00316	1800	3063	Set172	Akt2	0.387334791089259
AGID00347	2009	8599	Set172	Akt2_pS474	0.632069676472939
AGID02215	2577	ab195377	Set172	ALKBH5	0.33333738447245
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	-0.111500005117268
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	0.310787718214786
AGID00006	39	2532	Old	AMPKALPHA	0.12795
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.62867
AGID00193	1208	610066	Old	ANNEXIN1	-0.41507
AGID00166	1142	610668	Old	ANNEXINVII	-0.19539
AGID00371	756	1852-1/ab52615	Old	AR	3.7449
AGID00194	1217	4432	Old	ARAF	0.20185
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.047332
AGID00260	1053	sc-32761	Old	ARID1A	-0.20337
AGID00264	1560	HPA029318	Old	ASNS	-0.14993
AGID00276	1612	3415	Set172	Atg3	-0.15255758399512
AGID00309	1775	13507	Set172	Atg4B	0.043739093079989
AGID00310	1776	12994	Set172	Atg5	0.807645968289881
AGID00277	1613	8558	Set172	Atg7	-0.602007024817014
AGID00242	1363	2873	Old	ATM	0.27927
AGID02142	2447	13050	Set172	ATM_pS1981	0.0663025170316941
AGID00217	1289	ab14748	Set172	ATP5A	0.983221231732414
