AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.06503
AGID00111	913	sc-23957	Old	1433EPSILON	0.055757
AGID00101	883	sc-1019	Old	1433ZETA	-0.35831
AGID00001	2	9452	Old	4EBP1	0.00052227
AGID00002	3	9456	Old	4EBP1_pS65	-0.27871
AGID00003	6	9459	Old	4EBP1_pT37T46	0.17179
AGID00443	8	9455	Old	4EBP1_pT70	0.16062
AGID00120	985	4937	Old	53BP1	-0.10761
AGID00004	13	3661	Old	ACC_pS79	-0.22533
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.21537
AGID00408	2372	3658	Set179	AceCS1	-0.114190330162887
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.52766
AGID00404	2367	9189	Set179	ACSL1	0.326940366786134
AGID02144	2450	PA5-27081	Old	ACVRL1	0.077884
AGID00186	1198	ab88574	Old	ADAR1	-0.12418
AGID00146	1084	4691	Old	AKT	-0.32339
AGID00028	230	9271	Old	AKT_pS473	-0.22859
AGID00170	1154	2965	Old	AKT_pT308	-0.46603
AGID00316	1800	3063	Set179	Akt2	-0.0561242007544763
AGID00347	2009	8599	Set179	Akt2_pS474	1.34558006206028
AGID02215	2577	ab195377	Set179	ALKBH5	0.488644115924614
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.22041925623612
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.530144505127488
AGID00006	39	2532	Old	AMPKALPHA	-0.27982
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.35544
AGID00193	1208	610066	Old	ANNEXIN1	-0.98538
AGID00166	1142	610668	Old	ANNEXINVII	-0.04027
AGID00371	756	1852-1/ab52615	Old	AR	0.35579
AGID00194	1217	4432	Old	ARAF	0.22547
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.0076057
AGID00260	1053	sc-32761	Old	ARID1A	0.303
AGID00264	1560	HPA029318	Old	ASNS	0.63532
AGID00276	1612	3415	Set179	Atg3	0.24656157956632
AGID00309	1775	13507	Set179	Atg4B	-0.268104375364624
AGID00310	1776	12994	Set179	Atg5	0.371914815536265
AGID00277	1613	8558	Set179	Atg7	0.277401827596495
AGID00242	1363	2873	Old	ATM	0.8354
AGID02142	2447	13050	Set179	ATM_pS1981	2.7678142917669
AGID00217	1289	ab14748	Set179	ATP5A	0.785484182617925
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.299226762488391
AGID02150	2456	13934	Set179	ATR	-0.261239966887276
AGID00315	1795	ab178407	Set179	ATR_pS428	-0.257799337265712
AGID00268	1569	ab97508	Set179	ATRX	-0.144481753520544
AGID00391	2332	14475	Set179	Aurora-A	-0.105873851242983
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	0.0041199368380932
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.619720381831694
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.0052838534028815
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.198098136973732
AGID00301	1725	14058	Set179	B7-H3	-0.55479211419007
AGID00302	1726	14572	Set179	B7-H4	-0.266150364004907
AGID00008	63	9291	Old	BAD_pS112	-0.1135
AGID00009	71	1542-1/ab32371	Old	BAK	0.32216
AGID00192	1207	sc-28383	Old	BAP1C4	-0.1675
AGID00010	73	2772	Old	BAX	-0.26409
AGID00433	80	M0887	Old	BCL2	-0.44055
AGID00219	1299	PAB8528	Old	BCL2A1	0.51081
AGID00012	84	1018-1	Old	BCLXL	-0.1664
AGID00377	87	sc-10086	Old	BECLIN	0.5871
AGID00011	75	9562	Old	BETACATENIN	-1.6532
AGID00013	88	1008-1/ab32060	Old	BID	-0.19094
AGID00180	90	1036-1/ab32158	Old	BIM	-0.18569
AGID00221	1311	610978	Set179	BiP-GRP78	-0.421263225327189
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.122404071583402
AGID00355	92	1647/ab33899	Old	BRAF	0.021309
AGID00014	94	2696	Old	BRAF_pS445	0.18299
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.23807
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.000637845328467044
AGID00278	1615	3130	Set179	c-IAP2	0.0340169753481096
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.0072833
AGID00429	2407	2679	Set179	Calnexin	-0.391509551910504
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.0639889269937786
AGID00623	111	9665	Old	CASPASE3	-0.05303
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.38114
AGID00118	951	9746	Old	CASPASE8	0.026955
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.329
AGID00358	2100	ab76000	Set179	CD134	-0.24815721103849
AGID00303	1737	826701	Set179	CD171	-0.153095570759264
AGID00410	125	1632-1/ab78237	Old	CD20	-0.25998
AGID00220	1308	ab28340	Old	CD26	-0.28126
AGID00191	1206	610467	Set179	CD29	-0.0355585653087088
AGID00017	127	M0823	Old	CD31	-0.10863
AGID00369	2174	ab108403	Set179	CD38	0.582559947005375
AGID00359	2104	ab133616	Set179	CD4	0.842813594792295
AGID00411	1398	3570	Set179	CD44	-0.0761961284545104
AGID00237	1352	M070101-2	Set179	CD45	0.862615516146871
AGID00115	937	611016	Old	CD49B	-0.37463
AGID02171	2482	91882	Set179	CD86	0.437222334541335
AGID00329	1873	4688	Set179	cdc25C	0.565146567202307
AGID00227	1332	4651	Set179	Cdc42	0.170327748582234
AGID00422	2396	3387	Set179	Cdc6	-0.353121521250839
AGID00501	1007	9112	Old	CDK1	-0.22791
AGID00293	1658	ab32384	Set179	CDK1_pT14	-0.186427893029379
AGID00314	1783	4539	Old	CDK1_pY15	0.58891
AGID00423	2397	8064	Set179	CDT1	0.289372116868817
AGID02101	2348	15102	Set179	cGAS	-0.0859096404262736
AGID00447	2410	13460	Set179	CHD1L	0.672832072508187
AGID00189	1203	2360	Old	CHK1	-0.18284
AGID00234	1348	ab79758	Old	CHK1_pS296	0.21666
AGID00107	903	2348	Old	CHK1_pS345	0.17263
AGID00018	146	3440	Old	CHK2	0.53013
AGID00019	147	2197	Old	CHK2_pT68	0.69651
AGID00527	2078	4952	Old	CIAP	0.19009
AGID00350	2018	3793	Set179	CIITA	0.384946373392372
AGID00434	155	9164	Old	CJUN_pS73	0.069087
AGID00020	157	1522-1/ab32363	Old	CKIT	1.8997
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.1657
AGID00466	726	3127	Old	CMET	-0.15397
AGID00079	727	3129	Old	CMET_pY1235	-0.025681
AGID00167	161	9402	Old	CMYC	-0.56223
AGID00292	1656	11130-1-AP	Old	COG3	-0.12127
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.30251
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	0.0708506979136988
AGID00269	1571	6434	Set179	Coup-TFII	-0.265040781657426
AGID00150	1116	4850	Set179	Cox-IV	0.0500373607602813
AGID00195	1218	4842	Set179	Cox2	-0.0464000071347648
AGID00188	803	05-739	Old	CRAF	0.14138
AGID00022	179	9427	Old	CRAF_pS338	0.32086
AGID00023	181	9197	Set179	Creb	-0.0237247839284
AGID00393	2334	9198	Set179	CREB_pS133	-0.0334438487618988
AGID00365	2155	4980	Set179	CSK	1.04253953159962
AGID00367	2160	9201	Set179	CtIP	0.487756626469923
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	-0.189549097912327
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.66369
AGID00382	194	sc-718	Old	CYCLIND1	0.40799
AGID00437	199	sc-25303	Old	CYCLINE1	-0.6163
AGID00449	202	1142-1	Old	CYCLINE2	-0.11284
AGID00209	1257	ab110324	Set179	Cyclophilin-F	-0.423328817206386
AGID00247	1379	ab48389	Set179	D-a-Tubulin	-0.16335045822536
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.533883484367817
AGID00304	1744	ab51601	Set179	DAPK2	0.121579702192313
AGID00343	1980	6998	Set179	DDB-1	0.0141173797241165
AGID00427	2402	5583	Set179	DDR1	-1.15264999942441
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	-0.281971781875902
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.13016
AGID00104	891	ab76008	Old	DJ1	-0.38163
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.124706947471779
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	-0.217348301935903
AGID00352	2030	14649	Set179	DNA-Ligase-IV	-0.178938761248965
AGID00407	2371	13609	Set179	DNA_POLG	-0.153078767967141
AGID00399	2344	5032	Set179	DNMT1	-0.23671898859851
AGID00409	2373	5391	Set179	DRP1	0.0627630976847417
AGID00253	1406	5149	Old	DUSP4	-0.54281
AGID00334	1936	ab76310	Set179	DUSP6	-0.187592951382445
AGID00116	940	3218	Old	DVL3	-0.50334
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-3.0647
AGID00135	1060	2332	Old	EEF2	-0.45792
AGID00136	1061	3692	Old	EEF2K	0.43153
AGID00152	1120	2232	Old	EGFR	-0.10671
AGID00450	217	2234	Old	EGFR_pY1068	-0.048746
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.025398
AGID00078	722	9742	Old	EIF4E	-0.15134
AGID00328	1871	ab76256	Set179	eIF4E_pS209	-0.0862616558624752
AGID00154	1124	2498	Old	EIF4G	0.10104
AGID00027	228	9181	Set179	Elk1_pS383	-0.0867776620043144
AGID00235	1350	M061329-2	Set179	EMA	-4.30080037504227
AGID00394	2337	3810	Set179	Enolase-1	0.7135410317263
AGID00395	2338	8171	Set179	Enolase-2	-0.199836715594681
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	-0.300765770008058
AGID00552	2422	6347	Set179	EphA2_pS897	-0.273726298013203
