AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.06329
AGID00111	913	sc-23957	Old	1433EPSILON	0.053179
AGID00101	883	sc-1019	Old	1433ZETA	-0.045649
AGID00001	2	9452	Old	4EBP1	0.56387
AGID00002	3	9456	Old	4EBP1_pS65	-0.034164
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.066364
AGID00443	8	9455	Old	4EBP1_pT70	0.23869
AGID00120	985	4937	Old	53BP1	-0.031221
AGID00004	13	3661	Old	ACC_pS79	-0.46195
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.54469
AGID00408	2372	3658	Set179	AceCS1	-1.11908251039106
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.85467
AGID00404	2367	9189	Set179	ACSL1	-0.617536585691586
AGID02144	2450	PA5-27081	Old	ACVRL1	0.20659
AGID00186	1198	ab88574	Old	ADAR1	-0.69158
AGID00146	1084	4691	Old	AKT	-0.54503
AGID00028	230	9271	Old	AKT_pS473	-1.1486
AGID00170	1154	2965	Old	AKT_pT308	-0.6041
AGID00316	1800	3063	Set179	Akt2	-0.533129564881141
AGID00347	2009	8599	Set179	Akt2_pS474	1.57966419065435
AGID02215	2577	ab195377	Set179	ALKBH5	0.0461309259080094
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.0787852400846706
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.36913521614598
AGID00006	39	2532	Old	AMPKALPHA	-0.36527
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.043086
AGID00193	1208	610066	Old	ANNEXIN1	-0.88788
AGID00166	1142	610668	Old	ANNEXINVII	-0.14613
AGID00371	756	1852-1/ab52615	Old	AR	-0.66322
AGID00194	1217	4432	Old	ARAF	0.07767
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.075647
AGID00260	1053	sc-32761	Old	ARID1A	0.36707
AGID00264	1560	HPA029318	Old	ASNS	0.79843
AGID00276	1612	3415	Set179	Atg3	-0.135706033758049
AGID00309	1775	13507	Set179	Atg4B	-0.132010321486699
AGID00310	1776	12994	Set179	Atg5	-0.404676822528459
AGID00277	1613	8558	Set179	Atg7	-0.427089415513462
AGID00242	1363	2873	Old	ATM	0.15316
AGID02142	2447	13050	Set179	ATM_pS1981	3.67141103783675
AGID00217	1289	ab14748	Set179	ATP5A	-0.374642790177125
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.330343884284775
AGID02150	2456	13934	Set179	ATR	0.135788650696668
AGID00315	1795	ab178407	Set179	ATR_pS428	-0.221170929946702
AGID00268	1569	ab97508	Set179	ATRX	-0.597443242222162
AGID00391	2332	14475	Set179	Aurora-A	0.230249909860055
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.0095005705220298
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.614955591292473
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.145042530360946
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.0284584510366389
AGID00301	1725	14058	Set179	B7-H3	-0.14135263291493
AGID00302	1726	14572	Set179	B7-H4	-0.142608886929649
AGID00008	63	9291	Old	BAD_pS112	-0.46727
AGID00009	71	1542-1/ab32371	Old	BAK	0.5566
AGID00192	1207	sc-28383	Old	BAP1C4	-0.31529
AGID00010	73	2772	Old	BAX	-0.31234
AGID00433	80	M0887	Old	BCL2	-0.30479
AGID00219	1299	PAB8528	Old	BCL2A1	0.6821
AGID00012	84	1018-1	Old	BCLXL	0.079614
AGID00377	87	sc-10086	Old	BECLIN	0.19999
AGID00011	75	9562	Old	BETACATENIN	-1.0188
AGID00013	88	1008-1/ab32060	Old	BID	0.25374
