AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.068561
AGID00111	913	sc-23957	Old	1433EPSILON	-0.079437
AGID00101	883	sc-1019	Old	1433ZETA	-0.30348
AGID00001	2	9452	Old	4EBP1	0.015306
AGID00002	3	9456	Old	4EBP1_pS65	0.16907
AGID00003	6	9459	Old	4EBP1_pT37T46	0.45812
AGID00443	8	9455	Old	4EBP1_pT70	0.22171
AGID00120	985	4937	Old	53BP1	0.1874
AGID00004	13	3661	Old	ACC_pS79	0.47832
AGID00005	14	1768-1/ab45174	Old	ACC1	0.23375
AGID00408	2372	3658	Set179	AceCS1	-0.693932797365893
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.683
AGID00404	2367	9189	Set179	ACSL1	-0.561607232202325
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.14306
AGID00186	1198	ab88574	Old	ADAR1	-0.63164
AGID00146	1084	4691	Old	AKT	-0.45559
AGID00028	230	9271	Old	AKT_pS473	-0.77095
AGID00170	1154	2965	Old	AKT_pT308	-0.61369
AGID00316	1800	3063	Set179	Akt2	-0.0220289362504276
AGID00347	2009	8599	Set179	Akt2_pS474	0.330729410503845
AGID02215	2577	ab195377	Set179	ALKBH5	0.05225023462044
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.0214830288515716
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.563884141248866
AGID00006	39	2532	Old	AMPKALPHA	-0.47247
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.11383
AGID00193	1208	610066	Old	ANNEXIN1	-1.3852
AGID00166	1142	610668	Old	ANNEXINVII	-0.034894
AGID00371	756	1852-1/ab52615	Old	AR	-0.49874
AGID00194	1217	4432	Old	ARAF	-0.095133
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.12325
AGID00260	1053	sc-32761	Old	ARID1A	0.42318
AGID00264	1560	HPA029318	Old	ASNS	-0.26824
AGID00276	1612	3415	Set179	Atg3	-0.545694630862027
AGID00309	1775	13507	Set179	Atg4B	-0.122251796815504
AGID00310	1776	12994	Set179	Atg5	0.31672788467327
AGID00277	1613	8558	Set179	Atg7	0.188577583487036
AGID00242	1363	2873	Old	ATM	0.60142
AGID02142	2447	13050	Set179	ATM_pS1981	1.60599594103376
AGID00217	1289	ab14748	Set179	ATP5A	-1.02475550111451
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.591197949521808
AGID02150	2456	13934	Set179	ATR	-0.109420094297803
AGID00315	1795	ab178407	Set179	ATR_pS428	0.375108516028995
AGID00268	1569	ab97508	Set179	ATRX	1.20879656406843
AGID00391	2332	14475	Set179	Aurora-A	1.18430767985065
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	0.22543064156902
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.857759882435415
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.254764683793931
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.361612797378466
AGID00301	1725	14058	Set179	B7-H3	0.0939907588664261
AGID00302	1726	14572	Set179	B7-H4	-0.367561346266636
AGID00008	63	9291	Old	BAD_pS112	0.15721
AGID00009	71	1542-1/ab32371	Old	BAK	0.36936
AGID00192	1207	sc-28383	Old	BAP1C4	0.39236
AGID00010	73	2772	Old	BAX	-0.068775
AGID00433	80	M0887	Old	BCL2	-0.50249
AGID00219	1299	PAB8528	Old	BCL2A1	0.019267
AGID00012	84	1018-1	Old	BCLXL	-0.023966
AGID00377	87	sc-10086	Old	BECLIN	0.28436
AGID00011	75	9562	Old	BETACATENIN	0.13046
AGID00013	88	1008-1/ab32060	Old	BID	-0.18052
AGID00180	90	1036-1/ab32158	Old	BIM	-0.13961
AGID00221	1311	610978	Set179	BiP-GRP78	-0.0269565126658629
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.00272319896633009
AGID00355	92	1647/ab33899	Old	BRAF	0.14957
AGID00014	94	2696	Old	BRAF_pS445	0.35981
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.020516
AGID00168	1146	2865	Set179	c-Abl_pY412	0.0191135384010544
AGID00278	1615	3130	Set179	c-IAP2	-0.499038541725364
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.014408
AGID00429	2407	2679	Set179	Calnexin	0.143023258669387
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.279338801476195
AGID00623	111	9665	Old	CASPASE3	0.14927
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.14009
AGID00118	951	9746	Old	CASPASE8	-0.53574
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.31246
AGID00358	2100	ab76000	Set179	CD134	-0.354087487817622
AGID00303	1737	826701	Set179	CD171	0.4520384066544
AGID00410	125	1632-1/ab78237	Old	CD20	0.034519
AGID00220	1308	ab28340	Old	CD26	0.28672
AGID00191	1206	610467	Set179	CD29	-0.211650642618585
AGID00017	127	M0823	Old	CD31	-0.19384
AGID00369	2174	ab108403	Set179	CD38	-0.370548621995708
AGID00359	2104	ab133616	Set179	CD4	0.23365455271864
AGID00411	1398	3570	Set179	CD44	-0.489765594534719
AGID00237	1352	M070101-2	Set179	CD45	0.0926849836021256
AGID00115	937	611016	Old	CD49B	-0.0082583
AGID02171	2482	91882	Set179	CD86	-0.0368626264484424
AGID00329	1873	4688	Set179	cdc25C	1.57478634064113
AGID00227	1332	4651	Set179	Cdc42	-0.120455825057809
AGID00422	2396	3387	Set179	Cdc6	0.378731607641178
AGID00501	1007	9112	Old	CDK1	-0.097396
AGID00293	1658	ab32384	Set179	CDK1_pT14	1.42733264619948
AGID00314	1783	4539	Old	CDK1_pY15	0.77594
AGID00423	2397	8064	Set179	CDT1	-0.0797348236007982
AGID02101	2348	15102	Set179	cGAS	-0.00513305034294978
AGID00447	2410	13460	Set179	CHD1L	1.38750773800932
AGID00189	1203	2360	Old	CHK1	0.15867
AGID00234	1348	ab79758	Old	CHK1_pS296	0.22389
AGID00107	903	2348	Old	CHK1_pS345	0.37974
AGID00018	146	3440	Old	CHK2	0.52641
AGID00019	147	2197	Old	CHK2_pT68	0.69547
AGID00527	2078	4952	Old	CIAP	0.29654
AGID00350	2018	3793	Set179	CIITA	0.0827018398509517
AGID00434	155	9164	Old	CJUN_pS73	0.20336
AGID00020	157	1522-1/ab32363	Old	CKIT	1.4307
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.33083
AGID00466	726	3127	Old	CMET	-0.26368
AGID00079	727	3129	Old	CMET_pY1235	0.0095969
AGID00167	161	9402	Old	CMYC	-0.80792
AGID00292	1656	11130-1-AP	Old	COG3	0.15736
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.59454
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	2.06776868334389
