AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.0042365
AGID00111	913	sc-23957	Old	1433EPSILON	0.065236
AGID00101	883	sc-1019	Old	1433ZETA	-0.33053
AGID00001	2	9452	Old	4EBP1	0.079943
AGID00002	3	9456	Old	4EBP1_pS65	-0.22555
AGID00003	6	9459	Old	4EBP1_pT37T46	0.062393
AGID00443	8	9455	Old	4EBP1_pT70	-0.068576
AGID00120	985	4937	Old	53BP1	0.92061
AGID00004	13	3661	Old	ACC_pS79	-0.21129
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.40817
AGID00408	2372	3658	Set179	AceCS1	-1.24248166468286
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.14102
AGID00404	2367	9189	Set179	ACSL1	0.155706631706381
AGID02144	2450	PA5-27081	Old	ACVRL1	0.20588
AGID00186	1198	ab88574	Old	ADAR1	0.59417
AGID00146	1084	4691	Old	AKT	-0.35571
AGID00028	230	9271	Old	AKT_pS473	-0.34122
AGID00170	1154	2965	Old	AKT_pT308	-0.60642
AGID00316	1800	3063	Set179	Akt2	0.1804324655869
AGID00347	2009	8599	Set179	Akt2_pS474	0.330955991384103
AGID02215	2577	ab195377	Set179	ALKBH5	2.1942475676517
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.190139690318526
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.359138150760378
AGID00006	39	2532	Old	AMPKALPHA	-0.71419
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.88682
AGID00193	1208	610066	Old	ANNEXIN1	-1.1963
AGID00166	1142	610668	Old	ANNEXINVII	0.014069
AGID00371	756	1852-1/ab52615	Old	AR	0.030772
AGID00194	1217	4432	Old	ARAF	0.058659
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.072981
AGID00260	1053	sc-32761	Old	ARID1A	0.45859
AGID00264	1560	HPA029318	Old	ASNS	-0.17392
AGID00276	1612	3415	Set179	Atg3	0.183788894043522
AGID00309	1775	13507	Set179	Atg4B	-0.195615649603535
AGID00310	1776	12994	Set179	Atg5	0.846294118306089
AGID00277	1613	8558	Set179	Atg7	0.379070283502986
AGID00242	1363	2873	Old	ATM	0.72511
AGID02142	2447	13050	Set179	ATM_pS1981	2.22100988234191
AGID00217	1289	ab14748	Set179	ATP5A	0.756810053699319
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.39362773741083
AGID02150	2456	13934	Set179	ATR	0.0489010488258543
AGID00315	1795	ab178407	Set179	ATR_pS428	-0.0596321848693674
AGID00268	1569	ab97508	Set179	ATRX	-0.0563526785500656
AGID00391	2332	14475	Set179	Aurora-A	-0.0455207591810205
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.0765721514561468
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.334412249194147
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.0733489657950812
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.25978072786548
AGID00301	1725	14058	Set179	B7-H3	-0.698763472263204
AGID00302	1726	14572	Set179	B7-H4	-0.422099858418505
AGID00008	63	9291	Old	BAD_pS112	0.041996
AGID00009	71	1542-1/ab32371	Old	BAK	0.29437
AGID00192	1207	sc-28383	Old	BAP1C4	0.091401
AGID00010	73	2772	Old	BAX	-0.59754
AGID00433	80	M0887	Old	BCL2	-0.14477
AGID00219	1299	PAB8528	Old	BCL2A1	0.17782
AGID00012	84	1018-1	Old	BCLXL	-0.2098
AGID00377	87	sc-10086	Old	BECLIN	0.18264
AGID00011	75	9562	Old	BETACATENIN	-1.0957
AGID00013	88	1008-1/ab32060	Old	BID	-0.38194
AGID00180	90	1036-1/ab32158	Old	BIM	-0.17694
AGID00221	1311	610978	Set179	BiP-GRP78	-0.125367227704949
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.0133148073104966
AGID00355	92	1647/ab33899	Old	BRAF	0.37824
AGID00014	94	2696	Old	BRAF_pS445	0.20268
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.50751
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.399721232536923
AGID00278	1615	3130	Set179	c-IAP2	0.427767381782589
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.4401
AGID00429	2407	2679	Set179	Calnexin	-0.678972418663476
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.355071047208235
AGID00623	111	9665	Old	CASPASE3	0.37777
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.5984
AGID00118	951	9746	Old	CASPASE8	-0.29949
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.1541
AGID00358	2100	ab76000	Set179	CD134	-0.421305974490242
AGID00303	1737	826701	Set179	CD171	-0.271237119197139
AGID00410	125	1632-1/ab78237	Old	CD20	0.30948
AGID00220	1308	ab28340	Old	CD26	-0.24716
AGID00191	1206	610467	Set179	CD29	0.196890327374642
AGID00017	127	M0823	Old	CD31	-0.10174
AGID00369	2174	ab108403	Set179	CD38	0.421047753625904
AGID00359	2104	ab133616	Set179	CD4	0.81741343115665
AGID00411	1398	3570	Set179	CD44	-0.544823669043414
AGID00237	1352	M070101-2	Set179	CD45	1.38901436572972
AGID00115	937	611016	Old	CD49B	-0.42164
AGID02171	2482	91882	Set179	CD86	0.127836711690242
AGID00329	1873	4688	Set179	cdc25C	-0.0644098038430279
AGID00227	1332	4651	Set179	Cdc42	-0.067677478918368
AGID00422	2396	3387	Set179	Cdc6	-0.169776201265414
AGID00501	1007	9112	Old	CDK1	-0.26591
AGID00293	1658	ab32384	Set179	CDK1_pT14	0.0638006509049032
AGID00314	1783	4539	Old	CDK1_pY15	0.53657
AGID00423	2397	8064	Set179	CDT1	-0.213364259752658
AGID02101	2348	15102	Set179	cGAS	0.169209579670243
AGID00447	2410	13460	Set179	CHD1L	1.57985965679793
AGID00189	1203	2360	Old	CHK1	0.21187
AGID00234	1348	ab79758	Old	CHK1_pS296	0.35714
AGID00107	903	2348	Old	CHK1_pS345	0.652
AGID00018	146	3440	Old	CHK2	0.78779
AGID00019	147	2197	Old	CHK2_pT68	1.238
AGID00527	2078	4952	Old	CIAP	0.33057
AGID00350	2018	3793	Set179	CIITA	0.559277617193801
AGID00434	155	9164	Old	CJUN_pS73	0.15338
AGID00020	157	1522-1/ab32363	Old	CKIT	4.3843
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.81889
AGID00466	726	3127	Old	CMET	0.073775
AGID00079	727	3129	Old	CMET_pY1235	0.18738
AGID00167	161	9402	Old	CMYC	-0.32584
AGID00292	1656	11130-1-AP	Old	COG3	0.07224
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.26043
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	-3.39386977800475
AGID00269	1571	6434	Set179	Coup-TFII	-0.622830989714698
AGID00150	1116	4850	Set179	Cox-IV	-0.0630307875689495
AGID00195	1218	4842	Set179	Cox2	-0.366583737902314
AGID00188	803	05-739	Old	CRAF	0.25945
AGID00022	179	9427	Old	CRAF_pS338	0.16967
AGID00023	181	9197	Set179	Creb	-0.406731853517475
AGID00393	2334	9198	Set179	CREB_pS133	0.0747214371309284
AGID00365	2155	4980	Set179	CSK	1.61620813321264
AGID00367	2160	9201	Set179	CtIP	-0.0551246900206529
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	-0.319489549339434
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.52736
AGID00382	194	sc-718	Old	CYCLIND1	0.09706
AGID00437	199	sc-25303	Old	CYCLINE1	-0.57602
AGID00449	202	1142-1	Old	CYCLINE2	0.65155
AGID00209	1257	ab110324	Set179	Cyclophilin-F	-0.549522173059421
AGID00247	1379	ab48389	Set179	D-a-Tubulin	-0.135193496132137
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.771170454066347
AGID00304	1744	ab51601	Set179	DAPK2	0.00877038586936541
AGID00343	1980	6998	Set179	DDB-1	0.609844521086258
AGID00427	2402	5583	Set179	DDR1	-0.734055386233554
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.0193803555768878
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.1349
AGID00104	891	ab76008	Old	DJ1	-0.41922
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.388817540562836
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	0.1988619207229
AGID00352	2030	14649	Set179	DNA-Ligase-IV	0.00360156444703189
AGID00407	2371	13609	Set179	DNA_POLG	0.72869296325082
AGID00399	2344	5032	Set179	DNMT1	-0.00510592271211096
AGID00409	2373	5391	Set179	DRP1	0.130629646795363
AGID00253	1406	5149	Old	DUSP4	-0.57419
AGID00334	1936	ab76310	Set179	DUSP6	0.156506400140586
AGID00116	940	3218	Old	DVL3	0.25133
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-3.3444
AGID00135	1060	2332	Old	EEF2	-0.4743
AGID00136	1061	3692	Old	EEF2K	0.35306
AGID00152	1120	2232	Old	EGFR	-0.35511
AGID00450	217	2234	Old	EGFR_pY1068	-0.23282
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.34272
AGID00078	722	9742	Old	EIF4E	0.064038
AGID00328	1871	ab76256	Set179	eIF4E_pS209	0.371650127923532
AGID00154	1124	2498	Old	EIF4G	0.16029
AGID00027	228	9181	Set179	Elk1_pS383	-0.0961558184868998
AGID00235	1350	M061329-2	Set179	EMA	-4.39181844313382
AGID00394	2337	3810	Set179	Enolase-1	0.306736881379782
AGID00395	2338	8171	Set179	Enolase-2	-0.428845193243378
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	-0.442711421808156
AGID00552	2422	6347	Set179	EphA2_pS897	-0.246410883559273
AGID00553	2423	12677	Set179	EphA2_pY588	-0.239488410074921
AGID00075	693	556347	Old	EPPK1	-0.50211
AGID00335	238	RM-9101	Old	ERALPHA	-1.5619
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	0.39705
AGID00240	247	MS-671	Old	ERCC1	-0.63093
AGID00239	1355	11331-1-AP	Old	ERCC5	0.084376
AGID00484	249	sc-154	Old	ERK2	-0.39709
AGID00372	2193	3552	Set179	Erk5	1.07288203188433
AGID00405	2369	13826	Set179	ERRalpha	-0.224824963365962
AGID00187	1200	A303-501A	Old	ETS1	-0.14236
AGID00511	2492	2593	Set179	EVI1	-0.464977866953599
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set179	FAK	-0.47664095480753
AGID02151	2457	8556	Set179	FAK_pY397	-0.525916153314897
AGID00171	1156	3180	Old	FASN	-1.5552
AGID00356	2085	500-P18/10775-082	Set179	FGF-basic	-0.1771243818115
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.53545
AGID00339	1959	4403	Set179	FN14	0.321663533774219
AGID02152	2458	20459	Old	FOXM1	0.44308
AGID00378	269	9467	Old	FOXO3A	0.11801
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.49419
AGID02167	2475	PA5-64616	Set179	FRS2-alpha_pY196	-0.213249762312997
AGID02213	2575	ab124892	Set179	FTO	0.488756976631417
AGID02141	2446	12263	Old	G6PD	-0.027133
AGID00117	943	3239	Old	GAB2	2.6242
AGID00412	274	AM4300	Old	GAPDH	-1.9941
AGID00086	764	558686	Old	GATA3	-0.14418
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set179	GCLC	0.330272186988176
AGID00305	1745	ab124827	Set179	GCLM	-0.314573362710735
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set179	Gli1	1.1370664698026
AGID00263	1520	ab69838	Set179	Gli3	0.0591560791024227
AGID00548	2530	3660	Set179	Glucocorticoid-Receptor	0.0903954695287113
AGID00387	1617	12793	Set179	Glutamate-D1-2	0.0938295312920909
AGID00262	1491	ab156876	Set179	Glutaminase	0.209844614221961
AGID00319	1807	4275	Set179	Granzyme-B	-0.349661258393479
AGID00368	2169	ab183737	Set179	GRB7	-0.0660704145529205
AGID00396	2339	3593	Set179	Grp75	0.573840271203133
AGID00174	1163	9315	Set179	GSK-3B	-0.391650889609074
AGID00502	1082	9336	Old	GSK3_pS9	0.038849
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.28904
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	0.25128
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set179	H2AX_pS139	-0.00374757788579736
AGID00363	1409	MA1-2022	Set179	H2AX_pS140	0.255762514510217
AGID00131	1038	MS-325-P1	Old	HER2	-1.1749
AGID00142	299	06-229	Old	HER2_pY1248	-0.096948
AGID00110	911	sc-285	Old	HER3	-0.41455
AGID00080	728	4791	Old	HER3_pY1289	0.29508
AGID00103	890	2573	Old	HEREGULIN	0.27032
AGID00271	1582	11988	Set179	HES1	-1.37596276926651
AGID00397	2340	2024	Set179	Hexokinase-I	0.245129663589417
AGID00442	1023	2867	Set179	Hexokinase-II	-1.1719615541426
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set179	Histone-H3	-0.970045035121011
AGID00398	2341	3377	Set179	Histone-H3_pS10	0.754628184394703
AGID00332	1901	ab128959	Set179	HLA-DQA1	-0.0386053592689986
AGID00333	1902	14832-1-AP	Set179	HMHA1	1.56088386273354
AGID00035	321	2402	Set179	HSP27	0.0501607285628489
AGID00036	323	2401	Set179	HSP27_pS82	-1.16465006737558
AGID00320	1808	12165	Set179	HSP60	0.442131577330358
AGID00037	325	4872	Old	HSP70	-0.80106
AGID00366	2158	86630	Set179	IDO	1.53929616790335
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.23602
AGID00038	335	3922	Old	IGFBP2	0.60765
AGID00090	793	611504	Set179	IGFBP3	0.0758673419742752
AGID00039	336	3027	Set179	IGFRb	0.655899723406827
AGID00336	1949	12153	Set179	IL-6	0.0598658290795846
AGID02221	2583	57145	Set179	IMP3	-0.104697581678231
AGID02153	2459	14543	Old	INPP4B	0.33949
AGID00272	1586	3025	Set179	IR-b	-0.839140912016567
AGID00519	2519	4302	Set179	IRF-3	0.285834659904673
AGID00520	2520	4947	Set179	IRF-3_pS396	0.0403464739590349
AGID00223	1316	sc-497	Old	IRF1	0.32914
AGID00092	802	06-248	Old	IRS1	0.13983
AGID00040	371	4502	Set179	IRS2	-0.887826835136568
AGID00250	1394	sc-13157	Old	JAB1	-0.0048179
AGID00256	1413	ab109536	Set179	Jagged1	-0.496052654450566
AGID00177	1166	3230	Old	JAK2	0.56528
AGID00758	377	4671	Old	JNK_pT183Y185	0.055961
AGID02136	2439	PA5-28262	Old	JNK2	-0.57543
AGID00307	1757	ab10484	Set179	KAP1	0.968236655673228
AGID00528	904	2180	Old	KU80	1.2502
AGID00375	2237	HPA028732	Set179	LAD1	-0.740317822399005
AGID00290	1643	IHC-00439	Set179	Lasu1	1.76781725490599
AGID00279	1618	4108	Set179	LC3A-B	-0.412568444217924
AGID00042	397	2752	Old	LCK	0.82676
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	0.013119
AGID00244	1367	2568	Set179	LRP6_pS1490	0.130658305158405
AGID00439	2424	2796	Set179	Lyn	0.709976518803079
AGID02154	2460	4370	Old	MAPK_pT202Y204	0.19295
AGID00198	1222	5453	Set179	Mcl-1	0.460533248634442
AGID00288	1633	AB3314P	Set179	MCT4	0.0277204668775154
AGID00175	1164	3521	Set179	MDM2_pS166	1.02526452826703
AGID00044	417	1235-1/ab32576	Old	MEK1	0.032278
AGID00143	1076	9154	Old	MEK1_pS217S221	0.0015759
AGID00201	1243	9125	Set179	MEK2	0.0145364420959307
AGID00361	2118	ab51061	Set179	MelanA	0.430579562249639
AGID00362	2119	ab137078	Set179	Melanoma-gp100	0.22167631818952
AGID00337	1951	12711	Set179	MERIT40	-0.138056662552765
AGID00338	1952	12110	Set179	MERIT40_pS29	-0.133818828908827
AGID02212	2574	ab195352	Set179	METTL3	0.362595183445329
AGID00225	1323	sc-20121	Set179	MIF	-0.647122633291727
AGID00137	1062	WH0054206M1	Old	MIG6	-0.0016064
AGID00403	2117	ab20663	Set179	MITF	-0.12208599442443
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set179	Mitofusin-1	-0.65872136187395
AGID00322	1810	11925	Set179	Mitofusin-2	-0.136179815153089
AGID00389	2324	3515	Set179	MLH1	1.55479060451411
AGID00312	1780	14993	Set179	MLKL	0.885371191669275
AGID00402	2359	MAB3328	Set179	MMP14	-1.48180307902065
AGID00045	435	4022	Set179	MMP2	-0.417745015916483
AGID00122	1005	2195	Set179	Mnk1	-0.263101302563125
AGID00331	1899	sc-377312	Set179	MR1	-0.20073835157855
AGID00273	1589	ab103319	Set179	MRAP	0.298989046187271
AGID00530	440	4847	Old	MRE11	0.25294
AGID00390	905	2850	Old	MSH2	1.2525
AGID00138	1063	22030002	Old	MSH6	1.2537
AGID00299	1675	ab76148	Set179	MSI2	-0.64906514552255
AGID00232	1344	ab14705	Set179	MTCO1	-0.430450033587416
AGID00046	444	2983	Old	MTOR	0.32234
AGID00047	446	2971	Old	MTOR_pS2448	0.042158
AGID00204	1247	H00009788-M01A	Set179	MTSS1	1.04772580874429
AGID00401	1139	21370002	Old	MYH11	-0.51535
AGID00291	1647	3403	Old	MYOSINIIA	NA
AGID00173	1160	5026	Old	MYOSINIIA_pS1943	-0.28534
AGID00318	1803	4282	Set179	Myt1	0.305198330745272
AGID00216	1274	5795-1/ab129189	Old	NAPSINA	NA
AGID00418	452	4061	Old	NCADHERIN	0.1253
AGID00156	1126	3217	Old	NDRG1_pT346	-0.21296
AGID02133	2436	PA5-45913	Set179	NDUFB4	-0.322878470319135
AGID00134	1046	22710002	Old	NF2	-0.23762
AGID00048	457	3033	Old	NFKBP65_pS536	0.57915
AGID02155	2461	3608	Old	NOTCH1	-0.16263
AGID00340	1969	4147	Set179	Notch1-cleaved	-0.080323715038415
AGID00087	767	sc-5593	Set179	Notch3	-0.0870422659233784
AGID00258	1420	3187	Set179	NQO1	-0.953449476661286
AGID00162	1136	sc-31	Old	NRAS	0.33072
AGID00257	1419	12721	Old	NRF2	NA
AGID00297	1669	2750	Set179	Oct-4	2.81597112024407
AGID00420	466	1712-1/ab40803	Old	P16INK4A	-0.30162
AGID00384	470	sc-6246	Old	P21	0.021775
AGID00105	897	1591-1/ab32034	Old	P27	0.1252
AGID00096	842	AF1555	Old	P27_pT157	0.19602
AGID00099	878	ab64949	Old	P27_pT198	0.38148
AGID00181	1175	9228	Set179	p38-a	-0.0624800010777191
AGID00098	479	9211	Old	P38_pT180Y182	-0.1321
AGID00049	478	9212	Old	P38MAPK	-0.33377
