AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.14277
AGID00111	913	sc-23957	Old	1433EPSILON	-0.15217
AGID00101	883	sc-1019	Old	1433ZETA	0.18159
AGID00001	2	9452	Old	4EBP1	0.84618
AGID00002	3	9456	Old	4EBP1_pS65	0.13227
AGID00003	6	9459	Old	4EBP1_pT37T46	1.1676
AGID00443	8	9455	Old	4EBP1_pT70	0.52905
AGID00120	985	4937	Old	53BP1	-0.81826
AGID00004	13	3661	Old	ACC_pS79	-0.29733
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.27239
AGID00408	2372	3658	Set165	AceCS1	-0.850277499758077
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.35502
AGID00404	2367	9189	Set165	ACSL1	-0.985750444489447
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.22507
AGID00186	1198	ab88574	Old	ADAR1	-0.56122
AGID00146	1084	4691	Old	AKT	-0.23899
AGID00028	230	9271	Old	AKT_pS473	-0.48329
AGID00170	1154	2965	Old	AKT_pT308	-0.049069
AGID00316	1800	3063	Set165	Akt2	-0.428131964020861
AGID00347	2009	8599	Set165	Akt2_pS474	1.79041590563693
AGID02215	2577	ab195377	Set165	ALKBH5	-1.47687364554102
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.355156207530494
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.537581401582771
AGID00006	39	2532	Old	AMPKALPHA	-0.12668
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.41722
AGID00193	1208	610066	Old	ANNEXIN1	0.60357
AGID00166	1142	610668	Old	ANNEXINVII	-0.12608
AGID00371	756	1852-1/ab52615	Old	AR	-0.31224
AGID00194	1217	4432	Old	ARAF	-0.19128
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.49858
AGID00260	1053	sc-32761	Old	ARID1A	-0.33099
AGID00264	1560	HPA029318	Old	ASNS	-0.02465
AGID00276	1612	3415	Set165	Atg3	0.192989197271119
AGID00309	1775	13507	Set165	Atg4B	0.314758336485715
AGID00310	1776	12994	Set165	Atg5	-0.289445366589356
AGID00277	1613	8558	Set165	Atg7	-0.454298683034293
AGID00242	1363	2873	Old	ATM	-0.54622
AGID02142	2447	13050	Set165	ATM_pS1981	2.31171280474278
AGID00217	1289	ab14748	Set165	ATP5A	-0.974284836062381
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.446110483963289
AGID02150	2456	13934	Set165	ATR	-0.0406447979836065
AGID00315	1795	ab178407	Set165	ATR_pS428	1.0405794556317
AGID00268	1569	ab97508	Set165	ATRX	-1.49754191834997
AGID00391	2332	14475	Set165	Aurora-A	-0.372879779259215
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	0.21196816056495
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.237599053705546
AGID00215	1271	8661	Old	AXL	0.46926
AGID02143	2449	8457	Set165	b-Actin	-0.13926616530117
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.758150229422236
AGID00301	1725	14058	Set165	B7-H3	0.398021029496095
AGID00302	1726	14572	Set165	B7-H4	0.45911206625639
AGID00008	63	9291	Old	BAD_pS112	0.21957
AGID00009	71	1542-1/ab32371	Old	BAK	0.93668
AGID00192	1207	sc-28383	Old	BAP1C4	-1.2872
AGID00010	73	2772	Old	BAX	0.16934
AGID00433	80	M0887	Old	BCL2	0.074569
AGID00219	1299	PAB8528	Old	BCL2A1	-0.03359
AGID00012	84	1018-1	Old	BCLXL	0.38063
AGID00377	87	sc-10086	Old	BECLIN	-0.038473
AGID00011	75	9562	Old	BETACATENIN	-0.46056
AGID00013	88	1008-1/ab32060	Old	BID	0.35403
AGID00180	90	1036-1/ab32158	Old	BIM	-0.291
AGID00221	1311	610978	Set165	BiP-GRP78	-0.160793123330913
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	-0.0857622648397872
AGID00355	92	1647/ab33899	Old	BRAF	-1.0334
AGID00014	94	2696	Old	BRAF_pS445	0.12526
AGID00445	761	9012	Old	BRCA2	0.24317
AGID00266	1567	13440	Old	BRD4	-0.48337
AGID00168	1146	2865	Set165	c-Abl_pY412	0.641542053920624
AGID00278	1615	3130	Set165	c-IAP2	-0.163738104789313
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.16759
AGID00429	2407	2679	Set165	Calnexin	-0.291420887785495
AGID00176	1165	9496	Set165	Caspase-8-cleaved	-0.0337768787415203
AGID00623	111	9665	Old	CASPASE3	0.36404
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.30474
AGID00118	951	9746	Old	CASPASE8	0.2247
AGID00537	935	551246	Old	CASPASE9	0.38862
AGID00016	114	3238	Old	CAVEOLIN1	1.9418
AGID00358	2100	ab76000	Set165	CD134	0.109480472135351
AGID00303	1737	826701	Set165	CD171	-0.659315576468885
AGID00410	125	1632-1/ab78237	Old	CD20	0.13528
AGID00220	1308	ab28340	Old	CD26	-0.22513
AGID00191	1206	610467	Set165	CD29	0.29639011460663
AGID00017	127	M0823	Old	CD31	0.22661
AGID00369	2174	ab108403	Set165	CD38	0.820296871174595
AGID00359	2104	ab133616	Set165	CD4	0.000631567833522017
AGID00411	1398	3570	Set165	CD44	1.10745740673571
AGID00237	1352	M070101-2	Set165	CD45	0.502404166355427
AGID00115	937	611016	Old	CD49B	0.88633
