AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.079174
AGID00111	913	sc-23957	Old	1433EPSILON	-0.075034
AGID00101	883	sc-1019	Old	1433ZETA	-0.18568
AGID00001	2	9452	Old	4EBP1	0.60012
AGID00002	3	9456	Old	4EBP1_pS65	0.49284
AGID00003	6	9459	Old	4EBP1_pT37T46	0.74072
AGID00443	8	9455	Old	4EBP1_pT70	0.4295
AGID00120	985	4937	Old	53BP1	-0.0084933
AGID00004	13	3661	Old	ACC_pS79	0.26237
AGID00005	14	1768-1/ab45174	Old	ACC1	0.28141
AGID00408	2372	3658	Set179	AceCS1	0.014928874137191
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.84878
AGID00404	2367	9189	Set179	ACSL1	0.280346508543482
AGID02144	2450	PA5-27081	Old	ACVRL1	0.28103
AGID00186	1198	ab88574	Old	ADAR1	0.011439
AGID00146	1084	4691	Old	AKT	0.72866
AGID00028	230	9271	Old	AKT_pS473	1.3355
AGID00170	1154	2965	Old	AKT_pT308	1.2145
AGID00316	1800	3063	Set179	Akt2	0.175616615893378
AGID00347	2009	8599	Set179	Akt2_pS474	-0.0754771667205831
AGID02215	2577	ab195377	Set179	ALKBH5	1.51984885550714
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.0468772491149481
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.221940658980049
AGID00006	39	2532	Old	AMPKALPHA	0.11093
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.036695
AGID00193	1208	610066	Old	ANNEXIN1	-2.2063
AGID00166	1142	610668	Old	ANNEXINVII	-0.30686
AGID00371	756	1852-1/ab52615	Old	AR	0.070672
AGID00194	1217	4432	Old	ARAF	-0.3574
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.021943
AGID00260	1053	sc-32761	Old	ARID1A	0.56862
AGID00264	1560	HPA029318	Old	ASNS	-0.083158
AGID00276	1612	3415	Set179	Atg3	0.133121935224865
AGID00309	1775	13507	Set179	Atg4B	-0.613019900998499
AGID00310	1776	12994	Set179	Atg5	-0.753651551052203
AGID00277	1613	8558	Set179	Atg7	0.213116792258868
AGID00242	1363	2873	Old	ATM	-1.4695
AGID02142	2447	13050	Set179	ATM_pS1981	0.303726944419232
AGID00217	1289	ab14748	Set179	ATP5A	2.57635562638605
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.0971735765614316
AGID02150	2456	13934	Set179	ATR	-0.19844620289975
AGID00315	1795	ab178407	Set179	ATR_pS428	-0.133663774672353
AGID00268	1569	ab97508	Set179	ATRX	-2.4204770832615
AGID00391	2332	14475	Set179	Aurora-A	1.13628921075123
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.380539726156632
AGID02195	2512	MA5-27890	Set179	Aurora-B	1.06837113641528
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.200303995642531
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.109921350608956
AGID00301	1725	14058	Set179	B7-H3	0.0305983265339329
AGID00302	1726	14572	Set179	B7-H4	-0.468574007090084
AGID00008	63	9291	Old	BAD_pS112	0.16316
AGID00009	71	1542-1/ab32371	Old	BAK	0.0057137
AGID00192	1207	sc-28383	Old	BAP1C4	0.28949
AGID00010	73	2772	Old	BAX	-0.47127
AGID00433	80	M0887	Old	BCL2	0.80862
AGID00219	1299	PAB8528	Old	BCL2A1	-0.3068
AGID00012	84	1018-1	Old	BCLXL	-0.5602
AGID00377	87	sc-10086	Old	BECLIN	-0.10419
AGID00011	75	9562	Old	BETACATENIN	-0.72489
AGID00013	88	1008-1/ab32060	Old	BID	-0.40488
AGID00180	90	1036-1/ab32158	Old	BIM	0.39753
AGID00221	1311	610978	Set179	BiP-GRP78	0.022662170121723
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.063566326355977
AGID00355	92	1647/ab33899	Old	BRAF	-0.2718
AGID00014	94	2696	Old	BRAF_pS445	-0.61473
AGID00445	761	9012	Old	BRCA2	1.4471
AGID00266	1567	13440	Old	BRD4	0.15679
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.36167879820876
AGID00278	1615	3130	Set179	c-IAP2	-0.193873319442161
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.21988
AGID00429	2407	2679	Set179	Calnexin	1.01140697580317
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.575608014962081
AGID00623	111	9665	Old	CASPASE3	-0.033156
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.2704
AGID00118	951	9746	Old	CASPASE8	-0.1531
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.4991
AGID00358	2100	ab76000	Set179	CD134	-0.412967882982449
AGID00303	1737	826701	Set179	CD171	-0.912407616204878
AGID00410	125	1632-1/ab78237	Old	CD20	-0.18904
AGID00220	1308	ab28340	Old	CD26	0.16353
AGID00191	1206	610467	Set179	CD29	-0.0712107594428064
AGID00017	127	M0823	Old	CD31	-0.036193
AGID00369	2174	ab108403	Set179	CD38	-0.300494959132899
AGID00359	2104	ab133616	Set179	CD4	-1.73271830500899
AGID00411	1398	3570	Set179	CD44	-0.800481986245673
AGID00237	1352	M070101-2	Set179	CD45	-0.673699052446322
AGID00115	937	611016	Old	CD49B	0.0045938
AGID02171	2482	91882	Set179	CD86	-0.355284688990513
AGID00329	1873	4688	Set179	cdc25C	0.955244652172192
AGID00227	1332	4651	Set179	Cdc42	0.0423318690404081
AGID00422	2396	3387	Set179	Cdc6	-0.169551298374515
AGID00501	1007	9112	Old	CDK1	0.070857
AGID00293	1658	ab32384	Set179	CDK1_pT14	0.866005646428715
AGID00314	1783	4539	Old	CDK1_pY15	0.12542
AGID00423	2397	8064	Set179	CDT1	-0.695026609301561
AGID02101	2348	15102	Set179	cGAS	-0.039468372436639
AGID00447	2410	13460	Set179	CHD1L	0.166801478529856
AGID00189	1203	2360	Old	CHK1	-0.26945
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.015617
AGID00107	903	2348	Old	CHK1_pS345	0.30538
AGID00018	146	3440	Old	CHK2	-0.012184
AGID00019	147	2197	Old	CHK2_pT68	0.61019
AGID00527	2078	4952	Old	CIAP	-0.51911
AGID00350	2018	3793	Set179	CIITA	0.291478387828287
AGID00434	155	9164	Old	CJUN_pS73	-0.29105
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.11016
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.1925
AGID00466	726	3127	Old	CMET	-0.27022
AGID00079	727	3129	Old	CMET_pY1235	0.053544
AGID00167	161	9402	Old	CMYC	-0.60787
AGID00292	1656	11130-1-AP	Old	COG3	-0.2705
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.1828
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	-0.572259140709985
AGID00269	1571	6434	Set179	Coup-TFII	0.555902052373
AGID00150	1116	4850	Set179	Cox-IV	0.492960600509146
AGID00195	1218	4842	Set179	Cox2	0.0403383903573527
AGID00188	803	05-739	Old	CRAF	0.14924
AGID00022	179	9427	Old	CRAF_pS338	0.098263
AGID00023	181	9197	Set179	Creb	-0.500564614897588
AGID00393	2334	9198	Set179	CREB_pS133	0.275072172201731
AGID00365	2155	4980	Set179	CSK	0.712125425529202
AGID00367	2160	9201	Set179	CtIP	-0.284724039664973
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	0.156969530398254
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	1.1268
AGID00382	194	sc-718	Old	CYCLIND1	0.044883
AGID00437	199	sc-25303	Old	CYCLINE1	0.3555
AGID00449	202	1142-1	Old	CYCLINE2	-0.15505
AGID00209	1257	ab110324	Set179	Cyclophilin-F	-1.2787390501511
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.7066696810366
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	1.53354765948953
AGID00304	1744	ab51601	Set179	DAPK2	0.0442158255843896
AGID00343	1980	6998	Set179	DDB-1	0.202863159951916
AGID00427	2402	5583	Set179	DDR1	-0.932160501736636
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	-0.0301767194352984
AGID00532	1273	Bast Lab	Old	DIRAS3	0.22974
AGID00104	891	ab76008	Old	DJ1	-0.4913
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.547833585367204
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	0.315710659918319
AGID00352	2030	14649	Set179	DNA-Ligase-IV	0.995672156933828
AGID00407	2371	13609	Set179	DNA_POLG	-0.858744470610307
AGID00399	2344	5032	Set179	DNMT1	0.714632372368952
AGID00409	2373	5391	Set179	DRP1	0.568053176394276
AGID00253	1406	5149	Old	DUSP4	-0.63336
AGID00334	1936	ab76310	Set179	DUSP6	-0.160436338243343
AGID00116	940	3218	Old	DVL3	1.2632
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-2.2214
AGID00135	1060	2332	Old	EEF2	-0.47429
AGID00136	1061	3692	Old	EEF2K	0.26194
AGID00152	1120	2232	Old	EGFR	0.095477
AGID00450	217	2234	Old	EGFR_pY1068	-0.24245
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.053167
AGID00078	722	9742	Old	EIF4E	-0.0095243
AGID00328	1871	ab76256	Set179	eIF4E_pS209	0.733154388070032
AGID00154	1124	2498	Old	EIF4G	0.34001
AGID00027	228	9181	Set179	Elk1_pS383	-0.152532336375826
AGID00235	1350	M061329-2	Set179	EMA	-3.50822089839036
AGID00394	2337	3810	Set179	Enolase-1	1.01350353545476
AGID00395	2338	8171	Set179	Enolase-2	0.394860885578997
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	-0.653592423954315
AGID00552	2422	6347	Set179	EphA2_pS897	-0.459829154345699
AGID00553	2423	12677	Set179	EphA2_pY588	-0.56862311272228
AGID00075	693	556347	Old	EPPK1	-1.7095
