AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.0073203
AGID00111	913	sc-23957	Old	1433EPSILON	0.11246
AGID00101	883	sc-1019	Old	1433ZETA	-0.0078037
AGID00001	2	9452	Old	4EBP1	0.47777
AGID00002	3	9456	Old	4EBP1_pS65	0.32403
AGID00003	6	9459	Old	4EBP1_pT37T46	0.9759
AGID00443	8	9455	Old	4EBP1_pT70	0.25153
AGID00120	985	4937	Old	53BP1	-0.32965
AGID00004	13	3661	Old	ACC_pS79	-0.60272
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.8019
AGID00408	2372	3658	Set181	AceCS1	-0.110654770020143
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.53581
AGID00404	2367	9189	Set181	ACSL1	0.260001558305809
AGID02144	2450	PA5-27081	Old	ACVRL1	0.26838
AGID00186	1198	ab88574	Old	ADAR1	-0.24871
AGID00146	1084	4691	Old	AKT	-0.081359
AGID00028	230	9271	Old	AKT_pS473	1.1536
AGID00170	1154	2965	Old	AKT_pT308	1.1255
AGID00316	1800	3063	Set181	Akt2	0.124032933334874
AGID00347	2009	8599	Set181	Akt2_pS474	0.571896616795263
AGID02215	2577	ab195377	Set181	ALKBH5	0.0552639388027609
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	-0.0671201640686485
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.0575064162778767
AGID00006	39	2532	Old	AMPKALPHA	-0.19467
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.23505
AGID00193	1208	610066	Old	ANNEXIN1	0.17954
AGID00166	1142	610668	Old	ANNEXINVII	-0.022601
AGID00371	756	1852-1/ab52615	Old	AR	-0.65755
AGID00194	1217	4432	Old	ARAF	-0.066706
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.0073733
AGID00260	1053	sc-32761	Old	ARID1A	0.073888
AGID00264	1560	HPA029318	Old	ASNS	-0.008958
AGID00276	1612	3415	Set181	Atg3	1.31758282081975
AGID00309	1775	13507	Set181	Atg4B	-0.65761194966412
AGID00310	1776	12994	Set181	Atg5	0.178876335882007
AGID00277	1613	8558	Set181	Atg7	1.14382187776502
AGID00242	1363	2873	Old	ATM	0.7909
AGID02142	2447	13050	Set181	ATM_pS1981	0.326823299932784
AGID00217	1289	ab14748	Set181	ATP5A	1.19303104840855
AGID02145	2451	PA5-43776	Set181	ATP5H	-0.0863471669054929
AGID02150	2456	13934	Set181	ATR	-0.421891280321299
AGID00315	1795	ab178407	Set181	ATR_pS428	-0.252039642360492
AGID00268	1569	ab97508	Set181	ATRX	-0.965607688274137
AGID00391	2332	14475	Set181	Aurora-A	-0.305939784576684
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.286733559282742
AGID02195	2512	MA5-27890	Set181	Aurora-B	0.179123279156248
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	0.158037191273194
