AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.040238
AGID00111	913	sc-23957	Old	1433EPSILON	0.11064
AGID00101	883	sc-1019	Old	1433ZETA	-0.20257
AGID00001	2	9452	Old	4EBP1	-0.58967
AGID00002	3	9456	Old	4EBP1_pS65	-0.28166
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.095445
AGID00443	8	9455	Old	4EBP1_pT70	-0.021602
AGID00120	985	4937	Old	53BP1	-0.85396
AGID00004	13	3661	Old	ACC_pS79	-0.25723
AGID00005	14	1768-1/ab45174	Old	ACC1	0.15114
AGID00408	2372	3658	Set165	AceCS1	0.784873995443481
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.45425
AGID00404	2367	9189	Set165	ACSL1	0.355480552151635
AGID02144	2450	PA5-27081	Old	ACVRL1	0.026933
AGID00186	1198	ab88574	Old	ADAR1	-0.2765
AGID00146	1084	4691	Old	AKT	-0.070331
AGID00028	230	9271	Old	AKT_pS473	-0.1406
AGID00170	1154	2965	Old	AKT_pT308	0.066302
AGID00316	1800	3063	Set165	Akt2	-0.198453487860715
AGID00347	2009	8599	Set165	Akt2_pS474	1.83196197459376
AGID02215	2577	ab195377	Set165	ALKBH5	-1.18712474261725
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.17845547220281
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.261588612781702
AGID00006	39	2532	Old	AMPKALPHA	0.17237
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.069399
AGID00193	1208	610066	Old	ANNEXIN1	0.57412
AGID00166	1142	610668	Old	ANNEXINVII	-0.11719
AGID00371	756	1852-1/ab52615	Old	AR	-0.13882
AGID00194	1217	4432	Old	ARAF	0.15013
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.26562
AGID00260	1053	sc-32761	Old	ARID1A	-0.082673
AGID00264	1560	HPA029318	Old	ASNS	-0.022844
AGID00276	1612	3415	Set165	Atg3	0.148299332272506
AGID00309	1775	13507	Set165	Atg4B	-0.314244112207183
AGID00310	1776	12994	Set165	Atg5	-0.251876075415335
AGID00277	1613	8558	Set165	Atg7	0.530145438541495
AGID00242	1363	2873	Old	ATM	-0.17121
AGID02142	2447	13050	Set165	ATM_pS1981	2.32113374931368
