AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.27996
AGID00111	913	sc-23957	Old	1433EPSILON	-0.4798
AGID00101	883	sc-1019	Old	1433ZETA	0.54771
AGID00001	2	9452	Old	4EBP1	0.38151
AGID00002	3	9456	Old	4EBP1_pS65	0.2704
AGID00003	6	9459	Old	4EBP1_pT37T46	0.94022
AGID00443	8	9455	Old	4EBP1_pT70	0.22114
AGID00120	985	4937	Old	53BP1	-0.74721
AGID00004	13	3661	Old	ACC_pS79	-0.36411
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.72107
AGID00408	2372	3658	Set165	AceCS1	0.0928997056084854
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.1468
AGID00404	2367	9189	Set165	ACSL1	-0.297825420222341
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.41181
AGID00186	1198	ab88574	Old	ADAR1	-0.37067
AGID00146	1084	4691	Old	AKT	0.27171
AGID00028	230	9271	Old	AKT_pS473	0.68199
AGID00170	1154	2965	Old	AKT_pT308	0.15029
AGID00316	1800	3063	Set165	Akt2	-0.0394881204142195
AGID00347	2009	8599	Set165	Akt2_pS474	1.12253182726611
AGID02215	2577	ab195377	Set165	ALKBH5	0.392109036059343
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.401375278230823
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.147664845269358
AGID00006	39	2532	Old	AMPKALPHA	0.47619
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.53291
AGID00193	1208	610066	Old	ANNEXIN1	-0.027741
AGID00166	1142	610668	Old	ANNEXINVII	0.12199
AGID00371	756	1852-1/ab52615	Old	AR	-0.62845
AGID00194	1217	4432	Old	ARAF	0.040431
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.43276
AGID00260	1053	sc-32761	Old	ARID1A	0.0014042
AGID00264	1560	HPA029318	Old	ASNS	0.10395
AGID00276	1612	3415	Set165	Atg3	-0.562548588012841
AGID00309	1775	13507	Set165	Atg4B	0.396541096903951
AGID00310	1776	12994	Set165	Atg5	-0.886750368647054
AGID00277	1613	8558	Set165	Atg7	-0.59947240620595
AGID00242	1363	2873	Old	ATM	-0.034829
AGID02142	2447	13050	Set165	ATM_pS1981	1.59297240675993
AGID00217	1289	ab14748	Set165	ATP5A	0.0387204570521354
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.0959541542091031
AGID02150	2456	13934	Set165	ATR	-0.202679524003613
AGID00315	1795	ab178407	Set165	ATR_pS428	-0.141578911532041
AGID00268	1569	ab97508	Set165	ATRX	-1.07374842595617
AGID00391	2332	14475	Set165	Aurora-A	-0.355303274622393
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.16745606146136
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.597309041221732
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	-0.492391925421731
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.601777908378987
AGID00301	1725	14058	Set165	B7-H3	0.0419325969126164
AGID00302	1726	14572	Set165	B7-H4	0.575513841266451
AGID00008	63	9291	Old	BAD_pS112	0.27908
AGID00009	71	1542-1/ab32371	Old	BAK	0.11354
AGID00192	1207	sc-28383	Old	BAP1C4	-0.67952
AGID00010	73	2772	Old	BAX	0.091066
AGID00433	80	M0887	Old	BCL2	0.9054
AGID00219	1299	PAB8528	Old	BCL2A1	-0.28173
AGID00012	84	1018-1	Old	BCLXL	-0.10122
AGID00377	87	sc-10086	Old	BECLIN	0.15281
AGID00011	75	9562	Old	BETACATENIN	0.98404
AGID00013	88	1008-1/ab32060	Old	BID	0.0063102
AGID00180	90	1036-1/ab32158	Old	BIM	0.62683
AGID00221	1311	610978	Set165	BiP-GRP78	-0.105581300901668
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	-0.148360132504412
AGID00355	92	1647/ab33899	Old	BRAF	0.27015
AGID00014	94	2696	Old	BRAF_pS445	0.57047
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.25089
AGID00168	1146	2865	Set165	c-Abl_pY412	0.344373808005451
AGID00278	1615	3130	Set165	c-IAP2	-0.305764627704653
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.23971
AGID00429	2407	2679	Set165	Calnexin	-0.309608077948171
AGID00176	1165	9496	Set165	Caspase-8-cleaved	-0.0619751804751055
AGID00623	111	9665	Old	CASPASE3	-0.34053
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.21529
AGID00118	951	9746	Old	CASPASE8	0.64109
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.9567
AGID00358	2100	ab76000	Set165	CD134	-0.0610559149082276
AGID00303	1737	826701	Set165	CD171	-1.03484592908298
AGID00410	125	1632-1/ab78237	Old	CD20	0.043529
AGID00220	1308	ab28340	Old	CD26	-0.66685
AGID00191	1206	610467	Set165	CD29	0.0406170211009821
AGID00017	127	M0823	Old	CD31	0.16424
AGID00369	2174	ab108403	Set165	CD38	0.533906663844043
AGID00359	2104	ab133616	Set165	CD4	-0.253330775131546
AGID00411	1398	3570	Set165	CD44	0.569957159502067
AGID00237	1352	M070101-2	Set165	CD45	0.65394827631134
AGID00115	937	611016	Old	CD49B	0.55047
AGID02171	2482	91882	Set165	CD86	0.273381872192495
AGID00329	1873	4688	Set165	cdc25C	-0.337746822303052
AGID00227	1332	4651	Set165	Cdc42	0.292979654566788
AGID00422	2396	3387	Set165	Cdc6	0.145907050299898
AGID00501	1007	9112	Old	CDK1	0.099891
AGID00293	1658	ab32384	Set165	CDK1_pT14	-0.403866334104598
AGID00314	1783	4539	Old	CDK1_pY15	0.16651
AGID00423	2397	8064	Set165	CDT1	0.390947970139129
AGID02101	2348	15102	Set165	cGAS	-0.104876271178875
AGID00447	2410	13460	Set165	CHD1L	0.209874653558759
AGID00189	1203	2360	Old	CHK1	-0.049401
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.3208
AGID00107	903	2348	Old	CHK1_pS345	-0.079084
AGID00018	146	3440	Old	CHK2	0.54449
AGID00019	147	2197	Old	CHK2_pT68	0.41557
AGID00527	2078	4952	Old	CIAP	-0.07045
AGID00350	2018	3793	Set165	CIITA	-0.0288760144305272
AGID00434	155	9164	Old	CJUN_pS73	-0.10387
AGID00020	157	1522-1/ab32363	Old	CKIT	2.0824
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.63445
AGID00466	726	3127	Old	CMET	0.64797
AGID00079	727	3129	Old	CMET_pY1235	-0.18375
AGID00167	161	9402	Old	CMYC	0.14728
AGID00292	1656	11130-1-AP	Old	COG3	-0.35043
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.22241
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set165	Connexin-43	0.475571730547287
AGID00269	1571	6434	Set165	Coup-TFII	-0.0499072899415655
AGID00150	1116	4850	Set165	Cox-IV	0.0197182544930931
AGID00195	1218	4842	Set165	Cox2	0.552785921103053
AGID00188	803	05-739	Old	CRAF	0.23308
AGID00022	179	9427	Old	CRAF_pS338	0.074139
AGID00023	181	9197	Set165	Creb	0.00439127000108985
AGID00393	2334	9198	Set165	CREB_pS133	0.696720260209988
AGID00365	2155	4980	Set165	CSK	0.0834191850360054
AGID00367	2160	9201	Set165	CtIP	0.283114712813835
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set165	Cyclin-D3	0.0310161616877893
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.36133
AGID00382	194	sc-718	Old	CYCLIND1	0.20942
AGID00437	199	sc-25303	Old	CYCLINE1	-0.68089
AGID00449	202	1142-1	Old	CYCLINE2	-0.49517
AGID00209	1257	ab110324	Set165	Cyclophilin-F	0.112923188081555
AGID00247	1379	ab48389	Set165	D-a-Tubulin	-0.246230372139959
AGID00308	1770	GTX10524	Set165	DAPK1_pS308	-0.204603879438036
AGID00304	1744	ab51601	Set165	DAPK2	-0.0132744860949344
AGID00343	1980	6998	Set165	DDB-1	0.147789137686056
AGID00427	2402	5583	Set165	DDR1	0.778401000390912
AGID00428	2403	SAB4504671	Set165	DDR1_pY513	0.336505301880305
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.06594
AGID00104	891	ab76008	Old	DJ1	-0.2517
AGID02146	2452	4658	Set165	DM-Histone-H3	0.175257440776043
AGID00386	1397	ab32521	Set165	DM-K9-Histone-H3	-0.393992473184571
AGID00352	2030	14649	Set165	DNA-Ligase-IV	-0.123190836482008
AGID00407	2371	13609	Set165	DNA_POLG	0.146049777850986
AGID00399	2344	5032	Set165	DNMT1	-0.0379570672281769
AGID00409	2373	5391	Set165	DRP1	0.0767852375701541
AGID00253	1406	5149	Old	DUSP4	-0.95385
AGID00334	1936	ab76310	Set165	DUSP6	-0.32104445828361
AGID00116	940	3218	Old	DVL3	-0.31965
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.4301
AGID00135	1060	2332	Old	EEF2	-0.14115
AGID00136	1061	3692	Old	EEF2K	-0.88604
AGID00152	1120	2232	Old	EGFR	0.22566
AGID00450	217	2234	Old	EGFR_pY1068	1.4085
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.45844
AGID00078	722	9742	Old	EIF4E	0.4134
AGID00328	1871	ab76256	Set165	eIF4E_pS209	0.0629718973187401
AGID00154	1124	2498	Old	EIF4G	-0.32547
AGID00027	228	9181	Set165	Elk1_pS383	-0.227939873006371
AGID00235	1350	M061329-2	Set165	EMA	-0.184173131416863
AGID00394	2337	3810	Set165	Enolase-1	0.212470106454278
AGID00395	2338	8171	Set165	Enolase-2	-0.496326521765409
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set165	EphA2	0.616341644031365
AGID00552	2422	6347	Set165	EphA2_pS897	0.764761120685655
AGID00553	2423	12677	Set165	EphA2_pY588	-0.100239999333268
AGID00075	693	556347	Old	EPPK1	0.94586
AGID00335	238	RM-9101	Old	ERALPHA	-1.2949
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.5167
AGID00240	247	MS-671	Old	ERCC1	-0.34756
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.034889
AGID00484	249	sc-154	Old	ERK2	0.14054
AGID00372	2193	3552	Set165	Erk5	0.386341431511103
AGID00405	2369	13826	Set165	ERRalpha	-0.217308257869344
AGID00187	1200	A303-501A	Old	ETS1	-0.97817
AGID00511	2492	2593	Set165	EVI1	0.0112985861849934
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set165	FAK	0.102849619218725
AGID02151	2457	8556	Set165	FAK_pY397	0.615108189851947
AGID00171	1156	3180	Old	FASN	-0.43494
AGID00356	2085	500-P18/10775-082	Set165	FGF-basic	0.945251433165266
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.34017
AGID00339	1959	4403	Set165	FN14	0.154684339382184
AGID02152	2458	20459	Old	FOXM1	-0.48718
AGID00378	269	9467	Old	FOXO3A	-0.13558
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.23976
AGID02167	2475	PA5-64616	Set165	FRS2-alpha_pY196	-0.0447658616486323
AGID02213	2575	ab124892	Set165	FTO	-0.371350050544882
AGID02141	2446	12263	Old	G6PD	-0.25065
AGID00117	943	3239	Old	GAB2	0.6618
AGID00412	274	AM4300	Old	GAPDH	-1.7533
AGID00086	764	558686	Old	GATA3	-0.0013459
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set165	GCLC	0.233069189060979
AGID00305	1745	ab124827	Set165	GCLM	0.0252500885337486
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set165	Gli1	0.118030284494975
AGID00263	1520	ab69838	Set165	Gli3	-0.29110772472071
AGID00548	2530	3660	Set165	Glucocorticoid-Receptor	-0.29076432802339
AGID00387	1617	12793	Set165	Glutamate-D1-2	0.103260707552905
AGID00262	1491	ab156876	Set165	Glutaminase	-0.0684882308369316
AGID00319	1807	4275	Set165	Granzyme-B	0.2629098471298
AGID00368	2169	ab183737	Set165	GRB7	0.0103668663583872
AGID00396	2339	3593	Set165	Grp75	-0.360867373903536
AGID00174	1163	9315	Set165	GSK-3B	0.379084754228741
AGID00502	1082	9336	Old	GSK3_pS9	1.4003
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	0.063804
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	1.2106
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set165	H2AX_pS139	0.278372896931969
AGID00363	1409	MA1-2022	Set165	H2AX_pS140	-0.0364063173067911
AGID00131	1038	MS-325-P1	Old	HER2	0.38954
AGID00142	299	06-229	Old	HER2_pY1248	0.44417
AGID00110	911	sc-285	Old	HER3	-0.26149
AGID00080	728	4791	Old	HER3_pY1289	-0.025804
AGID00103	890	2573	Old	HEREGULIN	-0.26065
AGID00271	1582	11988	Set165	HES1	0.689016326797455
AGID00397	2340	2024	Set165	Hexokinase-I	0.0106569891361208
AGID00442	1023	2867	Set165	Hexokinase-II	0.887635169020032
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set165	Histone-H3	-0.513584679242641
AGID00398	2341	3377	Set165	Histone-H3_pS10	-0.159691364609595
AGID00332	1901	ab128959	Set165	HLA-DQA1	NA
AGID00333	1902	14832-1-AP	Set165	HMHA1	-0.767540990177078
AGID00035	321	2402	Set165	HSP27	0.72174653035868
AGID00036	323	2401	Set165	HSP27_pS82	0.88393851051327
AGID00320	1808	12165	Set165	HSP60	-0.01909006013106
AGID00037	325	4872	Old	HSP70	-0.00064155
AGID00366	2158	86630	Set165	IDO	1.00198464921663
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	-0.080651
AGID00038	335	3922	Old	IGFBP2	1.7683
AGID00090	793	611504	Set165	IGFBP3	0.702039212853695
AGID00039	336	3027	Set165	IGFRb	-0.243493843297652
AGID00336	1949	12153	Set165	IL-6	0.161346527521102
AGID02221	2583	57145	Set165	IMP3	-0.192022829015911
AGID02153	2459	14543	Old	INPP4B	0.30996
AGID00272	1586	3025	Set165	IR-b	0.28977393989198
AGID00519	2519	4302	Set165	IRF-3	0.244419718062337
AGID00520	2520	4947	Set165	IRF-3_pS396	-0.0887152171495019
AGID00223	1316	sc-497	Old	IRF1	-0.19815
AGID00092	802	06-248	Old	IRS1	-0.20218
AGID00040	371	4502	Set165	IRS2	-0.608086392603174
AGID00250	1394	sc-13157	Old	JAB1	-0.39393
AGID00256	1413	ab109536	Set165	Jagged1	-0.031041622669267
AGID00177	1166	3230	Old	JAK2	-0.29626
AGID00758	377	4671	Old	JNK_pT183Y185	-0.26072
AGID02136	2439	PA5-28262	Old	JNK2	-0.23517
AGID00307	1757	ab10484	Set165	KAP1	-0.525205107372343
AGID00528	904	2180	Old	KU80	0.20487
AGID00375	2237	HPA028732	Set165	LAD1	1.33143507993199
AGID00290	1643	IHC-00439	Set165	Lasu1	-1.0475678921176
AGID00279	1618	4108	Set165	LC3A-B	0.461043890249241
AGID00042	397	2752	Old	LCK	0.28504
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	-0.045294
AGID00244	1367	2568	Set165	LRP6_pS1490	0.198577941962957
AGID00439	2424	2796	Set165	Lyn	1.92645006535152
AGID02154	2460	4370	Old	MAPK_pT202Y204	1.1324
AGID00198	1222	5453	Set165	Mcl-1	-0.0356649146733585
AGID00288	1633	AB3314P	Set165	MCT4	0.990982649829169
AGID00175	1164	3521	Set165	MDM2_pS166	-0.150966232134798
AGID00044	417	1235-1/ab32576	Old	MEK1	0.81375
AGID00143	1076	9154	Old	MEK1_pS217S221	0.26127
AGID00201	1243	9125	Set165	MEK2	0.40195482043485
AGID00361	2118	ab51061	Set165	MelanA	0.042713233177505
AGID00362	2119	ab137078	Set165	Melanoma-gp100	0.351913079274493
AGID00337	1951	12711	Set165	MERIT40	0.138368491868885
AGID00338	1952	12110	Set165	MERIT40_pS29	0.237064709998315
AGID02212	2574	ab195352	Set165	METTL3	-0.546778577683325
AGID00225	1323	sc-20121	Set165	MIF	0.0786167528226535
AGID00137	1062	WH0054206M1	Old	MIG6	-0.22323
AGID00403	2117	ab20663	Set165	MITF	-0.152750704816417
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set165	Mitofusin-1	0.126078161724346
AGID00322	1810	11925	Set165	Mitofusin-2	-0.570811711673633
AGID00389	2324	3515	Set165	MLH1	-0.315971479463454
AGID00312	1780	14993	Set165	MLKL	0.137565634376337
AGID00402	2359	MAB3328	Set165	MMP14	-0.383521047009123
