AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.26109
AGID00111	913	sc-23957	Old	1433EPSILON	-0.12187
AGID00101	883	sc-1019	Old	1433ZETA	0.08785
AGID00001	2	9452	Old	4EBP1	-0.35172
AGID00002	3	9456	Old	4EBP1_pS65	0.15279
AGID00003	6	9459	Old	4EBP1_pT37T46	0.52624
AGID00443	8	9455	Old	4EBP1_pT70	-0.16188
AGID00120	985	4937	Old	53BP1	-0.070931
AGID00004	13	3661	Old	ACC_pS79	-0.081167
AGID00005	14	1768-1/ab45174	Old	ACC1	0.048165
AGID00408	2372	3658	Set165	AceCS1	1.06921256999423
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.7361
AGID00404	2367	9189	Set165	ACSL1	0.358726993753662
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.30271
AGID00186	1198	ab88574	Old	ADAR1	-0.33209
AGID00146	1084	4691	Old	AKT	0.21261
AGID00028	230	9271	Old	AKT_pS473	-0.14671
AGID00170	1154	2965	Old	AKT_pT308	-0.23854
AGID00316	1800	3063	Set165	Akt2	0.0832763008147732
AGID00347	2009	8599	Set165	Akt2_pS474	0.94195319348402
AGID02215	2577	ab195377	Set165	ALKBH5	-0.62765907195617
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.184613943698511
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.149132621367496
AGID00006	39	2532	Old	AMPKALPHA	0.27299
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.20382
AGID00193	1208	610066	Old	ANNEXIN1	0.66497
AGID00166	1142	610668	Old	ANNEXINVII	-0.13993
AGID00371	756	1852-1/ab52615	Old	AR	-0.4816
AGID00194	1217	4432	Old	ARAF	0.0018283
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.1275
AGID00260	1053	sc-32761	Old	ARID1A	-0.11459
AGID00264	1560	HPA029318	Old	ASNS	0.10466
AGID00276	1612	3415	Set165	Atg3	0.277681174103388
AGID00309	1775	13507	Set165	Atg4B	-0.16847115936468
AGID00310	1776	12994	Set165	Atg5	-0.00252667190521111
AGID00277	1613	8558	Set165	Atg7	0.557063231911826
AGID00242	1363	2873	Old	ATM	-0.29163
AGID02142	2447	13050	Set165	ATM_pS1981	1.28188920958603
AGID00217	1289	ab14748	Set165	ATP5A	-0.202227022653251
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.252879182482908
AGID02150	2456	13934	Set165	ATR	-0.269264323483595
AGID00315	1795	ab178407	Set165	ATR_pS428	-0.168560669300186
AGID00268	1569	ab97508	Set165	ATRX	0.106135126050219
AGID00391	2332	14475	Set165	Aurora-A	-0.455572080248513
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.237037536678698
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.617435233667065
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	-0.193023654896861
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.417235116620285
AGID00301	1725	14058	Set165	B7-H3	-0.264508599738981
AGID00302	1726	14572	Set165	B7-H4	-0.196600359407208
AGID00008	63	9291	Old	BAD_pS112	0.37756
AGID00009	71	1542-1/ab32371	Old	BAK	-0.55575
AGID00192	1207	sc-28383	Old	BAP1C4	-0.59689
AGID00010	73	2772	Old	BAX	0.15544
AGID00433	80	M0887	Old	BCL2	-0.35718
AGID00219	1299	PAB8528	Old	BCL2A1	-0.21118
