AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.22301
AGID00111	913	sc-23957	Old	1433EPSILON	-0.32302
AGID00101	883	sc-1019	Old	1433ZETA	-0.014261
AGID00001	2	9452	Old	4EBP1	0.16002
AGID00002	3	9456	Old	4EBP1_pS65	0.19117
AGID00003	6	9459	Old	4EBP1_pT37T46	0.52438
AGID00443	8	9455	Old	4EBP1_pT70	0.075802
AGID00120	985	4937	Old	53BP1	0.51326
AGID00004	13	3661	Old	ACC_pS79	1.1663
AGID00005	14	1768-1/ab45174	Old	ACC1	0.99898
AGID00408	2372	3658	Set165	AceCS1	0.8592337862662
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.1136
AGID00404	2367	9189	Set165	ACSL1	-0.214665459126998
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.3005
AGID00186	1198	ab88574	Old	ADAR1	0.13949
AGID00146	1084	4691	Old	AKT	0.0191
AGID00028	230	9271	Old	AKT_pS473	0.52516
AGID00170	1154	2965	Old	AKT_pT308	0.23703
AGID00316	1800	3063	Set165	Akt2	0.403122050718245
AGID00347	2009	8599	Set165	Akt2_pS474	0.607023165018991
AGID02215	2577	ab195377	Set165	ALKBH5	0.909177034122634
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.370707594629169
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.139173922078295
AGID00006	39	2532	Old	AMPKALPHA	-0.094078
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.49385
AGID00193	1208	610066	Old	ANNEXIN1	0.58153
AGID00166	1142	610668	Old	ANNEXINVII	-0.082396
AGID00371	756	1852-1/ab52615	Old	AR	-0.48722
AGID00194	1217	4432	Old	ARAF	-0.16431
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.31768
AGID00260	1053	sc-32761	Old	ARID1A	-0.09224
AGID00264	1560	HPA029318	Old	ASNS	0.5184
AGID00276	1612	3415	Set165	Atg3	0.312744192239003
AGID00309	1775	13507	Set165	Atg4B	-0.430520034711458
AGID00310	1776	12994	Set165	Atg5	0.251636524184148
AGID00277	1613	8558	Set165	Atg7	-0.133459326181295
AGID00242	1363	2873	Old	ATM	-0.31763
AGID02142	2447	13050	Set165	ATM_pS1981	1.0189824094455
AGID00217	1289	ab14748	Set165	ATP5A	-0.316796046356506
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.343094343510248
AGID02150	2456	13934	Set165	ATR	-0.0888714459183225
AGID00315	1795	ab178407	Set165	ATR_pS428	0.106576083539343
AGID00268	1569	ab97508	Set165	ATRX	-0.0892709522296119
AGID00391	2332	14475	Set165	Aurora-A	-0.0900612399282398
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	0.0322589314642695
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.257398747675976
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	-0.435904769989803
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.320352120096964
AGID00301	1725	14058	Set165	B7-H3	0.566237551807896
AGID00302	1726	14572	Set165	B7-H4	0.0419826062138244
AGID00008	63	9291	Old	BAD_pS112	0.41083
AGID00009	71	1542-1/ab32371	Old	BAK	0.29873
AGID00192	1207	sc-28383	Old	BAP1C4	-0.11603
