AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.17316
AGID00111	913	sc-23957	Old	1433EPSILON	0.45431
AGID00101	883	sc-1019	Old	1433ZETA	-0.49632
AGID00001	2	9452	Old	4EBP1	-0.33107
AGID00002	3	9456	Old	4EBP1_pS65	-0.10483
AGID00003	6	9459	Old	4EBP1_pT37T46	0.45733
AGID00443	8	9455	Old	4EBP1_pT70	0.14166
AGID00120	985	4937	Old	53BP1	-1.0875
AGID00004	13	3661	Old	ACC_pS79	-0.031591
AGID00005	14	1768-1/ab45174	Old	ACC1	0.038256
AGID00408	2372	3658	Set172	AceCS1	1.49023483867666
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.563
AGID00404	2367	9189	Set172	ACSL1	0.726264672758632
AGID02144	2450	PA5-27081	Old	ACVRL1	0.30035
AGID00186	1198	ab88574	Old	ADAR1	0.17118
AGID00146	1084	4691	Old	AKT	-0.14956
AGID00028	230	9271	Old	AKT_pS473	1.0665
AGID00170	1154	2965	Old	AKT_pT308	0.45545
AGID00316	1800	3063	Set172	Akt2	0.0728151548113004
AGID00347	2009	8599	Set172	Akt2_pS474	0.537735551251233
AGID02215	2577	ab195377	Set172	ALKBH5	-0.287275276701809
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	0.0394025587279117
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	0.116627063297953
AGID00006	39	2532	Old	AMPKALPHA	0.23554
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.87152
AGID00193	1208	610066	Old	ANNEXIN1	0.84077
AGID00166	1142	610668	Old	ANNEXINVII	0.37062
AGID00371	756	1852-1/ab52615	Old	AR	0.75914
AGID00194	1217	4432	Old	ARAF	0.18138
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.14768
AGID00260	1053	sc-32761	Old	ARID1A	-0.022775
AGID00264	1560	HPA029318	Old	ASNS	-0.35219
AGID00276	1612	3415	Set172	Atg3	0.0588400513949036
AGID00309	1775	13507	Set172	Atg4B	-0.0224392882722458
AGID00310	1776	12994	Set172	Atg5	0.460982358418198
AGID00277	1613	8558	Set172	Atg7	1.21212827472929
AGID00242	1363	2873	Old	ATM	0.59267
AGID02142	2447	13050	Set172	ATM_pS1981	0.161034040466476
AGID00217	1289	ab14748	Set172	ATP5A	0.390594525886837
AGID02145	2451	PA5-43776	Set172	ATP5H	-0.419887446560598
AGID02150	2456	13934	Set172	ATR	-0.195986193566879
AGID00315	1795	ab178407	Set172	ATR_pS428	0.209386175023436
AGID00268	1569	ab97508	Set172	ATRX	-0.488742867023471
AGID00391	2332	14475	Set172	Aurora-A	-0.855031157154043
AGID00392	2333	2914	Set172	Aurora-ABC_pT288_pT232_pT198	-0.154602790847709
AGID02195	2512	MA5-27890	Set172	Aurora-B	0.279164353508903
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set172	b-Actin	-0.203605359150224
AGID00179	1170	9565	Set172	b-Catenin_pT41_S45	-0.591469329542731
AGID00301	1725	14058	Set172	B7-H3	-0.042908974375212
AGID00302	1726	14572	Set172	B7-H4	-0.197052008857373
AGID00008	63	9291	Old	BAD_pS112	-0.036001
AGID00009	71	1542-1/ab32371	Old	BAK	-0.94278
AGID00192	1207	sc-28383	Old	BAP1C4	-0.15949
AGID00010	73	2772	Old	BAX	-0.28441
AGID00433	80	M0887	Old	BCL2	0.1936
AGID00219	1299	PAB8528	Old	BCL2A1	0.019814
AGID00012	84	1018-1	Old	BCLXL	-0.085682
AGID00377	87	sc-10086	Old	BECLIN	0.2873
AGID00011	75	9562	Old	BETACATENIN	-0.88747
AGID00013	88	1008-1/ab32060	Old	BID	-0.20264
AGID00180	90	1036-1/ab32158	Old	BIM	-0.21837
AGID00221	1311	610978	Set172	BiP-GRP78	0.0858141111967935
AGID00373	2194	07-507	Set172	BMK1-Erk5_pT218_Y220	-0.0662486495148514
AGID00355	92	1647/ab33899	Old	BRAF	-0.16971
AGID00014	94	2696	Old	BRAF_pS445	0.54383
AGID00445	761	9012	Old	BRCA2	0.178
AGID00266	1567	13440	Old	BRD4	-0.90041
AGID00168	1146	2865	Set172	c-Abl_pY412	-0.0827533498653306
AGID00278	1615	3130	Set172	c-IAP2	-0.124440908895882
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.078576
AGID00429	2407	2679	Set172	Calnexin	0.162461896332631
AGID00176	1165	9496	Set172	Caspase-8-cleaved	-0.883782566719027
AGID00623	111	9665	Old	CASPASE3	-0.0046093
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.0575
AGID00118	951	9746	Old	CASPASE8	0.27948
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-2.126
AGID00358	2100	ab76000	Set172	CD134	-0.0440276317512432
AGID00303	1737	826701	Set172	CD171	0.488029869163644
AGID00410	125	1632-1/ab78237	Old	CD20	-0.44695
AGID00220	1308	ab28340	Old	CD26	0.27373
AGID00191	1206	610467	Set172	CD29	0.143598786533951
AGID00017	127	M0823	Old	CD31	0.31377
AGID00369	2174	ab108403	Set172	CD38	-0.16414520124078
AGID00359	2104	ab133616	Set172	CD4	0.900339931751777
AGID00411	1398	3570	Set172	CD44	-0.0350176877235799
AGID00237	1352	M070101-2	Set172	CD45	0.0923719351471013
AGID00115	937	611016	Old	CD49B	0.10901
AGID02171	2482	91882	Set172	CD86	1.17478898874656
AGID00329	1873	4688	Set172	cdc25C	-0.293626897968447
AGID00227	1332	4651	Set172	Cdc42	0.0479465760267129
AGID00422	2396	3387	Set172	Cdc6	-0.296530779131614
AGID00501	1007	9112	Old	CDK1	0.012968
AGID00293	1658	ab32384	Set172	CDK1_pT14	-1.05216122464906
AGID00314	1783	4539	Old	CDK1_pY15	-0.23781
AGID00423	2397	8064	Set172	CDT1	-0.720327470896412
AGID02101	2348	15102	Set172	cGAS	0.205515273093804
AGID00447	2410	13460	Set172	CHD1L	0.0161078934315077
AGID00189	1203	2360	Old	CHK1	-0.48129
AGID00234	1348	ab79758	Old	CHK1_pS296	0.0026983
AGID00107	903	2348	Old	CHK1_pS345	-0.40583
AGID00018	146	3440	Old	CHK2	-0.25304
AGID00019	147	2197	Old	CHK2_pT68	0.27071
AGID00527	2078	4952	Old	CIAP	0.12464
AGID00350	2018	3793	Set172	CIITA	-0.0122479339665019
AGID00434	155	9164	Old	CJUN_pS73	0.54078
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.27667
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.0954
AGID00466	726	3127	Old	CMET	0.52629
AGID00079	727	3129	Old	CMET_pY1235	0.038182
AGID00167	161	9402	Old	CMYC	0.011094
AGID00292	1656	11130-1-AP	Old	COG3	-0.02263
AGID00021	171	sc-20649	Old	COLLAGENVI	0.13211
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set172	Connexin-43	-0.815738812336609
AGID00269	1571	6434	Set172	Coup-TFII	0.669338809467434
AGID00150	1116	4850	Set172	Cox-IV	0.368456818952583
AGID00195	1218	4842	Set172	Cox2	-0.535558223999187
AGID00188	803	05-739	Old	CRAF	-0.20558
AGID00022	179	9427	Old	CRAF_pS338	-0.14201
AGID00023	181	9197	Set172	Creb	-0.461241239872283
AGID00393	2334	9198	Set172	CREB_pS133	-0.354714163758158
AGID00365	2155	4980	Set172	CSK	-0.106978325702449
AGID00367	2160	9201	Set172	CtIP	-0.311388568744474
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set172	Cyclin-D3	-0.157379237147328
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.2695
AGID00382	194	sc-718	Old	CYCLIND1	0.085694
AGID00437	199	sc-25303	Old	CYCLINE1	-0.44952
AGID00449	202	1142-1	Old	CYCLINE2	-0.56175
AGID00209	1257	ab110324	Set172	Cyclophilin-F	0.115609009191858
AGID00247	1379	ab48389	Set172	D-a-Tubulin	-0.28659587418225
AGID00308	1770	GTX10524	Set172	DAPK1_pS308	-0.110149414752091
AGID00304	1744	ab51601	Set172	DAPK2	0.0944927990696419
AGID00343	1980	6998	Set172	DDB-1	0.838471180078248
AGID00427	2402	5583	Set172	DDR1	0.388510571862435
AGID00428	2403	SAB4504671	Set172	DDR1_pY513	0.0738038462208884
AGID00532	1273	Bast Lab	Old	DIRAS3	0.19677
AGID00104	891	ab76008	Old	DJ1	-0.048324
AGID02146	2452	4658	Set172	DM-Histone-H3	-0.439994121872675
AGID00386	1397	ab32521	Set172	DM-K9-Histone-H3	-0.364688769555858
AGID00352	2030	14649	Set172	DNA-Ligase-IV	0.170760571939986
AGID00407	2371	13609	Set172	DNA_POLG	0.0672998780548632
AGID00399	2344	5032	Set172	DNMT1	-0.889201456795788
AGID00409	2373	5391	Set172	DRP1	0.0676180672149307
AGID00253	1406	5149	Old	DUSP4	-0.14697
AGID00334	1936	ab76310	Set172	DUSP6	0.0981128519476618
AGID00116	940	3218	Old	DVL3	-0.67765
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-2.2256
AGID00135	1060	2332	Old	EEF2	-0.80211
AGID00136	1061	3692	Old	EEF2K	-0.33688
AGID00152	1120	2232	Old	EGFR	-0.064802
AGID00450	217	2234	Old	EGFR_pY1068	0.52839
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.34619
AGID00078	722	9742	Old	EIF4E	-0.90105
AGID00328	1871	ab76256	Set172	eIF4E_pS209	-0.214052646482853
AGID00154	1124	2498	Old	EIF4G	-0.2991
AGID00027	228	9181	Set172	Elk1_pS383	-0.503435625058153
AGID00235	1350	M061329-2	Set172	EMA	-3.62827181497283
AGID00394	2337	3810	Set172	Enolase-1	1.04592880240636
AGID00395	2338	8171	Set172	Enolase-2	-0.119313474628155
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set172	EphA2	0.284584252765841
AGID00552	2422	6347	Set172	EphA2_pS897	0.370739560411842
AGID00553	2423	12677	Set172	EphA2_pY588	-0.481449876735981
AGID00075	693	556347	Old	EPPK1	0.80802
AGID00335	238	RM-9101	Old	ERALPHA	-0.97136
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.48627
AGID00240	247	MS-671	Old	ERCC1	-0.43104
AGID00239	1355	11331-1-AP	Old	ERCC5	0.36025
AGID00484	249	sc-154	Old	ERK2	-0.18133
AGID00372	2193	3552	Set172	Erk5	0.129175059819389
AGID00405	2369	13826	Set172	ERRalpha	0.713629992859817
AGID00187	1200	A303-501A	Old	ETS1	-0.48294
AGID00511	2492	2593	Set172	EVI1	-0.305333173024533
