AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.21492
AGID00111	913	sc-23957	Old	1433EPSILON	-0.36533
AGID00101	883	sc-1019	Old	1433ZETA	0.27959
AGID00001	2	9452	Old	4EBP1	0.35268
AGID00002	3	9456	Old	4EBP1_pS65	0.75463
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.41641
AGID00443	8	9455	Old	4EBP1_pT70	0.020953
AGID00120	985	4937	Old	53BP1	1.7291
AGID00004	13	3661	Old	ACC_pS79	0.9546
AGID00005	14	1768-1/ab45174	Old	ACC1	1.3159
AGID00408	2372	3658	Set165	AceCS1	0.83327522206137
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.56771
AGID00404	2367	9189	Set165	ACSL1	-0.446928532957394
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.37428
AGID00186	1198	ab88574	Old	ADAR1	0.27132
AGID00146	1084	4691	Old	AKT	0.014632
AGID00028	230	9271	Old	AKT_pS473	-1.0972
AGID00170	1154	2965	Old	AKT_pT308	-0.58303
AGID00316	1800	3063	Set165	Akt2	-0.334357188512593
AGID00347	2009	8599	Set165	Akt2_pS474	1.55590697866711
AGID02215	2577	ab195377	Set165	ALKBH5	0.542558288268239
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.325149133391201
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.0931327703685853
AGID00006	39	2532	Old	AMPKALPHA	0.78433
AGID00007	40	2535	Old	AMPKALPHA_pT172	1.2834
AGID00193	1208	610066	Old	ANNEXIN1	2.7981
AGID00166	1142	610668	Old	ANNEXINVII	0.065509
AGID00371	756	1852-1/ab52615	Old	AR	0.072786
AGID00194	1217	4432	Old	ARAF	0.21131
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.04755
AGID00260	1053	sc-32761	Old	ARID1A	0.31344
AGID00264	1560	HPA029318	Old	ASNS	2.4732
AGID00276	1612	3415	Set165	Atg3	-0.54305548993429
AGID00309	1775	13507	Set165	Atg4B	-0.163839979598575
AGID00310	1776	12994	Set165	Atg5	0.33423148211969
AGID00277	1613	8558	Set165	Atg7	0.0678809778091517
AGID00242	1363	2873	Old	ATM	-0.28347
AGID02142	2447	13050	Set165	ATM_pS1981	2.34302866576031
AGID00217	1289	ab14748	Set165	ATP5A	0.132545371911967
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.241874366986546
AGID02150	2456	13934	Set165	ATR	0.032229752704517
AGID00315	1795	ab178407	Set165	ATR_pS428	-0.335757762888326
AGID00268	1569	ab97508	Set165	ATRX	0.264852192979925
AGID00391	2332	14475	Set165	Aurora-A	0.13748414990654
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.690263453546391
AGID02195	2512	MA5-27890	Set165	Aurora-B	0.0529562663234573
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	-0.214706334654779
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.258021595612683
AGID00301	1725	14058	Set165	B7-H3	1.11906551273634
AGID00302	1726	14572	Set165	B7-H4	-0.192337426330448
AGID00008	63	9291	Old	BAD_pS112	0.024278
AGID00009	71	1542-1/ab32371	Old	BAK	-0.094015
AGID00192	1207	sc-28383	Old	BAP1C4	0.2299
AGID00010	73	2772	Old	BAX	0.40076
AGID00433	80	M0887	Old	BCL2	-0.3568
AGID00219	1299	PAB8528	Old	BCL2A1	-0.165
AGID00012	84	1018-1	Old	BCLXL	0.19766
AGID00377	87	sc-10086	Old	BECLIN	-0.23455
AGID00011	75	9562	Old	BETACATENIN	2.1001
AGID00013	88	1008-1/ab32060	Old	BID	0.22952
AGID00180	90	1036-1/ab32158	Old	BIM	0.079016
AGID00221	1311	610978	Set165	BiP-GRP78	-0.138733887052243
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	0.0458780850485541
AGID00355	92	1647/ab33899	Old	BRAF	1.5774
AGID00014	94	2696	Old	BRAF_pS445	0.38485
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.43829
AGID00168	1146	2865	Set165	c-Abl_pY412	0.0363659361250241
AGID00278	1615	3130	Set165	c-IAP2	-0.262695745819142
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.028864
AGID00429	2407	2679	Set165	Calnexin	-0.84156150912248
AGID00176	1165	9496	Set165	Caspase-8-cleaved	-0.0801312438439767
AGID00623	111	9665	Old	CASPASE3	-0.14921
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.63489
AGID00118	951	9746	Old	CASPASE8	0.38416
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.18836
AGID00358	2100	ab76000	Set165	CD134	-0.10275093129472
AGID00303	1737	826701	Set165	CD171	0.0950996973714973
AGID00410	125	1632-1/ab78237	Old	CD20	0.16091
AGID00220	1308	ab28340	Old	CD26	-0.4495
