AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.21311
AGID00111	913	sc-23957	Old	1433EPSILON	-0.30425
AGID00101	883	sc-1019	Old	1433ZETA	0.056666
AGID00001	2	9452	Old	4EBP1	-0.48089
AGID00002	3	9456	Old	4EBP1_pS65	-0.02923
AGID00003	6	9459	Old	4EBP1_pT37T46	0.23575
AGID00443	8	9455	Old	4EBP1_pT70	0.061741
AGID00120	985	4937	Old	53BP1	-0.24077
AGID00004	13	3661	Old	ACC_pS79	-0.36374
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.044
AGID00408	2372	3658	Set165	AceCS1	-0.395671545504325
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.44346
AGID00404	2367	9189	Set165	ACSL1	-0.709714699205745
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.29533
AGID00186	1198	ab88574	Old	ADAR1	-0.27115
AGID00146	1084	4691	Old	AKT	0.18092
AGID00028	230	9271	Old	AKT_pS473	0.70373
AGID00170	1154	2965	Old	AKT_pT308	0.46873
AGID00316	1800	3063	Set165	Akt2	-0.320864662669612
AGID00347	2009	8599	Set165	Akt2_pS474	0.998366858513805
AGID02215	2577	ab195377	Set165	ALKBH5	-0.484546086058241
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.120250601686624
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.19894754888024
AGID00006	39	2532	Old	AMPKALPHA	0.38047
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.50689
AGID00193	1208	610066	Old	ANNEXIN1	-0.037545
AGID00166	1142	610668	Old	ANNEXINVII	-0.21482
AGID00371	756	1852-1/ab52615	Old	AR	-0.23884
AGID00194	1217	4432	Old	ARAF	0.095022
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.019823
AGID00260	1053	sc-32761	Old	ARID1A	0.0091449
AGID00264	1560	HPA029318	Old	ASNS	0.10595
AGID00276	1612	3415	Set165	Atg3	0.0875550866151444
AGID00309	1775	13507	Set165	Atg4B	0.168081371497385
AGID00310	1776	12994	Set165	Atg5	-0.004609514423486
AGID00277	1613	8558	Set165	Atg7	-0.0335675987229223
AGID00242	1363	2873	Old	ATM	0.30725
