AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.020519
AGID00111	913	sc-23957	Old	1433EPSILON	-0.035329
AGID00101	883	sc-1019	Old	1433ZETA	-0.061765
AGID00001	2	9452	Old	4EBP1	-0.29851
AGID00002	3	9456	Old	4EBP1_pS65	-0.18946
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.031784
AGID00443	8	9455	Old	4EBP1_pT70	0.088409
AGID00120	985	4937	Old	53BP1	-0.71018
AGID00004	13	3661	Old	ACC_pS79	-0.19489
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.17285
AGID00408	2372	3658	Set165	AceCS1	0.714442596770373
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.11124
AGID00404	2367	9189	Set165	ACSL1	0.645870470015084
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.060591
AGID00186	1198	ab88574	Old	ADAR1	-0.20712
AGID00146	1084	4691	Old	AKT	-0.0071002
AGID00028	230	9271	Old	AKT_pS473	-0.059652
AGID00170	1154	2965	Old	AKT_pT308	-0.15331
AGID00316	1800	3063	Set165	Akt2	-0.105305064503422
AGID00347	2009	8599	Set165	Akt2_pS474	1.45799878668329
AGID02215	2577	ab195377	Set165	ALKBH5	-1.257054774462
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.0218214480660702
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.195967014585718
AGID00006	39	2532	Old	AMPKALPHA	-0.15492
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.096829
AGID00193	1208	610066	Old	ANNEXIN1	1.005
AGID00166	1142	610668	Old	ANNEXINVII	-0.05873
AGID00371	756	1852-1/ab52615	Old	AR	-0.48592
AGID00194	1217	4432	Old	ARAF	0.014338
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.23325
AGID00260	1053	sc-32761	Old	ARID1A	-0.1859
AGID00264	1560	HPA029318	Old	ASNS	0.75963
AGID00276	1612	3415	Set165	Atg3	0.283259123290548
AGID00309	1775	13507	Set165	Atg4B	-0.312848616045669
AGID00310	1776	12994	Set165	Atg5	-0.184441935797626
AGID00277	1613	8558	Set165	Atg7	0.826392449031047
AGID00242	1363	2873	Old	ATM	-0.073955
AGID02142	2447	13050	Set165	ATM_pS1981	2.36616055070512
AGID00217	1289	ab14748	Set165	ATP5A	0.531914888108447
AGID02145	2451	PA5-43776	Set165	ATP5H	0.0851491847684864
AGID02150	2456	13934	Set165	ATR	-0.286039362834708
AGID00315	1795	ab178407	Set165	ATR_pS428	-0.293022251030317
AGID00268	1569	ab97508	Set165	ATRX	-0.438607836528799
AGID00391	2332	14475	Set165	Aurora-A	-1.04284966694637
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.540671811988149
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.784319016927073
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	0.419650977902428
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.453207583538219
AGID00301	1725	14058	Set165	B7-H3	0.151989935901095
AGID00302	1726	14572	Set165	B7-H4	-0.0821281435614074
AGID00008	63	9291	Old	BAD_pS112	0.61974
AGID00009	71	1542-1/ab32371	Old	BAK	0.9655
AGID00192	1207	sc-28383	Old	BAP1C4	-0.56888
AGID00010	73	2772	Old	BAX	0.24904
AGID00433	80	M0887	Old	BCL2	-0.056231
AGID00219	1299	PAB8528	Old	BCL2A1	0.017336
AGID00012	84	1018-1	Old	BCLXL	0.41382
AGID00377	87	sc-10086	Old	BECLIN	0.18285
AGID00011	75	9562	Old	BETACATENIN	0.099893
AGID00013	88	1008-1/ab32060	Old	BID	-0.13782
AGID00180	90	1036-1/ab32158	Old	BIM	-0.48673
AGID00221	1311	610978	Set165	BiP-GRP78	-0.135063174676049
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	-0.300029458868885
AGID00355	92	1647/ab33899	Old	BRAF	-0.10081
AGID00014	94	2696	Old	BRAF_pS445	0.10721
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-0.82747
AGID00168	1146	2865	Set165	c-Abl_pY412	0.177234065239963
AGID00278	1615	3130	Set165	c-IAP2	0.0391472974484639
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.27457
AGID00429	2407	2679	Set165	Calnexin	0.176954299900389
AGID00176	1165	9496	Set165	Caspase-8-cleaved	-0.283861617882528
AGID00623	111	9665	Old	CASPASE3	-0.65465
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.041764
AGID00118	951	9746	Old	CASPASE8	0.040452
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.967
AGID00358	2100	ab76000	Set165	CD134	-0.0744669994799472
AGID00303	1737	826701	Set165	CD171	-1.03459571787487
AGID00410	125	1632-1/ab78237	Old	CD20	-0.21095
AGID00220	1308	ab28340	Old	CD26	0.064024
AGID00191	1206	610467	Set165	CD29	-0.119190999736178
AGID00017	127	M0823	Old	CD31	0.44733
AGID00369	2174	ab108403	Set165	CD38	0.264871054802468
AGID00359	2104	ab133616	Set165	CD4	0.570311611861676
AGID00411	1398	3570	Set165	CD44	0.53037385709863
AGID00237	1352	M070101-2	Set165	CD45	0.734737255255022
AGID00115	937	611016	Old	CD49B	0.47204
AGID02171	2482	91882	Set165	CD86	0.465785200168433
AGID00329	1873	4688	Set165	cdc25C	-0.559384266174936
AGID00227	1332	4651	Set165	Cdc42	0.275275448013044
AGID00422	2396	3387	Set165	Cdc6	0.140637361585064
AGID00501	1007	9112	Old	CDK1	-0.052002
AGID00293	1658	ab32384	Set165	CDK1_pT14	-1.08422765402981
AGID00314	1783	4539	Old	CDK1_pY15	-0.77602
AGID00423	2397	8064	Set165	CDT1	0.835725551451498
AGID02101	2348	15102	Set165	cGAS	-0.0661593494350067
AGID00447	2410	13460	Set165	CHD1L	0.0270225615949379
AGID00189	1203	2360	Old	CHK1	-0.15578
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.1087
AGID00107	903	2348	Old	CHK1_pS345	-0.043615
AGID00018	146	3440	Old	CHK2	-0.68823
AGID00019	147	2197	Old	CHK2_pT68	-0.22934
AGID00527	2078	4952	Old	CIAP	-0.18525
AGID00350	2018	3793	Set165	CIITA	0.26513190268737
AGID00434	155	9164	Old	CJUN_pS73	0.036234
AGID00020	157	1522-1/ab32363	Old	CKIT	0.69585
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.032798
AGID00466	726	3127	Old	CMET	-0.15757
AGID00079	727	3129	Old	CMET_pY1235	-0.11477
AGID00167	161	9402	Old	CMYC	-0.27581
AGID00292	1656	11130-1-AP	Old	COG3	-0.078489
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.070578
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set165	Connexin-43	-1.52447760125941
AGID00269	1571	6434	Set165	Coup-TFII	0.0322845516391804
AGID00150	1116	4850	Set165	Cox-IV	0.0523681887904685
AGID00195	1218	4842	Set165	Cox2	0.258560690168243
AGID00188	803	05-739	Old	CRAF	0.34857
AGID00022	179	9427	Old	CRAF_pS338	0.13643
AGID00023	181	9197	Set165	Creb	0.45395559407562
AGID00393	2334	9198	Set165	CREB_pS133	0.093205722011579
AGID00365	2155	4980	Set165	CSK	0.351797266538989
AGID00367	2160	9201	Set165	CtIP	0.332599364505675
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set165	Cyclin-D3	0.30005413246549
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.9701
AGID00382	194	sc-718	Old	CYCLIND1	0.25513
AGID00437	199	sc-25303	Old	CYCLINE1	-0.33187
AGID00449	202	1142-1	Old	CYCLINE2	-0.32194
AGID00209	1257	ab110324	Set165	Cyclophilin-F	0.0748556007242193
AGID00247	1379	ab48389	Set165	D-a-Tubulin	-0.19895924476877
AGID00308	1770	GTX10524	Set165	DAPK1_pS308	-0.0190460833178972
AGID00304	1744	ab51601	Set165	DAPK2	0.298416164566227
AGID00343	1980	6998	Set165	DDB-1	-0.317313888191944
AGID00427	2402	5583	Set165	DDR1	-0.093355634708769
AGID00428	2403	SAB4504671	Set165	DDR1_pY513	0.242326057453272
AGID00532	1273	Bast Lab	Old	DIRAS3	0.055849
AGID00104	891	ab76008	Old	DJ1	-0.17114
AGID02146	2452	4658	Set165	DM-Histone-H3	0.419938919501257
AGID00386	1397	ab32521	Set165	DM-K9-Histone-H3	-0.274525322833983
AGID00352	2030	14649	Set165	DNA-Ligase-IV	0.0661261297521199
AGID00407	2371	13609	Set165	DNA_POLG	-0.225064559787736
AGID00399	2344	5032	Set165	DNMT1	-0.526186659886527
AGID00409	2373	5391	Set165	DRP1	-0.455187290967966
AGID00253	1406	5149	Old	DUSP4	-0.31519
AGID00334	1936	ab76310	Set165	DUSP6	0.00338268327754802
AGID00116	940	3218	Old	DVL3	-0.55567
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.064151
AGID00135	1060	2332	Old	EEF2	-0.17131
AGID00136	1061	3692	Old	EEF2K	-0.11383
