AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.22904
AGID00111	913	sc-23957	Old	1433EPSILON	-0.063067
AGID00101	883	sc-1019	Old	1433ZETA	-0.51371
AGID00001	2	9452	Old	4EBP1	-0.24726
AGID00002	3	9456	Old	4EBP1_pS65	-0.21601
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.34872
AGID00443	8	9455	Old	4EBP1_pT70	0.062311
AGID00120	985	4937	Old	53BP1	-0.84599
AGID00004	13	3661	Old	ACC_pS79	-0.16906
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.4537
AGID00408	2372	3658	Set165	AceCS1	0.744523113598832
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.29405
AGID00404	2367	9189	Set165	ACSL1	0.386377732127754
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.028955
AGID00186	1198	ab88574	Old	ADAR1	0.68654
AGID00146	1084	4691	Old	AKT	-0.15916
AGID00028	230	9271	Old	AKT_pS473	0.44602
AGID00170	1154	2965	Old	AKT_pT308	-0.24816
AGID00316	1800	3063	Set165	Akt2	-0.31404104297967
AGID00347	2009	8599	Set165	Akt2_pS474	0.752723576888668
AGID02215	2577	ab195377	Set165	ALKBH5	-0.540090994531995
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.14855114003571
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.13412169757166
AGID00006	39	2532	Old	AMPKALPHA	-0.75292
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.25262
AGID00193	1208	610066	Old	ANNEXIN1	1.7323
AGID00166	1142	610668	Old	ANNEXINVII	-0.05797
AGID00371	756	1852-1/ab52615	Old	AR	-0.49085
AGID00194	1217	4432	Old	ARAF	-0.11819
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.78782
AGID00260	1053	sc-32761	Old	ARID1A	-0.3254
AGID00264	1560	HPA029318	Old	ASNS	-0.35478
AGID00276	1612	3415	Set165	Atg3	-0.0694947014919291
AGID00309	1775	13507	Set165	Atg4B	-0.207832499725025
AGID00310	1776	12994	Set165	Atg5	-0.673553204677788
AGID00277	1613	8558	Set165	Atg7	0.126524646033947
AGID00242	1363	2873	Old	ATM	-0.73887
AGID02142	2447	13050	Set165	ATM_pS1981	1.70638596985859
AGID00217	1289	ab14748	Set165	ATP5A	2.05342579286894
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.176953250006473
AGID02150	2456	13934	Set165	ATR	-0.227238259343356
AGID00315	1795	ab178407	Set165	ATR_pS428	0.157085273317913
AGID00268	1569	ab97508	Set165	ATRX	0.302096648601302
AGID00391	2332	14475	Set165	Aurora-A	-0.52254892013969
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.184197544411506
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.37460378486852
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	-0.44784014366244
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.491491404091525
AGID00301	1725	14058	Set165	B7-H3	-0.0188302890789449
AGID00302	1726	14572	Set165	B7-H4	-0.0528962980164678
AGID00008	63	9291	Old	BAD_pS112	0.4629
AGID00009	71	1542-1/ab32371	Old	BAK	1.4835
AGID00192	1207	sc-28383	Old	BAP1C4	0.28929
AGID00010	73	2772	Old	BAX	-0.2226
AGID00433	80	M0887	Old	BCL2	0.55946
AGID00219	1299	PAB8528	Old	BCL2A1	-0.23847
AGID00012	84	1018-1	Old	BCLXL	-0.25528
AGID00377	87	sc-10086	Old	BECLIN	0.31773
AGID00011	75	9562	Old	BETACATENIN	0.11663
AGID00013	88	1008-1/ab32060	Old	BID	-0.71598
AGID00180	90	1036-1/ab32158	Old	BIM	-0.19766
AGID00221	1311	610978	Set165	BiP-GRP78	0.156221130447313
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	-0.200882186626009
AGID00355	92	1647/ab33899	Old	BRAF	-0.23861
AGID00014	94	2696	Old	BRAF_pS445	0.031649
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-0.95187
AGID00168	1146	2865	Set165	c-Abl_pY412	0.0648939004251513
AGID00278	1615	3130	Set165	c-IAP2	0.0467473734191726
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.37337
AGID00429	2407	2679	Set165	Calnexin	0.320638533541382
AGID00176	1165	9496	Set165	Caspase-8-cleaved	0.0688765922548061
AGID00623	111	9665	Old	CASPASE3	0.11593
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.099482
AGID00118	951	9746	Old	CASPASE8	0.093295
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.26715
AGID00358	2100	ab76000	Set165	CD134	-0.0781746931486943
AGID00303	1737	826701	Set165	CD171	0.158598494876551
AGID00410	125	1632-1/ab78237	Old	CD20	0.059594
AGID00220	1308	ab28340	Old	CD26	0.24176
AGID00191	1206	610467	Set165	CD29	0.180077983916349
AGID00017	127	M0823	Old	CD31	0.98871
AGID00369	2174	ab108403	Set165	CD38	0.298535008811782
AGID00359	2104	ab133616	Set165	CD4	-0.266075034704893
AGID00411	1398	3570	Set165	CD44	0.40329350252441
AGID00237	1352	M070101-2	Set165	CD45	0.356972596244944
AGID00115	937	611016	Old	CD49B	0.54101
AGID02171	2482	91882	Set165	CD86	0.410212793554914
AGID00329	1873	4688	Set165	cdc25C	-0.109757067200691
AGID00227	1332	4651	Set165	Cdc42	-0.0643623958217267
AGID00422	2396	3387	Set165	Cdc6	0.291817943886192
AGID00501	1007	9112	Old	CDK1	0.23283
AGID00293	1658	ab32384	Set165	CDK1_pT14	-1.14069437236088
AGID00314	1783	4539	Old	CDK1_pY15	-0.11541
AGID00423	2397	8064	Set165	CDT1	0.211680529724184
