AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.12326
AGID00111	913	sc-23957	Old	1433EPSILON	-0.19463
AGID00101	883	sc-1019	Old	1433ZETA	-0.22377
AGID00001	2	9452	Old	4EBP1	-0.82863
AGID00002	3	9456	Old	4EBP1_pS65	-0.43113
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.37859
AGID00443	8	9455	Old	4EBP1_pT70	-0.27509
AGID00120	985	4937	Old	53BP1	-0.3186
AGID00004	13	3661	Old	ACC_pS79	0.073532
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.14458
AGID00408	2372	3658	Set165	AceCS1	0.656971158505919
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.11255
AGID00404	2367	9189	Set165	ACSL1	0.0512578053585912
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.15805
AGID00186	1198	ab88574	Old	ADAR1	-0.31828
AGID00146	1084	4691	Old	AKT	0.20168
AGID00028	230	9271	Old	AKT_pS473	-0.22134
AGID00170	1154	2965	Old	AKT_pT308	-0.33687
AGID00316	1800	3063	Set165	Akt2	-0.277359526581804
AGID00347	2009	8599	Set165	Akt2_pS474	1.67034255819582
AGID02215	2577	ab195377	Set165	ALKBH5	-0.769925179420349
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.172757598088445
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.189100861843665
AGID00006	39	2532	Old	AMPKALPHA	0.31467
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.73481
AGID00193	1208	610066	Old	ANNEXIN1	0.27008
AGID00166	1142	610668	Old	ANNEXINVII	-0.084861
AGID00371	756	1852-1/ab52615	Old	AR	-0.45253
AGID00194	1217	4432	Old	ARAF	-0.23395
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.17892
AGID00260	1053	sc-32761	Old	ARID1A	-0.098952
AGID00264	1560	HPA029318	Old	ASNS	-0.2245
AGID00276	1612	3415	Set165	Atg3	0.169059291696202
AGID00309	1775	13507	Set165	Atg4B	-0.0475000237370661
AGID00310	1776	12994	Set165	Atg5	-0.134453681921421
AGID00277	1613	8558	Set165	Atg7	0.244771576283605
AGID00242	1363	2873	Old	ATM	0.2907
AGID02142	2447	13050	Set165	ATM_pS1981	1.79442359665844
AGID00217	1289	ab14748	Set165	ATP5A	-0.0662128132847229
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.152181099861202
AGID02150	2456	13934	Set165	ATR	-0.0752159863731147
AGID00315	1795	ab178407	Set165	ATR_pS428	0.244497931555741
AGID00268	1569	ab97508	Set165	ATRX	-0.354763538991451
AGID00391	2332	14475	Set165	Aurora-A	-0.838010620486022
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.357517781840283
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.443262395652902
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	0.0879368608044157
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.43792486756392
AGID00301	1725	14058	Set165	B7-H3	-0.267748965384803
AGID00302	1726	14572	Set165	B7-H4	-0.0199319493371321
AGID00008	63	9291	Old	BAD_pS112	0.20231
AGID00009	71	1542-1/ab32371	Old	BAK	0.068467
AGID00192	1207	sc-28383	Old	BAP1C4	-0.69931
AGID00010	73	2772	Old	BAX	-0.0056253
AGID00433	80	M0887	Old	BCL2	0.48628
AGID00219	1299	PAB8528	Old	BCL2A1	-0.041147
AGID00012	84	1018-1	Old	BCLXL	0.40035
AGID00377	87	sc-10086	Old	BECLIN	0.072405
AGID00011	75	9562	Old	BETACATENIN	1.0683
AGID00013	88	1008-1/ab32060	Old	BID	0.18155
AGID00180	90	1036-1/ab32158	Old	BIM	-0.020523
AGID00221	1311	610978	Set165	BiP-GRP78	0.0652236016364547
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	-0.109133635080675
AGID00355	92	1647/ab33899	Old	BRAF	0.15223
AGID00014	94	2696	Old	BRAF_pS445	0.21138
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.019814
AGID00168	1146	2865	Set165	c-Abl_pY412	0.356987233712356
AGID00278	1615	3130	Set165	c-IAP2	0.156465854678186
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.099475
AGID00429	2407	2679	Set165	Calnexin	-0.0130054664304458
AGID00176	1165	9496	Set165	Caspase-8-cleaved	-0.134685132859267
AGID00623	111	9665	Old	CASPASE3	-0.38987
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.40398
AGID00118	951	9746	Old	CASPASE8	0.16502
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	4.3621
AGID00358	2100	ab76000	Set165	CD134	-0.00939285023957993
AGID00303	1737	826701	Set165	CD171	-0.229721217856194
AGID00410	125	1632-1/ab78237	Old	CD20	0.11536
AGID00220	1308	ab28340	Old	CD26	-0.28879
AGID00191	1206	610467	Set165	CD29	0.0823570294817094
AGID00017	127	M0823	Old	CD31	0.82094
AGID00369	2174	ab108403	Set165	CD38	0.329233640671896
AGID00359	2104	ab133616	Set165	CD4	0.548378257991001
AGID00411	1398	3570	Set165	CD44	0.464012333661023
AGID00237	1352	M070101-2	Set165	CD45	1.41510709295239
AGID00115	937	611016	Old	CD49B	-0.31166
AGID02171	2482	91882	Set165	CD86	0.340572326386684
AGID00329	1873	4688	Set165	cdc25C	-0.37302263511055
AGID00227	1332	4651	Set165	Cdc42	0.266578975482301
AGID00422	2396	3387	Set165	Cdc6	-0.0916402459420905
AGID00501	1007	9112	Old	CDK1	-0.061496
AGID00293	1658	ab32384	Set165	CDK1_pT14	-1.19531024938508
AGID00314	1783	4539	Old	CDK1_pY15	-0.85849
AGID00423	2397	8064	Set165	CDT1	0.721756824329037
AGID02101	2348	15102	Set165	cGAS	-0.0566165313973368
AGID00447	2410	13460	Set165	CHD1L	-0.259589398972167
AGID00189	1203	2360	Old	CHK1	-0.32339
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.010752
AGID00107	903	2348	Old	CHK1_pS345	-0.015727
AGID00018	146	3440	Old	CHK2	-0.96345
AGID00019	147	2197	Old	CHK2_pT68	0.5007
AGID00527	2078	4952	Old	CIAP	-0.066622
AGID00350	2018	3793	Set165	CIITA	0.0712149708543618
AGID00434	155	9164	Old	CJUN_pS73	-0.079487
AGID00020	157	1522-1/ab32363	Old	CKIT	1.8786
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.39348
AGID00466	726	3127	Old	CMET	-0.25526
AGID00079	727	3129	Old	CMET_pY1235	0.0016885
AGID00167	161	9402	Old	CMYC	-0.24764
AGID00292	1656	11130-1-AP	Old	COG3	-0.13031
AGID00021	171	sc-20649	Old	COLLAGENVI	0.28775
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set165	Connexin-43	-0.576254070728121
AGID00269	1571	6434	Set165	Coup-TFII	0.386697253071818
AGID00150	1116	4850	Set165	Cox-IV	-0.0872226336410068
AGID00195	1218	4842	Set165	Cox2	0.31413034562819
AGID00188	803	05-739	Old	CRAF	0.38496
AGID00022	179	9427	Old	CRAF_pS338	0.12806
AGID00023	181	9197	Set165	Creb	0.285397346488565
AGID00393	2334	9198	Set165	CREB_pS133	0.19645601525869
AGID00365	2155	4980	Set165	CSK	0.290017526378843
AGID00367	2160	9201	Set165	CtIP	0.475342405726694
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set165	Cyclin-D3	0.0428791399201507
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.4103
AGID00382	194	sc-718	Old	CYCLIND1	0.13984
AGID00437	199	sc-25303	Old	CYCLINE1	-0.91741
AGID00449	202	1142-1	Old	CYCLINE2	-0.26946
AGID00209	1257	ab110324	Set165	Cyclophilin-F	-0.600953231845365
AGID00247	1379	ab48389	Set165	D-a-Tubulin	-0.252191888631618
AGID00308	1770	GTX10524	Set165	DAPK1_pS308	-0.188225891719548
AGID00304	1744	ab51601	Set165	DAPK2	0.173212495826934
AGID00343	1980	6998	Set165	DDB-1	0.0793722385752093
AGID00427	2402	5583	Set165	DDR1	-0.483238930779469
AGID00428	2403	SAB4504671	Set165	DDR1_pY513	0.356819325224709
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.047419
AGID00104	891	ab76008	Old	DJ1	0.12924
AGID02146	2452	4658	Set165	DM-Histone-H3	0.296370803539577
AGID00386	1397	ab32521	Set165	DM-K9-Histone-H3	-0.276626618033949
AGID00352	2030	14649	Set165	DNA-Ligase-IV	-0.120877367060588
AGID00407	2371	13609	Set165	DNA_POLG	-0.277126116927991
AGID00399	2344	5032	Set165	DNMT1	-0.302504029936577
AGID00409	2373	5391	Set165	DRP1	-0.518626353422887
AGID00253	1406	5149	Old	DUSP4	-0.92939
AGID00334	1936	ab76310	Set165	DUSP6	-0.143837797967326
AGID00116	940	3218	Old	DVL3	-0.35908
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.16544
AGID00135	1060	2332	Old	EEF2	-0.57926
AGID00136	1061	3692	Old	EEF2K	-0.11335
AGID00152	1120	2232	Old	EGFR	0.20548
AGID00450	217	2234	Old	EGFR_pY1068	1.2616
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.75331
AGID00078	722	9742	Old	EIF4E	-0.069816
AGID00328	1871	ab76256	Set165	eIF4E_pS209	-0.0761712647551442
AGID00154	1124	2498	Old	EIF4G	-0.095709
AGID00027	228	9181	Set165	Elk1_pS383	0.132311675449974
AGID00235	1350	M061329-2	Set165	EMA	0.0643995567214278
AGID00394	2337	3810	Set165	Enolase-1	-0.215584434743801
AGID00395	2338	8171	Set165	Enolase-2	-0.124944549334866
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set165	EphA2	0.212510551150454
AGID00552	2422	6347	Set165	EphA2_pS897	0.185171032129702
AGID00553	2423	12677	Set165	EphA2_pY588	0.0526692158616819
AGID00075	693	556347	Old	EPPK1	0.11038
AGID00335	238	RM-9101	Old	ERALPHA	-0.86034
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.29074
AGID00240	247	MS-671	Old	ERCC1	-0.20359
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.53549
AGID00484	249	sc-154	Old	ERK2	0.17709
AGID00372	2193	3552	Set165	Erk5	-0.17625923073447
AGID00405	2369	13826	Set165	ERRalpha	-0.397376072361403
AGID00187	1200	A303-501A	Old	ETS1	-0.22697
AGID00511	2492	2593	Set165	EVI1	0.187221938980433
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set165	FAK	0.315097747909381
AGID02151	2457	8556	Set165	FAK_pY397	0.959642173728044
AGID00171	1156	3180	Old	FASN	-0.5973
AGID00356	2085	500-P18/10775-082	Set165	FGF-basic	-0.51631925004585
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	0.091249
AGID00339	1959	4403	Set165	FN14	0.0356491884472675
AGID02152	2458	20459	Old	FOXM1	-0.45445
AGID00378	269	9467	Old	FOXO3A	0.099095
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.23507
AGID02167	2475	PA5-64616	Set165	FRS2-alpha_pY196	0.25322199439653
AGID02213	2575	ab124892	Set165	FTO	-0.388671454502782
AGID02141	2446	12263	Old	G6PD	-0.40793
AGID00117	943	3239	Old	GAB2	0.54037
AGID00412	274	AM4300	Old	GAPDH	-3.6593
