AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.000417
AGID00111	913	sc-23957	Old	1433EPSILON	-0.039361
AGID00101	883	sc-1019	Old	1433ZETA	-0.2864
AGID00001	2	9452	Old	4EBP1	-0.68076
AGID00002	3	9456	Old	4EBP1_pS65	-0.054807
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.20367
AGID00443	8	9455	Old	4EBP1_pT70	-0.12616
AGID00120	985	4937	Old	53BP1	-0.1208
AGID00004	13	3661	Old	ACC_pS79	0.011549
AGID00005	14	1768-1/ab45174	Old	ACC1	0.14334
AGID00408	2372	3658	Set165	AceCS1	0.933059136656827
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.17854
AGID00404	2367	9189	Set165	ACSL1	0.809139330765517
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.037415
AGID00186	1198	ab88574	Old	ADAR1	0.10139
AGID00146	1084	4691	Old	AKT	-0.15639
AGID00028	230	9271	Old	AKT_pS473	-0.070142
AGID00170	1154	2965	Old	AKT_pT308	-0.4323
AGID00316	1800	3063	Set165	Akt2	0.210101589304262
AGID00347	2009	8599	Set165	Akt2_pS474	1.90651958722606
AGID02215	2577	ab195377	Set165	ALKBH5	-0.871905127148266
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	0.00559628901221317
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.190530829602846
AGID00006	39	2532	Old	AMPKALPHA	0.17961
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.35353
AGID00193	1208	610066	Old	ANNEXIN1	1.3435
AGID00166	1142	610668	Old	ANNEXINVII	-0.10122
AGID00371	756	1852-1/ab52615	Old	AR	-0.50492
AGID00194	1217	4432	Old	ARAF	-0.25868
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.14427
AGID00260	1053	sc-32761	Old	ARID1A	0.082492
AGID00264	1560	HPA029318	Old	ASNS	-0.69599
AGID00276	1612	3415	Set165	Atg3	-0.119517895939951
AGID00309	1775	13507	Set165	Atg4B	-0.295535669187896
AGID00310	1776	12994	Set165	Atg5	-0.0551516330354842
AGID00277	1613	8558	Set165	Atg7	0.0853995384564973
AGID00242	1363	2873	Old	ATM	-0.036061
AGID02142	2447	13050	Set165	ATM_pS1981	2.46292970491023
AGID00217	1289	ab14748	Set165	ATP5A	0.927056224590271
AGID02145	2451	PA5-43776	Set165	ATP5H	0.0708035213936949
AGID02150	2456	13934	Set165	ATR	-0.237893661734095
AGID00315	1795	ab178407	Set165	ATR_pS428	0.484343175806759
AGID00268	1569	ab97508	Set165	ATRX	-0.0315379692132182
AGID00391	2332	14475	Set165	Aurora-A	-0.868744917080709
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.377433948367749
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.627967640637868
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	-0.314889036091597
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.454740455722376
AGID00301	1725	14058	Set165	B7-H3	-0.556963353308459
AGID00302	1726	14572	Set165	B7-H4	-0.0362921466453638
AGID00008	63	9291	Old	BAD_pS112	0.35591
AGID00009	71	1542-1/ab32371	Old	BAK	-0.064756
AGID00192	1207	sc-28383	Old	BAP1C4	-0.10265
AGID00010	73	2772	Old	BAX	-0.63315
AGID00433	80	M0887	Old	BCL2	-0.17054
AGID00219	1299	PAB8528	Old	BCL2A1	0.1262
AGID00012	84	1018-1	Old	BCLXL	0.067808
AGID00377	87	sc-10086	Old	BECLIN	-0.23168
AGID00011	75	9562	Old	BETACATENIN	0.4712
AGID00013	88	1008-1/ab32060	Old	BID	0.19681
AGID00180	90	1036-1/ab32158	Old	BIM	-0.037136
AGID00221	1311	610978	Set165	BiP-GRP78	-0.139034052275729
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	-0.354058870330789
AGID00355	92	1647/ab33899	Old	BRAF	-0.37995
AGID00014	94	2696	Old	BRAF_pS445	-0.052086
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-0.38291
AGID00168	1146	2865	Set165	c-Abl_pY412	0.502287069102793
AGID00278	1615	3130	Set165	c-IAP2	0.224638338833931
AGID00345	1990	5649	Old	CA9	NA
