AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.1601
AGID00111	913	sc-23957	Old	1433EPSILON	-0.2242
AGID00101	883	sc-1019	Old	1433ZETA	-0.0089201
AGID00001	2	9452	Old	4EBP1	-0.083267
AGID00002	3	9456	Old	4EBP1_pS65	0.0077549
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.0656
AGID00443	8	9455	Old	4EBP1_pT70	0.099079
AGID00120	985	4937	Old	53BP1	0.30958
AGID00004	13	3661	Old	ACC_pS79	-0.54639
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.0071
AGID00408	2372	3658	Set165	AceCS1	-0.776680872992076
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.3229
AGID00404	2367	9189	Set165	ACSL1	-0.601848206687487
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.22698
AGID00186	1198	ab88574	Old	ADAR1	-0.33604
AGID00146	1084	4691	Old	AKT	0.15494
AGID00028	230	9271	Old	AKT_pS473	-0.99402
AGID00170	1154	2965	Old	AKT_pT308	-0.47677
AGID00316	1800	3063	Set165	Akt2	-0.237910478109442
AGID00347	2009	8599	Set165	Akt2_pS474	2.31214357533427
AGID02215	2577	ab195377	Set165	ALKBH5	-0.149914084774561
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.244312665744515
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.353835636135344
AGID00006	39	2532	Old	AMPKALPHA	-0.029051
AGID00007	40	2535	Old	AMPKALPHA_pT172	1.0957
AGID00193	1208	610066	Old	ANNEXIN1	-0.19591
AGID00166	1142	610668	Old	ANNEXINVII	0.0047937
AGID00371	756	1852-1/ab52615	Old	AR	-0.46816
AGID00194	1217	4432	Old	ARAF	-0.33501
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.2354
AGID00260	1053	sc-32761	Old	ARID1A	0.11109
AGID00264	1560	HPA029318	Old	ASNS	0.18583
AGID00276	1612	3415	Set165	Atg3	0.368668264748977
AGID00309	1775	13507	Set165	Atg4B	-0.000871133126386103
AGID00310	1776	12994	Set165	Atg5	-0.101838839355862
AGID00277	1613	8558	Set165	Atg7	0.0301592591342687
AGID00242	1363	2873	Old	ATM	0.15987
AGID02142	2447	13050	Set165	ATM_pS1981	2.52097073687067
AGID00217	1289	ab14748	Set165	ATP5A	-0.232020925992828
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.269578942556463
AGID02150	2456	13934	Set165	ATR	-0.00948282021460722
AGID00315	1795	ab178407	Set165	ATR_pS428	0.440499012630708
AGID00268	1569	ab97508	Set165	ATRX	0.652743512471769
AGID00391	2332	14475	Set165	Aurora-A	-0.629393406372111
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.444737489654694
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.583245481406538
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	-0.102631508430739
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.188092256122361
AGID00301	1725	14058	Set165	B7-H3	-0.0732232464550116
AGID00302	1726	14572	Set165	B7-H4	-0.0239239183718168
AGID00008	63	9291	Old	BAD_pS112	0.11989
AGID00009	71	1542-1/ab32371	Old	BAK	0.56817
AGID00192	1207	sc-28383	Old	BAP1C4	-0.36246
AGID00010	73	2772	Old	BAX	0.7721
AGID00433	80	M0887	Old	BCL2	2.3205
AGID00219	1299	PAB8528	Old	BCL2A1	0.041098
AGID00012	84	1018-1	Old	BCLXL	0.96822
AGID00377	87	sc-10086	Old	BECLIN	-0.13373
AGID00011	75	9562	Old	BETACATENIN	0.61581
AGID00013	88	1008-1/ab32060	Old	BID	0.55189
AGID00180	90	1036-1/ab32158	Old	BIM	1.4554
AGID00221	1311	610978	Set165	BiP-GRP78	-0.0973903488980258
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	-0.283140545572932
AGID00355	92	1647/ab33899	Old	BRAF	0.50103
AGID00014	94	2696	Old	BRAF_pS445	-0.21293
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.83755
AGID00168	1146	2865	Set165	c-Abl_pY412	0.499562273192973
AGID00278	1615	3130	Set165	c-IAP2	0.268213607118321
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.50216
AGID00429	2407	2679	Set165	Calnexin	0.192153737856258
AGID00176	1165	9496	Set165	Caspase-8-cleaved	0.665515759057857
