AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.3124
AGID00111	913	sc-23957	Old	1433EPSILON	0.030429
AGID00101	883	sc-1019	Old	1433ZETA	0.25334
AGID00001	2	9452	Old	4EBP1	-0.61152
AGID00002	3	9456	Old	4EBP1_pS65	-0.20184
AGID00003	6	9459	Old	4EBP1_pT37T46	0.67153
AGID00443	8	9455	Old	4EBP1_pT70	-0.49078
AGID00120	985	4937	Old	53BP1	-0.81496
AGID00004	13	3661	Old	ACC_pS79	0.52952
AGID00005	14	1768-1/ab45174	Old	ACC1	0.87096
AGID00408	2372	3658	Set163	AceCS1	1.35686798461101
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4242
AGID00404	2367	9189	Set163	ACSL1	1.18160845331707
AGID02144	2450	PA5-27081	Old	ACVRL1	0.089045
AGID00186	1198	ab88574	Old	ADAR1	-0.75096
AGID00146	1084	4691	Old	AKT	-0.072254
AGID00028	230	9271	Old	AKT_pS473	1.1951
AGID00170	1154	2965	Old	AKT_pT308	0.91018
AGID00316	1800	3063	Set163	Akt2	0.16216349467196
AGID00347	2009	8599	Set163	Akt2_pS474	0.416787932417036
AGID02215	2577	ab195377	Set163	ALKBH5	-0.57863671711915
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.0830173495811375
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.117866600150572
AGID00006	39	2532	Old	AMPKALPHA	0.033313
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.13597
AGID00193	1208	610066	Old	ANNEXIN1	0.42096
AGID00166	1142	610668	Old	ANNEXINVII	0.2037
AGID00371	756	1852-1/ab52615	Old	AR	1.8285
AGID00194	1217	4432	Old	ARAF	0.44636
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.092944
AGID00260	1053	sc-32761	Old	ARID1A	-0.22204
AGID00264	1560	HPA029318	Old	ASNS	-0.76904
AGID00276	1612	3415	Set163	Atg3	-0.115791570249937
AGID00309	1775	13507	Set163	Atg4B	0.037047976085297
AGID00310	1776	12994	Set163	Atg5	0.188518401746918
AGID00277	1613	8558	Set163	Atg7	0.056228492826455
AGID00242	1363	2873	Old	ATM	-0.27651
AGID02142	2447	13050	Set163	ATM_pS1981	0.253943349111057
AGID00217	1289	ab14748	Set163	ATP5A	0.485887849447341
AGID02145	2451	PA5-43776	Set163	ATP5H	0.764073469198801
AGID02150	2456	13934	Set163	ATR	0.22472545788367
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.445827759646809
AGID00268	1569	ab97508	Set163	ATRX	-1.22339414494352
AGID00391	2332	14475	Set163	Aurora-A	0.203648492826455
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.12146850273846
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.30116781315774
AGID00215	1271	8661	Old	AXL	0.22918
AGID02143	2449	8457	Set163	b-Actin	0.136048227073844
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.0878065021049057
AGID00301	1725	14058	Set163	B7-H3	0.227887578218949
AGID00302	1726	14572	Set163	B7-H4	0.110893158114374
AGID00008	63	9291	Old	BAD_pS112	-0.006209
AGID00009	71	1542-1/ab32371	Old	BAK	-0.66231
AGID00192	1207	sc-28383	Old	BAP1C4	-0.86809
AGID00010	73	2772	Old	BAX	-0.49289
AGID00433	80	M0887	Old	BCL2	0.58229
AGID00219	1299	PAB8528	Old	BCL2A1	0.68697
AGID00012	84	1018-1	Old	BCLXL	-0.15237
AGID00377	87	sc-10086	Old	BECLIN	-0.062247
AGID00011	75	9562	Old	BETACATENIN	-2.0615
AGID00013	88	1008-1/ab32060	Old	BID	0.42261
AGID00180	90	1036-1/ab32158	Old	BIM	0.29089
AGID00221	1311	610978	Set163	BiP-GRP78	-0.118167063138159
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.0353685264759541
AGID00355	92	1647/ab33899	Old	BRAF	-0.87102
AGID00014	94	2696	Old	BRAF_pS445	0.008619
AGID00445	761	9012	Old	BRCA2	0.18749
AGID00266	1567	13440	Old	BRD4	-1.4195
AGID00168	1146	2865	Set163	c-Abl_pY412	0.179367760863161
AGID00278	1615	3130	Set163	c-IAP2	-0.0550166159543272
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.072554
AGID00429	2407	2679	Set163	Calnexin	0.0206382393425475
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.309953410974439
AGID00623	111	9665	Old	CASPASE3	-1.9691
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.62353
AGID00118	951	9746	Old	CASPASE8	0.39074
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.9194
AGID00358	2100	ab76000	Set163	CD134	0.417737055309003
AGID00303	1737	826701	Set163	CD171	0.298198470299173
AGID00410	125	1632-1/ab78237	Old	CD20	0.27979
AGID00220	1308	ab28340	Old	CD26	0.57155
AGID00191	1206	610467	Set163	CD29	0.290248140569089
AGID00017	127	M0823	Old	CD31	0.25159
AGID00369	2174	ab108403	Set163	CD38	0.141678503639551
AGID00359	2104	ab133616	Set163	CD4	-0.516682764939407
AGID00411	1398	3570	Set163	CD44	0.174153371465052
AGID00237	1352	M070101-2	Set163	CD45	-0.32001167248914
AGID00115	937	611016	Old	CD49B	0.33559
AGID02171	2482	91882	Set163	CD86	-0.00750151784801128
AGID00329	1873	4688	Set163	cdc25C	-0.564166495346721
