AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.23121
AGID00111	913	sc-23957	Old	1433EPSILON	0.24123
AGID00101	883	sc-1019	Old	1433ZETA	0.081578
AGID00001	2	9452	Old	4EBP1	0.96273
AGID00002	3	9456	Old	4EBP1_pS65	0.067642
AGID00003	6	9459	Old	4EBP1_pT37T46	1.3581
AGID00443	8	9455	Old	4EBP1_pT70	0.32295
AGID00120	985	4937	Old	53BP1	-0.19961
AGID00004	13	3661	Old	ACC_pS79	-0.17779
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.21674
AGID00408	2372	3658	Set163	AceCS1	0.684371059682895
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.2581
AGID00404	2367	9189	Set163	ACSL1	1.32725152838896
AGID02144	2450	PA5-27081	Old	ACVRL1	0.068567
AGID00186	1198	ab88574	Old	ADAR1	-1.2649
AGID00146	1084	4691	Old	AKT	0.32406
AGID00028	230	9271	Old	AKT_pS473	0.48432
AGID00170	1154	2965	Old	AKT_pT308	0.20957
AGID00316	1800	3063	Set163	Akt2	0.76793656974385
AGID00347	2009	8599	Set163	Akt2_pS474	-0.0448489925110742
AGID02215	2577	ab195377	Set163	ALKBH5	-0.17128364204726
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.155394274509247
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.170503525078682
AGID00006	39	2532	Old	AMPKALPHA	-0.15199
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.70852
AGID00193	1208	610066	Old	ANNEXIN1	0.54868
AGID00166	1142	610668	Old	ANNEXINVII	0.48689
AGID00371	756	1852-1/ab52615	Old	AR	1.3666
AGID00194	1217	4432	Old	ARAF	-0.21342
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.13658
AGID00260	1053	sc-32761	Old	ARID1A	0.12008
AGID00264	1560	HPA029318	Old	ASNS	-0.74901
AGID00276	1612	3415	Set163	Atg3	0.00102150482195354
AGID00309	1775	13507	Set163	Atg4B	0.405651051157187
AGID00310	1776	12994	Set163	Atg5	0.110931476818809
AGID00277	1613	8558	Set163	Atg7	0.497681567898346
AGID00242	1363	2873	Old	ATM	-0.061129
AGID02142	2447	13050	Set163	ATM_pS1981	-0.204003575817052
AGID00217	1289	ab14748	Set163	ATP5A	0.849570924519232
AGID02145	2451	PA5-43776	Set163	ATP5H	0.992016544270691
AGID02150	2456	13934	Set163	ATR	0.16013853295556
AGID00315	1795	ab178407	Set163	ATR_pS428	-1.19443468457492
AGID00268	1569	ab97508	Set163	ATRX	-0.809191069871628
AGID00391	2332	14475	Set163	Aurora-A	-0.549848432101655
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.12113842218965
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.788584738085849
AGID00215	1271	8661	Old	AXL	0.15503
AGID02143	2449	8457	Set163	b-Actin	0.509741302145734
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.103073427033016
AGID00301	1725	14058	Set163	B7-H3	0.377160653290839
AGID00302	1726	14572	Set163	B7-H4	0.595576233186264
AGID00008	63	9291	Old	BAD_pS112	0.1044
AGID00009	71	1542-1/ab32371	Old	BAK	0.28977
AGID00192	1207	sc-28383	Old	BAP1C4	-0.38766
AGID00010	73	2772	Old	BAX	-0.061856
AGID00433	80	M0887	Old	BCL2	0.81195
AGID00219	1299	PAB8528	Old	BCL2A1	0.66334
AGID00012	84	1018-1	Old	BCLXL	-0.048029
AGID00377	87	sc-10086	Old	BECLIN	-0.13176
AGID00011	75	9562	Old	BETACATENIN	-0.96194
AGID00013	88	1008-1/ab32060	Old	BID	0.52099
AGID00180	90	1036-1/ab32158	Old	BIM	0.57124
AGID00221	1311	610978	Set163	BiP-GRP78	-0.0564839880662691
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	-0.148408398452155
AGID00355	92	1647/ab33899	Old	BRAF	-0.86951
AGID00014	94	2696	Old	BRAF_pS445	-0.34914
AGID00445	761	9012	Old	BRCA2	-0.089778
AGID00266	1567	13440	Old	BRD4	-0.71551
AGID00168	1146	2865	Set163	c-Abl_pY412	0.183320835935051
AGID00278	1615	3130	Set163	c-IAP2	-0.119693540882437
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.069321
AGID00429	2407	2679	Set163	Calnexin	0.083011314414438
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.25903648604633
AGID00623	111	9665	Old	CASPASE3	-1.6794
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.49354
AGID00118	951	9746	Old	CASPASE8	0.38261
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.4747
AGID00358	2100	ab76000	Set163	CD134	0.395650130380893
AGID00303	1737	826701	Set163	CD171	-0.772808454628938
AGID00410	125	1632-1/ab78237	Old	CD20	0.35992
AGID00220	1308	ab28340	Old	CD26	-0.011093
AGID00191	1206	610467	Set163	CD29	-0.179598784359021
AGID00017	127	M0823	Old	CD31	-0.48405
AGID00369	2174	ab108403	Set163	CD38	0.340241578711442
AGID00359	2104	ab133616	Set163	CD4	0.496110310132483
AGID00411	1398	3570	Set163	CD44	0.362606446536942
AGID00237	1352	M070101-2	Set163	CD45	0.37403140258275
AGID00115	937	611016	Old	CD49B	0.26894
AGID02171	2482	91882	Set163	CD86	0.28344155722388
AGID00329	1873	4688	Set163	cdc25C	-0.74719342027483
AGID00227	1332	4651	Set163	Cdc42	0.436471349556996
AGID00422	2396	3387	Set163	Cdc6	-0.105948547094768
AGID00501	1007	9112	Old	CDK1	-0.13546
AGID00293	1658	ab32384	Set163	CDK1_pT14	-1.80886842482361
AGID00314	1783	4539	Old	CDK1_pY15	-1.2688
AGID00423	2397	8064	Set163	CDT1	0.432476121416302
AGID02101	2348	15102	Set163	cGAS	-0.343718427526883
AGID00447	2410	13460	Set163	CHD1L	-0.19976026159354
AGID00189	1203	2360	Old	CHK1	0.020968
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.37359
AGID00107	903	2348	Old	CHK1_pS345	-0.25124
AGID00018	146	3440	Old	CHK2	-0.73247
AGID00019	147	2197	Old	CHK2_pT68	-0.64673
AGID00527	2078	4952	Old	CIAP	-0.35612
AGID00350	2018	3793	Set163	CIITA	0.274681571433396
AGID00434	155	9164	Old	CJUN_pS73	0.13315
AGID00020	157	1522-1/ab32363	Old	CKIT	1.3862
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.30889
AGID00466	726	3127	Old	CMET	0.17521
AGID00079	727	3129	Old	CMET_pY1235	-0.13241
AGID00167	161	9402	Old	CMYC	0.34842
AGID00292	1656	11130-1-AP	Old	COG3	-1.3216
AGID00021	171	sc-20649	Old	COLLAGENVI	2.0257
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	0.686261302145734
AGID00269	1571	6434	Set163	Coup-TFII	0.182391569146011
