AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.1458
AGID00111	913	sc-23957	Old	1433EPSILON	0.105943
AGID00101	883	sc-1019	Old	1433ZETA	0.923275
AGID00001	2	9452	Old	4EBP1	0.579005
AGID00002	3	9456	Old	4EBP1_pS65	-0.479165
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.398805
AGID00443	8	9455	Old	4EBP1_pT70	-0.006398
AGID00120	985	4937	Old	53BP1	-0.0107765
AGID00004	13	3661	Old	ACC_pS79	0.126345
AGID00005	14	1768-1/ab45174	Old	ACC1	0.721685
AGID00408	2372	3658	Set163	AceCS1	0.807679458135051
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.831955
AGID00404	2367	9189	Set163	ACSL1	-0.0197100731588875
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.008142
AGID00186	1198	ab88574	Old	ADAR1	0.35047
AGID00146	1084	4691	Old	AKT	0.104794
AGID00028	230	9271	Old	AKT_pS473	-0.925515
AGID00170	1154	2965	Old	AKT_pT308	-0.962715
AGID00316	1800	3063	Set163	Akt2	-0.105735031803994
AGID00347	2009	8599	Set163	Akt2_pS474	-0.748010594058919
AGID02215	2577	ab195377	Set163	ALKBH5	0.459744756404896
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.0913758760570918
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.0509851266265258
AGID00006	39	2532	Old	AMPKALPHA	-0.078312
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.2030385
AGID00193	1208	610066	Old	ANNEXIN1	-0.559205
AGID00166	1142	610668	Old	ANNEXINVII	0.23515
AGID00371	756	1852-1/ab52615	Old	AR	1.17084
AGID00194	1217	4432	Old	ARAF	0.39705
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.0368755
AGID00260	1053	sc-32761	Old	ARID1A	0.0493604
AGID00264	1560	HPA029318	Old	ASNS	-0.401545
AGID00276	1612	3415	Set163	Atg3	0.277019903274109
AGID00309	1775	13507	Set163	Atg4B	0.0237294496093425
AGID00310	1776	12994	Set163	Atg5	-0.0787301247290359
AGID00277	1613	8558	Set163	Atg7	0.463739966350501
AGID00242	1363	2873	Old	ATM	0.051785
AGID02142	2447	13050	Set163	ATM_pS1981	-0.129545177364896
AGID00217	1289	ab14748	Set163	ATP5A	-0.299950677028612
AGID02145	2451	PA5-43776	Set163	ATP5H	0.0896049427228469
AGID02150	2456	13934	Set163	ATR	-0.146933068592284
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.133956286122763
AGID00268	1569	ab97508	Set163	ATRX	0.331537328580528
AGID00391	2332	14475	Set163	Aurora-A	0.0128999663505007
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.142860023737494
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.0346363396336937
AGID00215	1271	8661	Old	AXL	0.50056
