AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.59323
AGID00111	913	sc-23957	Old	1433EPSILON	0.35993
AGID00101	883	sc-1019	Old	1433ZETA	-0.45995
AGID00001	2	9452	Old	4EBP1	-0.64799
AGID00002	3	9456	Old	4EBP1_pS65	-0.070951
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.20998
AGID00443	8	9455	Old	4EBP1_pT70	-0.39602
AGID00120	985	4937	Old	53BP1	-0.6466
AGID00004	13	3661	Old	ACC_pS79	-0.11041
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.42238
AGID00408	2372	3658	Set163	AceCS1	0.0012895945089585
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.28801
AGID00404	2367	9189	Set163	ACSL1	0.24355006321502
AGID02144	2450	PA5-27081	Old	ACVRL1	0.57166
AGID00186	1198	ab88574	Old	ADAR1	-0.5076
AGID00146	1084	4691	Old	AKT	-0.52556
AGID00028	230	9271	Old	AKT_pS473	-0.13928
AGID00170	1154	2965	Old	AKT_pT308	-0.043447
AGID00316	1800	3063	Set163	Akt2	-0.250284895430087
AGID00347	2009	8599	Set163	Akt2_pS474	1.03310954231499
AGID02215	2577	ab195377	Set163	ALKBH5	-1.0282251072212
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.169904260316816
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.0619050097473819
AGID00006	39	2532	Old	AMPKALPHA	-0.38668
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.20608
AGID00193	1208	610066	Old	ANNEXIN1	0.11859
AGID00166	1142	610668	Old	ANNEXINVII	0.075536
AGID00371	756	1852-1/ab52615	Old	AR	0.57751
AGID00194	1217	4432	Old	ARAF	0.1121
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.10819
AGID00260	1053	sc-32761	Old	ARID1A	0.15595
AGID00264	1560	HPA029318	Old	ASNS	-0.24856
AGID00276	1612	3415	Set163	Atg3	0.0128000396480167
AGID00309	1775	13507	Set163	Atg4B	0.19047958598325
AGID00310	1776	12994	Set163	Atg5	-0.710349988355128
AGID00277	1613	8558	Set163	Atg7	0.0208901027244087
AGID00242	1363	2873	Old	ATM	0
AGID02142	2447	13050	Set163	ATM_pS1981	0.633274959009011
AGID00217	1289	ab14748	Set163	ATP5A	0.239969459345295
AGID02145	2451	PA5-43776	Set163	ATP5H	0.601575079096755
AGID02150	2456	13934	Set163	ATR	0.134427067781623
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.320466149748855
AGID00268	1569	ab97508	Set163	ATRX	-1.36106253504556
AGID00391	2332	14475	Set163	Aurora-A	-0.178719897275591
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.0376598873635868
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.399653796740214
AGID00215	1271	8661	Old	AXL	0.78401
AGID02143	2449	8457	Set163	b-Actin	-0.00342016302820241
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.0918951077930475
AGID00301	1725	14058	Set163	B7-H3	0.205409188116903
AGID00302	1726	14572	Set163	B7-H4	0.373084768012327
AGID00008	63	9291	Old	BAD_pS112	-0.19789
AGID00009	71	1542-1/ab32371	Old	BAK	-0.32275
AGID00192	1207	sc-28383	Old	BAP1C4	-0.64294
AGID00010	73	2772	Old	BAX	-0.27027
AGID00433	80	M0887	Old	BCL2	0.42253
AGID00219	1299	PAB8528	Old	BCL2A1	1.1318
AGID00012	84	1018-1	Old	BCLXL	-0.25271
AGID00377	87	sc-10086	Old	BECLIN	0.30949
AGID00011	75	9562	Old	BETACATENIN	-0.5745
AGID00013	88	1008-1/ab32060	Old	BID	0.78531
AGID00180	90	1036-1/ab32158	Old	BIM	0.084849
AGID00221	1311	610978	Set163	BiP-GRP78	-0.219335453240206
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.0371001363739074
AGID00355	92	1647/ab33899	Old	BRAF	-0.95617
AGID00014	94	2696	Old	BRAF_pS445	-0.46814
AGID00445	761	9012	Old	BRCA2	0.023132
AGID00266	1567	13440	Old	BRD4	-1
AGID00168	1146	2865	Set163	c-Abl_pY412	0.394399370761114
AGID00278	1615	3130	Set163	c-IAP2	0.117634993943627
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.18996
AGID00429	2407	2679	Set163	Calnexin	-0.336310150759499
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.493465020872393
AGID00623	111	9665	Old	CASPASE3	-0.60708
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.30499
AGID00118	951	9746	Old	CASPASE8	0.13118
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.2083
AGID00358	2100	ab76000	Set163	CD134	0.552488665206956
AGID00303	1737	826701	Set163	CD171	-0.229749919802874
AGID00410	125	1632-1/ab78237	Old	CD20	0.29305
AGID00220	1308	ab28340	Old	CD26	0.17259
AGID00191	1206	610467	Set163	CD29	-0.037170249532958
AGID00017	127	M0823	Old	CD31	0.3148
AGID00369	2174	ab108403	Set163	CD38	0.167330113537505
AGID00359	2104	ab133616	Set163	CD4	-0.137711155041454
AGID00411	1398	3570	Set163	CD44	0.260784981363006
AGID00237	1352	M070101-2	Set163	CD45	-0.022690062591186
AGID00115	937	611016	Old	CD49B	0.49242
AGID02171	2482	91882	Set163	CD86	-0.245739907950058
AGID00329	1873	4688	Set163	cdc25C	-0.545394885448768
AGID00227	1332	4651	Set163	Cdc42	0.307169884383059
AGID00422	2396	3387	Set163	Cdc6	0.142979987731295
AGID00501	1007	9112	Old	CDK1	0.27451
AGID00293	1658	ab32384	Set163	CDK1_pT14	-1.55610988999755
AGID00314	1783	4539	Old	CDK1_pY15	-0.71422
AGID00423	2397	8064	Set163	CDT1	1.22936465624237
AGID02101	2348	15102	Set163	cGAS	-0.11964989270082
AGID00447	2410	13460	Set163	CHD1L	-0.529931726767476
AGID00189	1203	2360	Old	CHK1	0.56295
AGID00234	1348	ab79758	Old	CHK1_pS296	0.25034
AGID00107	903	2348	Old	CHK1_pS345	-0.34734
AGID00018	146	3440	Old	CHK2	-0.72695
AGID00019	147	2197	Old	CHK2_pT68	0.36251
AGID00527	2078	4952	Old	CIAP	-0.14043
AGID00350	2018	3793	Set163	CIITA	0.151770106259459
AGID00434	155	9164	Old	CJUN_pS73	0.40651
AGID00020	157	1522-1/ab32363	Old	CKIT	2.8071
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.17691
AGID00466	726	3127	Old	CMET	0.44104
AGID00079	727	3129	Old	CMET_pY1235	0.22011
