AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.0655625
AGID00111	913	sc-23957	Old	1433EPSILON	-0.022377
AGID00101	883	sc-1019	Old	1433ZETA	0.1837815
AGID00001	2	9452	Old	4EBP1	-0.60525
AGID00002	3	9456	Old	4EBP1_pS65	-0.08057255
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.03485
AGID00443	8	9455	Old	4EBP1_pT70	0.036546
AGID00120	985	4937	Old	53BP1	-0.0157245
AGID00004	13	3661	Old	ACC_pS79	-0.1754685
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.370175
AGID00408	2372	3658	Set164	AceCS1	0.0846256757994979
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4744
AGID00404	2367	9189	Set164	ACSL1	-0.175112954187023
AGID02144	2450	PA5-27081	Old	ACVRL1	0.0228575
AGID00186	1198	ab88574	Old	ADAR1	0.091143
AGID00146	1084	4691	Old	AKT	0.076036
AGID00028	230	9271	Old	AKT_pS473	-0.93551
AGID00170	1154	2965	Old	AKT_pT308	-0.42566
AGID00316	1800	3063	Set164	Akt2	-0.136771973478123
AGID00347	2009	8599	Set164	Akt2_pS474	-0.283881824009858
AGID02215	2577	ab195377	Set164	ALKBH5	0.267073666237531
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set164	Ambra1_pS52	0.136048288778622
AGID00236	1351	ab129081	Set164	AMPK-a2_pS345	-0.21319107398236
AGID00006	39	2532	Old	AMPKALPHA	0.356835
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.91113
AGID00193	1208	610066	Old	ANNEXIN1	1.6246
AGID00166	1142	610668	Old	ANNEXINVII	0.16389
AGID00371	756	1852-1/ab52615	Old	AR	-0.280215
AGID00194	1217	4432	Old	ARAF	0.0326619
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.0637555
AGID00260	1053	sc-32761	Old	ARID1A	0.135875
AGID00264	1560	HPA029318	Old	ASNS	-0.1864745
AGID00276	1612	3415	Set164	Atg3	0.421265065253767
AGID00309	1775	13507	Set164	Atg4B	-0.276305067499198
AGID00310	1776	12994	Set164	Atg5	0.605043101024658
AGID00277	1613	8558	Set164	Atg7	0.784032156245589
AGID00242	1363	2873	Old	ATM	-0.87719
AGID02142	2447	13050	Set164	ATM_pS1981	-0.113068990805476
AGID00217	1289	ab14748	Set164	ATP5A	0.461344899302358
AGID02145	2451	PA5-43776	Set164	ATP5H	-0.512140074259645
AGID02150	2456	13934	Set164	ATR	-0.0256198814163396
AGID00315	1795	ab178407	Set164	ATR_pS428	0.0392444751516225
AGID00268	1569	ab97508	Set164	ATRX	0.483424447629198
AGID00391	2332	14475	Set164	Aurora-A	-0.553453337363907
AGID00392	2333	2914	Set164	Aurora-ABC_pT288_pT232_pT198	-0.23555101583792
AGID02195	2512	MA5-27890	Set164	Aurora-B	-0.642187351824158
AGID00215	1271	8661	Old	AXL	0.95346
AGID02143	2449	8457	Set164	b-Actin	0.286532822832604
AGID00179	1170	9565	Set164	b-Catenin_pT41_S45	-0.337612091118371
AGID00301	1725	14058	Set164	B7-H3	-0.326595754342864
AGID00302	1726	14572	Set164	B7-H4	-0.459775291249156
AGID00008	63	9291	Old	BAD_pS112	0.130645
AGID00009	71	1542-1/ab32371	Old	BAK	0.182941
AGID00192	1207	sc-28383	Old	BAP1C4	-0.050207
AGID00010	73	2772	Old	BAX	0.71604
AGID00433	80	M0887	Old	BCL2	-0.20008
AGID00219	1299	PAB8528	Old	BCL2A1	0.179125
AGID00012	84	1018-1	Old	BCLXL	0.431945
AGID00377	87	sc-10086	Old	BECLIN	0.333825
AGID00011	75	9562	Old	BETACATENIN	-0.56735
AGID00013	88	1008-1/ab32060	Old	BID	-0.074622
AGID00180	90	1036-1/ab32158	Old	BIM	0.08408655
AGID00221	1311	610978	Set164	BiP-GRP78	-0.164855167832289
AGID00373	2194	07-507	Set164	BMK1-Erk5_pT218_Y220	0.00983199932936835
AGID00355	92	1647/ab33899	Old	BRAF	-0.18328
AGID00014	94	2696	Old	BRAF_pS445	-0.116197
AGID00445	761	9012	Old	BRCA2	-0.045772
AGID00266	1567	13440	Old	BRD4	0.22961
AGID00168	1146	2865	Set164	c-Abl_pY412	0.125223984118767
AGID00278	1615	3130	Set164	c-IAP2	1.23981222348942
AGID00345	1990	5649	Old	CA9	0.87776
AGID00265	1565	2862	Old	CABL	-0.03287015
AGID00429	2407	2679	Set164	Calnexin	0.602045988424785
AGID00176	1165	9496	Set164	Caspase-8-cleaved	1.3520352750273
AGID00623	111	9665	Old	CASPASE3	-0.099698
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	4.05285
AGID00118	951	9746	Old	CASPASE8	0.1379665
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.028403
AGID00358	2100	ab76000	Set164	CD134	-0.0335246598057642
AGID00303	1737	826701	Set164	CD171	4.17332734265843
AGID00410	125	1632-1/ab78237	Old	CD20	0.1639685
AGID00220	1308	ab28340	Old	CD26	1.47075
AGID00191	1206	610467	Set164	CD29	-0.103513076296968
AGID00017	127	M0823	Old	CD31	0.23478
AGID00369	2174	ab108403	Set164	CD38	0.526707467788082
AGID00359	2104	ab133616	Set164	CD4	2.05238002661892
AGID00411	1398	3570	Set164	CD44	0.440810870423646
AGID00237	1352	M070101-2	Set164	CD45	0.860664852954562
AGID00115	937	611016	Old	CD49B	0.024323
AGID02171	2482	91882	Set164	CD86	1.46398068513523
AGID00329	1873	4688	Set164	cdc25C	0.00567543899395424
AGID00227	1332	4651	Set164	Cdc42	0.299203510641596
AGID00422	2396	3387	Set164	Cdc6	-0.15185931014857
AGID00501	1007	9112	Old	CDK1	-0.05595
AGID00293	1658	ab32384	Set164	CDK1_pT14	-0.0960362197188007
AGID00314	1783	4539	Old	CDK1_pY15	-0.20825
AGID00423	2397	8064	Set164	CDT1	-0.213859720256001
AGID02101	2348	15102	Set164	cGAS	0.186611325211836
AGID00447	2410	13460	Set164	CHD1L	0.336735942588438
AGID00189	1203	2360	Old	CHK1	-0.03686725
AGID00234	1348	ab79758	Old	CHK1_pS296	0.060131
AGID00107	903	2348	Old	CHK1_pS345	0.1357005
AGID00018	146	3440	Old	CHK2	0.21382
AGID00019	147	2197	Old	CHK2_pT68	-0.1111335
AGID00527	2078	4952	Old	CIAP	-0.0254315
AGID00350	2018	3793	Set164	CIITA	0.316231330252246
AGID00434	155	9164	Old	CJUN_pS73	-0.097999
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.404495
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.327075
AGID00466	726	3127	Old	CMET	0.13357
AGID00079	727	3129	Old	CMET_pY1235	0.05516445
AGID00167	161	9402	Old	CMYC	-0.042135
AGID00292	1656	11130-1-AP	Old	COG3	0.0625655
AGID00021	171	sc-20649	Old	COLLAGENVI	0.1004985
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	0.33408
AGID00267	1568	3512	Set164	Connexin-43	-1.39523332762574
AGID00269	1571	6434	Set164	Coup-TFII	-0.53789855096335
AGID00150	1116	4850	Set164	Cox-IV	0.246678629246132
AGID00195	1218	4842	Set164	Cox2	-0.110569795122461
AGID00188	803	05-739	Old	CRAF	-0.100247
AGID00022	179	9427	Old	CRAF_pS338	-0.201615
AGID00023	181	9197	Set164	Creb	-0.714564900183349
AGID00393	2334	9198	Set164	CREB_pS133	0.160401755350124
AGID00365	2155	4980	Set164	CSK	0.785980921453996
AGID00367	2160	9201	Set164	CtIP	-0.022426981795236
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set164	Cyclin-D3	-0.0324597226028863
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.295085
AGID00382	194	sc-718	Old	CYCLIND1	-0.05814945
AGID00437	199	sc-25303	Old	CYCLINE1	0.2673
AGID00449	202	1142-1	Old	CYCLINE2	-0.0647335
AGID00209	1257	ab110324	Set164	Cyclophilin-F	-0.210320275400124
AGID00247	1379	ab48389	Set164	D-a-Tubulin	-0.224329806343382
AGID00308	1770	GTX10524	Set164	DAPK1_pS308	0.0699028901825348
AGID00304	1744	ab51601	Set164	DAPK2	-0.0424848899224943
AGID00343	1980	6998	Set164	DDB-1	0.448862476672986
AGID00427	2402	5583	Set164	DDR1	-0.252217093063083
AGID00428	2403	SAB4504671	Set164	DDR1_pY513	0.201089344591025
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.000729500000000001
AGID00104	891	ab76008	Old	DJ1	-0.08644655
AGID02146	2452	4658	Set164	DM-Histone-H3	-0.251404770597861
AGID00386	1397	ab32521	Set164	DM-K9-Histone-H3	-0.287163062302963
AGID00352	2030	14649	Set164	DNA-Ligase-IV	-0.114402991742234
AGID00407	2371	13609	Set164	DNA_POLG	0.137420936884642
AGID00399	2344	5032	Set164	DNMT1	0.695698775177849
AGID00409	2373	5391	Set164	DRP1	0.529071447626909
AGID00253	1406	5149	Old	DUSP4	0.501275
AGID00334	1936	ab76310	Set164	DUSP6	0.0707003748419538
AGID00116	940	3218	Old	DVL3	0.00889065
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-0.807835
AGID00135	1060	2332	Old	EEF2	0.06611
AGID00136	1061	3692	Old	EEF2K	-0.0844505
AGID00152	1120	2232	Old	EGFR	-0.143895
AGID00450	217	2234	Old	EGFR_pY1068	-0.2356
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.0421707
AGID00078	722	9742	Old	EIF4E	0.065311
AGID00328	1871	ab76256	Set164	eIF4E_pS209	-0.0143413109245434
AGID00154	1124	2498	Old	EIF4G	-0.0668875
AGID00027	228	9181	Set164	Elk1_pS383	-0.47215324924856
AGID00235	1350	M061329-2	Set164	EMA	2.59044626260218
AGID00394	2337	3810	Set164	Enolase-1	0.159461807462323
AGID00395	2338	8171	Set164	Enolase-2	-0.0786013486902774
AGID00196	1219	GTX629542	Old	ENY2	-0.10768
AGID00438	1849	A302-024A	Set164	EphA2	1.28007421951758
AGID00552	2422	6347	Set164	EphA2_pS897	1.19074238685229
AGID00553	2423	12677	Set164	EphA2_pY588	-0.303928244785464
AGID00075	693	556347	Old	EPPK1	1.97765
AGID00335	238	RM-9101	Old	ERALPHA	0.430655
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.487995
AGID00240	247	MS-671	Old	ERCC1	-0.0254185
