AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.0443985
AGID00111	913	sc-23957	Old	1433EPSILON	0.0557295
AGID00101	883	sc-1019	Old	1433ZETA	-0.0408125
AGID00001	2	9452	Old	4EBP1	-0.604985
AGID00002	3	9456	Old	4EBP1_pS65	-0.02091605
AGID00003	6	9459	Old	4EBP1_pT37T46	0.935
AGID00443	8	9455	Old	4EBP1_pT70	0.139115
AGID00120	985	4937	Old	53BP1	0.684385
AGID00004	13	3661	Old	ACC_pS79	0.15979
AGID00005	14	1768-1/ab45174	Old	ACC1	0.0986555
AGID00408	2372	3658	Set164	AceCS1	0.173783700772993
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.21835
AGID00404	2367	9189	Set164	ACSL1	-0.549901735567657
AGID02144	2450	PA5-27081	Old	ACVRL1	0.104687
AGID00186	1198	ab88574	Old	ADAR1	-0.405205
AGID00146	1084	4691	Old	AKT	-0.155465
AGID00028	230	9271	Old	AKT_pS473	1.28475
AGID00170	1154	2965	Old	AKT_pT308	1.7263
AGID00316	1800	3063	Set164	Akt2	-0.0550442003466268
AGID00347	2009	8599	Set164	Akt2_pS474	-0.00952532418633139
AGID02215	2577	ab195377	Set164	ALKBH5	0.89406829328951
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set164	Ambra1_pS52	0.147480055176152
AGID00236	1351	ab129081	Set164	AMPK-a2_pS345	-0.0571912076371961
AGID00006	39	2532	Old	AMPKALPHA	0.385455
AGID00007	40	2535	Old	AMPKALPHA_pT172	-1.0256
AGID00193	1208	610066	Old	ANNEXIN1	1.37235
AGID00166	1142	610668	Old	ANNEXINVII	-0.037655
AGID00371	756	1852-1/ab52615	Old	AR	0.1389485
AGID00194	1217	4432	Old	ARAF	-0.012997
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.0450015
AGID00260	1053	sc-32761	Old	ARID1A	-0.30558
AGID00264	1560	HPA029318	Old	ASNS	-0.024426
AGID00276	1612	3415	Set164	Atg3	0.0571669278913178
AGID00309	1775	13507	Set164	Atg4B	-0.273087935396036
AGID00310	1776	12994	Set164	Atg5	0.559330414147794
AGID00277	1613	8558	Set164	Atg7	0.403160663097623
AGID00242	1363	2873	Old	ATM	0.1976185
AGID02142	2447	13050	Set164	ATM_pS1981	0.387507651054477
AGID00217	1289	ab14748	Set164	ATP5A	0.899696991223392
AGID02145	2451	PA5-43776	Set164	ATP5H	-0.545793860626698
