AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.285035
AGID00111	913	sc-23957	Old	1433EPSILON	-0.073846
AGID00101	883	sc-1019	Old	1433ZETA	-0.302655
AGID00001	2	9452	Old	4EBP1	-0.801675
AGID00002	3	9456	Old	4EBP1_pS65	0.415265
AGID00003	6	9459	Old	4EBP1_pT37T46	0.0427075
AGID00443	8	9455	Old	4EBP1_pT70	-0.2192
AGID00120	985	4937	Old	53BP1	0.42104
AGID00004	13	3661	Old	ACC_pS79	-0.51508
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.0979
AGID00408	2372	3658	Set164	AceCS1	0.348118152315268
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.66884
AGID00404	2367	9189	Set164	ACSL1	-0.199871028351636
AGID02144	2450	PA5-27081	Old	ACVRL1	0.24804305
AGID00186	1198	ab88574	Old	ADAR1	-0.245405
AGID00146	1084	4691	Old	AKT	0.018351
AGID00028	230	9271	Old	AKT_pS473	1.52005
AGID00170	1154	2965	Old	AKT_pT308	1.151
AGID00316	1800	3063	Set164	Akt2	-0.331199800690388
AGID00347	2009	8599	Set164	Akt2_pS474	0.360879969430187
AGID02215	2577	ab195377	Set164	ALKBH5	0.491687728991649
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set164	Ambra1_pS52	0.115330307007188
AGID00236	1351	ab129081	Set164	AMPK-a2_pS345	-0.164423249466951
AGID00006	39	2532	Old	AMPKALPHA	0.354835
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.25653
AGID00193	1208	610066	Old	ANNEXIN1	-0.0972495
AGID00166	1142	610668	Old	ANNEXINVII	0.041075
AGID00371	756	1852-1/ab52615	Old	AR	1.081
AGID00194	1217	4432	Old	ARAF	-0.2649
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.039856
AGID00260	1053	sc-32761	Old	ARID1A	0.0964855
AGID00264	1560	HPA029318	Old	ASNS	-0.26236
AGID00276	1612	3415	Set164	Atg3	0.0342404778860879
AGID00309	1775	13507	Set164	Atg4B	-0.533981241672164
AGID00310	1776	12994	Set164	Atg5	0.0884528486697481
AGID00277	1613	8558	Set164	Atg7	0.220496917250902
AGID00242	1363	2873	Old	ATM	0.074475
AGID02142	2447	13050	Set164	ATM_pS1981	0.100588223681341
AGID00217	1289	ab14748	Set164	ATP5A	-0.289152664865438
AGID02145	2451	PA5-43776	Set164	ATP5H	-0.266198391685197
AGID02150	2456	13934	Set164	ATR	-0.139055114142021
AGID00315	1795	ab178407	Set164	ATR_pS428	-0.15606730345908
AGID00268	1569	ab97508	Set164	ATRX	0.817166507008078
AGID00391	2332	14475	Set164	Aurora-A	-0.882300331597813
AGID00392	2333	2914	Set164	Aurora-ABC_pT288_pT232_pT198	-0.128754069101366
AGID02195	2512	MA5-27890	Set164	Aurora-B	-0.892290099992849
AGID00215	1271	8661	Old	AXL	-0.13079
AGID02143	2449	8457	Set164	b-Actin	-0.158557219381732
AGID00179	1170	9565	Set164	b-Catenin_pT41_S45	-0.130537068944217
AGID00301	1725	14058	Set164	B7-H3	-0.010646551234571
AGID00302	1726	14572	Set164	B7-H4	-0.407203968899652
AGID00008	63	9291	Old	BAD_pS112	0.31067
AGID00009	71	1542-1/ab32371	Old	BAK	-0.0680305
AGID00192	1207	sc-28383	Old	BAP1C4	-0.163675
AGID00010	73	2772	Old	BAX	-0.196995
AGID00433	80	M0887	Old	BCL2	0.77547
AGID00219	1299	PAB8528	Old	BCL2A1	-0.137513
AGID00012	84	1018-1	Old	BCLXL	-0.24235
AGID00377	87	sc-10086	Old	BECLIN	-0.092875
AGID00011	75	9562	Old	BETACATENIN	0.3719
AGID00013	88	1008-1/ab32060	Old	BID	-0.188722
AGID00180	90	1036-1/ab32158	Old	BIM	-0.014121
AGID00221	1311	610978	Set164	BiP-GRP78	0.146536156894414
AGID00373	2194	07-507	Set164	BMK1-Erk5_pT218_Y220	-0.087341825584179
AGID00355	92	1647/ab33899	Old	BRAF	0.0734645
AGID00014	94	2696	Old	BRAF_pS445	-0.1041485
AGID00445	761	9012	Old	BRCA2	-0.17905
AGID00266	1567	13440	Old	BRD4	0.23587
AGID00168	1146	2865	Set164	c-Abl_pY412	0.113874187755392
AGID00278	1615	3130	Set164	c-IAP2	-0.0869867062970569
AGID00345	1990	5649	Old	CA9	0.48267
AGID00265	1565	2862	Old	CABL	0.103091
AGID00429	2407	2679	Set164	Calnexin	0.71463419830644
AGID00176	1165	9496	Set164	Caspase-8-cleaved	-0.242028743614252
AGID00623	111	9665	Old	CASPASE3	-0.277395
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.19954
AGID00118	951	9746	Old	CASPASE8	-0.19458
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.10305
AGID00358	2100	ab76000	Set164	CD134	-0.142793245893318
AGID00303	1737	826701	Set164	CD171	-0.459973548668756
AGID00410	125	1632-1/ab78237	Old	CD20	0.2462345
AGID00220	1308	ab28340	Old	CD26	0.56491
AGID00191	1206	610467	Set164	CD29	0.131270064204193
AGID00017	127	M0823	Old	CD31	-0.0620235
AGID00369	2174	ab108403	Set164	CD38	-0.2110728363073
AGID00359	2104	ab133616	Set164	CD4	-0.0370545982099032
AGID00411	1398	3570	Set164	CD44	-0.0125716277735424
AGID00237	1352	M070101-2	Set164	CD45	-0.305262934839491
AGID00115	937	611016	Old	CD49B	0.0273235
AGID02171	2482	91882	Set164	CD86	0.709418157270641
AGID00329	1873	4688	Set164	cdc25C	-0.13791369032604
AGID00227	1332	4651	Set164	Cdc42	-0.131783416556572
AGID00422	2396	3387	Set164	Cdc6	-0.258106118835157
AGID00501	1007	9112	Old	CDK1	0.000806499999999998
AGID00293	1658	ab32384	Set164	CDK1_pT14	-0.828081788845895
AGID00314	1783	4539	Old	CDK1_pY15	-0.457605
AGID00423	2397	8064	Set164	CDT1	-0.511008855166113
AGID02101	2348	15102	Set164	cGAS	0.115802058493479
AGID00447	2410	13460	Set164	CHD1L	0.441189223430385
AGID00189	1203	2360	Old	CHK1	-0.175045
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.27685
AGID00107	903	2348	Old	CHK1_pS345	0.301586
AGID00018	146	3440	Old	CHK2	-0.4839
AGID00019	147	2197	Old	CHK2_pT68	-0.29807
AGID00527	2078	4952	Old	CIAP	-0.169325
AGID00350	2018	3793	Set164	CIITA	-0.202196644809814
AGID00434	155	9164	Old	CJUN_pS73	0.4352
AGID00020	157	1522-1/ab32363	Old	CKIT	0.808005
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.4081
AGID00466	726	3127	Old	CMET	-0.080228
AGID00079	727	3129	Old	CMET_pY1235	0.0092455
AGID00167	161	9402	Old	CMYC	-0.053275
AGID00292	1656	11130-1-AP	Old	COG3	0.0921865
AGID00021	171	sc-20649	Old	COLLAGENVI	0.33715
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	-0.23542
AGID00267	1568	3512	Set164	Connexin-43	1.75465192877282
AGID00269	1571	6434	Set164	Coup-TFII	0.654026540421758
AGID00150	1116	4850	Set164	Cox-IV	0.212182645536303
AGID00195	1218	4842	Set164	Cox2	-0.0115069976347501
AGID00188	803	05-739	Old	CRAF	-0.002622
AGID00022	179	9427	Old	CRAF_pS338	0.028707
AGID00023	181	9197	Set164	Creb	-0.702193468190445
AGID00393	2334	9198	Set164	CREB_pS133	0.782538235887189
AGID00365	2155	4980	Set164	CSK	-0.0862456543526058
AGID00367	2160	9201	Set164	CtIP	0.234716724528301
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set164	Cyclin-D3	-0.197721445529827
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.6157
AGID00382	194	sc-718	Old	CYCLIND1	-0.0692575
AGID00437	199	sc-25303	Old	CYCLINE1	-0.609765
AGID00449	202	1142-1	Old	CYCLINE2	-0.164455
AGID00209	1257	ab110324	Set164	Cyclophilin-F	-0.813997482954324
AGID00247	1379	ab48389	Set164	D-a-Tubulin	-0.207607358535269
AGID00308	1770	GTX10524	Set164	DAPK1_pS308	-0.0724591499611117
AGID00304	1744	ab51601	Set164	DAPK2	-0.108769119015439
AGID00343	1980	6998	Set164	DDB-1	0.337746128833934
AGID00427	2402	5583	Set164	DDR1	0.00676148327354782
AGID00428	2403	SAB4504671	Set164	DDR1_pY513	0.1513575949971
AGID00532	1273	Bast Lab	Old	DIRAS3	0.0432238
AGID00104	891	ab76008	Old	DJ1	-0.080361
AGID02146	2452	4658	Set164	DM-Histone-H3	-0.311305661311668
AGID00386	1397	ab32521	Set164	DM-K9-Histone-H3	-0.2553923691567
AGID00352	2030	14649	Set164	DNA-Ligase-IV	0.168156724457917
AGID00407	2371	13609	Set164	DNA_POLG	-0.106227975059307
AGID00399	2344	5032	Set164	DNMT1	0.339291716298105
AGID00409	2373	5391	Set164	DRP1	0.196952558383251
AGID00253	1406	5149	Old	DUSP4	-0.33404
