AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.013088
AGID00111	913	sc-23957	Old	1433EPSILON	0.23369
AGID00101	883	sc-1019	Old	1433ZETA	0.20337
AGID00001	2	9452	Old	4EBP1	-0.81595
AGID00002	3	9456	Old	4EBP1_pS65	-0.14998
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.37113
AGID00443	8	9455	Old	4EBP1_pT70	-0.031758
AGID00120	985	4937	Old	53BP1	0.27667
AGID00004	13	3661	Old	ACC_pS79	0.33219
AGID00005	14	1768-1/ab45174	Old	ACC1	0.095206
AGID00408	2372	3658	Set164	AceCS1	0.116159539610581
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.0353
AGID00404	2367	9189	Set164	ACSL1	-0.215980318574521
AGID02144	2450	PA5-27081	Old	ACVRL1	0.1116
AGID00186	1198	ab88574	Old	ADAR1	-0.57913
AGID00146	1084	4691	Old	AKT	-0.53783
AGID00028	230	9271	Old	AKT_pS473	0.75364
AGID00170	1154	2965	Old	AKT_pT308	1.1725
AGID00316	1800	3063	Set164	Akt2	0.138352649559659
AGID00347	2009	8599	Set164	Akt2_pS474	-0.0449719330060076
AGID02215	2577	ab195377	Set164	ALKBH5	0.780052240040096
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set164	Ambra1_pS52	-0.218002357573762
AGID00236	1351	ab129081	Set164	AMPK-a2_pS345	-0.129773052653714
AGID00006	39	2532	Old	AMPKALPHA	-0.023081
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.23183
AGID00193	1208	610066	Old	ANNEXIN1	1.2682
AGID00166	1142	610668	Old	ANNEXINVII	0.53177
AGID00371	756	1852-1/ab52615	Old	AR	-0.12755
AGID00194	1217	4432	Old	ARAF	0.085754
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.0039992
AGID00260	1053	sc-32761	Old	ARID1A	0.018666
AGID00264	1560	HPA029318	Old	ASNS	-0.27212
AGID00276	1612	3415	Set164	Atg3	-0.275185679744054
AGID00309	1775	13507	Set164	Atg4B	-0.0453285368100109
AGID00310	1776	12994	Set164	Atg5	0.44875973022153
AGID00277	1613	8558	Set164	Atg7	0.355790622008414
AGID00242	1363	2873	Old	ATM	-0.029639
AGID02142	2447	13050	Set164	ATM_pS1981	0.470047962127952
AGID00217	1289	ab14748	Set164	ATP5A	0.0660084213709162
AGID02145	2451	PA5-43776	Set164	ATP5H	-0.541470241506671
AGID02150	2456	13934	Set164	ATR	0.243949652875128
AGID00315	1795	ab178407	Set164	ATR_pS428	0.253975291117968
AGID00268	1569	ab97508	Set164	ATRX	-1.19784507611634
AGID00391	2332	14475	Set164	Aurora-A	-0.349603395899786
AGID00392	2333	2914	Set164	Aurora-ABC_pT288_pT232_pT198	-0.0255954489625272
AGID02195	2512	MA5-27890	Set164	Aurora-B	-0.733537177656706
AGID00215	1271	8661	Old	AXL	-0.11349
AGID02143	2449	8457	Set164	b-Actin	-0.0272897899907197
AGID00179	1170	9565	Set164	b-Catenin_pT41_S45	-0.507862731244151
AGID00301	1725	14058	Set164	B7-H3	0.477146141167323
AGID00302	1726	14572	Set164	B7-H4	0.0584101334172796
AGID00008	63	9291	Old	BAD_pS112	-0.26541
AGID00009	71	1542-1/ab32371	Old	BAK	-0.39872
AGID00192	1207	sc-28383	Old	BAP1C4	-0.40392
AGID00010	73	2772	Old	BAX	0.8906
AGID00433	80	M0887	Old	BCL2	0
AGID00219	1299	PAB8528	Old	BCL2A1	-0.0081541
AGID00012	84	1018-1	Old	BCLXL	0.3198
AGID00377	87	sc-10086	Old	BECLIN	-0.068787
AGID00011	75	9562	Old	BETACATENIN	0.026455
AGID00013	88	1008-1/ab32060	Old	BID	-0.064363
AGID00180	90	1036-1/ab32158	Old	BIM	-0.13354
AGID00221	1311	610978	Set164	BiP-GRP78	0.191181520152846
AGID00373	2194	07-507	Set164	BMK1-Erk5_pT218_Y220	0.0826765499386195
AGID00355	92	1647/ab33899	Old	BRAF	-0.28778
AGID00014	94	2696	Old	BRAF_pS445	0.2081
AGID00445	761	9012	Old	BRCA2	0.23782
AGID00266	1567	13440	Old	BRD4	-0.21534
AGID00168	1146	2865	Set164	c-Abl_pY412	0.133292505773023
AGID00278	1615	3130	Set164	c-IAP2	-0.270134504859466
AGID00345	1990	5649	Old	CA9	-0.40587
AGID00265	1565	2862	Old	CABL	0.20149
AGID00429	2407	2679	Set164	Calnexin	0.132674675226278
AGID00176	1165	9496	Set164	Caspase-8-cleaved	-0.19324106206982
AGID00623	111	9665	Old	CASPASE3	0.079189
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.4944
AGID00118	951	9746	Old	CASPASE8	0.089643
AGID00537	935	551246	Old	CASPASE9	NA
