AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.10829
AGID00111	913	sc-23957	Old	1433EPSILON	-0.081619
AGID00101	883	sc-1019	Old	1433ZETA	0.0095963
AGID00001	2	9452	Old	4EBP1	-0.11959
AGID00002	3	9456	Old	4EBP1_pS65	-0.26905
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.25029
AGID00443	8	9455	Old	4EBP1_pT70	-0.17823
AGID00120	985	4937	Old	53BP1	-0.7824
AGID00004	13	3661	Old	ACC_pS79	0.39267
AGID00005	14	1768-1/ab45174	Old	ACC1	0.017407
AGID00408	2372	3658	Set166	AceCS1	0.935416535368381
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.41688
AGID00404	2367	9189	Set166	ACSL1	-0.366634095671511
AGID02144	2450	PA5-27081	Old	ACVRL1	0.22151
AGID00186	1198	ab88574	Old	ADAR1	-0.19232
AGID00146	1084	4691	Old	AKT	0.0068529
AGID00028	230	9271	Old	AKT_pS473	-0.91805
AGID00170	1154	2965	Old	AKT_pT308	-1.2858
AGID00316	1800	3063	Set166	Akt2	-0.197461992139525
AGID00347	2009	8599	Set166	Akt2_pS474	-0.171757303938182
AGID02215	2577	ab195377	Set166	ALKBH5	-0.240328680626482
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set166	Ambra1_pS52	-0.0820172265440852
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.224554842965272
AGID00006	39	2532	Old	AMPKALPHA	0.40629
AGID00007	40	2535	Old	AMPKALPHA_pT172	1.3501
AGID00193	1208	610066	Old	ANNEXIN1	-0.56123
AGID00166	1142	610668	Old	ANNEXINVII	-0.042174
AGID00371	756	1852-1/ab52615	Old	AR	-0.85438
AGID00194	1217	4432	Old	ARAF	0.14569
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.019157
AGID00260	1053	sc-32761	Old	ARID1A	-0.075945
AGID00264	1560	HPA029318	Old	ASNS	0.8735
AGID00276	1612	3415	Set166	Atg3	-0.158590442116266
