AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.31585
AGID00111	913	sc-23957	Old	1433EPSILON	-0.14543
AGID00101	883	sc-1019	Old	1433ZETA	0.31123
AGID00001	2	9452	Old	4EBP1	-0.60863
AGID00002	3	9456	Old	4EBP1_pS65	-0.26404
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.48396
AGID00443	8	9455	Old	4EBP1_pT70	-0.17962
AGID00120	985	4937	Old	53BP1	-0.58624
AGID00004	13	3661	Old	ACC_pS79	-0.34867
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.94178
AGID00408	2372	3658	Set163	AceCS1	0.331699809384563
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.2226
AGID00404	2367	9189	Set163	ACSL1	0.461840278090624
AGID02144	2450	PA5-27081	Old	ACVRL1	0.31774
AGID00186	1198	ab88574	Old	ADAR1	-0.1881
AGID00146	1084	4691	Old	AKT	-0.03868
AGID00028	230	9271	Old	AKT_pS473	-1.0799
AGID00170	1154	2965	Old	AKT_pT308	-1.0907
AGID00316	1800	3063	Set163	Akt2	-0.250724680554482
AGID00347	2009	8599	Set163	Akt2_pS474	0.110659757190594
AGID02215	2577	ab195377	Set163	ALKBH5	-0.0997848923455925
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.10765552480758
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.451474775377014
AGID00006	39	2532	Old	AMPKALPHA	-0.61882
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.6347
AGID00193	1208	610066	Old	ANNEXIN1	0.74224
AGID00166	1142	610668	Old	ANNEXINVII	0.15343
AGID00371	756	1852-1/ab52615	Old	AR	-0.16996
AGID00194	1217	4432	Old	ARAF	0.35066
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.12133
AGID00260	1053	sc-32761	Old	ARID1A	-0.0075589
AGID00264	1560	HPA029318	Old	ASNS	-0.22136
AGID00276	1612	3415	Set163	Atg3	-0.0119797454763788
AGID00309	1775	13507	Set163	Atg4B	0.0476598008588547
AGID00310	1776	12994	Set163	Atg5	0.424800226520476
AGID00277	1613	8558	Set163	Atg7	0.264520317600013
AGID00242	1363	2873	Old	ATM	1.0777
AGID02142	2447	13050	Set163	ATM_pS1981	0.125995173884615
AGID00217	1289	ab14748	Set163	ATP5A	-0.498170325779101
AGID02145	2451	PA5-43776	Set163	ATP5H	0.304495293972359
AGID02150	2456	13934	Set163	ATR	0.203657282657228
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.523975934873251
AGID00268	1569	ab97508	Set163	ATRX	0.41899767983004
AGID00391	2332	14475	Set163	Aurora-A	-0.219319682399987
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.0281096724879823
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.184085988384182
AGID00215	1271	8661	Old	AXL	0.69496
AGID02143	2449	8457	Set163	b-Actin	0.890420051847402
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.106705322668652
AGID00301	1725	14058	Set163	B7-H3	-0.171220597007493
AGID00302	1726	14572	Set163	B7-H4	-0.0592750171120685
AGID00008	63	9291	Old	BAD_pS112	0.26443
AGID00009	71	1542-1/ab32371	Old	BAK	0.0012274
AGID00192	1207	sc-28383	Old	BAP1C4	-0.17972
AGID00010	73	2772	Old	BAX	0.0688
AGID00433	80	M0887	Old	BCL2	0.78058
AGID00219	1299	PAB8528	Old	BCL2A1	0.38375
AGID00012	84	1018-1	Old	BCLXL	-0.19836
AGID00377	87	sc-10086	Old	BECLIN	-0.073149
AGID00011	75	9562	Old	BETACATENIN	-0.30807
AGID00013	88	1008-1/ab32060	Old	BID	0.33073
AGID00180	90	1036-1/ab32158	Old	BIM	0.32599
AGID00221	1311	610978	Set163	BiP-GRP78	0.0237447616353982
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	-0.323989648750488
AGID00355	92	1647/ab33899	Old	BRAF	-0.47288
AGID00014	94	2696	Old	BRAF_pS445	-0.066985
AGID00445	761	9012	Old	BRCA2	-0.20229
AGID00266	1567	13440	Old	BRD4	0.23169
AGID00168	1146	2865	Set163	c-Abl_pY412	0.126689585636718
AGID00278	1615	3130	Set163	c-IAP2	0.225385208819231
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.047412
AGID00429	2407	2679	Set163	Calnexin	0.200340064116105
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.255805235747998
AGID00623	111	9665	Old	CASPASE3	-0.3769
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.45117
AGID00118	951	9746	Old	CASPASE8	-0.094519
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.069
AGID00358	2100	ab76000	Set163	CD134	0.284988880082561
AGID00303	1737	826701	Set163	CD171	-0.15120970492727
AGID00410	125	1632-1/ab78237	Old	CD20	0.17675
AGID00220	1308	ab28340	Old	CD26	0.187
AGID00191	1206	610467	Set163	CD29	-0.0743800346573535
AGID00017	127	M0823	Old	CD31	0.021629
AGID00369	2174	ab108403	Set163	CD38	0.569000328413109
AGID00359	2104	ab133616	Set163	CD4	2.34540905983415
AGID00411	1398	3570	Set163	CD44	1.80243519623861
AGID00237	1352	M070101-2	Set163	CD45	1.25305015228442
AGID00115	937	611016	Old	CD49B	-0.33288
AGID02171	2482	91882	Set163	CD86	-0.112439693074453
AGID00329	1873	4688	Set163	cdc25C	-0.696224670573163
AGID00227	1332	4651	Set163	Cdc42	0.261010099258663
AGID00422	2396	3387	Set163	Cdc6	0.0898502026068997
AGID00501	1007	9112	Old	CDK1	-0.3706
AGID00293	1658	ab32384	Set163	CDK1_pT14	-0.712959675121941
AGID00314	1783	4539	Old	CDK1_pY15	-0.61971
AGID00423	2397	8064	Set163	CDT1	0.42745487111797
AGID02101	2348	15102	Set163	cGAS	-0.314329677825216
AGID00447	2410	13460	Set163	CHD1L	-0.364591511891872
AGID00189	1203	2360	Old	CHK1	-0.093017
AGID00234	1348	ab79758	Old	CHK1_pS296	0.14873
AGID00107	903	2348	Old	CHK1_pS345	-0.046839
AGID00018	146	3440	Old	CHK2	0.11956
AGID00019	147	2197	Old	CHK2_pT68	0.062255
AGID00527	2078	4952	Old	CIAP	0.055606
AGID00350	2018	3793	Set163	CIITA	0.263010321135064
AGID00434	155	9164	Old	CJUN_pS73	-0.13651
AGID00020	157	1522-1/ab32363	Old	CKIT	0.3444
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.89697
AGID00466	726	3127	Old	CMET	-0.087357
AGID00079	727	3129	Old	CMET_pY1235	-0.14543
AGID00167	161	9402	Old	CMYC	-0.18801
AGID00292	1656	11130-1-AP	Old	COG3	-0.13011
AGID00021	171	sc-20649	Old	COLLAGENVI	0.81254
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	-0.697139948152598
AGID00269	1571	6434	Set163	Coup-TFII	0.227230318847678
AGID00150	1116	4850	Set163	Cox-IV	0.346069664655471
AGID00195	1218	4842	Set163	Cox2	0.114090324878058
AGID00188	803	05-739	Old	CRAF	0.17153
AGID00022	179	9427	Old	CRAF_pS338	-0.23301
AGID00023	181	9197	Set163	Creb	0.545619200316367
AGID00393	2334	9198	Set163	CREB_pS133	0.230762454843416
AGID00365	2155	4980	Set163	CSK	0.497180283289228
AGID00367	2160	9201	Set163	CtIP	0.249904982887932
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	-0.357059797393101
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.445
AGID00382	194	sc-718	Old	CYCLIND1	-0.16264
AGID00437	199	sc-25303	Old	CYCLINE1	-0.70253
AGID00449	202	1142-1	Old	CYCLINE2	-0.47974
AGID00209	1257	ab110324	Set163	Cyclophilin-F	-0.601029967075513
AGID00247	1379	ab48389	Set163	D-a-Tubulin	-0.271344687312668
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.33978973313836
AGID00304	1744	ab51601	Set163	DAPK2	-0.141124903574576
AGID00343	1980	6998	Set163	DDB-1	-0.218299748734171
AGID00427	2402	5583	Set163	DDR1	-0.518405450328944
AGID00428	2403	SAB4504671	Set163	DDR1_pY513	-0.145629702778514
AGID00532	1273	Bast Lab	Old	DIRAS3	0.30917
AGID00104	891	ab76008	Old	DJ1	0.37369
AGID02146	2452	4658	Set163	DM-Histone-H3	0.378724932669427
AGID00386	1397	ab32521	Set163	DM-K9-Histone-H3	-0.31496471299377
AGID00352	2030	14649	Set163	DNA-Ligase-IV	-0.0397549328600403
AGID00407	2371	13609	Set163	DNA_POLG	-0.209719762458485
AGID00399	2344	5032	Set163	DNMT1	0.0633301852782208
AGID00409	2373	5391	Set163	DRP1	0.293608749701668
AGID00253	1406	5149	Old	DUSP4	-0.12613
AGID00334	1936	ab76310	Set163	DUSP6	0.375319986345003
AGID00116	940	3218	Old	DVL3	0.15375
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-1.4575
AGID00135	1060	2332	Old	EEF2	0.08623
AGID00136	1061	3692	Old	EEF2K	-0.067984
AGID00152	1120	2232	Old	EGFR	-0.12716
AGID00450	217	2234	Old	EGFR_pY1068	0.080635
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.1655
AGID00078	722	9742	Old	EIF4E	-0.07839
AGID00328	1871	ab76256	Set163	eIF4E_pS209	0
AGID00154	1124	2498	Old	EIF4G	0.025496
AGID00027	228	9181	Set163	Elk1_pS383	0.401035322668652
AGID00235	1350	M061329-2	Set163	EMA	-0.451330109170662
AGID00394	2337	3810	Set163	Enolase-1	0.181405084919183
AGID00395	2338	8171	Set163	Enolase-2	0.0953953282138293
AGID00196	1219	GTX629542	Old	ENY2	-0.47487
AGID00438	1849	A302-024A	Set163	EphA2	0.535220321135064
AGID00552	2422	6347	Set163	EphA2_pS897	-0.197899675121941
AGID00553	2423	12677	Set163	EphA2_pY588	-0.240108175226442
AGID00075	693	556347	Old	EPPK1	1.0386
AGID00335	238	RM-9101	Old	ERALPHA	-1.4451
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.41416
AGID00240	247	MS-671	Old	ERCC1	-0.28595
AGID00239	1355	11331-1-AP	Old	ERCC5	0.089435
AGID00484	249	sc-154	Old	ERK2	0.19372
AGID00372	2193	3552	Set163	Erk5	0.178550327512018
AGID00405	2369	13826	Set163	ERRalpha	0.0309451962386102
AGID00187	1200	A303-501A	Old	ETS1	0.80743
AGID00511	2492	2593	Set163	EVI1	0.476604716407557
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set163	FAK	0.116820316283034
AGID02151	2457	8556	Set163	FAK_pY397	-0.218456287511644
AGID00171	1156	3180	Old	FASN	-0.66489
AGID00356	2085	500-P18/10775-082	Set163	FGF-basic	0.285935319445517
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	0.75902
AGID00339	1959	4403	Set163	FN14	-0.241264674732046
AGID02152	2458	20459	Old	FOXM1	-0.50232
AGID00378	269	9467	Old	FOXO3A	0.023309
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.18204
AGID02167	2475	PA5-64616	Set163	FRS2-alpha_pY196	0.248760329383515
AGID02213	2575	ab124892	Set163	FTO	-0.315649675953718
AGID02141	2446	12263	Old	G6PD	-0.076108
AGID00117	943	3239	Old	GAB2	0.10035
AGID00412	274	AM4300	Old	GAPDH	-1.5718
AGID00086	764	558686	Old	GATA3	0.43465
AGID00383	1578	4253	Old	GATA6	0.5727
AGID00289	1634	12601-1-AP	Set163	GCLC	-0.440204699685344
AGID00305	1745	ab124827	Set163	GCLM	-0.0639796799739719
AGID00212	1263	3305	Old	GCN5L2	-0.15891
AGID00270	1579	3538	Set163	Gli1	-0.740150078533562
AGID00263	1520	ab69838	Set163	Gli3	-0.349440824844862
AGID00548	2530	3660	Set163	Glucocorticoid-Receptor	1.00112531695019
AGID00387	1617	12793	Set163	Glutamate-D1-2	0.12396918777041
AGID00262	1491	ab156876	Set163	Glutaminase	0.12631026083126
AGID00319	1807	4275	Set163	Granzyme-B	-0.398214775377015
AGID00368	2169	ab183737	Set163	GRB7	-0.65885045553621
AGID00396	2339	3593	Set163	Grp75	-0.448444743873476
AGID00174	1163	9315	Set163	GSK-3B	0.0420894465907396
AGID00502	1082	9336	Old	GSK3_pS9	-0.59042
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.2569
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-0.34031
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set163	H2AX_pS139	-0.270359719275416
AGID00363	1409	MA1-2022	Set163	H2AX_pS140	-0.448874740719657
AGID00131	1038	MS-325-P1	Old	HER2	-0.57801
AGID00142	299	06-229	Old	HER2_pY1248	0.021755
AGID00110	911	sc-285	Old	HER3	-0.53483
AGID00080	728	4791	Old	HER3_pY1289	-0.0073188
AGID00103	890	2573	Old	HEREGULIN	0.033948
AGID00271	1582	11988	Set163	HES1	-0.590659912178264
AGID00397	2340	2024	Set163	Hexokinase-I	-0.0965199238924498
AGID00442	1023	2867	Set163	Hexokinase-II	-0.309051235534308
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set163	Histone-H3	0.613830147293758
AGID00398	2341	3377	Set163	Histone-H3_pS10	-0.382054808093559
AGID00332	1901	ab128959	Set163	HLA-DQA1	1.58863895009038
AGID00333	1902	14832-1-AP	Set163	HMHA1	2.73577982622803
AGID00035	321	2402	Set163	HSP27	-0.279284734619962
AGID00036	323	2401	Set163	HSP27_pS82	-0.24349968655887
AGID00320	1808	12165	Set163	HSP60	0.0228251020745739
AGID00037	325	4872	Old	HSP70	1.2505
AGID00366	2158	86630	Set163	IDO	1.43290483039558
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.28979
AGID00038	335	3922	Old	IGFBP2	-0.98796
AGID00090	793	611504	Set163	IGFBP3	-0.33701
AGID00039	336	3027	Set163	IGFRb	-0.5541296730425
AGID00336	1949	12153	Set163	IL-6	0.401064996612243
AGID02221	2583	57145	Set163	IMP3	-0.228329819227235
AGID02153	2459	14543	Old	INPP4B	0.69242
AGID00272	1586	3025	Set163	IR-b	-0.576649714215442
AGID00519	2519	4302	Set163	IRF-3	0.339965572042386
AGID00520	2520	4947	Set163	IRF-3_pS396	-0.434310216400506
AGID00223	1316	sc-497	Old	IRF1	0.20935
AGID00092	802	06-248	Old	IRS1	0.20267
AGID00040	371	4502	Set163	IRS2	-0.0140901409167959
AGID00250	1394	sc-13157	Old	JAB1	0.097413
AGID00256	1413	ab109536	Set163	Jagged1	0.159715850340384
AGID00177	1166	3230	Old	JAK2	0.070144
AGID00758	377	4671	Old	JNK_pT183Y185	-0.1965
AGID02136	2439	PA5-28262	Old	JNK2	0.13954
AGID00307	1757	ab10484	Set163	KAP1	-0.477555186378576
AGID00528	904	2180	Old	KU80	-0.073575
AGID00375	2237	HPA028732	Set163	LAD1	0.385035328906977
AGID00290	1643	IHC-00439	Set163	Lasu1	-0.507004699685345
AGID00279	1618	4108	Set163	LC3A-B	-0.0999749450594289
AGID00042	397	2752	Old	LCK	1.024
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	0.1421
AGID00244	1367	2568	Set163	LRP6_pS1490	-0.303264697709875
AGID00439	2424	2796	Set163	Lyn	0.764875265380038
AGID02154	2460	4370	Old	MAPK_pT202Y204	-0.23759
AGID00198	1222	5453	Set163	Mcl-1	0.258129274136505
AGID00288	1633	AB3314P	Set163	MCT4	0.324550189714363
AGID00175	1164	3521	Set163	MDM2_pS166	-0.109244674004242
AGID00044	417	1235-1/ab32576	Old	MEK1	0.90058
AGID00143	1076	9154	Old	MEK1_pS217S221	-0.062952
AGID00201	1243	9125	Set163	MEK2	-0.0600701490266163
AGID00361	2118	ab51061	Set163	MelanA	-0.135134697709875
AGID00362	2119	ab137078	Set163	Melanoma-gp100	0.280250222708167
AGID00337	1951	12711	Set163	MERIT40	0.288464688439077
AGID00338	1952	12110	Set163	MERIT40_pS29	-0.292169672002779
AGID02212	2574	ab195352	Set163	METTL3	-0.327309679973972
AGID00225	1323	sc-20121	Set163	MIF	-0.03062967435948
AGID00137	1062	WH0054206M1	Old	MIG6	0.13506
AGID00403	2117	ab20663	Set163	MITF	0.284954935734766
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set163	Mitofusin-1	-0.123148467630087
AGID00322	1810	11925	Set163	Mitofusin-2	-0.206969801621298
AGID00389	2324	3515	Set163	MLH1	-0.467329819227235
AGID00312	1780	14993	Set163	MLKL	0.393440171553908
AGID00402	2359	MAB3328	Set163	MMP14	0.441480263881108
AGID00045	435	4022	Set163	MMP2	0.301107464816058
AGID00122	1005	2195	Set163	Mnk1	0.457949111039059
AGID00331	1899	sc-377312	Set163	MR1	-0.181934860322196
AGID00273	1589	ab103319	Set163	MRAP	-0.329049670755114
AGID00530	440	4847	Old	MRE11	0.14175
AGID00390	905	2850	Old	MSH2	-0.20667
AGID00138	1063	22030002	Old	MSH6	-0.59623
AGID00299	1675	ab76148	Set163	MSI2	-0.268834670677135
AGID00232	1344	ab14705	Set163	MTCO1	0.69030864441269
AGID00046	444	2983	Old	MTOR	-0.27639
AGID00047	446	2971	Old	MTOR_pS2448	-0.081386
AGID00204	1247	H00009788-M01A	Set163	MTSS1	-0.302324850202247
AGID00401	1139	21370002	Old	MYH11	0.4719
AGID00291	1647	3403	Old	MYOSINIIA	0.23586
AGID00173	1160	5026	Old	MYOSINIIA_pS1943	0.58565
AGID00318	1803	4282	Set163	Myt1	-0.506219929853515
AGID00216	1274	5795-1/ab129189	Old	NAPSINA	NA
AGID00418	452	4061	Old	NCADHERIN	0.12683
AGID00156	1126	3217	Old	NDRG1_pT346	-0.12345
AGID02133	2436	PA5-45913	Set163	NDUFB4	0.1555503269575
AGID00134	1046	22710002	Old	NF2	-0.013836
AGID00048	457	3033	Old	NFKBP65_pS536	1.2016
AGID02155	2461	3608	Old	NOTCH1	0.11547
AGID00340	1969	4147	Set163	Notch1-cleaved	0.0104250790620897
AGID00087	767	sc-5593	Set163	Notch3	-0.241559698688945
AGID00258	1420	3187	Set163	NQO1	-0.770704860322196
AGID00162	1136	sc-31	Old	NRAS	0.24654
AGID00257	1419	12721	Old	NRF2	NA
AGID00297	1669	2750	Set163	Oct-4	0.00821531559855097
AGID00420	466	1712-1/ab40803	Old	P16INK4A	0.53774
AGID00384	470	sc-6246	Old	P21	0.012422
AGID00105	897	1591-1/ab32034	Old	P27	0.4157
AGID00096	842	AF1555	Old	P27_pT157	-0.060766
AGID00099	878	ab64949	Old	P27_pT198	0.38881
AGID00181	1175	9228	Set163	p38-a	0.22910921279301
AGID00098	479	9211	Old	P38_pT180Y182	0.17569
AGID00049	478	9212	Old	P38MAPK	0.33291
AGID00151	1119	4695	Set163	p44-42-MAPK	0.384515314177599
AGID00050	481	9282	Old	P53	-0.301
AGID00490	1187	610833	Old	P62LCKLIGAND	0.10902
AGID00545	1415	ab53039	Old	P63	NA
AGID00052	494	9205	Old	P70S6K_pT389	-0.12517
AGID00051	493	1494-1/ab32529	Old	P70S6K1	-0.020837
