AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.06078
AGID00111	913	sc-23957	Old	1433EPSILON	0.058873
AGID00101	883	sc-1019	Old	1433ZETA	-0.059132
AGID00001	2	9452	Old	4EBP1	1.0599
AGID00002	3	9456	Old	4EBP1_pS65	-0.26666
AGID00003	6	9459	Old	4EBP1_pT37T46	0.93114
AGID00443	8	9455	Old	4EBP1_pT70	0.48692
AGID00120	985	4937	Old	53BP1	-0.94365
AGID00004	13	3661	Old	ACC_pS79	0.45727
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.061964
AGID00408	2372	3658	Set163	AceCS1	-0.00888959360794399
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.10687
AGID00404	2367	9189	Set163	ACSL1	-0.358389124901882
AGID02144	2450	PA5-27081	Old	ACVRL1	0.34286
AGID00186	1198	ab88574	Old	ADAR1	0.27808
AGID00146	1084	4691	Old	AKT	-0.85044
AGID00028	230	9271	Old	AKT_pS473	-0.92069
AGID00170	1154	2965	Old	AKT_pT308	-0.80611
AGID00316	1800	3063	Set163	Akt2	-0.512244083546989
AGID00347	2009	8599	Set163	Akt2_pS474	0.250410354198087
AGID02215	2577	ab195377	Set163	ALKBH5	0.031185704661901
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.0560550721999134
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.0564358216304792
AGID00006	39	2532	Old	AMPKALPHA	-0.4158
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.39458
AGID00193	1208	610066	Old	ANNEXIN1	-0.18105
AGID00166	1142	610668	Old	ANNEXINVII	0.084285
AGID00371	756	1852-1/ab52615	Old	AR	-0.72503
AGID00194	1217	4432	Old	ARAF	-0.16332
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.29799
AGID00260	1053	sc-32761	Old	ARID1A	-0.10876
AGID00264	1560	HPA029318	Old	ASNS	0.34306
AGID00276	1612	3415	Set163	Atg3	0.316950851531114
AGID00309	1775	13507	Set163	Atg4B	0.233960397866348
AGID00310	1776	12994	Set163	Atg5	-0.234659176472031
AGID00277	1613	8558	Set163	Atg7	-0.632759085392494
AGID00242	1363	2873	Old	ATM	-0.99857
AGID02142	2447	13050	Set163	ATM_pS1981	0.310175770892109
AGID00217	1289	ab14748	Set163	ATP5A	-0.637139728771607
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.402854109020148
AGID02150	2456	13934	Set163	ATR	0.0699878796647212
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.0228953378657577
AGID00268	1569	ab97508	Set163	ATRX	-1.18270172316247
AGID00391	2332	14475	Set163	Aurora-A	0.209450914607506
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.0386909245195108
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.0779646086233114
