AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.036169
AGID00111	913	sc-23957	Old	1433EPSILON	0.22134
AGID00101	883	sc-1019	Old	1433ZETA	0.099794
AGID00001	2	9452	Old	4EBP1	-0.059593
AGID00002	3	9456	Old	4EBP1_pS65	-0.48795
AGID00003	6	9459	Old	4EBP1_pT37T46	0.84301
AGID00443	8	9455	Old	4EBP1_pT70	-0.30051
AGID00120	985	4937	Old	53BP1	-0.27174
AGID00004	13	3661	Old	ACC_pS79	0.092337
AGID00005	14	1768-1/ab45174	Old	ACC1	0.2765
AGID00408	2372	3658	Set163	AceCS1	0.233579480139677
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.22845
AGID00404	2367	9189	Set163	ACSL1	0.0709099488457389
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.011849
AGID00186	1198	ab88574	Old	ADAR1	-0.25478
AGID00146	1084	4691	Old	AKT	0.24546
AGID00028	230	9271	Old	AKT_pS473	0.71538
AGID00170	1154	2965	Old	AKT_pT308	0.09162
AGID00316	1800	3063	Set163	Akt2	-0.028805009799368
AGID00347	2009	8599	Set163	Akt2_pS474	0.241479427945708
AGID02215	2577	ab195377	Set163	ALKBH5	-0.018795221590478
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.123954145947535
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.2441448953781
AGID00006	39	2532	Old	AMPKALPHA	-0.35119
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.56459
AGID00193	1208	610066	Old	ANNEXIN1	-0.43547
AGID00166	1142	610668	Old	ANNEXINVII	0.25081
AGID00371	756	1852-1/ab52615	Old	AR	1.5281
AGID00194	1217	4432	Old	ARAF	0.49125
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.18674
AGID00260	1053	sc-32761	Old	ARID1A	0.28154
AGID00264	1560	HPA029318	Old	ASNS	-0.1831
AGID00276	1612	3415	Set163	Atg3	0.118569925278735
AGID00309	1775	13507	Set163	Atg4B	0.0490994716139688
AGID00310	1776	12994	Set163	Atg5	-0.0526001027244098
AGID00277	1613	8558	Set163	Atg7	-0.105090011644873
AGID00242	1363	2873	Old	ATM	0.43394
AGID02142	2447	13050	Set163	ATM_pS1981	0.0308948446397298
AGID00217	1289	ab14748	Set163	ATP5A	-0.385170655023986
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.159135035272527
AGID02150	2456	13934	Set163	ATR	-0.155103046587658
AGID00315	1795	ab178407	Set163	ATR_pS428	0.179093735881863
AGID00268	1569	ab97508	Set163	ATRX	0.762217350585154
AGID00391	2332	14475	Set163	Aurora-A	-0.165770011644873
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.147380001732868
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.121463682370932
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set163	b-Actin	0.0965397226025163
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.155765006576234
AGID00301	1725	14058	Set163	B7-H3	0.712459073747621
AGID00302	1726	14572	Set163	B7-H4	1.23358465364305
AGID00008	63	9291	Old	BAD_pS112	0.25608
AGID00009	71	1542-1/ab32371	Old	BAK	-0.69024
AGID00192	1207	sc-28383	Old	BAP1C4	-0.081124
AGID00010	73	2772	Old	BAX	-0.23041
AGID00433	80	M0887	Old	BCL2	0.82644
AGID00219	1299	PAB8528	Old	BCL2A1	0.2415
AGID00012	84	1018-1	Old	BCLXL	-0.14848
AGID00377	87	sc-10086	Old	BECLIN	0.10853
AGID00011	75	9562	Old	BETACATENIN	-0.46779
AGID00013	88	1008-1/ab32060	Old	BID	-0.083024
AGID00180	90	1036-1/ab32158	Old	BIM	0.84162
AGID00221	1311	610978	Set163	BiP-GRP78	0.260724432390513
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.276730022004627
AGID00355	92	1647/ab33899	Old	BRAF	-0.18687
AGID00014	94	2696	Old	BRAF_pS445	0.32823
AGID00445	761	9012	Old	BRCA2	-0.059466
AGID00266	1567	13440	Old	BRD4	-0.1496
AGID00168	1146	2865	Set163	c-Abl_pY412	-0.123210743608167
AGID00278	1615	3130	Set163	c-IAP2	0.0973748795743451
AGID00345	1990	5649	Old	CA9	NA
