AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.077669
AGID00111	913	sc-23957	Old	1433EPSILON	-0.029235
AGID00101	883	sc-1019	Old	1433ZETA	0.39189
AGID00001	2	9452	Old	4EBP1	-0.088301
AGID00002	3	9456	Old	4EBP1_pS65	-0.06286
AGID00003	6	9459	Old	4EBP1_pT37T46	0.75294
AGID00443	8	9455	Old	4EBP1_pT70	-0.20428
AGID00120	985	4937	Old	53BP1	-0.36203
AGID00004	13	3661	Old	ACC_pS79	-0.17246
AGID00005	14	1768-1/ab45174	Old	ACC1	0.073407
AGID00408	2372	3658	Set163	AceCS1	0.433219836971816
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.31218
AGID00404	2367	9189	Set163	ACSL1	0.880690305677878
AGID02144	2450	PA5-27081	Old	ACVRL1	0.36678
AGID00186	1198	ab88574	Old	ADAR1	-0.25172
AGID00146	1084	4691	Old	AKT	0.70282
AGID00028	230	9271	Old	AKT_pS473	0.87024
AGID00170	1154	2965	Old	AKT_pT308	0.015134
AGID00316	1800	3063	Set163	Akt2	0.139215347032771
AGID00347	2009	8599	Set163	Akt2_pS474	0.490489784777846
AGID02215	2577	ab195377	Set163	ALKBH5	0.00584513524166108
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.0818845027796734
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.260674747789761
AGID00006	39	2532	Old	AMPKALPHA	-0.49288
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.60335
AGID00193	1208	610066	Old	ANNEXIN1	-0.015456
AGID00166	1142	610668	Old	ANNEXINVII	0.24081
AGID00371	756	1852-1/ab52615	Old	AR	1.3825
AGID00194	1217	4432	Old	ARAF	0.2064
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.26536
AGID00260	1053	sc-32761	Old	ARID1A	0.24238
AGID00264	1560	HPA029318	Old	ASNS	0.40357
AGID00276	1612	3415	Set163	Atg3	-0.0347197178891256
AGID00309	1775	13507	Set163	Atg4B	-0.132440171553892
AGID00310	1776	12994	Set163	Atg5	0.224630254107729
AGID00277	1613	8558	Set163	Atg7	0.745130345187266
AGID00242	1363	2873	Old	ATM	0.26921
AGID02142	2447	13050	Set163	ATM_pS1981	-0.0262447985281314
AGID00217	1289	ab14748	Set163	ATP5A	0.566059701808153
AGID02145	2451	PA5-43776	Set163	ATP5H	0.044615321559612
AGID02150	2456	13934	Set163	ATR	-0.210392689755519
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.0189559072859979
AGID00268	1569	ab97508	Set163	ATRX	0.0574777074172925
AGID00391	2332	14475	Set163	Aurora-A	0.371910345187266
