AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.189505
AGID00111	913	sc-23957	Old	1433EPSILON	-0.14964
AGID00101	883	sc-1019	Old	1433ZETA	0.20283
AGID00001	2	9452	Old	4EBP1	-0.277065
AGID00002	3	9456	Old	4EBP1_pS65	-0.071814
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.035334
AGID00443	8	9455	Old	4EBP1_pT70	0.0032695
AGID00120	985	4937	Old	53BP1	-0.57468
AGID00004	13	3661	Old	ACC_pS79	2.57025
AGID00005	14	1768-1/ab45174	Old	ACC1	2.2164
AGID00408	2372	3658	Set163	AceCS1	0.562424524839006
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.466595
AGID00404	2367	9189	Set163	ACSL1	-0.112475006454933
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.081527
AGID00186	1198	ab88574	Old	ADAR1	0.078103
AGID00146	1084	4691	Old	AKT	-0.27634
AGID00028	230	9271	Old	AKT_pS473	-0.479265
AGID00170	1154	2965	Old	AKT_pT308	-0.57665
AGID00316	1800	3063	Set163	Akt2	0.0988400348999608
AGID00347	2009	8599	Set163	Akt2_pS474	-0.447445527354964
AGID02215	2577	ab195377	Set163	ALKBH5	0.325569823108851
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.178129190646863
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.0875399400774289
AGID00006	39	2532	Old	AMPKALPHA	0.38281
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.598625
AGID00193	1208	610066	Old	ANNEXIN1	-1.4905
AGID00166	1142	610668	Old	ANNEXINVII	0.1717285
AGID00371	756	1852-1/ab52615	Old	AR	2.0385
AGID00194	1217	4432	Old	ARAF	0.396035
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.40242
AGID00260	1053	sc-32761	Old	ARID1A	0.39127
AGID00264	1560	HPA029318	Old	ASNS	-0.0921235
AGID00276	1612	3415	Set163	Atg3	-0.0969050300219363
AGID00309	1775	13507	Set163	Atg4B	-0.254145483686702
AGID00310	1776	12994	Set163	Atg5	-0.410495058025081
AGID00277	1613	8558	Set163	Atg7	-0.000854966945544018
AGID00242	1363	2873	Old	ATM	-0.91689
AGID02142	2447	13050	Set163	ATM_pS1981	-0.191370110660942
AGID00217	1289	ab14748	Set163	ATP5A	0.574954389675342
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.286399990573198
AGID02150	2456	13934	Set163	ATR	-0.0881980018883292
AGID00315	1795	ab178407	Set163	ATR_pS428	0.377238780581192
AGID00268	1569	ab97508	Set163	ATRX	1.56814239528448
AGID00391	2332	14475	Set163	Aurora-A	0.0851650330544561
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.00472495703353953
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.0176787270702614
AGID00215	1271	8661	Old	AXL	-0.075376
AGID02143	2449	8457	Set163	b-Actin	-0.434265232698155
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.039770038123095
AGID00301	1725	14058	Set163	B7-H3	-0.47552588155305
AGID00302	1726	14572	Set163	B7-H4	-0.289680301657625
AGID00008	63	9291	Old	BAD_pS112	0.29543
AGID00009	71	1542-1/ab32371	Old	BAK	-0.249211
AGID00192	1207	sc-28383	Old	BAP1C4	0.01637095
AGID00010	73	2772	Old	BAX	-0.73703
AGID00433	80	M0887	Old	BCL2	1.0835
AGID00219	1299	PAB8528	Old	BCL2A1	-0.082628
AGID00012	84	1018-1	Old	BCLXL	-0.24418
AGID00377	87	sc-10086	Old	BECLIN	0.0520355
AGID00011	75	9562	Old	BETACATENIN	0.0520725
