AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.064735
AGID00111	913	sc-23957	Old	1433EPSILON	0.1102535
AGID00101	883	sc-1019	Old	1433ZETA	1.05555
AGID00001	2	9452	Old	4EBP1	0.984005
AGID00002	3	9456	Old	4EBP1_pS65	-0.143024
AGID00003	6	9459	Old	4EBP1_pT37T46	0.822295
AGID00443	8	9455	Old	4EBP1_pT70	-0.068977
AGID00120	985	4937	Old	53BP1	-0.64211
AGID00004	13	3661	Old	ACC_pS79	-0.198225
AGID00005	14	1768-1/ab45174	Old	ACC1	0.48799
AGID00408	2372	3658	Set163	AceCS1	-1.13932534041319
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4537
AGID00404	2367	9189	Set163	ACSL1	-0.398444871707128
AGID02144	2450	PA5-27081	Old	ACVRL1	0.22752
AGID00186	1198	ab88574	Old	ADAR1	0.077374
AGID00146	1084	4691	Old	AKT	-0.986525
AGID00028	230	9271	Old	AKT_pS473	-0.782945
AGID00170	1154	2965	Old	AKT_pT308	-0.71126
AGID00316	1800	3063	Set163	Akt2	-0.604949830352235
AGID00347	2009	8599	Set163	Akt2_pS474	-0.926555392607159
AGID02215	2577	ab195377	Set163	ALKBH5	-0.293130042143345
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.100060674605332
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.217269925174767
AGID00006	39	2532	Old	AMPKALPHA	-0.913095
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.87229
AGID00193	1208	610066	Old	ANNEXIN1	-0.414445
AGID00166	1142	610668	Old	ANNEXINVII	0.33003
AGID00371	756	1852-1/ab52615	Old	AR	-0.681575
AGID00194	1217	4432	Old	ARAF	0.1363955
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.658085
AGID00260	1053	sc-32761	Old	ARID1A	0.230835
AGID00264	1560	HPA029318	Old	ASNS	0.442115
AGID00276	1612	3415	Set163	Atg3	-0.0786948952741317
AGID00309	1775	13507	Set163	Atg4B	0.112784651061102
AGID00310	1776	12994	Set163	Atg5	0.354445076722724
AGID00277	1613	8558	Set163	Atg7	-0.24612483219774
AGID00242	1363	2873	Old	ATM	-0.618795
AGID02142	2447	13050	Set163	ATM_pS1981	-0.233459975913137
AGID00217	1289	ab14748	Set163	ATP5A	-0.357545475576853
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.639539855825394
AGID02150	2456	13934	Set163	ATR	-0.0860378671405249
AGID00315	1795	ab178407	Set163	ATR_pS428	0.228488915328996
AGID00268	1569	ab97508	Set163	ATRX	-0.577647469967713
AGID00391	2332	14475	Set163	Aurora-A	1.24659516780226
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	1.32651517771427
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.428168861818066
AGID00215	1271	8661	Old	AXL	-0.135094
AGID02143	2449	8457	Set163	b-Actin	-0.630885097950351
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.259650172870899
AGID00301	1725	14058	Set163	B7-H3	-0.134805746805246
AGID00302	1726	14572	Set163	B7-H4	0.320529833090179
AGID00008	63	9291	Old	BAD_pS112	-0.090455
AGID00009	71	1542-1/ab32371	Old	BAK	-0.553115
AGID00192	1207	sc-28383	Old	BAP1C4	0.003578
AGID00010	73	2772	Old	BAX	-0.28732
AGID00433	80	M0887	Old	BCL2	0.0232665
AGID00219	1299	PAB8528	Old	BCL2A1	0.06135886
AGID00012	84	1018-1	Old	BCLXL	-0.44025
AGID00377	87	sc-10086	Old	BECLIN	-0.1038945
AGID00011	75	9562	Old	BETACATENIN	-1.020205
AGID00013	88	1008-1/ab32060	Old	BID	-0.214083
AGID00180	90	1036-1/ab32158	Old	BIM	1.11765
AGID00221	1311	610978	Set163	BiP-GRP78	0.0232296118376458
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.133575201451759
AGID00355	92	1647/ab33899	Old	BRAF	-0.53216
AGID00014	94	2696	Old	BRAF_pS445	0.227025
AGID00445	761	9012	Old	BRCA2	0.1245345
AGID00266	1567	13440	Old	BRD4	-0.541035
AGID00168	1146	2865	Set163	c-Abl_pY412	0.147064435838966
AGID00278	1615	3130	Set163	c-IAP2	-0.0142099409785221
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.0673845
AGID00429	2407	2679	Set163	Calnexin	0.0402649143183528
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.0816100859502447
AGID00623	111	9665	Old	CASPASE3	0.23426
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.47807
AGID00118	951	9746	Old	CASPASE8	-0.087018
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-1.52935
AGID00358	2100	ab76000	Set163	CD134	0.393323730284808
AGID00303	1737	826701	Set163	CD171	2.22829514527498
AGID00410	125	1632-1/ab78237	Old	CD20	-0.247194
AGID00220	1308	ab28340	Old	CD26	0.086892
AGID00191	1206	610467	Set163	CD29	0.145634815544894
AGID00017	127	M0823	Old	CD31	0.140482
AGID00369	2174	ab108403	Set163	CD38	0.460875178615356
AGID00359	2104	ab133616	Set163	CD4	0.458223910036398
AGID00411	1398	3570	Set163	CD44	0.566180046440858
AGID00237	1352	M070101-2	Set163	CD45	-0.254424997513334
AGID00115	937	611016	Old	CD49B	0.1229915
AGID02171	2482	91882	Set163	CD86	0.00308515712779461
AGID00329	1873	4688	Set163	cdc25C	1.39212017962908
AGID00227	1332	4651	Set163	Cdc42	0.0229349494609104
AGID00422	2396	3387	Set163	Cdc6	0.969025052809147
AGID00501	1007	9112	Old	CDK1	0.3792
AGID00293	1658	ab32384	Set163	CDK1_pT14	2.14337517508031
AGID00314	1783	4539	Old	CDK1_pY15	1.114505
AGID00423	2397	8064	Set163	CDT1	-0.350950278679783
AGID02101	2348	15102	Set163	cGAS	0.665835172377031
AGID00447	2410	13460	Set163	CHD1L	0.457023338310375
AGID00189	1203	2360	Old	CHK1	0.68986
AGID00234	1348	ab79758	Old	CHK1_pS296	0.285855
AGID00107	903	2348	Old	CHK1_pS345	0.0128035
AGID00018	146	3440	Old	CHK2	0.004905
AGID00019	147	2197	Old	CHK2_pT68	0.334535
AGID00527	2078	4952	Old	CIAP	0.59886
AGID00350	2018	3793	Set163	CIITA	0.0954251713373107
AGID00434	155	9164	Old	CJUN_pS73	-0.0856285
AGID00020	157	1522-1/ab32363	Old	CKIT	0.1703
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.7558
AGID00466	726	3127	Old	CMET	-0.117155
AGID00079	727	3129	Old	CMET_pY1235	0.0232868
AGID00167	161	9402	Old	CMYC	0.1315905
AGID00292	1656	11130-1-AP	Old	COG3	-0.565725
AGID00021	171	sc-20649	Old	COLLAGENVI	0.24234
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	-1.55478509795035
AGID00269	1571	6434	Set163	Coup-TFII	-0.655064830950075
AGID00150	1116	4850	Set163	Cox-IV	0.629664514857718
AGID00195	1218	4842	Set163	Cox2	-0.0775248249196942
AGID00188	803	05-739	Old	CRAF	-0.26271
AGID00022	179	9427	Old	CRAF_pS338	0.434765
AGID00023	181	9197	Set163	Creb	-0.560425949481385
AGID00393	2334	9198	Set163	CREB_pS133	0.760447305045663
AGID00365	2155	4980	Set163	CSK	-0.0114548665085241
AGID00367	2160	9201	Set163	CtIP	-0.189140166909821
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	0.0720850528091467
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	1.30845
AGID00382	194	sc-718	Old	CYCLIND1	-0.10922
AGID00437	199	sc-25303	Old	CYCLINE1	0.902145
AGID00449	202	1142-1	Old	CYCLINE2	-0.2583645
AGID00209	1257	ab110324	Set163	Cyclophilin-F	1.68575488312673
AGID00247	1379	ab48389	Set163	D-a-Tubulin	-0.315849837110421
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.408854882936113
AGID00304	1744	ab51601	Set163	DAPK2	-0.186320053372328
AGID00343	1980	6998	Set163	DDB-1	0.275835101468077
AGID00427	2402	5583	Set163	DDR1	0.197419399873304
