AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.15792
AGID00111	913	sc-23957	Old	1433EPSILON	0.025822
AGID00101	883	sc-1019	Old	1433ZETA	-0.21092
AGID00001	2	9452	Old	4EBP1	-0.80305
AGID00002	3	9456	Old	4EBP1_pS65	-0.12987
AGID00003	6	9459	Old	4EBP1_pT37T46	0.16729
AGID00443	8	9455	Old	4EBP1_pT70	-0.30121
AGID00120	985	4937	Old	53BP1	0.38993
AGID00004	13	3661	Old	ACC_pS79	0.093264
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.090905
AGID00408	2372	3658	Set163	AceCS1	-0.150850512790222
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.52655
AGID00404	2367	9189	Set163	ACSL1	0.28810995591584
AGID02144	2450	PA5-27081	Old	ACVRL1	0.16907
AGID00186	1198	ab88574	Old	ADAR1	0.67325
AGID00146	1084	4691	Old	AKT	0.76663
AGID00028	230	9271	Old	AKT_pS473	-0.46759
AGID00170	1154	2965	Old	AKT_pT308	-0.64647
AGID00316	1800	3063	Set163	Akt2	0.440564997270733
AGID00347	2009	8599	Set163	Akt2_pS474	-0.502280564984191
AGID02215	2577	ab195377	Set163	ALKBH5	0.332794785479623
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.0542158469823643
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.0370850975517985
AGID00006	39	2532	Old	AMPKALPHA	-0.1736
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.1353
AGID00193	1208	610066	Old	ANNEXIN1	-0.55531
AGID00166	1142	610668	Old	ANNEXINVII	0.10649
AGID00371	756	1852-1/ab52615	Old	AR	1.1712
AGID00194	1217	4432	Old	ARAF	0.36363
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.34356
AGID00260	1053	sc-32761	Old	ARID1A	0.090497
AGID00264	1560	HPA029318	Old	ASNS	-0.25068
AGID00276	1612	3415	Set163	Atg3	-0.0378800676511635
AGID00309	1775	13507	Set163	Atg4B	-0.22816052131593
AGID00310	1776	12994	Set163	Atg5	-0.361290095654308
AGID00277	1613	8558	Set163	Atg7	0.0631599954252283
AGID00242	1363	2873	Old	ATM	0.20437
AGID02142	2447	13050	Set163	ATM_pS1981	-0.432465148290169
AGID00217	1289	ab14748	Set163	ATP5A	1.18542935204611
AGID02145	2451	PA5-43776	Set163	ATP5H	0.150144971797574
AGID02150	2456	13934	Set163	ATR	0.119566960482443
AGID00315	1795	ab178407	Set163	ATR_pS428	0.401813742951964
AGID00268	1569	ab97508	Set163	ATRX	-0.304202642344745
AGID00391	2332	14475	Set163	Aurora-A	-0.547140004574772
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.0202899946627671
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.288336310558966
AGID00215	1271	8661	Old	AXL	0.64609
AGID02143	2449	8457	Set163	b-Actin	0.180909729672617
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.0357249995061329
AGID00301	1725	14058	Set163	B7-H3	-0.477150919182278
AGID00302	1726	14572	Set163	B7-H4	-0.253185339286853
