AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.053825
AGID00111	913	sc-23957	Old	1433EPSILON	-0.12257
AGID00101	883	sc-1019	Old	1433ZETA	-0.37202
AGID00001	2	9452	Old	4EBP1	-0.64836
AGID00002	3	9456	Old	4EBP1_pS65	-0.12418
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.056381
AGID00443	8	9455	Old	4EBP1_pT70	-0.3445
AGID00120	985	4937	Old	53BP1	-0.10217
AGID00004	13	3661	Old	ACC_pS79	0.52303
AGID00005	14	1768-1/ab45174	Old	ACC1	0.35845
AGID00408	2372	3658	Set163	AceCS1	0.186994507094438
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.31826
AGID00404	2367	9189	Set163	ACSL1	-0.3218450241995
AGID02144	2450	PA5-27081	Old	ACVRL1	0.057008
AGID00186	1198	ab88574	Old	ADAR1	0.4611
AGID00146	1084	4691	Old	AKT	0.045978
AGID00028	230	9271	Old	AKT_pS473	1.5645
AGID00170	1154	2965	Old	AKT_pT308	1.1571
AGID00316	1800	3063	Set163	Akt2	0.937520017155393
AGID00347	2009	8599	Set163	Akt2_pS474	0.646054454900469
AGID02215	2577	ab195377	Set163	ALKBH5	0.0695898053642832
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.274049172902295
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.242009922332861
AGID00006	39	2532	Old	AMPKALPHA	0.28598
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.6596
AGID00193	1208	610066	Old	ANNEXIN1	-1.8687
AGID00166	1142	610668	Old	ANNEXINVII	0.065752
AGID00371	756	1852-1/ab52615	Old	AR	1.5541
AGID00194	1217	4432	Old	ARAF	0.2623
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.44754
AGID00260	1053	sc-32761	Old	ARID1A	0.22302
AGID00264	1560	HPA029318	Old	ASNS	-0.82864
AGID00276	1612	3415	Set163	Atg3	0.0408649522334963
AGID00309	1775	13507	Set163	Atg4B	-0.14228550143127
AGID00310	1776	12994	Set163	Atg5	0.148694924230351
AGID00277	1613	8558	Set163	Atg7	0.187275015309888
AGID00242	1363	2873	Old	ATM	0.27855
AGID02142	2447	13050	Set163	ATM_pS1981	-0.241620128405509
AGID00217	1289	ab14748	Set163	ATP5A	-0.135585628069226
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.607550008317766
AGID02150	2456	13934	Set163	ATR	-0.147728019632897
AGID00315	1795	ab178407	Set163	ATR_pS428	0.231108762836624
AGID00268	1569	ab97508	Set163	ATRX	0.563922377539915
AGID00391	2332	14475	Set163	Aurora-A	-0.425794984690112
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.294264974778107
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.115181290674306
AGID00215	1271	8661	Old	AXL	-0.24902
AGID02143	2449	8457	Set163	b-Actin	-0.518155250442723
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.060880020378527
AGID00301	1725	14058	Set163	B7-H3	-0.541225899297618
AGID00302	1726	14572	Set163	B7-H4	-0.0650003194021934
AGID00008	63	9291	Old	BAD_pS112	0.60914
AGID00009	71	1542-1/ab32371	Old	BAK	-0.56044
AGID00192	1207	sc-28383	Old	BAP1C4	-0.090848
AGID00010	73	2772	Old	BAX	-0.56972
AGID00433	80	M0887	Old	BCL2	1.404
AGID00219	1299	PAB8528	Old	BCL2A1	-0.1389
AGID00012	84	1018-1	Old	BCLXL	-0.31775
AGID00377	87	sc-10086	Old	BECLIN	0.1911
AGID00011	75	9562	Old	BETACATENIN	1.2953
AGID00013	88	1008-1/ab32060	Old	BID	-0.31362
AGID00180	90	1036-1/ab32158	Old	BIM	1.3054
AGID00221	1311	610978	Set163	BiP-GRP78	0.444009459345274
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.193075048959387
AGID00355	92	1647/ab33899	Old	BRAF	0.163
AGID00014	94	2696	Old	BRAF_pS445	-0.22717
AGID00445	761	9012	Old	BRCA2	-0.31401
AGID00266	1567	13440	Old	BRD4	-0.05369
AGID00168	1146	2865	Set163	c-Abl_pY412	-0.305225716653406
AGID00278	1615	3130	Set163	c-IAP2	0.0329799065291057
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.11956
AGID00429	2407	2679	Set163	Calnexin	0.786734761825981
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.148049933457873
AGID00623	111	9665	Old	CASPASE3	-0.19905
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.4103
AGID00118	951	9746	Old	CASPASE8	-0.041744
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.1325
AGID00358	2100	ab76000	Set163	CD134	-0.295266422207564
AGID00303	1737	826701	Set163	CD171	-0.0634950072173946
AGID00410	125	1632-1/ab78237	Old	CD20	-0.15515
AGID00220	1308	ab28340	Old	CD26	0.012394
AGID00191	1206	610467	Set163	CD29	0.030914663052522
AGID00017	127	M0823	Old	CD31	0.10381
AGID00369	2174	ab108403	Set163	CD38	-0.310514973877015
AGID00359	2104	ab133616	Set163	CD4	-0.734966242455974
AGID00411	1398	3570	Set163	CD44	-0.645590106051515
AGID00237	1352	M070101-2	Set163	CD45	-0.177115150005707
AGID00115	937	611016	Old	CD49B	-0.55294
AGID02171	2482	91882	Set163	CD86	0.133265004635422
AGID00329	1873	4688	Set163	cdc25C	-0.148109972863288
AGID00227	1332	4651	Set163	Cdc42	-0.0803352030314612
AGID00422	2396	3387	Set163	Cdc6	-0.263765099683225
AGID00501	1007	9112	Old	CDK1	-0.31653
AGID00293	1658	ab32384	Set163	CDK1_pT14	-1.05067497741207
AGID00314	1783	4539	Old	CDK1_pY15	-0.31794
AGID00423	2397	8064	Set163	CDT1	-0.528070431172155
AGID02101	2348	15102	Set163	cGAS	0.286265019884659
AGID00447	2410	13460	Set163	CHD1L	0.763083185818003
AGID00189	1203	2360	Old	CHK1	-0.15025
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.017935
AGID00107	903	2348	Old	CHK1_pS345	0.084977
AGID00018	146	3440	Old	CHK2	-0.1112
AGID00019	147	2197	Old	CHK2_pT68	0.11662
AGID00527	2078	4952	Old	CIAP	0.13435
AGID00350	2018	3793	Set163	CIITA	-0.220234981155061
AGID00434	155	9164	Old	CJUN_pS73	0.28769
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.34335
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.9733
AGID00466	726	3127	Old	CMET	0.088059
