AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.025855
AGID00111	913	sc-23957	Old	1433EPSILON	-0.019565
AGID00101	883	sc-1019	Old	1433ZETA	-0.2261
AGID00001	2	9452	Old	4EBP1	-0.55367
AGID00002	3	9456	Old	4EBP1_pS65	-0.35114
AGID00003	6	9459	Old	4EBP1_pT37T46	0.16713
AGID00443	8	9455	Old	4EBP1_pT70	-0.13648
AGID00120	985	4937	Old	53BP1	-0.40319
AGID00004	13	3661	Old	ACC_pS79	-0.25472
AGID00005	14	1768-1/ab45174	Old	ACC1	0.20678
AGID00408	2372	3658	Set163	AceCS1	-0.137370519860323
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.1281
AGID00404	2367	9189	Set163	ACSL1	-0.034900051154261
AGID02144	2450	PA5-27081	Old	ACVRL1	0.023112
AGID00186	1198	ab88574	Old	ADAR1	-0.30603
AGID00146	1084	4691	Old	AKT	-0.41319
AGID00028	230	9271	Old	AKT_pS473	0.5894
AGID00170	1154	2965	Old	AKT_pT308	0.18083
AGID00316	1800	3063	Set163	Akt2	0.323354990200632
AGID00347	2009	8599	Set163	Akt2_pS474	0.225149427945708
AGID02215	2577	ab195377	Set163	ALKBH5	-0.296665221590478
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.108815854052465
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.0410351046218996
AGID00006	39	2532	Old	AMPKALPHA	0.016316
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.089463
AGID00193	1208	610066	Old	ANNEXIN1	-0.0022358
AGID00166	1142	610668	Old	ANNEXINVII	0.13248
AGID00371	756	1852-1/ab52615	Old	AR	1.0331
AGID00194	1217	4432	Old	ARAF	0.32615
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.17451
AGID00260	1053	sc-32761	Old	ARID1A	0.33741
AGID00264	1560	HPA029318	Old	ASNS	-0.47793
AGID00276	1612	3415	Set163	Atg3	-0.0429100747212648
AGID00309	1775	13507	Set163	Atg4B	-0.111810528386031
AGID00310	1776	12994	Set163	Atg5	-0.12350010272441
AGID00277	1613	8558	Set163	Atg7	-0.163630011644873
AGID00242	1363	2873	Old	ATM	-0.25303
AGID02142	2447	13050	Set163	ATM_pS1981	-0.22842515536027
AGID00217	1289	ab14748	Set163	ATP5A	-0.357690655023986
AGID02145	2451	PA5-43776	Set163	ATP5H	0.791994964727473
AGID02150	2456	13934	Set163	ATR	-0.0467730465876576
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.262256264118137
AGID00268	1569	ab97508	Set163	ATRX	-0.231002649414846
AGID00391	2332	14475	Set163	Aurora-A	-0.0938600116448726
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.098319998267132
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.142406317629067
AGID00215	1271	8661	Old	AXL	0.42762
AGID02143	2449	8457	Set163	b-Actin	-0.0890502773974836
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.135264993423766
AGID00301	1725	14058	Set163	B7-H3	0.362379073747621
AGID00302	1726	14572	Set163	B7-H4	-0.0311953463569539
AGID00008	63	9291	Old	BAD_pS112	0.12558
AGID00009	71	1542-1/ab32371	Old	BAK	-0.48273
AGID00192	1207	sc-28383	Old	BAP1C4	-0.059711
AGID00010	73	2772	Old	BAX	-0.25071
AGID00433	80	M0887	Old	BCL2	1.5633
AGID00219	1299	PAB8528	Old	BCL2A1	0.15478
AGID00012	84	1018-1	Old	BCLXL	-0.348
AGID00377	87	sc-10086	Old	BECLIN	0.12732
AGID00011	75	9562	Old	BETACATENIN	-0.22865
AGID00013	88	1008-1/ab32060	Old	BID	-0.15101
AGID00180	90	1036-1/ab32158	Old	BIM	0.41575
AGID00221	1311	610978	Set163	BiP-GRP78	-0.201035567609487
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	-0.0619299779953738
AGID00355	92	1647/ab33899	Old	BRAF	-0.25525
AGID00014	94	2696	Old	BRAF_pS445	0.29901
AGID00445	761	9012	Old	BRCA2	0.072569
AGID00266	1567	13440	Old	BRD4	-0.17051
AGID00168	1146	2865	Set163	c-Abl_pY412	0.142769256391833
AGID00278	1615	3130	Set163	c-IAP2	-0.139105120425655
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.1256
AGID00429	2407	2679	Set163	Calnexin	0.31805973487122
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.236894906503112
AGID00623	111	9665	Old	CASPASE3	-0.044327
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.0637
AGID00118	951	9746	Old	CASPASE8	-0.0034499
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.5151
AGID00358	2100	ab76000	Set163	CD134	0.354498550837675
AGID00303	1737	826701	Set163	CD171	0.477989965827845
AGID00410	125	1632-1/ab78237	Old	CD20	-0.017622
AGID00220	1308	ab28340	Old	CD26	0.24239
AGID00191	1206	610467	Set163	CD29	-0.056160363902239
AGID00017	127	M0823	Old	CD31	0.25758
AGID00369	2174	ab108403	Set163	CD38	0.207789999168223
AGID00359	2104	ab133616	Set163	CD4	0.197648730589265
AGID00411	1398	3570	Set163	CD44	0.335874866993725
AGID00237	1352	M070101-2	Set163	CD45	0.00880982303953226
AGID00115	937	611016	Old	CD49B	0.25551
AGID02171	2482	91882	Set163	CD86	0.0135199776806612
AGID00329	1873	4688	Set163	cdc25C	-0.127494999818049
AGID00227	1332	4651	Set163	Cdc42	0.0152797700137778
AGID00422	2396	3387	Set163	Cdc6	0.116119873362014
AGID00501	1007	9112	Old	CDK1	0.036978
AGID00293	1658	ab32384	Set163	CDK1_pT14	-0.523280004366827
AGID00314	1783	4539	Old	CDK1_pY15	0.20066
AGID00423	2397	8064	Set163	CDT1	-0.214615458126916
AGID02101	2348	15102	Set163	cGAS	-0.180710007070101
AGID00447	2410	13460	Set163	CHD1L	-0.346551841136757
AGID00189	1203	2360	Old	CHK1	0.014014
AGID00234	1348	ab79758	Old	CHK1_pS296	0.13989
AGID00107	903	2348	Old	CHK1_pS345	-0.17533
AGID00018	146	3440	Old	CHK2	-1.3728
AGID00019	147	2197	Old	CHK2_pT68	0.10414
AGID00527	2078	4952	Old	CIAP	-0.13377
AGID00350	2018	3793	Set163	CIITA	0.211499991890178
AGID00434	155	9164	Old	CJUN_pS73	0.07268
AGID00020	157	1522-1/ab32363	Old	CKIT	1.193
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.089103
AGID00466	726	3127	Old	CMET	0.30358
AGID00079	727	3129	Old	CMET_pY1235	-0.012492
AGID00167	161	9402	Old	CMYC	0.44391
AGID00292	1656	11130-1-AP	Old	COG3	-0.029502
AGID00021	171	sc-20649	Old	COLLAGENVI	1.8866
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	0.419429722602516
AGID00269	1571	6434	Set163	Coup-TFII	-0.0275800103972076
AGID00150	1116	4850	Set163	Cox-IV	0.00951933541058547
AGID00195	1218	4842	Set163	Cox2	-0.011790004366827
AGID00188	803	05-739	Old	CRAF	-0.075452
AGID00022	179	9427	Old	CRAF_pS338	0.047567
AGID00023	181	9197	Set163	Creb	-0.294841128928518
AGID00393	2334	9198	Set163	CREB_pS133	0.399042125598531
AGID00365	2155	4980	Set163	CSK	-0.139720045955657
AGID00367	2160	9201	Set163	CtIP	0.110664653643046
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	0.00196987336201387
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.40541
AGID00382	194	sc-718	Old	CYCLIND1	0.2992
AGID00437	199	sc-25303	Old	CYCLINE1	-0.83469
AGID00449	202	1142-1	Old	CYCLINE2	-0.40923
AGID00209	1257	ab110324	Set163	Cyclophilin-F	-0.572250296320399
AGID00247	1379	ab48389	Set163	D-a-Tubulin	0.0127149834424469
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.126470062383245
AGID00304	1744	ab51601	Set163	DAPK2	0.121044767180539
AGID00343	1980	6998	Set163	DDB-1	-0.194160077979056
AGID00427	2402	5583	Set163	DDR1	0.328634220426171
AGID00428	2403	SAB4504671	Set163	DDR1_pY513	0.331559967976601
AGID00532	1273	Bast Lab	Old	DIRAS3	0.058024
AGID00104	891	ab76008	Old	DJ1	-0.06723
AGID02146	2452	4658	Set163	DM-Histone-H3	0.108864603424541
AGID00386	1397	ab32521	Set163	DM-K9-Histone-H3	-0.192025042238655
AGID00352	2030	14649	Set163	DNA-Ligase-IV	-0.148445262104926
AGID00407	2371	13609	Set163	DNA_POLG	-0.0366900917033701
AGID00399	2344	5032	Set163	DNMT1	-0.0331901439666646
AGID00409	2373	5391	Set163	DRP1	-0.0101415795432182
AGID00253	1406	5149	Old	DUSP4	0.085887
AGID00334	1936	ab76310	Set163	DUSP6	0.242229657100117
AGID00116	940	3218	Old	DVL3	-0.10458
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.1345
AGID00135	1060	2332	Old	EEF2	-0.97728
AGID00136	1061	3692	Old	EEF2K	0.072523
AGID00152	1120	2232	Old	EGFR	-0.15174
AGID00450	217	2234	Old	EGFR_pY1068	0.45855
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.06241
AGID00078	722	9742	Old	EIF4E	-0.034397
AGID00328	1871	ab76256	Set163	eIF4E_pS209	0.0298896707551143
AGID00154	1124	2498	Old	EIF4G	-0.13484
AGID00027	228	9181	Set163	Elk1_pS383	-0.122725006576234
AGID00235	1350	M061329-2	Set163	EMA	0.469299561584453
AGID00394	2337	3810	Set163	Enolase-1	-0.0826852443257026
AGID00395	2338	8171	Set163	Enolase-2	0.463134998968944
AGID00196	1219	GTX629542	Old	ENY2	-0.31168
AGID00438	1849	A302-024A	Set163	EphA2	0.116909991890178
AGID00552	2422	6347	Set163	EphA2_pS897	-0.051780004366827
AGID00553	2423	12677	Set163	EphA2_pY588	0.0366214955286719
AGID00075	693	556347	Old	EPPK1	0.2645
AGID00335	238	RM-9101	Old	ERALPHA	1.5289
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.41385
AGID00240	247	MS-671	Old	ERCC1	0.038879
AGID00239	1355	11331-1-AP	Old	ERCC5	0.039173
AGID00484	249	sc-154	Old	ERK2	-0.87859
AGID00372	2193	3552	Set163	Erk5	0.230019998267132
AGID00405	2369	13826	Set163	ERRalpha	0.312304866993725
AGID00187	1200	A303-501A	Old	ETS1	-0.37568
AGID00511	2492	2593	Set163	EVI1	0.0538443871626718
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set163	FAK	0.506449987038148
AGID02151	2457	8556	Set163	FAK_pY397	0.83698338324347
AGID00171	1156	3180	Old	FASN	1.8264
AGID00356	2085	500-P18/10775-082	Set163	FGF-basic	0.741474990200632
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	1.239
AGID00339	1959	4403	Set163	FN14	-0.00985500397693161
AGID02152	2458	20459	Old	FOXM1	-0.4143
AGID00378	269	9467	Old	FOXO3A	-0.10217
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	-0.15274
AGID02167	2475	PA5-64616	Set163	FRS2-alpha_pY196	0.156520000138629
AGID02213	2575	ab124892	Set163	FTO	-0.259460005198604
