AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.089435
AGID00111	913	sc-23957	Old	1433EPSILON	0.018926
AGID00101	883	sc-1019	Old	1433ZETA	-0.098113
AGID00001	2	9452	Old	4EBP1	-0.47917
AGID00002	3	9456	Old	4EBP1_pS65	-0.49093
AGID00003	6	9459	Old	4EBP1_pT37T46	0.26744
AGID00443	8	9455	Old	4EBP1_pT70	-0.19357
AGID00120	985	4937	Old	53BP1	-0.068587
AGID00004	13	3661	Old	ACC_pS79	0.75085
AGID00005	14	1768-1/ab45174	Old	ACC1	1.59
AGID00408	2372	3658	Set163	AceCS1	0.139774237342178
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.33029
AGID00404	2367	9189	Set163	ACSL1	-0.350205293951761
AGID02144	2450	PA5-27081	Old	ACVRL1	0.054049
AGID00186	1198	ab88574	Old	ADAR1	0.15397
AGID00146	1084	4691	Old	AKT	0.15242
AGID00028	230	9271	Old	AKT_pS473	2.1055
AGID00170	1154	2965	Old	AKT_pT308	1.7584
AGID00316	1800	3063	Set163	Akt2	0.370759747403132
AGID00347	2009	8599	Set163	Akt2_pS474	1.48201418514821
AGID02215	2577	ab195377	Set163	ALKBH5	0.307859535612022
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.0630489031500347
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.0752603474193992
AGID00006	39	2532	Old	AMPKALPHA	-1.219
AGID00007	40	2535	Old	AMPKALPHA_pT172	-1.3791
AGID00193	1208	610066	Old	ANNEXIN1	-1.0134
AGID00166	1142	610668	Old	ANNEXINVII	0.0099369
AGID00371	756	1852-1/ab52615	Old	AR	1.6607
AGID00194	1217	4432	Old	ARAF	0.14765
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.42295
AGID00260	1053	sc-32761	Old	ARID1A	-0.12306
AGID00264	1560	HPA029318	Old	ASNS	-0.15662
AGID00276	1612	3415	Set163	Atg3	-0.0296653175187642
