AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.057883
AGID00111	913	sc-23957	Old	1433EPSILON	-0.20938
AGID00101	883	sc-1019	Old	1433ZETA	-0.027788
AGID00001	2	9452	Old	4EBP1	0.24499
AGID00002	3	9456	Old	4EBP1_pS65	-0.058888
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.21371
AGID00443	8	9455	Old	4EBP1_pT70	0.043595
AGID00120	985	4937	Old	53BP1	0.11902
AGID00004	13	3661	Old	ACC_pS79	0.28015
AGID00005	14	1768-1/ab45174	Old	ACC1	0.14354
AGID00408	2372	3658	Set163	AceCS1	0.169094496697231
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.85946
AGID00404	2367	9189	Set163	ACSL1	0.289134965403292
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.11883
AGID00186	1198	ab88574	Old	ADAR1	0.59542
AGID00146	1084	4691	Old	AKT	0.72761
AGID00028	230	9271	Old	AKT_pS473	-1.0315
AGID00170	1154	2965	Old	AKT_pT308	-1.1314
AGID00316	1800	3063	Set163	Akt2	0.260370006758186
AGID00347	2009	8599	Set163	Akt2_pS474	-0.544105555496739
AGID02215	2577	ab195377	Set163	ALKBH5	-0.0627202050329243
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.168989162505088
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.069759911935654
AGID00006	39	2532	Old	AMPKALPHA	0.0054121
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.60863
AGID00193	1208	610066	Old	ANNEXIN1	-0.2566
AGID00166	1142	610668	Old	ANNEXINVII	-0.021386
AGID00371	756	1852-1/ab52615	Old	AR	1.7145
AGID00194	1217	4432	Old	ARAF	0.35147
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.7045
AGID00260	1053	sc-32761	Old	ARID1A	-0.078846
AGID00264	1560	HPA029318	Old	ASNS	0.1497
AGID00276	1612	3415	Set163	Atg3	-0.0450450581637112
AGID00309	1775	13507	Set163	Atg4B	-0.224935511828478
AGID00310	1776	12994	Set163	Atg5	0.0752649138331439
AGID00277	1613	8558	Set163	Atg7	0.345465004912681
AGID00242	1363	2873	Old	ATM	-0.27394
AGID02142	2447	13050	Set163	ATM_pS1981	-0.129710138802717
AGID00217	1289	ab14748	Set163	ATP5A	0.463154361533567
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.279880018714973
AGID02150	2456	13934	Set163	ATR	0.428421969969896
AGID00315	1795	ab178407	Set163	ATR_pS428	0.398448752439417
AGID00268	1569	ab97508	Set163	ATRX	0.308652367142707
AGID00391	2332	14475	Set163	Aurora-A	0.46484500491268
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.153394985175315
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.103428698928486
AGID00215	1271	8661	Old	AXL	0.34825
AGID02143	2449	8457	Set163	b-Actin	-0.0483052608399305
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.13586999001868
AGID00301	1725	14058	Set163	B7-H3	0.494774090305174
AGID00302	1726	14572	Set163	B7-H4	-0.250630329799401
AGID00008	63	9291	Old	BAD_pS112	-0.056845
AGID00009	71	1542-1/ab32371	Old	BAK	-0.40364
AGID00192	1207	sc-28383	Old	BAP1C4	0.039807
AGID00010	73	2772	Old	BAX	-0.4188
AGID00433	80	M0887	Old	BCL2	0.13906
AGID00219	1299	PAB8528	Old	BCL2A1	-0.075905
AGID00012	84	1018-1	Old	BCLXL	-0.32545
AGID00377	87	sc-10086	Old	BECLIN	0.067087
AGID00011	75	9562	Old	BETACATENIN	-0.58568
AGID00013	88	1008-1/ab32060	Old	BID	-0.11804
AGID00180	90	1036-1/ab32158	Old	BIM	-0.023629
AGID00221	1311	610978	Set163	BiP-GRP78	-0.126350551051934
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.0590050385621797
AGID00355	92	1647/ab33899	Old	BRAF	-0.21638
AGID00014	94	2696	Old	BRAF_pS445	-0.25787
AGID00445	761	9012	Old	BRCA2	-0.21409
AGID00266	1567	13440	Old	BRD4	0.075942
AGID00168	1146	2865	Set163	c-Abl_pY412	-0.212885727050614
AGID00278	1615	3130	Set163	c-IAP2	-0.0431601038681016
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.062835
AGID00429	2407	2679	Set163	Calnexin	0.0737647514287735
AGID00176	1165	9496	Set163	Caspase-8-cleaved	-0.290590076939335
AGID00623	111	9665	Old	CASPASE3	-0.026676
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.69852
AGID00118	951	9746	Old	CASPASE8	-0.11621
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-1.0585
AGID00358	2100	ab76000	Set163	CD134	-0.256356432604772
AGID00303	1737	826701	Set163	CD171	0.302954982385398
AGID00410	125	1632-1/ab78237	Old	CD20	-0.22715
AGID00220	1308	ab28340	Old	CD26	0.023836
AGID00191	1206	610467	Set163	CD29	0.000514652655314584
AGID00017	127	M0823	Old	CD31	0.17035
AGID00369	2174	ab108403	Set163	CD38	-0.157514984274223
AGID00359	2104	ab133616	Set163	CD4	-0.121466252853181
AGID00411	1398	3570	Set163	CD44	-0.361290116448722
AGID00237	1352	M070101-2	Set163	CD45	-0.267475160402914
AGID00115	937	611016	Old	CD49B	0.34294
AGID02171	2482	91882	Set163	CD86	-0.0365250057617856
AGID00329	1873	4688	Set163	cdc25C	0.777960016739504
AGID00227	1332	4651	Set163	Cdc42	0.0206747865713313
AGID00422	2396	3387	Set163	Cdc6	0.705944889919567
AGID00501	1007	9112	Old	CDK1	-0.064948
AGID00293	1658	ab32384	Set163	CDK1_pT14	1.35079501219073
AGID00314	1783	4539	Old	CDK1_pY15	-0.04316
AGID00423	2397	8064	Set163	CDT1	-0.468460441569362
AGID02101	2348	15102	Set163	cGAS	0.114305009487452
AGID00447	2410	13460	Set163	CHD1L	0.457103175420796
AGID00189	1203	2360	Old	CHK1	-0.036978
AGID00234	1348	ab79758	Old	CHK1_pS296	0.079003
AGID00107	903	2348	Old	CHK1_pS345	-0.2332
AGID00018	146	3440	Old	CHK2	-0.13751
AGID00019	147	2197	Old	CHK2_pT68	0.093586
AGID00527	2078	4952	Old	CIAP	0.23903
AGID00350	2018	3793	Set163	CIITA	-0.0577249915522685
AGID00434	155	9164	Old	CJUN_pS73	0.066407
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.45243
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.67445
AGID00466	726	3127	Old	CMET	0.0092815
AGID00079	727	3129	Old	CMET_pY1235	0.010664
AGID00167	161	9402	Old	CMYC	0.22773
AGID00292	1656	11130-1-AP	Old	COG3	0.26108
AGID00021	171	sc-20649	Old	COLLAGENVI	0.11041
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	0.61951473916007
AGID00269	1571	6434	Set163	Coup-TFII	-0.399294993839654
AGID00150	1116	4850	Set163	Cox-IV	-0.247285648031861
AGID00195	1218	4842	Set163	Cox2	-0.296074987809274
AGID00188	803	05-739	Old	CRAF	0.21634
AGID00022	179	9427	Old	CRAF_pS338	-0.1388
AGID00023	181	9197	Set163	Creb	-0.610616112370965
AGID00393	2334	9198	Set163	CREB_pS133	-0.289352857843916
AGID00365	2155	4980	Set163	CSK	0.0166949706018961
AGID00367	2160	9201	Set163	CtIP	-0.422190329799401
