AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.061912
AGID00111	913	sc-23957	Old	1433EPSILON	-0.031178
AGID00101	883	sc-1019	Old	1433ZETA	0.076281
AGID00001	2	9452	Old	4EBP1	0.42591
AGID00002	3	9456	Old	4EBP1_pS65	-0.031336
AGID00003	6	9459	Old	4EBP1_pT37T46	0.75047
AGID00443	8	9455	Old	4EBP1_pT70	0.10228
AGID00120	985	4937	Old	53BP1	0.18465
AGID00004	13	3661	Old	ACC_pS79	1.7193
AGID00005	14	1768-1/ab45174	Old	ACC1	1.5852
AGID00408	2372	3658	Set163	AceCS1	-0.0292155195224131
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.0959
AGID00404	2367	9189	Set163	ACSL1	0.398284949183648
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.0958
AGID00186	1198	ab88574	Old	ADAR1	0.44414
AGID00146	1084	4691	Old	AKT	-0.017388
AGID00028	230	9271	Old	AKT_pS473	0.37889
AGID00170	1154	2965	Old	AKT_pT308	-0.28625
AGID00316	1800	3063	Set163	Akt2	0.0997999905385419
AGID00347	2009	8599	Set163	Akt2_pS474	0.0359244282836173
AGID02215	2577	ab195377	Set163	ALKBH5	0.0433497787474317
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.0458391462854444
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.00841010428398982
AGID00006	39	2532	Old	AMPKALPHA	-0.13136
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.40343
AGID00193	1208	610066	Old	ANNEXIN1	-0.3931
AGID00166	1142	610668	Old	ANNEXINVII	-0.16172
AGID00371	756	1852-1/ab52615	Old	AR	1.0761
AGID00194	1217	4432	Old	ARAF	0.35796
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.43376
AGID00260	1053	sc-32761	Old	ARID1A	0.13298
