AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.39217
AGID00111	913	sc-23957	Old	1433EPSILON	-0.075495
AGID00101	883	sc-1019	Old	1433ZETA	-0.23698
AGID00001	2	9452	Old	4EBP1	-0.11733
AGID00002	3	9456	Old	4EBP1_pS65	-0.14888
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.21535
AGID00443	8	9455	Old	4EBP1_pT70	-0.339
AGID00120	985	4937	Old	53BP1	-0.84381
AGID00004	13	3661	Old	ACC_pS79	-0.22126
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.17662
AGID00408	2372	3658	Set166	AceCS1	0.764037805579539
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.69444
AGID00404	2367	9189	Set166	ACSL1	-0.915592566717256
AGID02144	2450	PA5-27081	Old	ACVRL1	0.29357
AGID00186	1198	ab88574	Old	ADAR1	-0.36021
AGID00146	1084	4691	Old	AKT	-0.22543
AGID00028	230	9271	Old	AKT_pS473	-0.14593
AGID00170	1154	2965	Old	AKT_pT308	-0.68193
AGID00316	1800	3063	Set166	Akt2	-0.22233391024846
AGID00347	2009	8599	Set166	Akt2_pS474	-0.489314730598653
AGID02215	2577	ab195377	Set166	ALKBH5	-1.02879375592206
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set166	Ambra1_pS52	-0.0247763494145905
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.0686424547154283
AGID00006	39	2532	Old	AMPKALPHA	0.22788
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.93742
AGID00193	1208	610066	Old	ANNEXIN1	-0.60291
AGID00166	1142	610668	Old	ANNEXINVII	0.0019123
AGID00371	756	1852-1/ab52615	Old	AR	-0.73612
AGID00194	1217	4432	Old	ARAF	0.33596
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.053352
AGID00260	1053	sc-32761	Old	ARID1A	-0.17739
AGID00264	1560	HPA029318	Old	ASNS	-0.081835
AGID00276	1612	3415	Set166	Atg3	-0.215526435150214
AGID00309	1775	13507	Set166	Atg4B	0.187284142432236
AGID00310	1776	12994	Set166	Atg5	0.744230812040738
AGID00277	1613	8558	Set166	Atg7	-0.604727413303086
AGID00242	1363	2873	Old	ATM	-0.38429
AGID02142	2447	13050	Set166	ATM_pS1981	5.9197522435656
AGID00217	1289	ab14748	Set166	ATP5A	0.752916013973832
AGID02145	2451	PA5-43776	Set166	ATP5H	-0.291554391096772
AGID02150	2456	13934	Set166	ATR	-0.470624459416716
AGID00315	1795	ab178407	Set166	ATR_pS428	0.411605635083509
AGID00268	1569	ab97508	Set166	ATRX	-1.29464651036422
AGID00391	2332	14475	Set166	Aurora-A	0.0822168772349151
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	0.220540727760071
AGID02195	2512	MA5-27890	Set166	Aurora-B	-0.361851132914418
AGID00215	1271	8661	Old	AXL	0.14606
AGID02143	2449	8457	Set166	b-Actin	-0.93025027484858
AGID00179	1170	9565	Set166	b-Catenin_pT41_S45	-0.811301202865401
AGID00301	1725	14058	Set166	B7-H3	-1.54574755244499
AGID00302	1726	14572	Set166	B7-H4	-0.101335115717076
AGID00008	63	9291	Old	BAD_pS112	-0.30125
AGID00009	71	1542-1/ab32371	Old	BAK	-0.29956
AGID00192	1207	sc-28383	Old	BAP1C4	-0.4741
AGID00010	73	2772	Old	BAX	-0.24124
AGID00433	80	M0887	Old	BCL2	-0.32674
AGID00219	1299	PAB8528	Old	BCL2A1	-0.11528
AGID00012	84	1018-1	Old	BCLXL	0.60101
AGID00377	87	sc-10086	Old	BECLIN	0.32227
AGID00011	75	9562	Old	BETACATENIN	1.0011
AGID00013	88	1008-1/ab32060	Old	BID	-0.016812
AGID00180	90	1036-1/ab32158	Old	BIM	-0.26703
AGID00221	1311	610978	Set166	BiP-GRP78	0.0773683868639339
AGID00373	2194	07-507	Set166	BMK1-Erk5_pT218_Y220	0.15206044807926
AGID00355	92	1647/ab33899	Old	BRAF	-0.45987
AGID00014	94	2696	Old	BRAF_pS445	-0.082927
AGID00445	761	9012	Old	BRCA2	0.070946
AGID00266	1567	13440	Old	BRD4	-0.51971
AGID00168	1146	2865	Set166	c-Abl_pY412	0.303085202848127
AGID00278	1615	3130	Set166	c-IAP2	0.0214168999952245
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.030089
AGID00429	2407	2679	Set166	Calnexin	-0.463969903260837
AGID00176	1165	9496	Set166	Caspase-8-cleaved	-0.125557862220851
AGID00623	111	9665	Old	CASPASE3	0.1247
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	1.3905
AGID00118	951	9746	Old	CASPASE8	-0.0015182
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.77053
AGID00358	2100	ab76000	Set166	CD134	-0.159954541712243
AGID00303	1737	826701	Set166	CD171	2.96015703569821
AGID00410	125	1632-1/ab78237	Old	CD20	-0.10632
AGID00220	1308	ab28340	Old	CD26	0.55862
AGID00191	1206	610467	Set166	CD29	0.3746688005266
AGID00017	127	M0823	Old	CD31	0.34212
AGID00369	2174	ab108403	Set166	CD38	0.679686429233453
AGID00359	2104	ab133616	Set166	CD4	1.69102786776314
AGID00411	1398	3570	Set166	CD44	0.435011891034632
AGID00237	1352	M070101-2	Set166	CD45	0.559689097797219
AGID00115	937	611016	Old	CD49B	0.4824
AGID02171	2482	91882	Set166	CD86	1.38869350953059
AGID00329	1873	4688	Set166	cdc25C	0.173313875903241
AGID00227	1332	4651	Set166	Cdc42	0.13803485879138
AGID00422	2396	3387	Set166	Cdc6	0.31352049611174
AGID00501	1007	9112	Old	CDK1	-0.13003
AGID00293	1658	ab32384	Set166	CDK1_pT14	-0.221556967365484
AGID00314	1783	4539	Old	CDK1_pY15	0.098142
AGID00423	2397	8064	Set166	CDT1	-0.388284364328488
AGID02101	2348	15102	Set166	cGAS	0.0550238394582352
AGID00447	2410	13460	Set166	CHD1L	0.0441201532100256
AGID00189	1203	2360	Old	CHK1	-0.059787
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.10799
AGID00107	903	2348	Old	CHK1_pS345	-0.097179
AGID00018	146	3440	Old	CHK2	0.30665
AGID00019	147	2197	Old	CHK2_pT68	0.17262
AGID00527	2078	4952	Old	CIAP	0.15458
AGID00350	2018	3793	Set166	CIITA	0.302368199267776
AGID00434	155	9164	Old	CJUN_pS73	-0.17647
AGID00020	157	1522-1/ab32363	Old	CKIT	0.80639
AGID00400	852	NB100-91714	Old	CLAUDIN7	2.4346
AGID00466	726	3127	Old	CMET	0.050032
AGID00079	727	3129	Old	CMET_pY1235	0.055479
AGID00167	161	9402	Old	CMYC	0.056827
AGID00292	1656	11130-1-AP	Old	COG3	0.12245
AGID00021	171	sc-20649	Old	COLLAGENVI	0.39466
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set166	Connexin-43	-1.10268899621866
AGID00269	1571	6434	Set166	Coup-TFII	-0.174611097329504
AGID00150	1116	4850	Set166	Cox-IV	1.54199141103168
AGID00195	1218	4842	Set166	Cox2	0.679489746136664
AGID00188	803	05-739	Old	CRAF	0.027868
AGID00022	179	9427	Old	CRAF_pS338	0.021164
AGID00023	181	9197	Set166	Creb	-0.460272854701464
AGID00393	2334	9198	Set166	CREB_pS133	-0.127892017669871
AGID00365	2155	4980	Set166	CSK	-0.379491484560746
AGID00367	2160	9201	Set166	CtIP	-0.357342611409895
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set166	Cyclin-D3	0.793222536474012
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.070973
AGID00382	194	sc-718	Old	CYCLIND1	-0.054318
AGID00437	199	sc-25303	Old	CYCLINE1	-0.82874
AGID00449	202	1142-1	Old	CYCLINE2	-0.2637
AGID00209	1257	ab110324	Set166	Cyclophilin-F	1.11404047765064
AGID00247	1379	ab48389	Set166	D-a-Tubulin	0.341195958688233
AGID00308	1770	GTX10524	Set166	DAPK1_pS308	-0.163111775519603
AGID00304	1744	ab51601	Set166	DAPK2	0.236941861552114
AGID00343	1980	6998	Set166	DDB-1	0.189862356716444
AGID00427	2402	5583	Set166	DDR1	-0.0510580303416114
AGID00428	2403	SAB4504671	Set166	DDR1_pY513	0.421296785044946
AGID00532	1273	Bast Lab	Old	DIRAS3	0.52536
AGID00104	891	ab76008	Old	DJ1	-0.35863
AGID02146	2452	4658	Set166	DM-Histone-H3	-0.051462958086178
AGID00386	1397	ab32521	Set166	DM-K9-Histone-H3	-0.566287197097921
AGID00352	2030	14649	Set166	DNA-Ligase-IV	-1.19438594542857
AGID00407	2371	13609	Set166	DNA_POLG	0.116211864095487
AGID00399	2344	5032	Set166	DNMT1	-0.464576633222811
AGID00409	2373	5391	Set166	DRP1	0.718817511378927
AGID00253	1406	5149	Old	DUSP4	-0.069615
AGID00334	1936	ab76310	Set166	DUSP6	0.278909003183877
AGID00116	940	3218	Old	DVL3	-0.84415
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.6153
AGID00135	1060	2332	Old	EEF2	0.29592
AGID00136	1061	3692	Old	EEF2K	-0.89522
AGID00152	1120	2232	Old	EGFR	0.16724
AGID00450	217	2234	Old	EGFR_pY1068	1.0863
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.16832
AGID00078	722	9742	Old	EIF4E	-0.031343
AGID00328	1871	ab76256	Set166	eIF4E_pS209	-0.136753024336656
AGID00154	1124	2498	Old	EIF4G	-0.58737
AGID00027	228	9181	Set166	Elk1_pS383	-0.375316755286331
AGID00235	1350	M061329-2	Set166	EMA	-0.214514205348245
AGID00394	2337	3810	Set166	Enolase-1	0.268931960777593
AGID00395	2338	8171	Set166	Enolase-2	-0.41593203042207
AGID00196	1219	GTX629542	Old	ENY2	-0.43011
AGID00438	1849	A302-024A	Set166	EphA2	0.103155574381616
AGID00552	2422	6347	Set166	EphA2_pS897	0.10428498946533
AGID00553	2423	12677	Set166	EphA2_pY588	0.0437995641524394
AGID00075	693	556347	Old	EPPK1	1.4828
AGID00335	238	RM-9101	Old	ERALPHA	-1.8357
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.47038
AGID00240	247	MS-671	Old	ERCC1	-0.013551
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.082843
AGID00484	249	sc-154	Old	ERK2	-0.32408
AGID00372	2193	3552	Set166	Erk5	0.152189693806023
AGID00405	2369	13826	Set166	ERRalpha	-0.34934228621741
AGID00187	1200	A303-501A	Old	ETS1	-0.11019
AGID00511	2492	2593	Set166	EVI1	0.278275095724622
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set166	FAK	-0.528050777841003
AGID02151	2457	8556	Set166	FAK_pY397	0.0585849400303752
AGID00171	1156	3180	Old	FASN	-0.78984
AGID00356	2085	500-P18/10775-082	Set166	FGF-basic	0.317508063494834
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.37392
AGID00339	1959	4403	Set166	FN14	1.613787391738
AGID02152	2458	20459	Old	FOXM1	-0.18283
AGID00378	269	9467	Old	FOXO3A	0.16199
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.079795
AGID02167	2475	PA5-64616	Set166	FRS2-alpha_pY196	-0.184172143738027
AGID02213	2575	ab124892	Set166	FTO	-0.946585830108621
AGID02141	2446	12263	Old	G6PD	-0.025111
AGID00117	943	3239	Old	GAB2	-0.386
AGID00412	274	AM4300	Old	GAPDH	-0.64866
AGID00086	764	558686	Old	GATA3	-0.088168
AGID00383	1578	4253	Old	GATA6	0.57996
AGID00289	1634	12601-1-AP	Set166	GCLC	-0.650871598857125
AGID00305	1745	ab124827	Set166	GCLM	0.414694528828438
AGID00212	1263	3305	Old	GCN5L2	0.079669
AGID00270	1579	3538	Set166	Gli1	0.448933554892588
AGID00263	1520	ab69838	Set166	Gli3	-0.324048968376009
AGID00548	2530	3660	Set166	Glucocorticoid-Receptor	-0.740732438031945
AGID00387	1617	12793	Set166	Glutamate-D1-2	0.065187941412654
AGID00262	1491	ab156876	Set166	Glutaminase	0.30096932304058
AGID00319	1807	4275	Set166	Granzyme-B	-0.206307307904251
AGID00368	2169	ab183737	Set166	GRB7	-0.290990036747304
AGID00396	2339	3593	Set166	Grp75	-0.25516798346667
AGID00174	1163	9315	Set166	GSK-3B	-1.3223678446241
AGID00502	1082	9336	Old	GSK3_pS9	-0.45928
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.15527
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-0.03687
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set166	H2AX_pS139	0.0981077422521818
AGID00363	1409	MA1-2022	Set166	H2AX_pS140	0.0669497676769293
AGID00131	1038	MS-325-P1	Old	HER2	0.23313
AGID00142	299	06-229	Old	HER2_pY1248	0.16165
AGID00110	911	sc-285	Old	HER3	-0.038343
AGID00080	728	4791	Old	HER3_pY1289	0.10869
AGID00103	890	2573	Old	HEREGULIN	0.033262
AGID00271	1582	11988	Set166	HES1	0.419048050146037
AGID00397	2340	2024	Set166	Hexokinase-I	-0.592243817260795
AGID00442	1023	2867	Set166	Hexokinase-II	-0.0570744932990946
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set166	Histone-H3	-0.522209079451721
AGID00398	2341	3377	Set166	Histone-H3_pS10	-0.412019056966362
AGID00332	1901	ab128959	Set166	HLA-DQA1	NA
AGID00333	1902	14832-1-AP	Set166	HMHA1	-1.0847376690744
AGID00035	321	2402	Set166	HSP27	0.226564003088505
AGID00036	323	2401	Set166	HSP27_pS82	-0.0752493938497997
AGID00320	1808	12165	Set166	HSP60	0.398225994104363
AGID00037	325	4872	Old	HSP70	-0.60041
AGID00366	2158	86630	Set166	IDO	0.999711125517415
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.085211
AGID00038	335	3922	Old	IGFBP2	0.019411
AGID00090	793	611504	Set166	IGFBP3	0.452023541761225
AGID00039	336	3027	Set166	IGFRb	-0.770738349398349
AGID00336	1949	12153	Set166	IL-6	-0.467579867268555
AGID02221	2583	57145	Set166	IMP3	0.0779046868125791
AGID02153	2459	14543	Old	INPP4B	0.88002
AGID00272	1586	3025	Set166	IR-b	1.08014299350178
AGID00519	2519	4302	Set166	IRF-3	0.294367289970443
AGID00520	2520	4947	Set166	IRF-3_pS396	0.0468573212505567
AGID00223	1316	sc-497	Old	IRF1	0.093108
AGID00092	802	06-248	Old	IRS1	-0.065127
AGID00040	371	4502	Set166	IRS2	-0.178325124833459
AGID00250	1394	sc-13157	Old	JAB1	0.27093
AGID00256	1413	ab109536	Set166	Jagged1	0.21424622506761
AGID00177	1166	3230	Old	JAK2	-0.095353
AGID00758	377	4671	Old	JNK_pT183Y185	0.035226
AGID02136	2439	PA5-28262	Old	JNK2	0.11162
AGID00307	1757	ab10484	Set166	KAP1	-0.172880014156502
AGID00528	904	2180	Old	KU80	-0.51907
AGID00375	2237	HPA028732	Set166	LAD1	1.03335588270406
AGID00290	1643	IHC-00439	Set166	Lasu1	-0.746534948709941
AGID00279	1618	4108	Set166	LC3A-B	0.391454101292884
AGID00042	397	2752	Old	LCK	0.074196
AGID00119	976	3582	Old	LDHA	NA
