AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	1.6145
AGID00111	913	sc-23957	Old	1433EPSILON	0.36374
AGID00101	883	sc-1019	Old	1433ZETA	0.61367
AGID00001	2	9452	Old	4EBP1	-0.84911
AGID00002	3	9456	Old	4EBP1_pS65	-0.63893
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.58855
AGID00443	8	9455	Old	4EBP1_pT70	-0.061484
AGID00120	985	4937	Old	53BP1	-2.5429
AGID00004	13	3661	Old	ACC_pS79	-0.98779
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.78812
AGID00408	2372	3658	Set166	AceCS1	-0.57066607385206
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.1269
AGID00404	2367	9189	Set166	ACSL1	-0.672646334748184
AGID02144	2450	PA5-27081	Old	ACVRL1	0.49482
AGID00186	1198	ab88574	Old	ADAR1	0.012061
AGID00146	1084	4691	Old	AKT	-2.6649
AGID00028	230	9271	Old	AKT_pS473	-1.0915
AGID00170	1154	2965	Old	AKT_pT308	-0.37059
AGID00316	1800	3063	Set166	Akt2	-1.15630243089267
AGID00347	2009	8599	Set166	Akt2_pS474	0.855693692763993
AGID02215	2577	ab195377	Set166	ALKBH5	-1.34789439228363
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set166	Ambra1_pS52	0.353180843934539
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.496562350784934
AGID00006	39	2532	Old	AMPKALPHA	-0.2147
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.76096
AGID00193	1208	610066	Old	ANNEXIN1	0.13707
AGID00166	1142	610668	Old	ANNEXINVII	0.23176
AGID00371	756	1852-1/ab52615	Old	AR	-0.55421
AGID00194	1217	4432	Old	ARAF	-0.032535
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.095929
AGID00260	1053	sc-32761	Old	ARID1A	-0.43359
AGID00264	1560	HPA029318	Old	ASNS	0.2788
AGID00276	1612	3415	Set166	Atg3	0.329485970793757
AGID00309	1775	13507	Set166	Atg4B	0.198456761959341
AGID00310	1776	12994	Set166	Atg5	-2.36876332900308
AGID00277	1613	8558	Set166	Atg7	-1.52533260801053
AGID00242	1363	2873	Old	ATM	-2.4404
AGID02142	2447	13050	Set166	ATM_pS1981	2.19396074151926
AGID00217	1289	ab14748	Set166	ATP5A	-1.10242543814232
AGID02145	2451	PA5-43776	Set166	ATP5H	-0.344591726288575
AGID02150	2456	13934	Set166	ATR	0.371354443569427
AGID00315	1795	ab178407	Set166	ATR_pS428	1.8828332563199
AGID00268	1569	ab97508	Set166	ATRX	-0.842217921030485
AGID00391	2332	14475	Set166	Aurora-A	-0.237557186033248
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	0.75640808136019
