AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.15156
AGID00111	913	sc-23957	Old	1433EPSILON	0.19126
AGID00101	883	sc-1019	Old	1433ZETA	0.1161
AGID00001	2	9452	Old	4EBP1	0.0079395
AGID00002	3	9456	Old	4EBP1_pS65	-0.47593
AGID00003	6	9459	Old	4EBP1_pT37T46	0.38694
AGID00443	8	9455	Old	4EBP1_pT70	-0.40246
AGID00120	985	4937	Old	53BP1	-0.066013
AGID00004	13	3661	Old	ACC_pS79	0.80699
AGID00005	14	1768-1/ab45174	Old	ACC1	0.031855
AGID00408	2372	3658	Set163	AceCS1	0.892289554860942
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.069448
AGID00404	2367	9189	Set163	ACSL1	2.390990023567
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.13499
AGID00186	1198	ab88574	Old	ADAR1	-0.17524
AGID00146	1084	4691	Old	AKT	0.20994
AGID00028	230	9271	Old	AKT_pS473	0.349
AGID00170	1154	2965	Old	AKT_pT308	0.06848
AGID00316	1800	3063	Set163	Akt2	0.668815064921896
AGID00347	2009	8599	Set163	Akt2_pS474	-0.334780497333028
AGID02215	2577	ab195377	Set163	ALKBH5	0.204554853130787
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.320965779331201
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.210105029900635
AGID00006	39	2532	Old	AMPKALPHA	-0.084969
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.28025
AGID00193	1208	610066	Old	ANNEXIN1	0.68375
AGID00166	1142	610668	Old	ANNEXINVII	0.095846
AGID00371	756	1852-1/ab52615	Old	AR	0.89896
AGID00194	1217	4432	Old	ARAF	0.44799
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.11329
AGID00260	1053	sc-32761	Old	ARID1A	-0.1395
AGID00264	1560	HPA029318	Old	ASNS	-0.61003
AGID00276	1612	3415	Set163	Atg3	0
AGID00309	1775	13507	Set163	Atg4B	0.458059546335233
AGID00310	1776	12994	Set163	Atg5	0.179679971996855
AGID00277	1613	8558	Set163	Atg7	0.415840063076392
AGID00242	1363	2873	Old	ATM	0.53418
AGID02142	2447	13050	Set163	ATM_pS1981	-0.109715080639006
AGID00217	1289	ab14748	Set163	ATP5A	0.0207694196972786
AGID02145	2451	PA5-43776	Set163	ATP5H	1.93202503944874
AGID02150	2456	13934	Set163	ATR	0.104137028133607
AGID00315	1795	ab178407	Set163	ATR_pS428	-1.05893618939687
AGID00268	1569	ab97508	Set163	ATRX	-0.407342574693582
AGID00391	2332	14475	Set163	Aurora-A	-0.417179936923608
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-1.0971899270116
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.461916242907803
AGID00215	1271	8661	Old	AXL	0.89365
AGID02143	2449	8457	Set163	b-Actin	0.687259797323781
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.103565068145031
AGID00301	1725	14058	Set163	B7-H3	-0.539700851531114
AGID00302	1726	14572	Set163	B7-H4	0.34947472836431
AGID00008	63	9291	Old	BAD_pS112	0.082845
AGID00009	71	1542-1/ab32371	Old	BAK	-0.55839
AGID00192	1207	sc-28383	Old	BAP1C4	-0.36557
AGID00010	73	2772	Old	BAX	-0.18278
AGID00433	80	M0887	Old	BCL2	1.0872
AGID00219	1299	PAB8528	Old	BCL2A1	0.9594
AGID00012	84	1018-1	Old	BCLXL	0.012377
AGID00377	87	sc-10086	Old	BECLIN	0.3608
AGID00011	75	9562	Old	BETACATENIN	-1.609
AGID00013	88	1008-1/ab32060	Old	BID	0.044934
AGID00180	90	1036-1/ab32158	Old	BIM	0.23276
AGID00221	1311	610978	Set163	BiP-GRP78	-0.214235492888222
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	-0.395179903274109
AGID00355	92	1647/ab33899	Old	BRAF	-0.30936
AGID00014	94	2696	Old	BRAF_pS445	-0.052091
AGID00445	761	9012	Old	BRCA2	-0.23414
AGID00266	1567	13440	Old	BRD4	-0.72399
AGID00168	1146	2865	Set163	c-Abl_pY412	-0.479240668886903
AGID00278	1615	3130	Set163	c-IAP2	0.16729495429561
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.22864
AGID00429	2407	2679	Set163	Calnexin	0.393319809592485
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.0583849812243758
AGID00623	111	9665	Old	CASPASE3	-1.8987
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.73099
AGID00118	951	9746	Old	CASPASE8	0.066398
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.564
AGID00358	2100	ab76000	Set163	CD134	0.642838625558939
AGID00303	1737	826701	Set163	CD171	-1.41102995945089
AGID00410	125	1632-1/ab78237	Old	CD20	1.0837
AGID00220	1308	ab28340	Old	CD26	0.92441
AGID00191	1206	610467	Set163	CD29	-0.209910289180975
AGID00017	127	M0823	Old	CD31	-0.021792
AGID00369	2174	ab108403	Set163	CD38	0.0139300738894879
AGID00359	2104	ab133616	Set163	CD4	0.85666880531053
AGID00411	1398	3570	Set163	CD44	0.157664941714989
AGID00237	1352	M070101-2	Set163	CD45	-0.139000102239203
AGID00115	937	611016	Old	CD49B	-0.47001
AGID02171	2482	91882	Set163	CD86	0.395820052401926
AGID00329	1873	4688	Set163	cdc25C	-0.883674925096784
AGID00227	1332	4651	Set163	Cdc42	0.0180898447350426
AGID00422	2396	3387	Set163	Cdc6	-0.147760051916722
AGID00501	1007	9112	Old	CDK1	0.21882
AGID00293	1658	ab32384	Set163	CDK1_pT14	-1.01176992964556
AGID00314	1783	4539	Old	CDK1_pY15	-1.0001
AGID00423	2397	8064	Set163	CDT1	-0.181635383405651
AGID02101	2348	15102	Set163	cGAS	-0.259319932348837
AGID00447	2410	13460	Set163	CHD1L	-0.0616017664154931
AGID00189	1203	2360	Old	CHK1	-0.090049
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.51857
AGID00107	903	2348	Old	CHK1_pS345	-0.37302
AGID00018	146	3440	Old	CHK2	-0.2213
AGID00019	147	2197	Old	CHK2_pT68	-0.84494
AGID00527	2078	4952	Old	CIAP	-0.20712
AGID00350	2018	3793	Set163	CIITA	-0.302029933388558
AGID00434	155	9164	Old	CJUN_pS73	0.53162
AGID00020	157	1522-1/ab32363	Old	CKIT	0.13566
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.24403
AGID00466	726	3127	Old	CMET	0.12485
AGID00079	727	3129	Old	CMET_pY1235	-0.20663
AGID00167	161	9402	Old	CMYC	1.3909
AGID00292	1656	11130-1-AP	Old	COG3	0.054228
AGID00021	171	sc-20649	Old	COLLAGENVI	1.7525
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	-0.679640202676219
AGID00269	1571	6434	Set163	Coup-TFII	-0.219309935675943
AGID00150	1116	4850	Set163	Cox-IV	0.29143941013185
AGID00195	1218	4842	Set163	Cox2	-0.473849929645562
AGID00188	803	05-739	Old	CRAF	-0.15545
AGID00022	179	9427	Old	CRAF_pS338	-0.3918
AGID00023	181	9197	Set163	Creb	-0.055691054207254
AGID00393	2334	9198	Set163	CREB_pS133	0.680202200319795
AGID00365	2155	4980	Set163	CSK	-0.0332999712343926
AGID00367	2160	9201	Set163	CtIP	-0.37539527163569
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	-0.453080051916722
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.2016
AGID00382	194	sc-718	Old	CYCLIND1	0.27941
AGID00437	199	sc-25303	Old	CYCLINE1	-0.84437
AGID00449	202	1142-1	Old	CYCLINE2	-0.63929
AGID00209	1257	ab110324	Set163	Cyclophilin-F	-0.189670221599135
AGID00247	1379	ab48389	Set163	D-a-Tubulin	-0.845274941836289
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.303639987661981
