AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.058717
AGID00111	913	sc-23957	Old	1433EPSILON	0.11533
AGID00101	883	sc-1019	Old	1433ZETA	-0.25429
AGID00001	2	9452	Old	4EBP1	0.13632
AGID00002	3	9456	Old	4EBP1_pS65	-0.23341
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.11428
AGID00443	8	9455	Old	4EBP1_pT70	-0.090238
AGID00120	985	4937	Old	53BP1	0.33538
AGID00004	13	3661	Old	ACC_pS79	0.97036
AGID00005	14	1768-1/ab45174	Old	ACC1	0.80718
AGID00408	2372	3658	Set163	AceCS1	0.317199536769801
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.59278
AGID00404	2367	9189	Set163	ACSL1	-0.303929994524138
AGID02144	2450	PA5-27081	Old	ACVRL1	0.042577
AGID00186	1198	ab88574	Old	ADAR1	0.42066
AGID00146	1084	4691	Old	AKT	0.33057
AGID00028	230	9271	Old	AKT_pS473	-0.12828
AGID00170	1154	2965	Old	AKT_pT308	-0.047418
AGID00316	1800	3063	Set163	Akt2	0.0228750468307558
AGID00347	2009	8599	Set163	Akt2_pS474	-0.221290515424169
AGID02215	2577	ab195377	Set163	ALKBH5	0.309354835039646
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.218415797422342
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.136795047991776
AGID00006	39	2532	Old	AMPKALPHA	0.084378
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.44857
AGID00193	1208	610066	Old	ANNEXIN1	-0.80965
AGID00166	1142	610668	Old	ANNEXINVII	0.14981
AGID00371	756	1852-1/ab52615	Old	AR	2.3013
AGID00194	1217	4432	Old	ARAF	0.79926
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.26964
AGID00260	1053	sc-32761	Old	ARID1A	0.22048
AGID00264	1560	HPA029318	Old	ASNS	0.011659
AGID00276	1612	3415	Set163	Atg3	-0.152140018091141
AGID00309	1775	13507	Set163	Atg4B	-0.235120471755907
AGID00310	1776	12994	Set163	Atg5	-0.157860046094286
AGID00277	1613	8558	Set163	Atg7	0.126070044985251
AGID00242	1363	2873	Old	ATM	0.60686
AGID02142	2447	13050	Set163	ATM_pS1981	0.139634901269854
AGID00217	1289	ab14748	Set163	ATP5A	-0.193740598393862
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.180354978642403
AGID02150	2456	13934	Set163	ATR	0.244787010042466
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.192296207488013
AGID00268	1569	ab97508	Set163	ATRX	1.29580740721528
AGID00391	2332	14475	Set163	Aurora-A	0.0290000449852513
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.163610054897256
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.160856260998943
AGID00215	1271	8661	Old	AXL	0.52165
AGID02143	2449	8457	Set163	b-Actin	0.0945397792326399
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.24603505005389
AGID00301	1725	14058	Set163	B7-H3	-0.338300869622255
AGID00302	1726	14572	Set163	B7-H4	-0.40874528972683
AGID00008	63	9291	Old	BAD_pS112	0.033135
AGID00009	71	1542-1/ab32371	Old	BAK	-0.34044
AGID00192	1207	sc-28383	Old	BAP1C4	0.081263
AGID00010	73	2772	Old	BAX	-0.55011
AGID00433	80	M0887	Old	BCL2	1.344
AGID00219	1299	PAB8528	Old	BCL2A1	0.01043
AGID00012	84	1018-1	Old	BCLXL	-0.26822
AGID00377	87	sc-10086	Old	BECLIN	0.14047
AGID00011	75	9562	Old	BETACATENIN	0.16235
AGID00013	88	1008-1/ab32060	Old	BID	-0.088464
AGID00180	90	1036-1/ab32158	Old	BIM	-0.23587
AGID00221	1311	610978	Set163	BiP-GRP78	-0.0333755109793633
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	-0.0281499213652498
AGID00355	92	1647/ab33899	Old	BRAF	0.28612
AGID00014	94	2696	Old	BRAF_pS445	0.29771
AGID00445	761	9012	Old	BRCA2	0.11888
AGID00266	1567	13440	Old	BRD4	-0.42509
AGID00168	1146	2865	Set163	c-Abl_pY412	0.212909313021957
AGID00278	1615	3130	Set163	c-IAP2	0.175804936204469
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.091278
AGID00429	2407	2679	Set163	Calnexin	0.437309791501344
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.0361849631332354
AGID00623	111	9665	Old	CASPASE3	-0.015298
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.0531
AGID00118	951	9746	Old	CASPASE8	0.041854
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.0542
AGID00358	2100	ab76000	Set163	CD134	0.0246886074677988
AGID00303	1737	826701	Set163	CD171	-0.477329977542032
AGID00410	125	1632-1/ab78237	Old	CD20	-0.12445
AGID00220	1308	ab28340	Old	CD26	-0.00030553
AGID00191	1206	610467	Set163	CD29	0.0874796927278847
AGID00017	127	M0823	Old	CD31	0.15172
AGID00369	2174	ab108403	Set163	CD38	0.273770055798347
AGID00359	2104	ab133616	Set163	CD4	0.586318787219389
AGID00411	1398	3570	Set163	CD44	-0.200365076376152
AGID00237	1352	M070101-2	Set163	CD45	-0.113820120330344
AGID00115	937	611016	Old	CD49B	0.42214
AGID02171	2482	91882	Set163	CD86	0.0289900343107853
AGID00329	1873	4688	Set163	cdc25C	-0.0283649431879252
AGID00227	1332	4651	Set163	Cdc42	-0.0767801733560984
AGID00422	2396	3387	Set163	Cdc6	0.0826799299921378
AGID00501	1007	9112	Old	CDK1	-0.41479
AGID00293	1658	ab32384	Set163	CDK1_pT14	-0.434379947736703
AGID00314	1783	4539	Old	CDK1_pY15	-0.06802
AGID00423	2397	8064	Set163	CDT1	-0.0207654014967921
AGID02101	2348	15102	Set163	cGAS	0.0779400495600224
AGID00447	2410	13460	Set163	CHD1L	0.277758215493366
AGID00189	1203	2360	Old	CHK1	-0.14863
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.025776
AGID00107	903	2348	Old	CHK1_pS345	0.14551
AGID00018	146	3440	Old	CHK2	-0.17143
AGID00019	147	2197	Old	CHK2_pT68	-0.029409
AGID00527	2078	4952	Old	CIAP	0.21873
AGID00350	2018	3793	Set163	CIITA	0.0999500485203021
AGID00434	155	9164	Old	CJUN_pS73	0.14045
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.18457
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.1453
AGID00466	726	3127	Old	CMET	0.020943
AGID00079	727	3129	Old	CMET_pY1235	-0.13768
AGID00167	161	9402	Old	CMYC	0.0047201
AGID00292	1656	11130-1-AP	Old	COG3	0.58692
AGID00021	171	sc-20649	Old	COLLAGENVI	0.78433
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	1.28504977923264
AGID00269	1571	6434	Set163	Coup-TFII	0.069490046232916
AGID00150	1116	4850	Set163	Cox-IV	0.0166593920407092
AGID00195	1218	4842	Set163	Cox2	-0.161129947736703
AGID00188	803	05-739	Old	CRAF	-0.031772
AGID00022	179	9427	Old	CRAF_pS338	-0.19005
AGID00023	181	9197	Set163	Creb	-0.0699710722983943
AGID00393	2334	9198	Set163	CREB_pS133	0.264242182228655
AGID00365	2155	4980	Set163	CSK	0.307710010674467
AGID00367	2160	9201	Set163	CtIP	0.42925471027317
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	-0.0696800700078624
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.0653
AGID00382	194	sc-718	Old	CYCLIND1	-0.11604
AGID00437	199	sc-25303	Old	CYCLINE1	-0.74733
AGID00449	202	1142-1	Old	CYCLINE2	-0.35997
AGID00209	1257	ab110324	Set163	Cyclophilin-F	0.659549760309725
AGID00247	1379	ab48389	Set163	D-a-Tubulin	-0.35490495992743
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.159230005753121
AGID00304	1744	ab51601	Set163	DAPK2	-0.135445176189337
AGID00343	1980	6998	Set163	DDB-1	0.467389978651068
AGID00427	2402	5583	Set163	DDR1	0.459394277056295
AGID00428	2403	SAB4504671	Set163	DDR1_pY513	0.168170024606724
AGID00532	1273	Bast Lab	Old	DIRAS3	0.25671
AGID00104	891	ab76008	Old	DJ1	0.64627
AGID02146	2452	4658	Set163	DM-Histone-H3	0.0958546600546656
AGID00386	1397	ab32521	Set163	DM-K9-Histone-H3	-0.283884985608532
AGID00352	2030	14649	Set163	DNA-Ligase-IV	-0.147375205474802
AGID00407	2371	13609	Set163	DNA_POLG	0.259749964926753
AGID00399	2344	5032	Set163	DNMT1	-0.012000087336541
AGID00409	2373	5391	Set163	DRP1	-0.0352215229130943
AGID00253	1406	5149	Old	DUSP4	1.8045
AGID00334	1936	ab76310	Set163	DUSP6	0.893779713730241
AGID00116	940	3218	Old	DVL3	-0.37739
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.76326
AGID00135	1060	2332	Old	EEF2	-0.51311
AGID00136	1061	3692	Old	EEF2K	0.61598
AGID00152	1120	2232	Old	EGFR	-0.62616
AGID00450	217	2234	Old	EGFR_pY1068	0.13683
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.18847
AGID00078	722	9742	Old	EIF4E	0.17433
AGID00328	1871	ab76256	Set163	eIF4E_pS209	0.0924697273852382
AGID00154	1124	2498	Old	EIF4G	0.07987
AGID00027	228	9181	Set163	Elk1_pS383	-0.18411494994611
AGID00235	1350	M061329-2	Set163	EMA	0.00503961821457662
AGID00394	2337	3810	Set163	Enolase-1	-0.196295187695579
AGID00395	2338	8171	Set163	Enolase-2	0.0300650555990677
AGID00196	1219	GTX629542	Old	ENY2	-0.17888
AGID00438	1849	A302-024A	Set163	EphA2	0.0996400485203019
AGID00552	2422	6347	Set163	EphA2_pS897	-0.220519947736703
AGID00553	2423	12677	Set163	EphA2_pY588	-0.174518447841204
AGID00075	693	556347	Old	EPPK1	-0.29292
AGID00335	238	RM-9101	Old	ERALPHA	3.8966
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	0.86946
AGID00240	247	MS-671	Old	ERCC1	-0.094036
AGID00239	1355	11331-1-AP	Old	ERCC5	0.00095921
AGID00484	249	sc-154	Old	ERK2	-0.031939
AGID00372	2193	3552	Set163	Erk5	0.215260054897256
AGID00405	2369	13826	Set163	ERRalpha	0.0974749236238484
AGID00187	1200	A303-501A	Old	ETS1	-0.67919
AGID00511	2492	2593	Set163	EVI1	0.319534443792796
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set163	FAK	-0.403569956331729
AGID02151	2457	8556	Set163	FAK_pY397	-0.174526560126406
AGID00171	1156	3180	Old	FASN	0.63366
AGID00356	2085	500-P18/10775-082	Set163	FGF-basic	-0.470204953169244
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.42016
AGID00339	1959	4403	Set163	FN14	-0.565794947346808
AGID02152	2458	20459	Old	FOXM1	-0.3054
AGID00378	269	9467	Old	FOXO3A	0.034654
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.21122
AGID02167	2475	PA5-64616	Set163	FRS2-alpha_pY196	-0.0873599432312467
AGID02213	2575	ab124892	Set163	FTO	0.33084005143152
AGID02141	2446	12263	Old	G6PD	-0.20564
AGID00117	943	3239	Old	GAB2	-0.19975
AGID00412	274	AM4300	Old	GAPDH	-1.6601
AGID00086	764	558686	Old	GATA3	2.5857
