AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.1068845
AGID00111	913	sc-23957	Old	1433EPSILON	0.07238
AGID00101	883	sc-1019	Old	1433ZETA	-0.35001
AGID00001	2	9452	Old	4EBP1	0.298935
AGID00002	3	9456	Old	4EBP1_pS65	-0.348
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.72842
AGID00443	8	9455	Old	4EBP1_pT70	-0.1060195
AGID00120	985	4937	Old	53BP1	0.549585
AGID00004	13	3661	Old	ACC_pS79	-0.306705
AGID00005	14	1768-1/ab45174	Old	ACC1	0.126465
AGID00408	2372	3658	Set163	AceCS1	-0.3322005
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.54325
AGID00404	2367	9189	Set163	ACSL1	-0.71284
AGID02144	2450	PA5-27081	Old	ACVRL1	0.0910835
AGID00186	1198	ab88574	Old	ADAR1	0.021323
AGID00146	1084	4691	Old	AKT	0.0549115
AGID00028	230	9271	Old	AKT_pS473	-0.98998
AGID00170	1154	2965	Old	AKT_pT308	-0.40085
AGID00316	1800	3063	Set163	Akt2	-0.264465
AGID00347	2009	8599	Set163	Akt2_pS474	-0.4617706
AGID02215	2577	ab195377	Set163	ALKBH5	0.2373448
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.1011658
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.0873551
AGID00006	39	2532	Old	AMPKALPHA	0.01257765
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.036026
AGID00193	1208	610066	Old	ANNEXIN1	-0.257695
AGID00166	1142	610668	Old	ANNEXINVII	0.132989
AGID00371	756	1852-1/ab52615	Old	AR	-0.55187
AGID00194	1217	4432	Old	ARAF	0.26535
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.198815
AGID00260	1053	sc-32761	Old	ARID1A	0.62368
AGID00264	1560	HPA029318	Old	ASNS	0.42842
AGID00276	1612	3415	Set163	Atg3	-0.04289007
AGID00309	1775	13507	Set163	Atg4B	0.1503995
AGID00310	1776	12994	Set163	Atg5	-0.2742701
AGID00277	1613	8558	Set163	Atg7	-0.17067
AGID00242	1363	2873	Old	ATM	-0.58319
AGID02142	2447	13050	Set163	ATM_pS1981	-0.1213551
AGID00217	1289	ab14748	Set163	ATP5A	-0.007920647
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.01093503
AGID02150	2456	13934	Set163	ATR	0.05513696
AGID00315	1795	ab178407	Set163	ATR_pS428	0.05398374
AGID00268	1569	ab97508	Set163	ATRX	-0.03304264
AGID00391	2332	14475	Set163	Aurora-A	0.23912
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.16248
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.2722337
AGID00215	1271	8661	Old	AXL	0.15097
AGID02143	2449	8457	Set163	b-Actin	0.03881973
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.013355
AGID00301	1725	14058	Set163	B7-H3	0.01822908
AGID00302	1726	14572	Set163	B7-H4	-0.1291753
AGID00008	63	9291	Old	BAD_pS112	-0.0234765
AGID00009	71	1542-1/ab32371	Old	BAK	-0.13447
AGID00192	1207	sc-28383	Old	BAP1C4	0.24504
AGID00010	73	2772	Old	BAX	-0.348285
AGID00433	80	M0887	Old	BCL2	1.0926
AGID00219	1299	PAB8528	Old	BCL2A1	0.325705
AGID00012	84	1018-1	Old	BCLXL	-0.33927
AGID00377	87	sc-10086	Old	BECLIN	0.102454
AGID00011	75	9562	Old	BETACATENIN	-0.54089
AGID00013	88	1008-1/ab32060	Old	BID	-0.0408805
AGID00180	90	1036-1/ab32158	Old	BIM	0.798955
AGID00221	1311	610978	Set163	BiP-GRP78	0.03339444
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.13192
AGID00355	92	1647/ab33899	Old	BRAF	0.339005
AGID00014	94	2696	Old	BRAF_pS445	-0.276375
AGID00445	761	9012	Old	BRCA2	0.0493455
AGID00266	1567	13440	Old	BRD4	0.37453
AGID00168	1146	2865	Set163	c-Abl_pY412	-0.008640735
AGID00278	1615	3130	Set163	c-IAP2	-0.08960511
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.020745
AGID00429	2407	2679	Set163	Calnexin	-0.2988303
AGID00176	1165	9496	Set163	Caspase-8-cleaved	-0.05396509
AGID00623	111	9665	Old	CASPASE3	0.1382035
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.686605
AGID00118	951	9746	Old	CASPASE8	-0.120854
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.143754
AGID00358	2100	ab76000	Set163	CD134	-0.05886144
AGID00303	1737	826701	Set163	CD171	2.03182
AGID00410	125	1632-1/ab78237	Old	CD20	-0.1328685
AGID00220	1308	ab28340	Old	CD26	2.25e-05
AGID00191	1206	610467	Set163	CD29	0.1718496
AGID00017	127	M0823	Old	CD31	0.22861
AGID00369	2174	ab108403	Set163	CD38	-0.19208
AGID00359	2104	ab133616	Set163	CD4	-0.1032513
AGID00411	1398	3570	Set163	CD44	0.03253488
AGID00237	1352	M070101-2	Set163	CD45	-0.3132702
AGID00115	937	611016	Old	CD49B	0.016097
AGID02171	2482	91882	Set163	CD86	0.5291
AGID00329	1873	4688	Set163	cdc25C	0.258405
AGID00227	1332	4651	Set163	Cdc42	-0.1905102
AGID00422	2396	3387	Set163	Cdc6	0.05665988
AGID00501	1007	9112	Old	CDK1	0.0587
AGID00293	1658	ab32384	Set163	CDK1_pT14	1.25044
AGID00314	1783	4539	Old	CDK1_pY15	-0.0502365
AGID00423	2397	8064	Set163	CDT1	-0.2510955
AGID02101	2348	15102	Set163	cGAS	0.34217
AGID00447	2410	13460	Set163	CHD1L	0.04147817
AGID00189	1203	2360	Old	CHK1	0.06698315
AGID00234	1348	ab79758	Old	CHK1_pS296	0.115016
AGID00107	903	2348	Old	CHK1_pS345	-0.151345
AGID00018	146	3440	Old	CHK2	0.65241
AGID00019	147	2197	Old	CHK2_pT68	0.16329
AGID00527	2078	4952	Old	CIAP	-0.23915
AGID00350	2018	3793	Set163	CIITA	-0.00432
AGID00434	155	9164	Old	CJUN_pS73	-0.17257
AGID00020	157	1522-1/ab32363	Old	CKIT	0.03301577
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.588555
AGID00466	726	3127	Old	CMET	0.026988
AGID00079	727	3129	Old	CMET_pY1235	0.0883505
AGID00167	161	9402	Old	CMYC	0.660515
AGID00292	1656	11130-1-AP	Old	COG3	-0.02381729
AGID00021	171	sc-20649	Old	COLLAGENVI	0.1488085
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	1.14667
AGID00269	1571	6434	Set163	Coup-TFII	0.26095
AGID00150	1116	4850	Set163	Cox-IV	-0.3237707
AGID00195	1218	4842	Set163	Cox2	0.05846
AGID00188	803	05-739	Old	CRAF	0.004029
AGID00022	179	9427	Old	CRAF_pS338	-0.17176
AGID00023	181	9197	Set163	Creb	-0.3403411
AGID00393	2334	9198	Set163	CREB_pS133	-0.5505979
AGID00365	2155	4980	Set163	CSK	-0.18716
AGID00367	2160	9201	Set163	CtIP	-0.06389534
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	-0.08189012
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.91345
AGID00382	194	sc-718	Old	CYCLIND1	-0.0615155
AGID00437	199	sc-25303	Old	CYCLINE1	0.159475
AGID00449	202	1142-1	Old	CYCLINE2	-0.209875
AGID00209	1257	ab110324	Set163	Cyclophilin-F	-0.9404603
