AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.27109
AGID00111	913	sc-23957	Old	1433EPSILON	0.163015
AGID00101	883	sc-1019	Old	1433ZETA	0.059932
AGID00001	2	9452	Old	4EBP1	0.1091275
AGID00002	3	9456	Old	4EBP1_pS65	0.0027095
AGID00003	6	9459	Old	4EBP1_pT37T46	0.769355
AGID00443	8	9455	Old	4EBP1_pT70	-0.12601
AGID00120	985	4937	Old	53BP1	-0.57114
AGID00004	13	3661	Old	ACC_pS79	-0.571125
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.73963
AGID00408	2372	3658	Set163	AceCS1	-1.201005
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.347805
AGID00404	2367	9189	Set163	ACSL1	-0.4675849
AGID02144	2450	PA5-27081	Old	ACVRL1	0.2135415
AGID00186	1198	ab88574	Old	ADAR1	-0.19094
AGID00146	1084	4691	Old	AKT	-0.404955
AGID00028	230	9271	Old	AKT_pS473	0.235135
AGID00170	1154	2965	Old	AKT_pT308	-0.308041
AGID00316	1800	3063	Set163	Akt2	-0.2358999
AGID00347	2009	8599	Set163	Akt2_pS474	0.2740945
AGID02215	2577	ab195377	Set163	ALKBH5	-0.4940401
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.1431093
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.11286
AGID00006	39	2532	Old	AMPKALPHA	-0.440095
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.898555
AGID00193	1208	610066	Old	ANNEXIN1	0.51601
AGID00166	1142	610668	Old	ANNEXINVII	-0.1462565
AGID00371	756	1852-1/ab52615	Old	AR	0.03887605
AGID00194	1217	4432	Old	ARAF	-0.06742895
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.0736195
AGID00260	1053	sc-32761	Old	ARID1A	0.163402
AGID00264	1560	HPA029318	Old	ASNS	-0.34578
AGID00276	1612	3415	Set163	Atg3	-0.06325495
AGID00309	1775	13507	Set163	Atg4B	0.6467346
AGID00310	1776	12994	Set163	Atg5	-1.023355
AGID00277	1613	8558	Set163	Atg7	-0.3902249
AGID00242	1363	2873	Old	ATM	-0.85383
AGID02142	2447	13050	Set163	ATM_pS1981	0.23537
AGID00217	1289	ab14748	Set163	ATP5A	0.1812145
AGID02145	2451	PA5-43776	Set163	ATP5H	0.5361001
AGID02150	2456	13934	Set163	ATR	0.6461821
AGID00315	1795	ab178407	Set163	ATR_pS428	0.1369989
AGID00268	1569	ab97508	Set163	ATRX	-0.9607475
AGID00391	2332	14475	Set163	Aurora-A	-0.1219149
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.2497251
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.0164512
AGID00215	1271	8661	Old	AXL	0.43509
AGID02143	2449	8457	Set163	b-Actin	0.1983848
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.1746301
AGID00301	1725	14058	Set163	B7-H3	0.04206419
AGID00302	1726	14572	Set163	B7-H4	0.1202698
AGID00008	63	9291	Old	BAD_pS112	-0.054092
AGID00009	71	1542-1/ab32371	Old	BAK	-0.057165
AGID00192	1207	sc-28383	Old	BAP1C4	-0.303845
AGID00010	73	2772	Old	BAX	-0.4526
AGID00433	80	M0887	Old	BCL2	-0.133151
AGID00219	1299	PAB8528	Old	BCL2A1	0.477225
AGID00012	84	1018-1	Old	BCLXL	-0.208195
AGID00377	87	sc-10086	Old	BECLIN	0.171105
AGID00011	75	9562	Old	BETACATENIN	-0.64954
AGID00013	88	1008-1/ab32060	Old	BID	0.62662
AGID00180	90	1036-1/ab32158	Old	BIM	-0.380755
AGID00221	1311	610978	Set163	BiP-GRP78	-0.2044804
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	-0.04087486
AGID00355	92	1647/ab33899	Old	BRAF	-0.580255
AGID00014	94	2696	Old	BRAF_pS445	-0.35805
AGID00445	761	9012	Old	BRCA2	0.275535
AGID00266	1567	13440	Old	BRD4	0.0273425
AGID00168	1146	2865	Set163	c-Abl_pY412	0.2623444
AGID00278	1615	3130	Set163	c-IAP2	0
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.060848
AGID00429	2407	2679	Set163	Calnexin	-0.5713151
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.35842
AGID00623	111	9665	Old	CASPASE3	-0.07563995
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.42467
AGID00118	951	9746	Old	CASPASE8	0.176085
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.48903
AGID00358	2100	ab76000	Set163	CD134	0.3754337
AGID00303	1737	826701	Set163	CD171	1.103005
AGID00410	125	1632-1/ab78237	Old	CD20	0.135616
AGID00220	1308	ab28340	Old	CD26	-0.034257
AGID00191	1206	610467	Set163	CD29	-0.05434524
AGID00017	127	M0823	Old	CD31	0.151146
AGID00369	2174	ab108403	Set163	CD38	-0.1095849
AGID00359	2104	ab133616	Set163	CD4	-0.5596561
AGID00411	1398	3570	Set163	CD44	0.08349999
AGID00237	1352	M070101-2	Set163	CD45	-0.2945951
AGID00115	937	611016	Old	CD49B	0.0181015
AGID02171	2482	91882	Set163	CD86	0.0911251
AGID00329	1873	4688	Set163	cdc25C	-0.08618988
AGID00227	1332	4651	Set163	Cdc42	0.05667489
AGID00422	2396	3387	Set163	Cdc6	0.05617499
AGID00501	1007	9112	Old	CDK1	0.142474
AGID00293	1658	ab32384	Set163	CDK1_pT14	-0.7738149
AGID00314	1783	4539	Old	CDK1_pY15	0.105123
AGID00423	2397	8064	Set163	CDT1	0.2673597
AGID02101	2348	15102	Set163	cGAS	-0.1737049
AGID00447	2410	13460	Set163	CHD1L	-0.7483567
AGID00189	1203	2360	Old	CHK1	0.379185
AGID00234	1348	ab79758	Old	CHK1_pS296	0.20897
AGID00107	903	2348	Old	CHK1_pS345	0.088852
AGID00018	146	3440	Old	CHK2	-0.51759
AGID00019	147	2197	Old	CHK2_pT68	0.41123
AGID00527	2078	4952	Old	CIAP	-0.188537
AGID00350	2018	3793	Set163	CIITA	0.07633511
AGID00434	155	9164	Old	CJUN_pS73	0.3421
AGID00020	157	1522-1/ab32363	Old	CKIT	0.0942505
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.62352
AGID00466	726	3127	Old	CMET	0.378165
AGID00079	727	3129	Old	CMET_pY1235	0.18226
AGID00167	161	9402	Old	CMYC	1.36075
AGID00292	1656	11130-1-AP	Old	COG3	-0.22305
AGID00021	171	sc-20649	Old	COLLAGENVI	0.694385
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	0.1781548
AGID00269	1571	6434	Set163	Coup-TFII	-0.09739489
AGID00150	1116	4850	Set163	Cox-IV	-0.6206255
AGID00195	1218	4842	Set163	Cox2	0.2795851
AGID00188	803	05-739	Old	CRAF	-0.07823999
AGID00022	179	9427	Old	CRAF_pS338	0.25297
AGID00023	181	9197	Set163	Creb	0.227754
AGID00393	2334	9198	Set163	CREB_pS133	-0.4260328
AGID00365	2155	4980	Set163	CSK	-0.2035549
AGID00367	2160	9201	Set163	CtIP	0.1113298
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	-0.171585
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.867865
AGID00382	194	sc-718	Old	CYCLIND1	0.517025
AGID00437	199	sc-25303	Old	CYCLINE1	0.032469
AGID00449	202	1142-1	Old	CYCLINE2	-0.317525
AGID00209	1257	ab110324	Set163	Cyclophilin-F	-0.9904452
AGID00247	1379	ab48389	Set163	D-a-Tubulin	0.1869101
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.08209494
AGID00304	1744	ab51601	Set163	DAPK2	0.2029399
AGID00343	1980	6998	Set163	DDB-1	-0.865275
AGID00427	2402	5583	Set163	DDR1	-0.1108607
AGID00428	2403	SAB4504671	Set163	DDR1_pY513	0.09725509
AGID00532	1273	Bast Lab	Old	DIRAS3	0.34316
AGID00104	891	ab76008	Old	DJ1	-0.4649
AGID02146	2452	4658	Set163	DM-Histone-H3	0.3861597
AGID00386	1397	ab32521	Set163	DM-K9-Histone-H3	0.08187008
AGID00352	2030	14649	Set163	DNA-Ligase-IV	0.8320699
AGID00407	2371	13609	Set163	DNA_POLG	-0.351085
AGID00399	2344	5032	Set163	DNMT1	-0.03406502
AGID00409	2373	5391	Set163	DRP1	-0.3565865
AGID00253	1406	5149	Old	DUSP4	-0.360615
AGID00334	1936	ab76310	Set163	DUSP6	0.08713478
AGID00116	940	3218	Old	DVL3	0.197455
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-0.958425
AGID00135	1060	2332	Old	EEF2	-0.63186
AGID00136	1061	3692	Old	EEF2K	-0.175955
AGID00152	1120	2232	Old	EGFR	-0.25027
AGID00450	217	2234	Old	EGFR_pY1068	0.0967345
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.331095
AGID00078	722	9742	Old	EIF4E	-0.234375
AGID00328	1871	ab76256	Set163	eIF4E_pS209	0.1256248
AGID00154	1124	2498	Old	EIF4G	-0.190505
AGID00027	228	9181	Set163	Elk1_pS383	0.2363901
AGID00235	1350	M061329-2	Set163	EMA	-2.202885
AGID00394	2337	3810	Set163	Enolase-1	0.3714899
AGID00395	2338	8171	Set163	Enolase-2	-0.01175988
AGID00196	1219	GTX629542	Old	ENY2	-0.517185
AGID00438	1849	A302-024A	Set163	EphA2	0.2052851
AGID00552	2422	6347	Set163	EphA2_pS897	0.08727512
AGID00553	2423	12677	Set163	EphA2_pY588	0.04909662
AGID00075	693	556347	Old	EPPK1	0.10216
AGID00335	238	RM-9101	Old	ERALPHA	-0.819365
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.453025
AGID00240	247	MS-671	Old	ERCC1	0.0828071
AGID00239	1355	11331-1-AP	Old	ERCC5	0.29
AGID00484	249	sc-154	Old	ERK2	-0.487115
AGID00372	2193	3552	Set163	Erk5	0.1356551
AGID00405	2369	13826	Set163	ERRalpha	-0.09038001
AGID00187	1200	A303-501A	Old	ETS1	0.00102
AGID00511	2492	2593	Set163	EVI1	-0.03061049
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set163	FAK	1.338135
AGID02151	2457	8556	Set163	FAK_pY397	0.3453985
AGID00171	1156	3180	Old	FASN	-1.197
AGID00356	2085	500-P18/10775-082	Set163	FGF-basic	0.9013301
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	1.49218
AGID00339	1959	4403	Set163	FN14	-0.09084988
AGID02152	2458	20459	Old	FOXM1	0.300435
AGID00378	269	9467	Old	FOXO3A	0.1294765
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.1244634
AGID02167	2475	PA5-64616	Set163	FRS2-alpha_pY196	0.1321151
AGID02213	2575	ab124892	Set163	FTO	-0.5493749
AGID02141	2446	12263	Old	G6PD	-0.31719
AGID00117	943	3239	Old	GAB2	0.136272
AGID00412	274	AM4300	Old	GAPDH	-1.4657
AGID00086	764	558686	Old	GATA3	-0.06443
AGID00383	1578	4253	Old	GATA6	0.35151
AGID00289	1634	12601-1-AP	Set163	GCLC	-0.001789909
AGID00305	1745	ab124827	Set163	GCLM	0.2553851
AGID00212	1263	3305	Old	GCN5L2	-0.382845
AGID00270	1579	3538	Set163	Gli1	-0.08653529
AGID00263	1520	ab69838	Set163	Gli3	0.212954
AGID00548	2530	3660	Set163	Glucocorticoid-Receptor	-0.3147699
AGID00387	1617	12793	Set163	Glutamate-D1-2	-0.847136
AGID00262	1491	ab156876	Set163	Glutaminase	0.1397151
AGID00319	1807	4275	Set163	Granzyme-B	-0.74049
AGID00368	2169	ab183737	Set163	GRB7	-0.04242566
AGID00396	2339	3593	Set163	Grp75	-0.21532
AGID00174	1163	9315	Set163	GSK-3B	-0.4459558
AGID00502	1082	9336	Old	GSK3_pS9	0.207665
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.347545
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-0.074163
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set163	H2AX_pS139	0.1150651
AGID00363	1409	MA1-2022	Set163	H2AX_pS140	-0.07943995
AGID00131	1038	MS-325-P1	Old	HER2	-0.467275
AGID00142	299	06-229	Old	HER2_pY1248	0.14323
AGID00110	911	sc-285	Old	HER3	0.15945
AGID00080	728	4791	Old	HER3_pY1289	0.0469155
AGID00103	890	2573	Old	HEREGULIN	0.0949005
AGID00271	1582	11988	Set163	HES1	-0.3439351
AGID00397	2340	2024	Set163	Hexokinase-I	0.03498487
AGID00442	1023	2867	Set163	Hexokinase-II	0.5946536
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set163	Histone-H3	-0.07267506
AGID00398	2341	3377	Set163	Histone-H3_pS10	0.08340998
AGID00332	1901	ab128959	Set163	HLA-DQA1	-1.090266
AGID00333	1902	14832-1-AP	Set163	HMHA1	-0.6795754
AGID00035	321	2402	Set163	HSP27	0.3633901
AGID00036	323	2401	Set163	HSP27_pS82	-0.6435449
AGID00320	1808	12165	Set163	HSP60	0.001289893
AGID00037	325	4872	Old	HSP70	2.64855
AGID00366	2158	86630	Set163	IDO	-0.1707604
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.40277
