AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.12449
AGID00111	913	sc-23957	Old	1433EPSILON	-0.18248
AGID00101	883	sc-1019	Old	1433ZETA	0.041224
AGID00001	2	9452	Old	4EBP1	-0.11717
AGID00002	3	9456	Old	4EBP1_pS65	-0.28104
AGID00003	6	9459	Old	4EBP1_pT37T46	0.2682
AGID00443	8	9455	Old	4EBP1_pT70	-0.10885
AGID00120	985	4937	Old	53BP1	0.0046714
AGID00004	13	3661	Old	ACC_pS79	0.51822
AGID00005	14	1768-1/ab45174	Old	ACC1	0.53464
AGID00408	2372	3658	Set163	AceCS1	-0.1293753
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.43416
AGID00404	2367	9189	Set163	ACSL1	-0.6006148
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.028856
AGID00186	1198	ab88574	Old	ADAR1	0.51374
AGID00146	1084	4691	Old	AKT	-0.37272
AGID00028	230	9271	Old	AKT_pS473	-0.95269
AGID00170	1154	2965	Old	AKT_pT308	-0.50058
AGID00316	1800	3063	Set163	Akt2	-0.6054598
AGID00347	2009	8599	Set163	Akt2_pS474	-0.2759953
AGID02215	2577	ab195377	Set163	ALKBH5	0.32142
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.0752494
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.02102985
AGID00006	39	2532	Old	AMPKALPHA	-0.64015
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.36963
AGID00193	1208	610066	Old	ANNEXIN1	-0.88686
AGID00166	1142	610668	Old	ANNEXINVII	0.26562
AGID00371	756	1852-1/ab52615	Old	AR	1.377
AGID00194	1217	4432	Old	ARAF	0.12308
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.34074
AGID00260	1053	sc-32761	Old	ARID1A	0.1042
AGID00264	1560	HPA029318	Old	ASNS	1.1661
AGID00276	1612	3415	Set163	Atg3	0.08796518
AGID00309	1775	13507	Set163	Atg4B	0.1404647
AGID00310	1776	12994	Set163	Atg5	-0.1918049
AGID00277	1613	8558	Set163	Atg7	-0.1731548
AGID00242	1363	2873	Old	ATM	-0.019409
AGID02142	2447	13050	Set163	ATM_pS1981	0.008530095
AGID00217	1289	ab14748	Set163	ATP5A	-0.1491754
AGID02145	2451	PA5-43776	Set163	ATP5H	0.08435021
