AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.0063655
AGID00111	913	sc-23957	Old	1433EPSILON	0.113935
AGID00101	883	sc-1019	Old	1433ZETA	0.047341
AGID00001	2	9452	Old	4EBP1	-0.196215
AGID00002	3	9456	Old	4EBP1_pS65	-0.0711135
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.855585
AGID00443	8	9455	Old	4EBP1_pT70	0.0211335
AGID00120	985	4937	Old	53BP1	0.026525
AGID00004	13	3661	Old	ACC_pS79	-0.75866
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.82014
AGID00408	2372	3658	Set164	AceCS1	0.9108403
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.552095
AGID00404	2367	9189	Set164	ACSL1	-0.3352856
AGID02144	2450	PA5-27081	Old	ACVRL1	0.1542585
AGID00186	1198	ab88574	Old	ADAR1	0.0061605
AGID00146	1084	4691	Old	AKT	-0.296548
AGID00028	230	9271	Old	AKT_pS473	-1.2554
AGID00170	1154	2965	Old	AKT_pT308	-0.740235
AGID00316	1800	3063	Set164	Akt2	-0.2875194
AGID00347	2009	8599	Set164	Akt2_pS474	0.01090719
AGID02215	2577	ab195377	Set164	ALKBH5	0.364312
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set164	Ambra1_pS52	-0.1113111
AGID00236	1351	ab129081	Set164	AMPK-a2_pS345	-0.2083809
AGID00006	39	2532	Old	AMPKALPHA	0.17689
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.807785
AGID00193	1208	610066	Old	ANNEXIN1	1.09177
AGID00166	1142	610668	Old	ANNEXINVII	0.002039
AGID00371	756	1852-1/ab52615	Old	AR	0.624165
AGID00194	1217	4432	Old	ARAF	-0.045764
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.12665
AGID00260	1053	sc-32761	Old	ARID1A	-0.21124
AGID00264	1560	HPA029318	Old	ASNS	-0.030691
AGID00276	1612	3415	Set164	Atg3	0.3501359
AGID00309	1775	13507	Set164	Atg4B	0.09832972
AGID00310	1776	12994	Set164	Atg5	0.2112557
AGID00277	1613	8558	Set164	Atg7	0.6383116
AGID00242	1363	2873	Old	ATM	-0.71524
