AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.43202
AGID00111	913	sc-23957	Old	1433EPSILON	-0.15381
AGID00101	883	sc-1019	Old	1433ZETA	0.65686
AGID00001	2	9452	Old	4EBP1	-0.53408
AGID00002	3	9456	Old	4EBP1_pS65	-0.68549
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.32946
AGID00443	8	9455	Old	4EBP1_pT70	-0.48754
AGID00120	985	4937	Old	53BP1	-0.22731
AGID00004	13	3661	Old	ACC_pS79	-0.29699
AGID00005	14	1768-1/ab45174	Old	ACC1	0.23541
AGID00408	2372	3658	Set163	AceCS1	0.9760106
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.19784
AGID00404	2367	9189	Set163	ACSL1	0.1124211
AGID02144	2450	PA5-27081	Old	ACVRL1	0.46959
AGID00186	1198	ab88574	Old	ADAR1	0.39462
AGID00146	1084	4691	Old	AKT	0.19014
AGID00028	230	9271	Old	AKT_pS473	-0.74064
AGID00170	1154	2965	Old	AKT_pT308	-0.968
AGID00316	1800	3063	Set163	Akt2	0.3168261
AGID00347	2009	8599	Set163	Akt2_pS474	-0.2440295
AGID02215	2577	ab195377	Set163	ALKBH5	0.4268759
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.03073475
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.040094
AGID00006	39	2532	Old	AMPKALPHA	-1.0035
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.39741
AGID00193	1208	610066	Old	ANNEXIN1	-0.55194
AGID00166	1142	610668	Old	ANNEXINVII	0.42548
AGID00371	756	1852-1/ab52615	Old	AR	1.7327
AGID00194	1217	4432	Old	ARAF	1.0222
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.023573
AGID00260	1053	sc-32761	Old	ARID1A	-0.13224
AGID00264	1560	HPA029318	Old	ASNS	-0.50641
AGID00276	1612	3415	Set163	Atg3	0.08117103
AGID00309	1775	13507	Set163	Atg4B	0.2140206
AGID00310	1776	12994	Set163	Atg5	0.336461
AGID00277	1613	8558	Set163	Atg7	0.3205411
AGID00242	1363	2873	Old	ATM	0.01768
AGID02142	2447	13050	Set163	ATM_pS1981	-0.04991405
AGID00217	1289	ab14748	Set163	ATP5A	0.1099404
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.03097393
AGID02150	2456	13934	Set163	ATR	-0.04311194
AGID00315	1795	ab178407	Set163	ATR_pS428	0.00387484
AGID00268	1569	ab97508	Set163	ATRX	0.5694585
AGID00391	2332	14475	Set163	Aurora-A	-0.2477489
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.0393689
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.08295521
AGID00215	1271	8661	Old	AXL	1.0916
AGID02143	2449	8457	Set163	b-Actin	-0.2414992
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.0296361
AGID00301	1725	14058	Set163	B7-H3	0.4853802
AGID00302	1726	14572	Set163	B7-H4	-0.2034542
AGID00008	63	9291	Old	BAD_pS112	0.16367
AGID00009	71	1542-1/ab32371	Old	BAK	-0.54581
AGID00192	1207	sc-28383	Old	BAP1C4	-0.081015
AGID00010	73	2772	Old	BAX	0.060837
AGID00433	80	M0887	Old	BCL2	0.32014
AGID00219	1299	PAB8528	Old	BCL2A1	0.12816
AGID00012	84	1018-1	Old	BCLXL	0.2204
AGID00377	87	sc-10086	Old	BECLIN	0.00081486
AGID00011	75	9562	Old	BETACATENIN	1.4975
AGID00013	88	1008-1/ab32060	Old	BID	-0.19455
AGID00180	90	1036-1/ab32158	Old	BIM	0.97532
AGID00221	1311	610978	Set163	BiP-GRP78	0.2692555
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.3343211
AGID00355	92	1647/ab33899	Old	BRAF	-0.78832
AGID00014	94	2696	Old	BRAF_pS445	0.071915
AGID00445	761	9012	Old	BRCA2	0.073238
AGID00266	1567	13440	Old	BRD4	0.24163
AGID00168	1146	2865	Set163	c-Abl_pY412	-0.03517964
AGID00278	1615	3130	Set163	c-IAP2	0.02844598
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.19223
AGID00429	2407	2679	Set163	Calnexin	0.6215308
AGID00176	1165	9496	Set163	Caspase-8-cleaved	-0.131284
AGID00623	111	9665	Old	CASPASE3	0.21179
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.11425
AGID00118	951	9746	Old	CASPASE8	-0.39613
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.11003
