AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.62564
AGID00111	913	sc-23957	Old	1433EPSILON	0.46456
AGID00101	883	sc-1019	Old	1433ZETA	-0.41259
AGID00001	2	9452	Old	4EBP1	-0.32839
AGID00002	3	9456	Old	4EBP1_pS65	-0.063841
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.42597
AGID00443	8	9455	Old	4EBP1_pT70	0.14119
AGID00120	985	4937	Old	53BP1	-1.9023
AGID00004	13	3661	Old	ACC_pS79	-1.1995
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.2702
AGID00408	2372	3658	Set163	AceCS1	-1.461964
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-2.1342
AGID00404	2367	9189	Set163	ACSL1	-0.7818934
AGID02144	2450	PA5-27081	Old	ACVRL1	0.25956
AGID00186	1198	ab88574	Old	ADAR1	-0.66138
AGID00146	1084	4691	Old	AKT	-0.78131
AGID00028	230	9271	Old	AKT_pS473	-0.61665
AGID00170	1154	2965	Old	AKT_pT308	-0.067248
AGID00316	1800	3063	Set163	Akt2	-1.049308
AGID00347	2009	8599	Set163	Akt2_pS474	0.668926
AGID02215	2577	ab195377	Set163	ALKBH5	-1.512729
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.2870408
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.3217415
AGID00006	39	2532	Old	AMPKALPHA	-0.638
AGID00007	40	2535	Old	AMPKALPHA_pT172	-2.0359
AGID00193	1208	610066	Old	ANNEXIN1	0.63717
AGID00166	1142	610668	Old	ANNEXINVII	0.34688
AGID00371	756	1852-1/ab52615	Old	AR	0.47009
AGID00194	1217	4432	Old	ARAF	-0.35659
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.21845
AGID00260	1053	sc-32761	Old	ARID1A	0.033431
AGID00264	1560	HPA029318	Old	ASNS	-0.33275
AGID00276	1612	3415	Set163	Atg3	-0.01662346
AGID00309	1775	13507	Set163	Atg4B	0.5215561
AGID00310	1776	12994	Set163	Atg5	-1.281743
AGID00277	1613	8558	Set163	Atg7	-0.1449234
AGID00242	1363	2873	Old	ATM	-1.1547
AGID02142	2447	13050	Set163	ATM_pS1981	0.4363015
AGID00217	1289	ab14748	Set163	ATP5A	-0.160844
AGID02145	2451	PA5-43776	Set163	ATP5H	0.4770016
AGID02150	2456	13934	Set163	ATR	1.103354
AGID00315	1795	ab178407	Set163	ATR_pS428	0.1420004
AGID00268	1569	ab97508	Set163	ATRX	-2.296176
AGID00391	2332	14475	Set163	Aurora-A	-0.07658339
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.2693166
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.3541897
AGID00215	1271	8661	Old	AXL	-0.44829
