AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.067085
AGID00111	913	sc-23957	Old	1433EPSILON	0.04069
AGID00101	883	sc-1019	Old	1433ZETA	-0.2963
AGID00001	2	9452	Old	4EBP1	-0.026621
AGID00002	3	9456	Old	4EBP1_pS65	-0.50035
AGID00003	6	9459	Old	4EBP1_pT37T46	0.49628
AGID00443	8	9455	Old	4EBP1_pT70	-0.034015
AGID00120	985	4937	Old	53BP1	-0.39662
AGID00004	13	3661	Old	ACC_pS79	-1.0884
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.4428
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.38325
AGID02144	2450	PA5-27081	Old	ACVRL1	0.41188
AGID00186	1198	ab88574	Old	ADAR1	-0.52914
AGID00146	1084	4691	Old	AKT	0.062359
AGID00028	230	9271	Old	AKT_pS473	0.37656
AGID00170	1154	2965	Old	AKT_pT308	0.87121
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00006	39	2532	Old	AMPKALPHA	0.64121
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.16189
AGID00193	1208	610066	Old	ANNEXIN1	-0.99743
AGID00166	1142	610668	Old	ANNEXINVII	-0.056423
AGID00371	756	1852-1/ab52615	Old	AR	0.49612
AGID00194	1217	4432	Old	ARAF	0.22671
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.31395
AGID00260	1053	sc-32761	Old	ARID1A	-0.069285
AGID00264	1560	HPA029318	Old	ASNS	-0.81177
AGID00242	1363	2873	Old	ATM	0.86073
AGID00215	1271	8661	Old	AXL	NA
AGID00008	63	9291	Old	BAD_pS112	0.32818
AGID00009	71	1542-1/ab32371	Old	BAK	0.067927
AGID00192	1207	sc-28383	Old	BAP1C4	-0.052502
AGID00010	73	2772	Old	BAX	-0.13878
AGID00433	80	M0887	Old	BCL2	0.83828
AGID00219	1299	PAB8528	Old	BCL2A1	0.7143
AGID00012	84	1018-1	Old	BCLXL	-0.32975
AGID00377	87	sc-10086	Old	BECLIN	0.11101
AGID00011	75	9562	Old	BETACATENIN	0.070159
AGID00013	88	1008-1/ab32060	Old	BID	-0.4073
AGID00180	90	1036-1/ab32158	Old	BIM	-0.54875
AGID00355	92	1647/ab33899	Old	BRAF	-0.18116
AGID00014	94	2696	Old	BRAF_pS445	0.003467
AGID00445	761	9012	Old	BRCA2	0.15566
AGID00266	1567	13440	Old	BRD4	-0.034454
AGID00345	1990	5649	Old	CA9	-0.49882
AGID00265	1565	2862	Old	CABL	-0.12088
AGID00623	111	9665	Old	CASPASE3	-0.19548
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.2325
AGID00118	951	9746	Old	CASPASE8	0.14546
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.3092
AGID00410	125	1632-1/ab78237	Old	CD20	0.37339
AGID00220	1308	ab28340	Old	CD26	1.6488
AGID00017	127	M0823	Old	CD31	0.68182
AGID00115	937	611016	Old	CD49B	0.073378
AGID00501	1007	9112	Old	CDK1	-0.19866
AGID00314	1783	4539	Old	CDK1_pY15	-0.051726
AGID00189	1203	2360	Old	CHK1	-0.29414
AGID00234	1348	ab79758	Old	CHK1_pS296	0.0078363
AGID00107	903	2348	Old	CHK1_pS345	-0.31733
AGID00018	146	3440	Old	CHK2	-0.5596
AGID00019	147	2197	Old	CHK2_pT68	-0.18951
AGID00527	2078	4952	Old	CIAP	-0.33173
AGID00434	155	9164	Old	CJUN_pS73	-0.025512
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.30042
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.7613
AGID00466	726	3127	Old	CMET	0.26438
AGID00079	727	3129	Old	CMET_pY1235	-0.0021537
AGID00167	161	9402	Old	CMYC	-0.054205
AGID00292	1656	11130-1-AP	Old	COG3	-0.029729
AGID00021	171	sc-20649	Old	COLLAGENVI	0.05028
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	0.014847
AGID00188	803	05-739	Old	CRAF	-0.18362
AGID00022	179	9427	Old	CRAF_pS338	-0.22127
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-2.3132
AGID00382	194	sc-718	Old	CYCLIND1	0.059498
AGID00437	199	sc-25303	Old	CYCLINE1	-1.1077
AGID00449	202	1142-1	Old	CYCLINE2	-0.33693
AGID00532	1273	Bast Lab	Old	DIRAS3	0.55328
AGID00104	891	ab76008	Old	DJ1	-0.081391
AGID00253	1406	5149	Old	DUSP4	-0.55507
AGID00116	940	3218	Old	DVL3	-0.596
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-1.8581
AGID00135	1060	2332	Old	EEF2	-0.68603
AGID00136	1061	3692	Old	EEF2K	0.44199
AGID00152	1120	2232	Old	EGFR	0.84941
AGID00450	217	2234	Old	EGFR_pY1068	1.7192
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.15661
AGID00078	722	9742	Old	EIF4E	-0.12389
AGID00154	1124	2498	Old	EIF4G	-0.066797
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00075	693	556347	Old	EPPK1	0.52552
AGID00335	238	RM-9101	Old	ERALPHA	-1.5546
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.40993
AGID00240	247	MS-671	Old	ERCC1	-0.14592
AGID00239	1355	11331-1-AP	Old	ERCC5	0.19597
AGID00484	249	sc-154	Old	ERK2	0.17251
AGID00187	1200	A303-501A	Old	ETS1	-0.008613
AGID00485	1284	4905	Old	EZH2	NA
AGID00171	1156	3180	Old	FASN	-1.5755
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.66762
AGID02152	2458	20459	Old	FOXM1	-0.38404
AGID00378	269	9467	Old	FOXO3A	-0.16971
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	-0.040399
AGID02141	2446	12263	Old	G6PD	0.11409
AGID00117	943	3239	Old	GAB2	-0.097048
AGID00412	274	AM4300	Old	GAPDH	1.6007
AGID00086	764	558686	Old	GATA3	-0.79417
AGID00383	1578	4253	Old	GATA6	-0.24339
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00502	1082	9336	Old	GSK3_pS9	-0.085086
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.17633
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	0.25727
AGID00129	1035	3886	Old	GYS	0.29802
AGID00130	1036	3891	Old	GYS_pS641	0.7372
AGID00131	1038	MS-325-P1	Old	HER2	-0.010372
AGID00142	299	06-229	Old	HER2_pY1248	0.085571
AGID00110	911	sc-285	Old	HER3	0.33732
AGID00080	728	4791	Old	HER3_pY1289	-0.10558
AGID00103	890	2573	Old	HEREGULIN	0.11718
AGID00419	1402	610958	Old	HIF1ALPHA	0.3066
AGID00037	325	4872	Old	HSP70	0.22044
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	-0.018228
AGID00038	335	3922	Old	IGFBP2	-1.3429
AGID02153	2459	14543	Old	INPP4B	-0.57741
AGID00223	1316	sc-497	Old	IRF1	-0.049185
AGID00092	802	06-248	Old	IRS1	-0.097564
AGID00250	1394	sc-13157	Old	JAB1	0.46194
AGID00177	1166	3230	Old	JAK2	0.090852
AGID00758	377	4671	Old	JNK_pT183Y185	0.05221
AGID02136	2439	PA5-28262	Old	JNK2	-0.12948
AGID00528	904	2180	Old	KU80	-0.27869
AGID00042	397	2752	Old	LCK	-0.095769
AGID00119	976	3582	Old	LDHA	1.3687
AGID00533	977	ab85319	Old	LDHB	0.99946
AGID00529	1477	3050	Old	LKB1	-0.28463
