AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.047889
AGID00111	913	sc-23957	Old	1433EPSILON	0.09249
AGID00101	883	sc-1019	Old	1433ZETA	0.75258
AGID00001	2	9452	Old	4EBP1	0.76199
AGID00002	3	9456	Old	4EBP1_pS65	-0.30015
AGID00003	6	9459	Old	4EBP1_pT37T46	0.45445
AGID00443	8	9455	Old	4EBP1_pT70	0.41147
AGID00120	985	4937	Old	53BP1	-1.1492
AGID00004	13	3661	Old	ACC_pS79	-0.35234
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.10739
AGID00408	2372	3658	Set165	AceCS1	-0.7533131
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.098191
AGID00404	2367	9189	Set165	ACSL1	-1.187301
AGID02144	2450	PA5-27081	Old	ACVRL1	0.10922
AGID00186	1198	ab88574	Old	ADAR1	-0.71341
AGID00146	1084	4691	Old	AKT	-0.56057
AGID00028	230	9271	Old	AKT_pS473	-1.2096
AGID00170	1154	2965	Old	AKT_pT308	-0.27871
AGID00316	1800	3063	Set165	Akt2	-0.02116835
AGID00347	2009	8599	Set165	Akt2_pS474	1.134197
AGID02215	2577	ab195377	Set165	ALKBH5	-0.6301135
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.3988351
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	-0.01719677
AGID00006	39	2532	Old	AMPKALPHA	-0.22969
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.5526
AGID00193	1208	610066	Old	ANNEXIN1	2.0938
AGID00166	1142	610668	Old	ANNEXINVII	0.41094
AGID00371	756	1852-1/ab52615	Old	AR	-0.74569
AGID00194	1217	4432	Old	ARAF	0.059392
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.18967
AGID00260	1053	sc-32761	Old	ARID1A	-0.11687
AGID00264	1560	HPA029318	Old	ASNS	0.58232
AGID00276	1612	3415	Set165	Atg3	0.1094205
AGID00309	1775	13507	Set165	Atg4B	0.2185881
AGID00310	1776	12994	Set165	Atg5	0.9337065
AGID00277	1613	8558	Set165	Atg7	-0.8522882
AGID00242	1363	2873	Old	ATM	-0.81178
AGID02142	2447	13050	Set165	ATM_pS1981	1.473671
