AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.064583
AGID00111	913	sc-23957	Old	1433EPSILON	-0.058286
AGID00101	883	sc-1019	Old	1433ZETA	-1.1721
AGID00001	2	9452	Old	4EBP1	-0.22157
AGID00002	3	9456	Old	4EBP1_pS65	0.26211
AGID00003	6	9459	Old	4EBP1_pT37T46	0.87327
AGID00443	8	9455	Old	4EBP1_pT70	0.26308
AGID00120	985	4937	Old	53BP1	-0.32135
AGID00004	13	3661	Old	ACC_pS79	1.7278
AGID00005	14	1768-1/ab45174	Old	ACC1	1.3204
AGID00408	2372	3658	Set179	AceCS1	2.516673
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.38576
AGID00404	2367	9189	Set179	ACSL1	4.477889
AGID02144	2450	PA5-27081	Old	ACVRL1	0.094789
AGID00186	1198	ab88574	Old	ADAR1	0.43427
AGID00146	1084	4691	Old	AKT	-0.93208
AGID00028	230	9271	Old	AKT_pS473	1.3028
AGID00170	1154	2965	Old	AKT_pT308	1.1257
AGID00316	1800	3063	Set179	Akt2	-0.296868
AGID00347	2009	8599	Set179	Akt2_pS474	0.2472535
AGID02215	2577	ab195377	Set179	ALKBH5	1.061701
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.1072304
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.2232783
AGID00006	39	2532	Old	AMPKALPHA	0.52289
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.038235
AGID00193	1208	610066	Old	ANNEXIN1	-1.9382
AGID00166	1142	610668	Old	ANNEXINVII	0.035743
AGID00371	756	1852-1/ab52615	Old	AR	-0.38352
AGID00194	1217	4432	Old	ARAF	0.076645
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.11639
AGID00260	1053	sc-32761	Old	ARID1A	0.35461
AGID00264	1560	HPA029318	Old	ASNS	-1.3796
AGID00276	1612	3415	Set179	Atg3	-0.2554118
AGID00309	1775	13507	Set179	Atg4B	-0.3891194
AGID00310	1776	12994	Set179	Atg5	-0.5389327
AGID00277	1613	8558	Set179	Atg7	-0.2657251
AGID00242	1363	2873	Old	ATM	0.72754
AGID02142	2447	13050	Set179	ATM_pS1981	-0.09117823
AGID00217	1289	ab14748	Set179	ATP5A	2.571435
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.3665719
AGID02150	2456	13934	Set179	ATR	-0.2037176
AGID00315	1795	ab178407	Set179	ATR_pS428	0.3533456
AGID00268	1569	ab97508	Set179	ATRX	0.1929821
AGID00391	2332	14475	Set179	Aurora-A	0.6618078
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	0.03211981
AGID02195	2512	MA5-27890	Set179	Aurora-B	1.983891
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.8925623
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.2053098
AGID00301	1725	14058	Set179	B7-H3	0.02982313
AGID00302	1726	14572	Set179	B7-H4	-0.5365275
AGID00008	63	9291	Old	BAD_pS112	0.40526
AGID00009	71	1542-1/ab32371	Old	BAK	0.32424
AGID00192	1207	sc-28383	Old	BAP1C4	-0.03059
AGID00010	73	2772	Old	BAX	-0.68431
AGID00433	80	M0887	Old	BCL2	-0.69849
AGID00219	1299	PAB8528	Old	BCL2A1	-0.22014
AGID00012	84	1018-1	Old	BCLXL	-0.57213
AGID00377	87	sc-10086	Old	BECLIN	0.031504
AGID00011	75	9562	Old	BETACATENIN	-0.18064
AGID00013	88	1008-1/ab32060	Old	BID	-0.40234
AGID00180	90	1036-1/ab32158	Old	BIM	0.36203
AGID00221	1311	610978	Set179	BiP-GRP78	0.3439084
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.0503993
AGID00355	92	1647/ab33899	Old	BRAF	0.10523
AGID00014	94	2696	Old	BRAF_pS445	0.16486
AGID00445	761	9012	Old	BRCA2	-0.12992
AGID00266	1567	13440	Old	BRD4	-0.38179
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.6792864
AGID00278	1615	3130	Set179	c-IAP2	0.04195199
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.065683
AGID00429	2407	2679	Set179	Calnexin	0.7030296
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.743095
AGID00623	111	9665	Old	CASPASE3	-0.048683
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.2269
AGID00118	951	9746	Old	CASPASE8	-0.48143
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.32751
AGID00358	2100	ab76000	Set179	CD134	-0.6113711
AGID00303	1737	826701	Set179	CD171	-0.1771103
AGID00410	125	1632-1/ab78237	Old	CD20	0.084757
AGID00220	1308	ab28340	Old	CD26	-0.12893
AGID00191	1206	610467	Set179	CD29	-0.1377677
AGID00017	127	M0823	Old	CD31	0.038381
