AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.019277
AGID00111	913	sc-23957	Old	1433EPSILON	-0.13306
AGID00101	883	sc-1019	Old	1433ZETA	0.071369
AGID00001	2	9452	Old	4EBP1	-0.3557
AGID00002	3	9456	Old	4EBP1_pS65	-0.40485
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.29131
AGID00443	8	9455	Old	4EBP1_pT70	-0.4321
AGID00120	985	4937	Old	53BP1	0.016283
AGID00004	13	3661	Old	ACC_pS79	-0.32392
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.2029
AGID00408	2372	3658	Set163	AceCS1	0.2219551
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.5693
AGID00404	2367	9189	Set163	ACSL1	-0.3567044
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.013127
AGID00186	1198	ab88574	Old	ADAR1	-0.12474
AGID00146	1084	4691	Old	AKT	0.25487
AGID00028	230	9271	Old	AKT_pS473	0.16996
AGID00170	1154	2965	Old	AKT_pT308	-0.29667
AGID00316	1800	3063	Set163	Akt2	-0.2383394
AGID00347	2009	8599	Set163	Akt2_pS474	0.01472504
AGID02215	2577	ab195377	Set163	ALKBH5	0.07387039
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.1163598
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.2512095
AGID00006	39	2532	Old	AMPKALPHA	-0.12105
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.62415
AGID00193	1208	610066	Old	ANNEXIN1	0.64334
AGID00166	1142	610668	Old	ANNEXINVII	0.44964
AGID00371	756	1852-1/ab52615	Old	AR	1.3745
AGID00194	1217	4432	Old	ARAF	0.36683
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.018261
AGID00260	1053	sc-32761	Old	ARID1A	0.12276
AGID00264	1560	HPA029318	Old	ASNS	-0.92109
AGID00276	1612	3415	Set163	Atg3	0.07251554
AGID00309	1775	13507	Set163	Atg4B	0.4924351
AGID00310	1776	12994	Set163	Atg5	-0.02096449
AGID00277	1613	8558	Set163	Atg7	0.1870356
AGID00242	1363	2873	Old	ATM	0.39414
AGID02142	2447	13050	Set163	ATM_pS1981	0.06890046
AGID00217	1289	ab14748	Set163	ATP5A	0.104155
AGID02145	2451	PA5-43776	Set163	ATP5H	1.103321
AGID02150	2456	13934	Set163	ATR	-0.04796743
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.8168707
AGID00268	1569	ab97508	Set163	ATRX	-1.015657
AGID00391	2332	14475	Set163	Aurora-A	-0.3195744
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.3463444
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.0167693
AGID00215	1271	8661	Old	AXL	NA
