AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.085252
AGID00111	913	sc-23957	Old	1433EPSILON	0.064616
AGID00101	883	sc-1019	Old	1433ZETA	0.22414
AGID00001	2	9452	Old	4EBP1	-0.27314
AGID00002	3	9456	Old	4EBP1_pS65	-0.59195
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.034823
AGID00443	8	9455	Old	4EBP1_pT70	-0.41355
AGID00120	985	4937	Old	53BP1	-0.048943
AGID00004	13	3661	Old	ACC_pS79	0.92022
AGID00005	14	1768-1/ab45174	Old	ACC1	1.2508
AGID00408	2372	3658	Set163	AceCS1	0.2708725
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.715
AGID00404	2367	9189	Set163	ACSL1	-0.289337
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.045553
AGID00186	1198	ab88574	Old	ADAR1	-0.14002
AGID00146	1084	4691	Old	AKT	0.2391
AGID00028	230	9271	Old	AKT_pS473	0.45483
AGID00170	1154	2965	Old	AKT_pT308	0.21943
AGID00316	1800	3063	Set163	Akt2	0.04207804
AGID00347	2009	8599	Set163	Akt2_pS474	-0.3107375
AGID02215	2577	ab195377	Set163	ALKBH5	0.1423178
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.02059281
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.04738794
AGID00006	39	2532	Old	AMPKALPHA	-0.37161
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.033265
AGID00193	1208	610066	Old	ANNEXIN1	-0.21578
AGID00166	1142	610668	Old	ANNEXINVII	0.27235
AGID00371	756	1852-1/ab52615	Old	AR	2.1767
AGID00194	1217	4432	Old	ARAF	0.37091
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.13007
AGID00260	1053	sc-32761	Old	ARID1A	0.090406
AGID00264	1560	HPA029318	Old	ASNS	-0.09015
AGID00276	1612	3415	Set163	Atg3	-0.180387
AGID00309	1775	13507	Set163	Atg4B	0.3003625
AGID00310	1776	12994	Set163	Atg5	0.1007929
AGID00277	1613	8558	Set163	Atg7	0.130033
AGID00242	1363	2873	Old	ATM	0.35201
AGID02142	2447	13050	Set163	ATM_pS1981	-0.2340021
AGID00217	1289	ab14748	Set163	ATP5A	-0.3224876
AGID02145	2451	PA5-43776	Set163	ATP5H	0.379248
AGID02150	2456	13934	Set163	ATR	0
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.3339032
AGID00268	1569	ab97508	Set163	ATRX	-0.6623396
AGID00391	2332	14475	Set163	Aurora-A	-0.367887
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.150947
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.1432433
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set163	b-Actin	-0.1604272
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.01897196
AGID00301	1725	14058	Set163	B7-H3	0.4181321
AGID00302	1726	14572	Set163	B7-H4	0.2826777
AGID00008	63	9291	Old	BAD_pS112	0.1353
AGID00009	71	1542-1/ab32371	Old	BAK	-0.91967
AGID00192	1207	sc-28383	Old	BAP1C4	-0.39757
AGID00010	73	2772	Old	BAX	-0.10064
AGID00433	80	M0887	Old	BCL2	0.62116
AGID00219	1299	PAB8528	Old	BCL2A1	0.0039269
AGID00012	84	1018-1	Old	BCLXL	-0.16595
AGID00377	87	sc-10086	Old	BECLIN	0.11798
AGID00011	75	9562	Old	BETACATENIN	-0.96156
