AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.487685
AGID00111	913	sc-23957	Old	1433EPSILON	0.520985
AGID00101	883	sc-1019	Old	1433ZETA	-0.7719
AGID00001	2	9452	Old	4EBP1	-0.62318
AGID00002	3	9456	Old	4EBP1_pS65	-0.28003
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.22145
AGID00443	8	9455	Old	4EBP1_pT70	-0.372665
AGID00120	985	4937	Old	53BP1	-1.9995
AGID00004	13	3661	Old	ACC_pS79	-0.159545
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.26205
AGID00408	2372	3658	Set173	AceCS1	-1.275508
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.78676
AGID00404	2367	9189	Set173	ACSL1	-0.2478963
AGID02144	2450	PA5-27081	Old	ACVRL1	0.57739
AGID00186	1198	ab88574	Old	ADAR1	0.09067
AGID00146	1084	4691	Old	AKT	-1.26507
AGID00028	230	9271	Old	AKT_pS473	0.09582
AGID00170	1154	2965	Old	AKT_pT308	0.19781
AGID00316	1800	3063	Set173	Akt2	0.2226351
AGID00347	2009	8599	Set173	Akt2_pS474	0.7830233
AGID02215	2577	ab195377	Set173	ALKBH5	-0.8894076
AGID00498	924	CA1030	Old	ALPHACATENIN	0.072621
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.3666342
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.6151896
AGID00006	39	2532	Old	AMPKALPHA	-0.06411
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.635275
AGID00193	1208	610066	Old	ANNEXIN1	-0.37622
AGID00166	1142	610668	Old	ANNEXINVII	0.16559
AGID00371	756	1852-1/ab52615	Old	AR	0.034957
AGID00194	1217	4432	Old	ARAF	-0.748065
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.79487
AGID00260	1053	sc-32761	Old	ARID1A	0.075735
AGID00264	1560	HPA029318	Old	ASNS	-0.138795
AGID00276	1612	3415	Set173	Atg3	0.2661838
AGID00309	1775	13507	Set173	Atg4B	-0.1492626
AGID00310	1776	12994	Set173	Atg5	-0.5822148
AGID00277	1613	8558	Set173	Atg7	-0.5359735
AGID00242	1363	2873	Old	ATM	-0.44114
AGID02142	2447	13050	Set173	ATM_pS1981	1.757967
AGID00217	1289	ab14748	Set173	ATP5A	1.777181
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.1669473
AGID02150	2456	13934	Set173	ATR	1.986082
AGID00315	1795	ab178407	Set173	ATR_pS428	0.0943655
AGID00268	1569	ab97508	Set173	ATRX	-1.248369
AGID00391	2332	14475	Set173	Aurora-A	-0.8631852
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	0.0317164
AGID02195	2512	MA5-27890	Set173	Aurora-B	-0.1934049
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.8899812
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.09727836
AGID00301	1725	14058	Set173	B7-H3	-0.6561853
AGID00302	1726	14572	Set173	B7-H4	0.1294888
